title,link,channel,channel_link,date,video_length,time_diff,watch_time
سورة البقرة كاملة - القارئ مختار الحاج - تلاوة خاشعة Surah Al Baqarah,https://www.youtube.com/watch?v=cAIlQvpVbOk,القارئ مختار الحاج - Mukhtar Al Hajj,https://www.youtube.com/channel/UCnoxNi6lF3CfqvGzQZZ7w6w,2026-03-28T09:43:18.155Z,7211,,7211.0
"Catholic Daily Mass - Daily TV Mass - March 26, 2026",https://www.youtube.com/watch?v=cSHSjVjJW2M,EWTN Live Mass & Devotions,https://www.youtube.com/channel/UCbkqRY8d0zg7xJPuDRDnDpQ,2026-03-28T08:40:07.087Z,3791,3791.068,3791.0
"THE NVIDIA AI GPU BLACK MARKET | Investigating Smuggling, Corruption, & Governments",https://www.youtube.com/watch?v=1H3xQaf7BFI,Gamers Nexus,https://www.youtube.com/channel/UChIs72whgZI9w6d6FhwGGHA,2026-03-28T05:10:41.348Z,12565,12565.739,12565.0
"Markets Rattled, Consumer Sentiment Plunges—While Trump Plays Emperor",https://www.youtube.com/watch?v=t7ZqHzKDCLw,The Bulwark,https://www.youtube.com/channel/UCG4Hp1KbGw4e02N7FpPXDgQ,2026-03-28T04:11:53.819Z,3527,3527.529,3527.0
The World's Most Important Machine,https://www.youtube.com/watch?v=MiUHjLxm3V0,Veritasium,https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,2026-03-28T03:22:17.479Z,3300,2976.34,2976.34
The Universe is Hostile to Computers,https://www.youtube.com/watch?v=AaZ_RSt0KP8,Veritasium,https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,2026-03-28T02:59:14.296Z,1383,1383.183,1383.0
Exposing The Flaw In Our Phone System,https://www.youtube.com/watch?v=wVyu7NB7W6Y,Veritasium,https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,2026-03-28T02:27:18.013Z,1915,1916.283,1915.0
He FAKED a livestream to murder..,https://www.youtube.com/watch?v=G8ICweiAHOM,Asmongold TV  ,https://www.youtube.com/channel/UCQeRaTukNYft1_6AZPACnog,2026-03-28T02:11:01.518Z,975,976.495,975.0
"Foo Fighters - Live at Madison Square Garden, New York, 06/20/2021 (Full Pro Video Concert)",https://www.youtube.com/watch?v=RfSzUm8RtnU,FooFightersBootlegs,https://www.youtube.com/channel/UCwLAviDN1P6cFnZftb6tLeQ,2026-03-27T23:20:28.518Z,9977,10233.0,9977.0
It Only HIT #105...But 40 Years Later It's CLEARLY the BEST SONG of 1987! | Professor of Rock,https://www.youtube.com/watch?v=ULBniQpXIAI,Professor of Rock,https://www.youtube.com/channel/UCOwSCdQi9YRIVq6H2iX3qWg,2026-03-27T23:16:47.261Z,2019,221.257,221.257
Pressure Machine (Abridged),https://www.youtube.com/watch?v=EWDTegRv-lc,The Killers - Topic,https://www.youtube.com/channel/UCneQ7UWyu9USLDgMya6T7IA,2026-03-27T23:15:42.734Z,285,64.527,64.527
The Killers - All These Things that I've Done {HD} Live at The Royal Albert Hall,https://www.youtube.com/watch?v=l_Wi_MDYiVw,stelakoul,https://www.youtube.com/channel/UCwAZM-K2c5g0XLXZXUvCRzw,2026-03-27T23:09:36.741Z,364,365.993,364.0
The Killers - Mr Brightside (Royal Albert Hall),https://www.youtube.com/watch?v=qTVOvMQFlxQ,GIGS,https://www.youtube.com/channel/UC2LSxCQoApZVmpWEBudCZlQ,2026-03-27T23:02:56.781Z,234,399.96,234.0
The Killers - When You Were Young (Glastonbury 2017),https://www.youtube.com/watch?v=OVfD6VQFO08,BBC Music,https://www.youtube.com/channel/UCZtDUmC3W7j25XHZWFT_XgQ,2026-03-27T22:58:49.856Z,245,246.925,245.0
The Prinsendam Cruise Ship Disaster,https://www.youtube.com/watch?v=WL8fG0JdYys,Bright Sun Films,https://www.youtube.com/channel/UC5k3Kc0avyDJ2nG9Kxm9JmQ,2026-03-27T22:43:00.023Z,1490,949.833,949.833
Why There’s an Abandoned Mansion Beneath the Bay Bridge,https://www.youtube.com/watch?v=_0kU6ERDP4c,IT'S HISTORY,https://www.youtube.com/channel/UCzIZ8HrzDgc-pNQDUG6avBA,2026-03-27T22:24:15.808Z,1019,1124.215,1019.0
What Everyone Gets Wrong About Planes,https://www.youtube.com/watch?v=vjDYfvPW4mA,Veritasium,https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,2026-03-24T04:51:28.885Z,1129,322366.923,1129.0
The Fatal Story of Tonka Toys Factory: How Minnesota's Steel Trucks Became Chinese Plastic,https://www.youtube.com/watch?v=A6QNgkJCaII,Flint & Factory,https://www.youtube.com/channel/UCw3QGNt0VIHXtDAKX91iylg,2026-03-24T00:45:15.636Z,2844,14773.249,2844.0
The History of World of Warcraft's Strangest Zone,https://www.youtube.com/watch?v=FqPk8YCnExU,The Karazhan Library,https://www.youtube.com/channel/UCU8vspfJiffiIT64qqiciJQ,2026-03-24T00:44:49.535Z,1642,26.101,26.101
The Heroes Who Vanished From Azeroth (World of Warcraft Lore),https://www.youtube.com/watch?v=DUfVgaL7JPk,The Karazhan Library,https://www.youtube.com/channel/UCU8vspfJiffiIT64qqiciJQ,2026-03-24T00:18:40.375Z,2169,1569.16,1569.16
Abandoned - Disneyland Peoplemover,https://www.youtube.com/watch?v=6NL4j2qiU3Y,Bright Sun Films,https://www.youtube.com/channel/UC5k3Kc0avyDJ2nG9Kxm9JmQ,2026-03-23T23:50:48.740Z,1311,1671.635,1311.0
Cancelled - American Heartland Theme Park,https://www.youtube.com/watch?v=V3w1YnzMqIA,Bright Sun Films,https://www.youtube.com/channel/UC5k3Kc0avyDJ2nG9Kxm9JmQ,2026-03-23T23:31:45.739Z,1142,1143.001,1142.0
Something insane happened at Blizzard..,https://www.youtube.com/watch?v=RyxoEfPkpUI,Asmongold TV  ,https://www.youtube.com/channel/UCQeRaTukNYft1_6AZPACnog,2026-03-23T23:31:32.633Z,2329,13.106,13.106
S2 Interviewer1 Direct Snip3,https://www.youtube.com/watch?v=YqVa6d74L20,Alexander Perry,https://www.youtube.com/channel/UCYT6h_o3g2fHElj53ZWVFyw,2026-03-23T14:09:40.107Z,6,33712.526,6.0
S2 Interviewer1 Direct Snip1,https://www.youtube.com/watch?v=cCLtVHdBPy8,Alexander Perry,https://www.youtube.com/channel/UCYT6h_o3g2fHElj53ZWVFyw,2026-03-23T14:08:37.734Z,9,62.373,9.0
S2 Interviewer1 Direct Snip4,https://www.youtube.com/watch?v=kcBOzp4vUVg,Alexander Perry,https://www.youtube.com/channel/UCYT6h_o3g2fHElj53ZWVFyw,2026-03-23T14:08:21.819Z,6,15.915,6.0
S2 Interviewer1 Direct Snip2,https://www.youtube.com/watch?v=XFoXRmrm1KA,Alexander Perry,https://www.youtube.com/channel/UCYT6h_o3g2fHElj53ZWVFyw,2026-03-23T14:07:48.071Z,5,33.748,5.0
S2 Interviewer1 Direct,https://www.youtube.com/watch?v=8AKGtWJkXdg,Alexander Perry,https://www.youtube.com/channel/UCYT6h_o3g2fHElj53ZWVFyw,2026-03-23T14:04:24.217Z,38,203.854,38.0
