title,link,channel,channel_link,date,video_length,time_diff,watch_time
OG ASTD JUST UPDATED!!! COMEBACK!!!,https://www.youtube.com/watch?v=vniP454waNU,Blam Spot,https://www.youtube.com/channel/UClMtMkX03xnhgc5psHs0bQQ,2026-03-08T08:42:24.300Z,141.0,,141.0
Bizarre Lineage Showcasing Every Awakening,https://www.youtube.com/watch?v=mMAVX9PtY4Q,Just_Ras,https://www.youtube.com/channel/UCZCWDOTFRkir10E6TKq6Acg,2026-03-08T02:50:35.766Z,330.0,21108.534,330.0
The BEST and ONLY FISTBORN Starter Guide You Need,https://www.youtube.com/watch?v=JhktxHmjRUs,Lost Tsuki,https://www.youtube.com/channel/UC816gnSc9Qc7Frk_R4oaz6Q,2026-03-08T02:08:32.389Z,653.0,2523.377,653.0
you SEE!,https://www.youtube.com/watch?v=6kI51YZMawQ,SoLLUMINATI,https://www.youtube.com/channel/UC8JELLR_mmbO7HonIlX-Btg,2026-03-07T23:04:49.341Z,784.0,11023.048,784.0
RELL SEAS Is FINALLY Here After 5 Years,https://www.youtube.com/watch?v=OdKjVPhZcag,Septembrr,https://www.youtube.com/channel/UCFfi_NARs6ObK8sJawi-quQ,2026-03-07T23:02:33.725Z,124.0,135.616,124.0
SML Movie: The Big Arch!,https://www.youtube.com/watch?v=_A3fUNhYXRw,SML,https://www.youtube.com/channel/UCnSWkrRWNQWNhDusoWr_HXQ,2026-03-07T19:13:19.476Z,794.0,13754.249,794.0
8003-NEWYORK-15C-16x9-EN.mp4,https://www.youtube.com/watch?v=XSWK09ceTyI,,,2026-03-07T19:13:06.841Z,16.0,12.635,12.635
LIVE |F*** I GOT BANNED!!!,https://www.youtube.com/watch?v=DKGlPkXBI60,Olemad,https://www.youtube.com/channel/UCmy4U6yOe1KesKVwT0r0lQQ,2026-03-07T00:16:28.562Z,,68198.279,68198.279
MASTER GUIDE TO USING CUSTOM AUTO DEFENSE | Deepwoken Exploiting,https://www.youtube.com/watch?v=c_9QOXlxl_E,Lycoris,https://www.youtube.com/channel/UCoi85BtUKUvRnfbrYvc_X9w,2026-03-06T19:45:11.277Z,556.0,16277.285,556.0
[OUTDATED] Lycoris Auto-Parry Guide & Showcase | Deepwoken Exploiting,https://www.youtube.com/watch?v=Ym0tX0yMWWs,Lycoris,https://www.youtube.com/channel/UCoi85BtUKUvRnfbrYvc_X9w,2026-03-06T19:42:39.439Z,507.0,151.838,151.838
BEST DEEPWOKEN VOI AUTO PARRY SHOWCASE (LYCORIS),https://www.youtube.com/watch?v=FObjiict4dU,icycle,https://www.youtube.com/channel/UCStPaxVhUvtUJ6_OlzqBx0g,2026-03-06T19:42:32.144Z,124.0,7.295,7.295
AUTO PARRYING IN DEEPWOKEN CHIME AS A 500 ELO DEMON.... (LYCORIS REWRITE),https://www.youtube.com/watch?v=0yFlmuTBTo0,chips,https://www.youtube.com/channel/UCUaVppa2GUFi4_fvXw4Ayng,2026-03-06T18:57:00.275Z,103.0,2731.869,103.0
Introducing Lycoris Rewrite | Deepwoken Exploiting,https://www.youtube.com/watch?v=DBThfwgsKQg,Lycoris,https://www.youtube.com/channel/UCoi85BtUKUvRnfbrYvc_X9w,2026-03-06T18:55:29.503Z,1251.0,90.772,90.772
* DEEPWOKEN EXPLOITING * | GANKING WITH THE BEST DEEPWOKEN AUTO PARRY ( STAR HUB),https://www.youtube.com/watch?v=N9Ghyn_WCdY,Tilii,https://www.youtube.com/channel/UC75FiKHkMx8of10rQpt6QBA,2026-03-06T18:53:28.589Z,310.0,120.914,120.914
The Bizarre Lineage Owner Drama Is SO SAD,https://www.youtube.com/watch?v=d8hUgvYT1Us,Eclipse,https://www.youtube.com/channel/UCnirzf0fEAPfQV__61iwSQQ,2026-03-06T18:39:31.754Z,890.0,836.835,836.835
Hank knows pizza. Copilot knows Excel.,https://www.youtube.com/watch?v=OIoVOiWvO5I,,,2026-03-06T18:39:01.091Z,16.0,30.663,16.0
Invincible - Season 4 Thragg Teaser | Prime Video,https://www.youtube.com/watch?v=ZmXJnIGPNh8,Invincible,https://www.youtube.com/channel/UC_-U9awQQm_GMJtR2mBhJPg,2026-03-06T03:03:29.969Z,31.0,56131.122,31.0
Hank knows pizza. Copilot knows Excel.,https://www.youtube.com/watch?v=OIoVOiWvO5I,,,2026-03-06T03:02:57.383Z,16.0,32.586,16.0
$20 Blowout!,https://www.youtube.com/watch?v=KJmyW0-7hVk,,,2026-03-06T02:49:46.847Z,31.0,790.536,31.0
FINAL STAND REMASTERED AUTO FARM SCRIPT | AUTO QUEST | BOOGA HUB V6,https://www.youtube.com/watch?v=R0W5jGiFZw4,BOOGABLOZxD - FINAL STAND,https://www.youtube.com/channel/UCRdIWNs7G0u8lA3p-MS_6Rg,2026-03-06T02:49:18.547Z,341.0,28.3,28.3
*NEW* Free Grand Piece Online Script: AUTO IMPEL DOWN SHOWCASE ( Star Hub ),https://www.youtube.com/watch?v=CnpdtP4teko,Tilii,https://www.youtube.com/channel/UC75FiKHkMx8of10rQpt6QBA,2026-03-06T02:23:06.425Z,169.0,1572.122,169.0
THIS UPDATE IS INSANE… DEEPWOKEN EXPLOITING | Star Hub,https://www.youtube.com/watch?v=u0b9bRNWDZc,Tilii,https://www.youtube.com/channel/UC75FiKHkMx8of10rQpt6QBA,2026-03-06T02:23:01.470Z,453.0,4.955,4.955
BEST GPO SCRIPT | STARHUB | AUTOFARM | MAX LVL,https://www.youtube.com/watch?v=mQmNrLRfGPQ,Epic_y,https://www.youtube.com/channel/UCF9pfVQk4LdXaw_ouppUh5w,2026-03-06T02:16:43.141Z,193.0,378.329,193.0
now what!,https://www.youtube.com/watch?v=-LrQ6nqf5Mo,SoLLUMINATI,https://www.youtube.com/channel/UC8JELLR_mmbO7HonIlX-Btg,2026-03-06T01:05:20.296Z,1059.0,4282.845,1059.0
The Difference Between Drop Sets and Supersets,https://www.youtube.com/watch?v=OG3nekTnQlA,GymHybrids,https://www.youtube.com/channel/UCFBJ21J2cxUF1s9I42JoFbg,2026-03-06T01:03:40.546Z,79.0,99.75,79.0
Lyria 3 | Music Generation comes to Gemini,https://www.youtube.com/watch?v=TD6FPndjhoE,,,2026-03-05T21:06:59.828Z,66.0,14200.718,66.0
the NEW 2026 BEGINNER guide to Roblox's Deepwoken!,https://www.youtube.com/watch?v=p3NkjLRscN0,zombie,https://www.youtube.com/channel/UChzdd0LJModPr9XxCUKq_vg,2026-03-05T02:21:25.648Z,1085.0,67534.18,1085.0
Roblox Volt Executor Is Here! (How To Download And Setup),https://www.youtube.com/watch?v=UCT4lBkPBnE,Serenity,https://www.youtube.com/channel/UCdyWLRSmNKgKaiZrkyv-K-w,2026-03-05T02:09:58.146Z,205.0,687.502,205.0
* DEEPWOKEN EXPLOITING * | NEW VOW OF IRON SCRIPT | STAR HUB,https://www.youtube.com/watch?v=YGLw9t3q0Hs,Tilii,https://www.youtube.com/channel/UC75FiKHkMx8of10rQpt6QBA,2026-03-05T02:07:25.001Z,339.0,153.145,153.145
Napheesa Collier | Miles That Matter | GEICO,https://www.youtube.com/watch?v=pePN0Bx3IaU,,,2026-03-05T01:32:00.036Z,31.0,2124.965,31.0
Bizarre Lineage: Does It SUCK?! (YES),https://www.youtube.com/watch?v=Tx0h0rJK6yo,Eclipse,https://www.youtube.com/channel/UCnirzf0fEAPfQV__61iwSQQ,2026-03-05T01:12:17.704Z,1285.0,1182.332,1182.332
White GTR R34 wallpaper,https://www.youtube.com/watch?v=MuxLuYSasw8,owentje,https://www.youtube.com/channel/UC5-GLXuUa-wSipgNMbFiifg,2026-03-04T05:26:47.360Z,3601.0,71130.344,3601.0
ANUBIS STAT GUIDE | Bizarre Lineage,https://www.youtube.com/watch?v=B-woEz9La8c,JoeFrozen,https://www.youtube.com/channel/UCd7b73B1q-KEMlyTV1ZcSvw,2026-03-04T05:25:37.561Z,69.0,69.799,69.0
FLICKER BOXING SHOWCASE! | FISTBORN,https://www.youtube.com/watch?v=3t0aZsEsM8Y,gr6mx,https://www.youtube.com/channel/UC4IT6m4Qu0Z5CTSOUgLor6A,2026-03-03T23:08:40.095Z,61.0,22617.466,61.0
THE BEST SKILL | FISTBORN,https://www.youtube.com/watch?v=k9pcup3B8uM,Xelph,https://www.youtube.com/channel/UCmgtrmmAhALH6xdTN6E1V1A,2026-03-03T22:01:07.284Z,276.0,4052.811,276.0
How Art Fairs Impact Your Career: Zindzi Harley & Brandon Barry Brown on Visibility,https://www.youtube.com/watch?v=NP2DB_AUr04,REVOLT,https://www.youtube.com/channel/UCqISR0F9-nCth-V2r4Qy75Q,2026-03-03T17:20:47.593Z,1087.0,16819.691,1087.0
Charisma Is GODLY! | Deepwoken,https://www.youtube.com/watch?v=ns-ByVuPvK0,TheRealPunchee,https://www.youtube.com/channel/UCTZH8vDtB8r2q4rqPVMEOHg,2026-03-03T02:36:38.023Z,152.0,53049.57,152.0
TOXIC Guild Needed 8 People to Kill This Build… | Deepwoken,https://www.youtube.com/watch?v=DzZCmo4dO58,LightDW,https://www.youtube.com/channel/UCk77bSaA6Z681m8xQpJ0H4A,2026-03-03T02:33:35.817Z,953.0,182.206,182.206
Using a LUCKY ARROW in Bizarre Lineage Roblox!,https://www.youtube.com/watch?v=CvWt4S3DCbs,GhostInTheCosmos,https://www.youtube.com/channel/UC9VqR2631AJNyTRJOliLJzw,2026-03-03T02:32:37.773Z,37.0,58.044,37.0
Where Dr. Bosconovitch Spawns | Bizarre Lineage,https://www.youtube.com/watch?v=rRffdnHJnJ0,Zombiey,https://www.youtube.com/channel/UCMyomw_QiWet_KKVymxBXRw,2026-03-03T02:14:18.927Z,103.0,1098.846,103.0
"Bizarre Lineage How To Get (Hamon,Vampire,Cyborg) Sub Abilities Fast Location + Full Guide!",https://www.youtube.com/watch?v=3G1V2pLEuWo,Builderboy TV,https://www.youtube.com/channel/UC-Mi2FOAqTQP0ciwY5Fl4Mg,2026-03-02T03:44:49.761Z,301.0,80969.166,301.0
now what!,https://www.youtube.com/watch?v=-LrQ6nqf5Mo,SoLLUMINATI,https://www.youtube.com/channel/UC8JELLR_mmbO7HonIlX-Btg,2026-03-02T02:46:50.060Z,1059.0,3479.701,1059.0
