title,link,channel,channel_link,date,video_length,time_diff,watch_time
Blue Screen of Death FIXED?! Nintendo Switch APU Reball 🔧😱,https://www.youtube.com/watch?v=pi23Vr8TxNw,Repair Capital,https://www.youtube.com/channel/UCLYR-M0uckm0UC9ZwkUxuSA,2026-04-17T08:04:59.323Z,25.0,,25.0
Blue Screen of DEATH on Nintendo Switch 🤯 #shorts,https://www.youtube.com/watch?v=3g_R8V4lz_I,MONEY TALKS WIRELESS,https://www.youtube.com/channel/UCe8D5lo_zrqS8xtsNspeCgg,2026-04-17T08:04:51.545Z,17.0,7.778,7.778
Wrestlemania attendance body slammed,https://www.youtube.com/watch?v=hP9vSE6aK2k,News 3 Las Vegas,https://www.youtube.com/channel/UCllyIkZaUy2zg-smrWiahow,2026-04-17T08:03:32.821Z,281.0,78.724,78.724
Learning to Reball a Switch CPU,https://www.youtube.com/watch?v=CQLH6LP0K3k,Probably Can't Fix it,https://www.youtube.com/channel/UCzBwGR9v7QNtZNgwgaviuWA,2026-04-17T08:03:06.009Z,1179.0,26.812,26.812
CoinOut Recruitment,https://www.youtube.com/watch?v=xfvscBEnq_s,,,2026-04-17T08:03:00.392Z,35.0,5.617,5.617
Belgard Hardscape Pavers | Strength and Symmetry | Outdoor Living Design,https://www.youtube.com/watch?v=KPwAjhk-fFk,,,2026-04-17T07:59:55.571Z,16.0,184.821,16.0
Nintendo Switch Blue Screen Repair (CPU Reball) & Discussing My Future...,https://www.youtube.com/watch?v=42CX87Lv1nw,TheCod3r,https://www.youtube.com/channel/UCeHILuUwWmHDQqbocxUvVoA,2026-04-17T07:57:31.745Z,1650.0,143.826,143.826
"You CAN Easily Reball An EMMC Chip! (Nintendo Switch, Flash Drive, Wii U)",https://www.youtube.com/watch?v=0GuUMRmha7U,chase fournier,https://www.youtube.com/channel/UCv3NdGbiSR4VGqgR4CCk63Q,2026-04-17T07:57:17.545Z,315.0,14.2,14.2
Roblox Claims,https://www.youtube.com/watch?v=mgwZ0XUr6_0,,,2026-04-17T07:55:59.093Z,60.0,78.452,60.0
Blue Screen of death | Nintendo Switch repair,https://www.youtube.com/watch?v=fNFk2FJQnKY,Fixing Modding Building,https://www.youtube.com/channel/UCFz7yWm_zeT0irmUa2GEGtQ,2026-04-17T07:50:19.926Z,646.0,339.167,339.167
MousePI_LaunchTrailer_ESRB_FULL_16x9_OutNow_EN.mp4,https://www.youtube.com/watch?v=WD80G607JwQ,,,2026-04-17T07:50:14.145Z,114.0,5.781,5.781
How to repair BLUE SCREEN OF DEATH Nintendo Switch Lite,https://www.youtube.com/watch?v=x32oCXRwkYY,Zul_FiX,https://www.youtube.com/channel/UC0hACFQCeb7HMnWHbKt6QDQ,2026-04-17T07:42:44.941Z,1201.0,449.204,449.204
