title,link,channel,channel_link,date,video_length,time_diff,watch_time
iShowSpeed Meets Super Idol!,https://www.youtube.com/watch?v=c7IVaQi643g,Live Speedy,https://www.youtube.com/channel/UC2bW_AY9BlbYLGJSXAbjS4Q,2026-04-14T06:14:05.257Z,155.0,,155.0
OAI Task2 USA Cooking 9x16 18s,https://www.youtube.com/watch?v=9W1sBnGWeJc,,,2026-04-14T06:13:58.912Z,19.0,6.345,6.345
260423USz 260126 25 lxn 1x1,https://www.youtube.com/watch?v=fAIz6Xs4Cs4,,,2026-04-14T06:13:51.951Z,7.0,6.961,6.961
"SPEED GOES PRO, EPISODE 5: RANDY ORTON (WWE)",https://www.youtube.com/watch?v=pySIRc4QjsY,IShowSpeed,https://www.youtube.com/channel/UCWsDFcIhY2DBi3GB5uykGXA,2026-04-13T22:38:59.011Z,1994.0,27292.94,1994.0
Samsung S26 Ultra - Audrey Nuna Organic,https://www.youtube.com/watch?v=_KvHFq8k39Y,,,2026-04-13T22:38:18.296Z,16.0,40.715,16.0
My FAVORITE Celebrity Recipes Pt. 3,https://www.youtube.com/watch?v=LIXk-N8RdCA,Domenic’s Kitchen,https://www.youtube.com/channel/UCNTgJV-QHwbB6ZheB5V2iFQ,2026-04-13T18:36:23.484Z,113.0,14514.812,113.0
Bundle Disney+ and Hulu,https://www.youtube.com/watch?v=Snkn-mslg6Q,,,2026-04-13T18:36:19.051Z,16.0,4.433,4.433
"Naruto, the Self-Made Hypocrite",https://www.youtube.com/watch?v=v2tkz92eG_E,PlagueOfGripes,https://www.youtube.com/channel/UC0PaoSxEK2nEmO-Mtk2vGWA,2026-04-13T18:35:39.819Z,2532.0,39.232,39.232
Anime Doesn't Get Better Than This.,https://www.youtube.com/watch?v=hxL_bLOWgNI,Gigguk,https://www.youtube.com/channel/UC7dF9qfBMXrSlaaFFDvV_Yg,2026-04-13T18:32:57.746Z,890.0,162.073,162.073
How A Single Costco Changes Its Local Economy,https://www.youtube.com/watch?v=ldQAZNXecBY,Micro,https://www.youtube.com/channel/UCJVXj8BvHykEklEeKjFwaXQ,2026-04-13T17:52:39.818Z,906.0,2417.928,906.0
Joe Rogan On Carbs,https://www.youtube.com/watch?v=wRt9IRUMJzI,Core Instinct,https://www.youtube.com/channel/UC8St4o1k9nGmFzTFncajTmw,2026-04-13T02:32:53.671Z,19.0,55186.147,19.0
Feeding a family of 1 for $2 #beans #tacos #budgetfriendly,https://www.youtube.com/watch?v=D5ffjT6qXXI,Beyond Food Market,https://www.youtube.com/channel/UC4NjwWy2iFjgcNCy3sY_6xg,2026-04-13T02:32:42.992Z,176.0,10.679,10.679
SML Movie: Jeffy Watches Blue's Clues!,https://www.youtube.com/watch?v=7dV0hfUasQ0,SML,https://www.youtube.com/channel/UCnSWkrRWNQWNhDusoWr_HXQ,2026-04-13T02:29:22.953Z,641.0,200.039,200.039
Binging with Babish: Bone Broth from The Mandalorian,https://www.youtube.com/watch?v=6GHwG1y-NE0,Binging with Babish,https://www.youtube.com/channel/UCJHA_jMfCvEnv-3kRjTCQXw,2026-04-13T02:27:41.950Z,628.0,101.003,101.003
Binging with Babish: Crab Bisque from Seinfeld,https://www.youtube.com/watch?v=5kKMB890ABc,Binging with Babish,https://www.youtube.com/channel/UCJHA_jMfCvEnv-3kRjTCQXw,2026-04-13T02:26:21.323Z,323.0,80.627,80.627
Binging with Babish: Remy’s Soup from Ratatouille,https://www.youtube.com/watch?v=s_ymnJmtvMs,Binging with Babish,https://www.youtube.com/channel/UCJHA_jMfCvEnv-3kRjTCQXw,2026-04-13T02:22:32.308Z,441.0,229.015,229.015
Binging with Babish: Meg's Dinner from Family Guy,https://www.youtube.com/watch?v=6NOtF4l9i9g,Binging with Babish,https://www.youtube.com/channel/UCJHA_jMfCvEnv-3kRjTCQXw,2026-04-13T02:21:29.591Z,371.0,62.717,62.717
How to Make PAPYRUS' SPAGHETTI from Undertale! Feast of Fiction S5 Ep16 | Feast of Fiction,https://www.youtube.com/watch?v=tjG9_tgkjYk,Feast Of Fiction,https://www.youtube.com/channel/UCmuK_ntZEGCXOmnfZW_LWnw,2026-04-13T02:20:42.572Z,294.0,47.019,47.019
Why Joe Rogan Hates Gourmet Restaurants,https://www.youtube.com/watch?v=Wk4iwvgaodQ,Core Instinct,https://www.youtube.com/channel/UC8St4o1k9nGmFzTFncajTmw,2026-04-13T02:19:55.975Z,30.0,46.597,30.0
Fettuccine Alfredo’s Real Name? 🇮🇹,https://www.youtube.com/watch?v=mxGnC75s89Q,Dolce Vita with Luca & Marina,https://www.youtube.com/channel/UCSQ8QsPEIc4c6vHrWyc-5iQ,2026-04-13T01:46:48.429Z,21.0,1987.546,21.0
The Sandwich in a Pickle,https://www.youtube.com/watch?v=pPCrtL7x6p0,Great Big Story,https://www.youtube.com/channel/UCajXeitgFL-rb5-gXI-aG8Q,2026-04-13T01:41:48.303Z,192.0,300.126,192.0
"The ITALIAN HOAGIE from Fedoroff’s in Williamsburg, Brooklyn NYC! 🥖🔥🤤 SO GOOD. #DEVOURPOWER",https://www.youtube.com/watch?v=JTlVpOhw_Fc,Devour Power TV,https://www.youtube.com/channel/UCAPpi1iWQFyW6V4ssQzZwHg,2026-04-13T01:39:07.204Z,39.0,161.099,39.0
The BEST Italian Sandwich Of All Time,https://www.youtube.com/watch?v=J2_SqHRENYo,Domenic’s Kitchen,https://www.youtube.com/channel/UCNTgJV-QHwbB6ZheB5V2iFQ,2026-04-13T01:39:00.263Z,30.0,6.941,6.941
Is this $150 Seafood Buffet Worth It? 🦞 #shorts,https://www.youtube.com/watch?v=0yzoqUt7ecw,Jerry Chen,https://www.youtube.com/channel/UCGdqeU3p7iZ3SvjKNGEJIjw,2026-04-13T01:36:46.387Z,60.0,133.876,60.0
