title,link,channel,channel_link,date,video_length,time_diff,watch_time
New Order - Blue Monday (Official Lyric Video),https://www.youtube.com/watch?v=c1GxjzHm5us,New Order,https://www.youtube.com/channel/UCpScI40fW6rKkPPnUVDGkyw,2026-02-27T09:42:16.459Z,451.0,,451.0
Men At Work - Overkill (Official Video),https://www.youtube.com/watch?v=RY7S6EgSlCI,MenAtWorkVEVO,https://www.youtube.com/channel/UC3WP6s9MqWj60i0eRjrvMgw,2026-02-27T09:38:28.444Z,227.0,228.015,227.0
Motion Social 2026 Poppy Video Youtube 6sec 16x9 r03,https://www.youtube.com/watch?v=K1tkpqDt208,,,2026-02-27T09:38:21.677Z,6.0,6.767,6.0
Old Spice-Brand-ENG-WHSE SA C&V Deo Stick-APDO/PCC-6-Bumper-16x9-,https://www.youtube.com/watch?v=QTrAQVYIDf0,,,2026-02-27T09:38:14.959Z,7.0,6.718,6.718
Peter Schilling - Major Tom (Coming Home) (Official Video),https://www.youtube.com/watch?v=wO0A0XcWy88,Peter Schilling,https://www.youtube.com/channel/UCWpOK2TZSXkX1zfSp_zYgGw,2026-02-27T09:34:07.160Z,246.0,247.799,246.0
That's devotion,https://www.youtube.com/watch?v=NuET2o8pQvc,,,2026-02-27T09:34:00.173Z,7.0,6.987,6.987
Stelo by Dexcom - Glucose Tracking Made Easy :06 Reveal,https://www.youtube.com/watch?v=s5aJy7cL6tU,,,2026-02-27T09:33:53.046Z,7.0,7.127,7.0
XTC - Dear God,https://www.youtube.com/watch?v=p554R-Jq43A,XTCVEVO,https://www.youtube.com/channel/UCy6Lhjp2o3tcGNgn_VhKuxw,2026-02-27T09:29:53.648Z,238.0,239.398,238.0
Hearth Pour 06 -16x9,https://www.youtube.com/watch?v=XKRnu58C76w,,,2026-02-27T09:29:46.633Z,7.0,7.015,7.0
us en 25 02 nc ac choice yt 16x9 par ridiculously ideas 6,https://www.youtube.com/watch?v=0eR3dkVnsRE,,,2026-02-27T09:29:39.955Z,7.0,6.678,6.678
Ren - Hi Ren (Official Music Video),https://www.youtube.com/watch?v=s_nc1IVoMxc,Ren,https://www.youtube.com/channel/UCqq3VcwPGseErHUa0-xLInQ,2026-02-27T09:20:13.316Z,560.0,566.639,560.0
"Scream 7 | Long Time :06 (2026 Movie) – Neve Campbell, Courteney Cox",https://www.youtube.com/watch?v=MDSEQxU4pek,,,2026-02-27T09:20:06.113Z,7.0,7.203,7.0
Modelo Chelada: Variety Pack,https://www.youtube.com/watch?v=JCw1Tk5WynQ,,,2026-02-27T09:19:59.516Z,7.0,6.597,6.597
"""Mad World"" (feat. Gary Jules) - Official Music Video",https://www.youtube.com/watch?v=etSbOs3aUqI,Gary Jules Official,https://www.youtube.com/channel/UCrDjRc8MgD5hyC0FqtmXDvw,2026-02-27T09:16:48.266Z,190.0,191.25,190.0
Proud Moments in Potty Training with Pull-Ups®,https://www.youtube.com/watch?v=VS4LYsxNvjg,,,2026-02-27T09:16:41.540Z,7.0,6.726,6.726
Cottonelle YT Campaign_Q1 2026_6s,https://www.youtube.com/watch?v=chXzrV_esdU,,,2026-02-27T09:16:34.896Z,7.0,6.644,6.644
Pink Floyd - High Hopes (Official Music Video HD),https://www.youtube.com/watch?v=7jMlFXouPk8,Pink Floyd,https://www.youtube.com/channel/UCY2qt3dw2TQJxvBrDiYGHdQ,2026-02-27T09:08:43.591Z,469.0,471.305,469.0
Taste Appeal Awareness 06A   16x9,https://www.youtube.com/watch?v=-9hIzHHxcWM,,,2026-02-27T09:08:36.669Z,7.0,6.922,6.922
us en 25 02 ct ac choice yt 16x9 kf ridiculously miss piggy 6,https://www.youtube.com/watch?v=DHIMq6qdogk,,,2026-02-27T09:08:30.118Z,7.0,6.551,6.551
The Stranglers - Golden Brown,https://www.youtube.com/watch?v=7KIHvuMl4Kk,stranglersofficial,https://www.youtube.com/channel/UC9nz7lwupHQIIcZwq1mmewg,2026-02-27T09:05:01.916Z,207.0,208.202,207.0
"Scream 7 | Breathe :06 (2026 Movie) – Neve Campbell, Courteney Cox",https://www.youtube.com/watch?v=ehNBk49P6kA,,,2026-02-27T09:04:54.824Z,7.0,7.092,7.0
"You say ""dream pizza"" we say ""It's just $9.99"" oh and ""you're welcome."" ❤️‍🔥🤤🍕",https://www.youtube.com/watch?v=uyrme_gxRG0,,,2026-02-27T09:04:48.123Z,7.0,6.701,6.701
M83 'Midnight City' Official video,https://www.youtube.com/watch?v=dX3k_QDnzHE,M83,https://www.youtube.com/channel/UC8WbdD3m5dP9giOU9XtAGWQ,2026-02-27T09:00:43.759Z,244.0,244.364,244.0
Purina is committed to the health of our pets and our planet,https://www.youtube.com/watch?v=wSyVbIyAzKg,,,2026-02-27T08:59:55.570Z,7.0,48.189,7.0
The Cure - Pictures Of You,https://www.youtube.com/watch?v=UmFFTkjs-O0,TheCureVEVO,https://www.youtube.com/channel/UC9YTouco1dW1KIZL-P3znoA,2026-02-27T08:51:29.907Z,504.0,505.663,504.0
Video Ad,https://www.youtube.com/watch?v=-LoGCDkHgLY,,,2026-02-27T08:51:14.024Z,16.0,15.883,15.883
"Allstate Mayhem ""Baseball Dad"" :15",https://www.youtube.com/watch?v=DUymTVGofYc,,,2026-02-27T08:50:58.081Z,,15.943,15.943
Billy Idol - Eyes Without A Face,https://www.youtube.com/watch?v=9OFpfTd0EIs,BillyIdolVEVO,https://www.youtube.com/channel/UC22iRbeDan0Qe_PrhdOkj2w,2026-02-27T08:46:02.022Z,295.0,296.059,295.0
"Hillshire Farm Is Calling™ | Honey Ham ""No, No, No"" | :06",https://www.youtube.com/watch?v=r9t-g89DyAs,,,2026-02-27T08:45:54.739Z,7.0,7.283,7.0
Video Ad,https://www.youtube.com/watch?v=5GE7byY8Apo,,,2026-02-27T08:45:39.062Z,16.0,15.677,15.677
Styx - Mr. Roboto (Official Video),https://www.youtube.com/watch?v=uc6f_2nPSX8,StyxVEVO,https://www.youtube.com/channel/UCaEixIrNdUQjQr85zcQeuiw,2026-02-27T08:40:03.085Z,335.0,335.977,335.0
LAY'S® | Last Harvest | Bags,https://www.youtube.com/watch?v=OIUAvnJJE6A,,,2026-02-27T08:39:56.307Z,7.0,6.778,6.778
Video Ad,https://www.youtube.com/watch?v=VpkJyaF5U44,,,2026-02-27T08:39:40.890Z,16.0,15.417,15.417
Modest Mouse - Float On (Official Music Video),https://www.youtube.com/watch?v=CTAud5O7Qqk,MODESTMOUSEVEVO,https://www.youtube.com/channel/UCIJdJU2RCaOieKNh7vCxWCA,2026-02-27T08:36:01.970Z,215.0,218.92,215.0
