title,link,channel,channel_link,date,video_length,time_diff,watch_time
Building a Wizard's Tower in Beta Minecraft,https://www.youtube.com/watch?v=KJ6G5gPrebs,Dialko,https://www.youtube.com/channel/UC8u-3rEnw9oTWp-AzAjE58g,2026-02-27T21:30:54.106Z,2512.0,,2512.0
Waitress Makes $50k at 21 Years Old!,https://www.youtube.com/watch?v=dsahSbMNjmw,Caleb Hammer,https://www.youtube.com/channel/UCLe_q9axMaeTbjN0hy1Z9xA,2026-02-27T21:06:17.415Z,38.0,1476.691,38.0
Super random WIEIAD,https://www.youtube.com/watch?v=dfiZ8i9OKRQ,LeanBeefPatty,https://www.youtube.com/channel/UCxTclqPDlFzC6yMVtWYm_DA,2026-02-27T21:05:36.481Z,82.0,40.934,40.934
The Epstein Files Have Been DELETED,https://www.youtube.com/watch?v=FpA6MWuYVcY,Trap More Ross,https://www.youtube.com/channel/UCfHv8HOlha7XMDtQSdOtlUA,2026-02-27T20:59:18.642Z,2293.0,377.839,377.839
iPhone 11.mp4,https://www.youtube.com/watch?v=vTW24D8tejs,,,2026-02-27T20:59:03.043Z,24.0,15.599,15.599
"A Guide to Beta Minecraft (Getting Started, Ideas, Building, & More)",https://www.youtube.com/watch?v=bXnbWv9btzU,Dialko,https://www.youtube.com/channel/UC8u-3rEnw9oTWp-AzAjE58g,2026-02-27T20:34:01.045Z,3405.0,1501.998,1501.998
The Eras of Minecraft Explained,https://www.youtube.com/watch?v=kN923Pu8XJs,Dialko,https://www.youtube.com/channel/UC8u-3rEnw9oTWp-AzAjE58g,2026-02-27T20:12:51.480Z,1258.0,1269.565,1258.0
Why You Try to Make Minecraft Fun Again,https://www.youtube.com/watch?v=B5XXqgnACfE,Dialko,https://www.youtube.com/channel/UC8u-3rEnw9oTWp-AzAjE58g,2026-02-27T19:57:15.891Z,924.0,935.589,924.0
Cozy Medieval Worldbuilding in Beta Minecraft,https://www.youtube.com/watch?v=vsOAF-2bLUg,Dialko,https://www.youtube.com/channel/UC8u-3rEnw9oTWp-AzAjE58g,2026-02-27T19:25:49.976Z,1874.0,1885.915,1874.0
WIEIAD at maintenance 🤍 4’11”/149cm and 109lbs/49kg #wieiadhealthy #petitewoman,https://www.youtube.com/watch?v=c5KA3ODvWl4,Honey Bison,https://www.youtube.com/channel/UC8sC8rFjhDd43MZxmQ4iDNw,2026-02-27T19:22:13.582Z,85.0,216.394,85.0
Japanese Neon Nights Lofi | Rain Sounds,https://www.youtube.com/watch?v=2sqdLLrUQ0E,Dodo Chill Beats,https://www.youtube.com/channel/UC0J9VUmVPE-vQ4aJ5ut1h8A,2026-02-27T19:19:40.130Z,21950.0,153.452,153.452
