title,link,channel,channel_link,date,video_length,time_diff,watch_time
Eduardo Conceição - The New Brazilian Superstar 🇧🇷,https://www.youtube.com/watch?v=_Ogm-3EP_iI,Sudamerica Comps,https://www.youtube.com/channel/UC_oj8h5GgADONCdHj8l6mpg,2026-04-14T14:31:36.041Z,411.0,,411.0
"Go to Sleep w/ Rain Falling on Window | Relaxing Gentle Rain Sounds for Sleeping Problems, Insomnia",https://www.youtube.com/watch?v=_x3hVRSIe2g,Cozy Rain,https://www.youtube.com/channel/UCfak21UYFUer7Nhucu3CuJA,2026-04-14T05:13:45.181Z,29221.0,33470.86,29221.0
https://www.youtube.com/watch?v=NRqTHG3Gask,https://www.youtube.com/watch?v=NRqTHG3Gask,,,2026-04-13T22:56:26.612Z,,22638.569,22638.569
Spend A Stormy Night In This Cozy Sci-Fi Bedroom | Rain & Thunder | Star Wars Inspired,https://www.youtube.com/watch?v=qhPr8XgRnrg,Ambient Renders,https://www.youtube.com/channel/UCXbXfisDHV_gDjawCKTyTIw,2026-04-13T22:22:27.595Z,28800.0,2039.017,2039.017
A Storm Rages Outside Your Window | Rain Sounds For Sleeping | Take Shelter In Your Spaceship |,https://www.youtube.com/watch?v=rt_i7pqZNpo,Ambient Renders,https://www.youtube.com/channel/UCXbXfisDHV_gDjawCKTyTIw,2026-04-13T21:47:27.310Z,28801.0,2100.285,2100.285
Fiorentina vs. Lazio: Extended Highlights | Serie A | CBS Sports Golazo,https://www.youtube.com/watch?v=B81A9aVKMmk,CBS Sports Golazo,https://www.youtube.com/channel/UCET00YnetHT7tOpu12v8jxg,2026-04-13T21:36:50.496Z,536.0,636.814,536.0
Nottingham Forest v. Aston Villa | PREMIER LEAGUE HIGHLIGHTS | 4/12/2026 | NBC Sports,https://www.youtube.com/watch?v=WZlViwalxzo,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-04-13T21:33:30.188Z,756.0,200.308,200.308
TY - We mustn’t forget it’s been raining,https://www.youtube.com/watch?v=vlWi1O6qSzQ,TL2424,https://www.youtube.com/channel/UCV8E-JPgC_PLJc_Hn8TAPMA,2026-04-13T16:04:22.224Z,28.0,19747.964,28.0
[Tackle] Top6 Cristiano Ronaldo Manchester united,https://www.youtube.com/watch?v=x7_aMmd1O4w,Ball time,https://www.youtube.com/channel/UCCHoU8Zhml6qgulaY2vtqfg,2026-04-13T10:23:02.950Z,249.0,20479.274,249.0
Contact ⧫ Deep Space Ambient Music ⧫ Cinematic Sci-Fi Atmosphere for Relaxation & Focus,https://www.youtube.com/watch?v=qRitf7c3-nQ,Orbital Odyssey,https://www.youtube.com/channel/UC__tsEo5uu-3tKBJ2P0eK0A,2026-04-13T10:21:40.812Z,7200.0,82.138,82.138
2010 FIFA World Cup | Every Germany Goal,https://www.youtube.com/watch?v=iU0WNHNtCP0,FIFA,https://www.youtube.com/channel/UCpcTrCXblq78GZrTUTLWeBw,2026-04-13T10:20:37.015Z,657.0,63.797,63.797
"Midnight Vale - Peaceful Fantasy Ambience & Music | 10,000 Special",https://www.youtube.com/watch?v=_QqabGYTSpQ,Olde World Melodies,https://www.youtube.com/channel/UCZ33CxqWeIjrFQaXrbA1_aQ,2026-04-13T10:14:42.809Z,6658.0,354.206,354.206
FATE: Blade Runner Ambience | Chill Cyberpunk Ambient Music | Deep Focus & Sleep Soundscape,https://www.youtube.com/watch?v=2ZroI6_Spsc,Focus Soundscapes,https://www.youtube.com/channel/UCKWOEUGWIsVYK9Yz4hVjbCg,2026-04-13T10:11:31.662Z,7208.0,191.147,191.147
PSG vs. Borussia Dortmund: Extended Highlights | UCL Semi-Finals 2nd Leg | CBS Sports Golazo,https://www.youtube.com/watch?v=nQy4Fhu8QJo,CBS Sports Golazo,https://www.youtube.com/channel/UCET00YnetHT7tOpu12v8jxg,2026-04-13T09:53:26.966Z,977.0,1084.696,977.0
Barcelona vs. PSG: Extended Highlights | UCL Quarter-Finals 2nd Leg | CBS Sports,https://www.youtube.com/watch?v=kTRfjkPcgS0,CBS Sports Golazo,https://www.youtube.com/channel/UCET00YnetHT7tOpu12v8jxg,2026-04-13T09:39:28.438Z,918.0,838.528,838.528
Como vs. Inter: Extended Highlights | Serie A | CBS Sports Golazo,https://www.youtube.com/watch?v=9mpTm-zT0LY,CBS Sports Golazo,https://www.youtube.com/channel/UCET00YnetHT7tOpu12v8jxg,2026-04-13T09:31:09.373Z,750.0,499.065,499.065
Dominant Display! 👊 | Man Utd 3-0 Chelsea | Classic Highlights 🍿,https://www.youtube.com/watch?v=e1TtEx-APgM,Manchester United,https://www.youtube.com/channel/UC6yW44UGJJBvYTlfC7CRg2Q,2026-04-13T08:58:31.805Z,1375.0,1957.568,1375.0
Ronaldo & Rooney Run Riot | Man Utd 5-2 Spurs | Classic Premier League Highlights,https://www.youtube.com/watch?v=o4KBO21e5io,Premier League,https://www.youtube.com/channel/UCG5qGWdu8nIRZqJ_GgDwQ-w,2026-04-13T08:29:01.009Z,1546.0,1770.796,1546.0
The Day Cristiano Ronaldo Scored his First Hattrick for Manchester United,https://www.youtube.com/watch?v=7H-ZG94a-lE,MISTER COMPS,https://www.youtube.com/channel/UCL2AHS8im9iCHN38mC2kcWA,2026-04-13T08:18:39.384Z,750.0,621.625,621.625
Nani: All The Goals! 🔥⚽️,https://www.youtube.com/watch?v=48yiEntpSo4,Manchester United,https://www.youtube.com/channel/UC6yW44UGJJBvYTlfC7CRg2Q,2026-04-13T08:04:05.515Z,1395.0,873.869,873.869
"Go to Sleep w/ Rain Falling on Window | Relaxing Gentle Rain Sounds for Sleeping Problems, Insomnia",https://www.youtube.com/watch?v=_x3hVRSIe2g,Cozy Rain,https://www.youtube.com/channel/UCfak21UYFUer7Nhucu3CuJA,2026-04-13T03:07:04.143Z,29221.0,17821.372,17821.372
https://www.youtube.com/watch?v=zJL8OpCN9qY,https://www.youtube.com/watch?v=zJL8OpCN9qY,,,2026-04-12T21:01:17.656Z,,21946.487,21946.487
Richarlison. 90th minute. Anfield.,https://www.youtube.com/watch?v=hzCCRJiLuTY,Tottenham Hotspur,https://www.youtube.com/channel/UCEg25rdRZXg32iwai6N6l0w,2026-04-12T21:00:42.677Z,28.0,34.979,28.0
Ronaldinho scores and gets a red card! England vs Brazil,https://www.youtube.com/watch?v=TVzWKO7Bk7w,FIFA,https://www.youtube.com/channel/UCpcTrCXblq78GZrTUTLWeBw,2026-04-12T20:59:49.166Z,45.0,53.511,45.0
21 Year Old Ronaldo was CRAZY,https://www.youtube.com/watch?v=IMZ9yUpvXQE,Legasus,https://www.youtube.com/channel/UCvYTbKjy-e7Ky3LgPYn6fLA,2026-04-12T20:55:14.452Z,871.0,274.714,274.714
"Colossal Goals | Premier League 2010/11 | Rooney, Ben Arfa, Pavlyuchenko",https://www.youtube.com/watch?v=N6juGPBhSks,Premier League,https://www.youtube.com/channel/UCG5qGWdu8nIRZqJ_GgDwQ-w,2026-04-12T20:43:27.369Z,1056.0,707.083,707.083
No One Is Ever Going to Want Me,https://www.youtube.com/watch?v=xMK7IHF69Sc,Giles Corey - Topic,https://www.youtube.com/channel/UCzykL9g7ifj8n2VOzVAJFzg,2026-04-12T20:04:39.399Z,487.0,2327.97,487.0
From The Window Of My Room,https://www.youtube.com/watch?v=eBG2JjW1hyM,Dorena - Topic,https://www.youtube.com/channel/UCEZ8uL4zGkH66jAO_lYD7_Q,2026-04-12T18:47:43.740Z,418.0,4615.659,418.0
"Ulrich Schnauss - Here today, Gone Tomorrow",https://www.youtube.com/watch?v=ao__VsbxgXI,InterGameof,https://www.youtube.com/channel/UCqYVnIaM5L6ns0ga8QyMVPg,2026-04-12T18:38:57.767Z,526.0,525.973,525.973
Chelsea v. Manchester City | PREMIER LEAGUE HIGHLIGHTS | 4/12/2026 | NBC Sports,https://www.youtube.com/watch?v=K0W2ZHON50g,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-04-12T18:21:41.926Z,854.0,1035.841,854.0
Crystal Palace v. Newcastle United | PREMIER LEAGUE HIGHLIGHTS | 4/12/2026 | NBC Sports,https://www.youtube.com/watch?v=DDhsOvEtxQI,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-04-12T17:55:10.275Z,630.0,1591.651,630.0
Sunderland v. Tottenham Hotspur | PREMIER LEAGUE HIGHLIGHTS | 4/12/2026 | NBC Sports,https://www.youtube.com/watch?v=4uqg8f9h2d0,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-04-12T17:44:01.268Z,571.0,669.007,571.0
