title,link,channel,channel_link,date,video_length,time_diff,watch_time
The only rapper from the 2000s who didn’t go broke. Here’s how he did it,https://www.youtube.com/watch?v=4KhH543_hY0,Star Inside,https://www.youtube.com/channel/UC65E5E0hcjSLQXk7X4PH0lA,2026-02-26T18:40:36.209Z,76.0,,76.0
Bill Gates just folded..,https://www.youtube.com/watch?v=a5XDSr5R-8I,Asmongold Clips,https://www.youtube.com/channel/UCMwJJL5FJFuTRT55ksbQ4GQ,2026-02-26T18:39:26.371Z,157.0,69.838,69.838
Stolen de Kooning painting worth $165M found behind a bedroom door,https://www.youtube.com/watch?v=JwDXl83Wpqs,WFAA,https://www.youtube.com/channel/UCBu0KdNokE4MqdkacvH37_A,2026-02-26T18:39:17.717Z,359.0,8.654,8.654
"Powell man loses $93,000 in online car sale gone wrong",https://www.youtube.com/watch?v=zcDvOUL9EUs,WATE 6 On Your Side,https://www.youtube.com/channel/UCMmuHfeLHhAA5Q8WWc1e0eA,2026-02-26T18:09:31.082Z,153.0,1786.635,153.0
Original Cooler - Hockey | Michelob ULTRA,https://www.youtube.com/watch?v=xl91K_0hBhI,,,2026-02-26T18:08:26.029Z,16.0,65.053,16.0
Gelo Destroyes everything in existence once again,https://www.youtube.com/watch?v=w4zTuJZLZqQ,Gelofan🧇🍣,https://www.youtube.com/channel/UCa3V32JM4a1nvTQRGAZkRoA,2026-02-26T05:35:19.714Z,33.0,45186.315,33.0
GELO FR DOESN'T FIT INTO HIS CAR #foodnerd #foodhumor #foodie #foodiechronicles #foodjokes,https://www.youtube.com/watch?v=pdBv8yQuny0,Gelofan🧇🍣,https://www.youtube.com/channel/UCa3V32JM4a1nvTQRGAZkRoA,2026-02-26T05:34:51.817Z,73.0,27.897,27.897
011025_X9_16x9,https://www.youtube.com/watch?v=dawaH_tv0OU,,,2026-02-26T05:34:41.306Z,36.0,10.511,10.511
Story behind “Chop Suey”🤘✝️ #musicedit #soad #systemofadown,https://www.youtube.com/watch?v=2f1eiXTQsVY,RAMM4EVER,https://www.youtube.com/channel/UCRVJpdl0uZfJHex-YlXypcg,2026-02-26T05:33:42.087Z,57.0,59.219,57.0
Freddie Mercury Sad Final Performance #freddiemercury #queen #music #bohemianrhapsody #final,https://www.youtube.com/watch?v=qPdexsbCT_k,DaniMarinos,https://www.youtube.com/channel/UC1AwQSZqGJeF7IxI7MoJCKw,2026-02-26T05:32:16.888Z,61.0,85.199,61.0
“Real or movie… the energy was always magnífico! 👑🔥”,https://www.youtube.com/watch?v=IXC0k9z9Vjc,IKKI,https://www.youtube.com/channel/UCHjp0hA9PZpJKiibVpGKFqw,2026-02-26T05:31:03.360Z,61.0,73.528,61.0
The Last Days Of The Legendary Freddie Mercury #musicedit #freddiemercury #queen,https://www.youtube.com/watch?v=MHFV4RlBj8o,DodeeWorld,https://www.youtube.com/channel/UC5WlnPdMjQMFV5pdKV5lyAA,2026-02-26T05:31:02.935Z,54.0,0.425,0.425
"Intuit Enterprise Suite: Rozlynn Yong, Sparq Partners",https://www.youtube.com/watch?v=utTfNl6aWUw,,,2026-02-26T05:30:59.057Z,31.0,3.878,3.878
The Only Man Pablo Escobar Ever Respected,https://www.youtube.com/watch?v=deumVWtGSRg,Crème DU CRIME,https://www.youtube.com/channel/UCexCmTdKE-YawfrbYt7Rgww,2026-02-26T05:26:46.636Z,548.0,252.421,252.421
"Opening The $200,000 1st Edition Pokemon Box (Rarest In The World)",https://www.youtube.com/watch?v=EJcWaAnsvlg,PokeRev,https://www.youtube.com/channel/UCUHYM7gs-GZpRGEsskTEqzQ,2026-02-26T04:27:24.627Z,10675.0,3562.009,3562.009
Gothic 1 Remake | Release Date Trailer,https://www.youtube.com/watch?v=0We-UgJKJp8,,,2026-02-26T02:34:31.175Z,186.0,6773.452,186.0
Marilyn Manson's Resurrection From Bully to Icon - Marilyn Manson,https://www.youtube.com/watch?v=HgNsom7Mqto,ShowBand,https://www.youtube.com/channel/UCwEuhoxR48i7DeMX_W4kW0g,2026-02-26T02:32:15.774Z,56.0,135.401,56.0
National: Win at Travel :15,https://www.youtube.com/watch?v=R0_GjT-dQtE,,,2026-02-26T02:31:56.827Z,16.0,18.947,16.0
"Escaped Prisoners Take Selfies, Video During Nationwide Manhunt",https://www.youtube.com/watch?v=MSTvEPRE9i4,Inside Edition,https://www.youtube.com/channel/UC9k-yiEpRHMNVOnOi_aQK8w,2026-02-25T20:52:02.014Z,122.0,20394.813,122.0
We Find Roads to Connect Your Community,https://www.youtube.com/watch?v=GlRtLQR78uU,,,2026-02-25T20:01:04.906Z,16.0,3057.108,16.0
Gladiator II (2024): Sharks VS. Gladiators At The Colosseum,https://www.youtube.com/watch?v=BXY-XIr62FI,Binge Society,https://www.youtube.com/channel/UCOo_v3eVbfET7_zi2KLOP9g,2026-02-25T19:59:32.015Z,312.0,92.891,92.891
SWC 26 OpenYourWorld SevenSeas PASS AsLowAs13Mo YT 30 ENG,https://www.youtube.com/watch?v=QnCysabJUy8,,,2026-02-25T19:59:26.448Z,31.0,5.567,5.567
The Dinosaurs | Official Trailer | Netflix,https://www.youtube.com/watch?v=y4ZBSzYUTL0,Netflix,https://www.youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw,2026-02-25T19:59:10.313Z,121.0,16.135,16.135
CI Evergreen Enterprise V1 MidscaleYouTubeVideo EN Video VID 16x9 30s,https://www.youtube.com/watch?v=e-oFniPpFfw,,,2026-02-25T19:59:05.564Z,31.0,4.749,4.749
Your Life as Every Mexican Cartel Rank,https://www.youtube.com/watch?v=IuQBOpDCsKQ,The Life Outline,https://www.youtube.com/channel/UCeVwhrEnYjCNdaDr47x4dSw,2026-02-25T19:58:40.822Z,601.0,24.742,24.742
Father Who Beat Son's Accused Rapist Speaks Out,https://www.youtube.com/watch?v=2ypvItii5j8,WSYX ABC 6,https://www.youtube.com/channel/UC6HHWRGuLD11spg9DxKAZlQ,2026-02-25T16:48:41.679Z,125.0,11399.143,125.0
Missing mother found alive after 24 years doesn’t want contact with family: Sheriff | NewsNation,https://www.youtube.com/watch?v=OEURfpWoUrc,NewsNation,https://www.youtube.com/channel/UCCjG8NtOig0USdrT5D1FpxQ,2026-02-25T16:48:01.855Z,425.0,39.824,39.824
How Every Cartel Boss Died,https://www.youtube.com/watch?v=9LQIJunNwNI,The Paint Explainer,https://www.youtube.com/channel/UCnwUjPK7dXety-AJ4fNw_RQ,2026-02-25T15:47:03.612Z,899.0,3658.243,899.0
FY25_Q4_Discover_30_EN_WW,https://www.youtube.com/watch?v=mrZo_IkyAjQ,,,2026-02-25T15:46:57.992Z,30.0,5.62,5.62
The Final Scene with Eazy-E (full scene) | Straight Outta Compton,https://www.youtube.com/watch?v=XZARzxj0d_4,Popcorn Picks,https://www.youtube.com/channel/UCfbkraMQPT7l9d1yTYpDR1w,2026-02-25T04:28:25.328Z,537.0,40712.664,537.0
Queen – Bohemian Rhapsody (Official Video Remastered),https://www.youtube.com/watch?v=fJ9rUzIMcZQ,Queen Official,https://www.youtube.com/channel/UCiMhD4jzUqG-IgPzUmmytRQ,2026-02-25T04:27:13.368Z,360.0,71.96,71.96
Actors Who Got Roles Because of a Disability.,https://www.youtube.com/watch?v=w6n7ob26xRY,Cuong Be,https://www.youtube.com/channel/UCIQYQuYuTctzt8wdD8ybF_A,2026-02-25T04:26:05.395Z,59.0,67.973,59.0
SWC 26 OpenYourWorld SevenSeas TIX AsLowAs6999 YT 15 ENG,https://www.youtube.com/watch?v=l7eTfrWIlJQ,,,2026-02-25T04:25:57.429Z,16.0,7.966,7.966
300: Rise Of An Empire | The Rise of Xerxes’ Wrath | ClipZone: Heroes & Villains,https://www.youtube.com/watch?v=RCJ3icD6_eU,ClipZone: Heroes & Villains,https://www.youtube.com/channel/UCQt7Z-GE0wF8AzFNvQEqjvg,2026-02-25T04:23:14.535Z,467.0,162.894,162.894
Ozzy Osbourne - Crazy Train (Live),https://www.youtube.com/watch?v=8lD5bfqzr6E,OzzyOsbourneVEVO,https://www.youtube.com/channel/UC3YEGIgrJGwQDjY-dxZ8Dpw,2026-02-25T04:22:42.334Z,324.0,32.201,32.201
We Find Roads to Connect Your Community,https://www.youtube.com/watch?v=GlRtLQR78uU,,,2026-02-25T04:22:39.084Z,16.0,3.25,3.25
SONGS THAT GOT SINGERS IN TROUBLE,https://www.youtube.com/watch?v=XnIPsToO3Z4,Song Island,https://www.youtube.com/channel/UCt3hFrI60TFKF627IJPeocA,2026-02-25T04:21:13.800Z,68.0,85.284,68.0
Black Sabbath feat. Ozzy Osbourne - Paranoid (Live Aid 1985),https://www.youtube.com/watch?v=mxqmEeOU9EI,Live Aid,https://www.youtube.com/channel/UCUAVzSGkkTa-IoMx_x1XK4Q,2026-02-25T04:18:58.911Z,235.0,134.889,134.889
Ozzy - Everyone Was Scared of Tony! #ozzyosbourne #heavymetal #rocknroll #ozzy,https://www.youtube.com/watch?v=IXfS7t9TYo0,Musixita,https://www.youtube.com/channel/UC9NRYQAPrtqv5pMES2j5Awg,2026-02-25T04:18:32.987Z,59.0,25.924,25.924
Ozzy Osbourne's emotional final concert before death,https://www.youtube.com/watch?v=r9btGWbhIAM,news.com.au,https://www.youtube.com/channel/UCtWWry0cgjWi9C0Ye9sh6og,2026-02-25T04:16:59.882Z,153.0,93.105,93.105
Video 3,https://www.youtube.com/watch?v=fMgRsdGGGsQ,Chloe Mortenson,https://www.youtube.com/channel/UCqp5-y4_O5KEFtRhWOc0Ptg,2026-02-25T03:24:22.394Z,53.0,3157.488,53.0
Maximus Takes Down an Emperor | Gladiator | CLIP ⚡ 4K,https://www.youtube.com/watch?v=W3ZD9vifmDk,JoBlo Action 4K,https://www.youtube.com/channel/UCTxYD92kxevI1I1-oITiQzg,2026-02-25T03:16:26.101Z,537.0,476.293,476.293
Singers Sing Their Songs Without Autotune (part 22) #viral #music #singing #WithoutAutotune #shorts,https://www.youtube.com/watch?v=Aq0ZrqrG_qk,Melora,https://www.youtube.com/channel/UC9qUY3XMOenRdJ4VvpoFlnA,2026-02-25T03:15:33.874Z,57.0,52.227,52.227
PHILLY CHEESESTEAK AT HOME!,https://www.youtube.com/watch?v=u-XqYJT_jMQ,Landon Bridges,https://www.youtube.com/channel/UC0gy_bMDKfXyBgb6G2FFwHQ,2026-02-25T03:14:13.805Z,297.0,80.069,80.069
Pete Davidson Explains Why Burning Tattoos Is Worse Than Getting Them,https://www.youtube.com/watch?v=-rkvYuoaa_0,StarSnips,https://www.youtube.com/channel/UCRepTX5y-VEyd0JBsd5VleA,2026-02-25T02:58:28.485Z,28.0,945.32,28.0
Wonder Showzen Out of Context,https://www.youtube.com/watch?v=OsdQ32kXISg,Boba Fett,https://www.youtube.com/channel/UCnpyckx5ZgQv6IrzBz7sEIA,2026-02-25T02:58:16.603Z,310.0,11.882,11.882
Mother Will Be Absent From Son's Life,https://www.youtube.com/watch?v=YM-QhaY4qBw,Caleb Hammer,https://www.youtube.com/channel/UCLe_q9axMaeTbjN0hy1Z9xA,2026-02-25T02:58:03.382Z,51.0,13.221,13.221
SWC 26 OpenYourWorld SevenSeas PASS AsLowAs13Mo YT 15 ENG,https://www.youtube.com/watch?v=bvvwsLCiAlA,,,2026-02-25T02:55:52.332Z,16.0,131.05,16.0
Secure your website with SSL Dragon!,https://www.youtube.com/watch?v=ggkn2YBJx3s,,,2026-02-25T02:48:31.268Z,31.0,441.064,31.0
"Opening The $200,000 1st Edition Pokemon Box (Rarest In The World)",https://www.youtube.com/watch?v=EJcWaAnsvlg,PokeRev,https://www.youtube.com/channel/UCUHYM7gs-GZpRGEsskTEqzQ,2026-02-25T02:48:27.562Z,10675.0,3.706,3.706
Napoleon DESTROYS the Pyramids | Napoleon (Joaquin Phoenix),https://www.youtube.com/watch?v=QELE22L6yjQ,Clips & Chill,https://www.youtube.com/channel/UC9No_NcwXn_FOVKTJS16Img,2026-02-25T00:39:27.183Z,391.0,7740.379,391.0
"He Replaced El Chapo, Got A $15M Bounty & Was Just K*lled By Special Forces: El Mencho",https://www.youtube.com/watch?v=IGpwR-VUR7k,Street Files,https://www.youtube.com/channel/UCS7ZMGyyM0DUclMqsXwVg1g,2026-02-25T00:38:47.508Z,1554.0,39.675,39.675
Where is El Mencho? The mystery behind the most wanted narco in Mexico and the U.S.,https://www.youtube.com/watch?v=cbKOZsMK5Dg,Krater  ,https://www.youtube.com/channel/UCBBgozvHzgdzZx7GxJjKsiQ,2026-02-25T00:24:36.013Z,628.0,851.495,628.0
"Mexico's El Mencho’s ‘Fall Back Bi***es’ Threat Call To Cops Viral, Drug Kingpin Heard Saying...",https://www.youtube.com/watch?v=kbDAB4NBzy0,Times Now,https://www.youtube.com/channel/UC6RJ7-PaXg6TIH2BzZfTV7w,2026-02-25T00:17:36.026Z,197.0,419.987,197.0
CHIEF OF WAR Episode 9 FINALE | Ka'iana Bloodiest FIGHT SCENE REVEALED!,https://www.youtube.com/watch?v=_gaCxZSPf8U,Script Breakdown,https://www.youtube.com/channel/UCUzaGof7rmFns3vNXcbCsow,2026-02-24T21:34:02.440Z,196.0,9813.586,196.0
Carl's Jr. | BOGO Famous Star | She's Back,https://www.youtube.com/watch?v=L0EkTqXWJRA,,,2026-02-24T21:33:56.596Z,16.0,5.844,5.844
Chief Of War: Jason Momoa’s BIGGEST Battle EVER!  - Epic War,https://www.youtube.com/watch?v=dkYDyq4H_3U,NotoriousHal,https://www.youtube.com/channel/UCbqRAny2H5vu2o6eFEKw2cw,2026-02-24T21:31:12.085Z,299.0,164.511,164.511
Chief of War — The Battle Begins | Scene | Apple TV,https://www.youtube.com/watch?v=QqMmFiFGk6A,Apple TV,https://www.youtube.com/channel/UC1Myj674wRVXB9I4c6Hm5zA,2026-02-24T21:30:58.808Z,350.0,13.277,13.277
Chief of War - Jason Momoa's EPIC Spear Combat!  Best Fight Scenes of 2025,https://www.youtube.com/watch?v=lIVYBSw-RYs,NotoriousHal,https://www.youtube.com/channel/UCbqRAny2H5vu2o6eFEKw2cw,2026-02-24T21:30:55.295Z,178.0,3.513,3.513
Você já sabia dessas curiosidades sobre system of a down ?,https://www.youtube.com/watch?v=2XKDpknfI-U,Mundo Curioso,https://www.youtube.com/channel/UCrjGXkziH4Et_x-FDuNfcOw,2026-02-24T21:04:11.933Z,58.0,1603.362,58.0
PRESSURE Official Trailer (2026) Brendan Fraser,https://www.youtube.com/watch?v=nDGEWgzcxJ4,ONE Media,https://www.youtube.com/channel/UCzcRQ3vRNr6fJ1A9rqFn7QA,2026-02-24T21:04:02.571Z,156.0,9.362,9.362
New Year's Spark :30 | Ancestry®,https://www.youtube.com/watch?v=Jwl6gjaIXd8,,,2026-02-24T21:04:02.045Z,31.0,0.526,0.526
Rami Malek’s Secret Performance Amazed Everyone,https://www.youtube.com/watch?v=cofeuBa6YoQ,Valathor,https://www.youtube.com/channel/UCO41LQMnEzCFUgGB_QLVPLQ,2026-02-24T20:47:03.121Z,99.0,1018.924,99.0
https://www.youtube.com/watch?v=EkqZBRFm7_A,https://www.youtube.com/watch?v=EkqZBRFm7_A,,,2026-02-24T19:59:46.384Z,,2836.737,2836.737
Freddie Mercury talks about not giving interviews and the false media narrative about him.,https://www.youtube.com/watch?v=IjS7iVMdFnM,Alejandro Basso,https://www.youtube.com/channel/UC-IItFLE7rIImhllDo6Eu9A,2026-02-24T08:30:21.163Z,49.0,41365.221,49.0
Queen - Radio Ga Ga (Live Aid 1985),https://www.youtube.com/watch?v=o-0ygW-B_gI,Live Aid,https://www.youtube.com/channel/UCUAVzSGkkTa-IoMx_x1XK4Q,2026-02-24T08:30:18.026Z,242.0,3.137,3.137
"Freddie Mercury's LAST VIDEO: May 30, 1991 - ""These Are The Days Of Our Lives"" #queen",https://www.youtube.com/watch?v=0Ek2ZInX28o,Death in Entertainment,https://www.youtube.com/channel/UCxw1GUCaZpMTW0jW3EE_p3g,2026-02-24T08:29:33.773Z,60.0,44.253,44.253
Queen - Bohemian Rhapsody (Live Aid 1985),https://www.youtube.com/watch?v=vbvyNnw8Qjg,Live Aid,https://www.youtube.com/channel/UCUAVzSGkkTa-IoMx_x1XK4Q,2026-02-24T08:25:30.584Z,165.0,243.189,165.0
Huggies Eye of the Tiger :15,https://www.youtube.com/watch?v=b7JOLzrGPDw,,,2026-02-24T08:25:25.826Z,16.0,4.758,4.758
🎶🎼How Rami Malek BECAME freddie Mercury 💿🎸,https://www.youtube.com/watch?v=h6UtUCNpLTM,FilmBlink,https://www.youtube.com/channel/UCL5aIbl_yXQ2LtWcyPE06QA,2026-02-24T08:23:15.092Z,57.0,130.734,57.0
Yes... MW2 is Unplayable in 2026,https://www.youtube.com/watch?v=DnVOuJXSgog,habibo,https://www.youtube.com/channel/UCQ6l-bWhGLrQBVf0o_Clc4A,2026-02-24T08:21:27.501Z,139.0,107.591,107.591
Meet Copilot Mode in Edge - Your AI Browser.,https://www.youtube.com/watch?v=U35xeiysKMs,,,2026-02-24T08:21:19.442Z,31.0,8.059,8.059
