title,link,channel,channel_link,date,video_length,time_diff,watch_time
"The April 17, 2026 Tornado Outbreak Coverage, As It Happened...",https://www.youtube.com/watch?v=ZF-dKyEyWbE,"Ryan Hall, Y'all",https://www.youtube.com/channel/UCJHAT3Uvv-g3I8H3GhHWV7w,2026-04-18T04:04:00.461Z,40687.0,,40687.0
Arrows 34关狸猫,https://www.youtube.com/watch?v=OkdtwgrkUvU,,,2026-04-18T04:03:51.813Z,47.0,8.648,8.648
Feet Are Killing Me Dog US 15,https://www.youtube.com/watch?v=UWH5Pa8SeGc,,,2026-04-18T04:03:36.592Z,15.0,15.221,15.0
Shortened: Is iHerb Legit?,https://www.youtube.com/watch?v=ImLOG90czAc,,,2026-04-18T04:03:34.815Z,27.0,1.777,1.777
Shortened: Boost Your Focus in 5 Minutes with Brain.fm | Harness the Power of Neural Phase Locking,https://www.youtube.com/watch?v=9UOIAvG7JuQ,,,2026-04-18T03:37:35.243Z,46.0,1559.572,46.0
Foundayo is Now Approved!,https://www.youtube.com/watch?v=ymCeh07HD6g,,,2026-04-18T03:37:32.384Z,15.0,2.859,2.859
ALP26041002H-SD1LetUsDown15.mp4,https://www.youtube.com/watch?v=knJQ7mnbKcs,,,2026-04-18T03:10:37.713Z,16.0,1614.671,16.0
Sale Alert | Sephora at Kohl’s,https://www.youtube.com/watch?v=aLCoGdlwA_I,,,2026-04-18T03:10:33.101Z,17.0,4.612,4.612
sephora TOFU Spring Savings NA NA 0x0 NA Apr MP4 ENG 2026 15s CTV,https://www.youtube.com/watch?v=tHw1R1ZgaiY,,,2026-04-18T03:10:33.100Z,16.0,0.001,0.001
Star Wars: The Mandalorian and Grogu | In Theaters May 22 | Tickets On Sale Now,https://www.youtube.com/watch?v=BhdCeAKnjDs,,,2026-04-18T01:33:08.297Z,132.0,5844.803,132.0
Domino’s NEW Slice Sauce – Made For Pizza,https://www.youtube.com/watch?v=GQh7ykOx_9o,,,2026-04-18T01:32:27.183Z,16.0,41.114,16.0
Shortened: kr1070451kr_590140_ccs replaitest-batch23-concept984-rec-sim-gp-googleplaynow_vid60_1080x,https://www.youtube.com/watch?v=jP-hEtyI18s,,,2026-04-18T01:32:20.874Z,7.0,6.309,6.309
"Radar, the sound sniffing dog | Chewy commercial",https://www.youtube.com/watch?v=VpH5Z5qNyQs,,,2026-04-17T13:52:25.014Z,31.0,41995.86,31.0
Crafted to Be Worn Every Day.,https://www.youtube.com/watch?v=96PoriW17yQ,,,2026-04-17T13:50:56.822Z,10.0,88.192,10.0
"Always Been Tyson™ | Grilled Strips ""The Hunt"" | :15",https://www.youtube.com/watch?v=d0YgzAwhSc8,,,2026-04-17T12:23:30.318Z,16.0,5246.504,16.0
MOUSE: P.I. For Hire | Official Out Now Trailer,https://www.youtube.com/watch?v=TX8RCkQg3Gw,,,2026-04-17T12:23:30.306Z,62.0,0.012,0.012
DAISY MARC JACOBS,https://www.youtube.com/watch?v=Im6ZW4wv8yQ,,,2026-04-17T12:23:19.738Z,7.0,10.568,7.0
nbc260140_Strawberry Cheesecake Swirl 16 x 9 15 V8,https://www.youtube.com/watch?v=4avlr4h2IPc,,,2026-04-17T12:11:51.469Z,16.0,688.269,16.0
Late Night Food Schererville,https://www.youtube.com/watch?v=Y7fA6Bkegig,,,2026-04-17T12:11:37.700Z,14.0,13.769,13.769
Hilton. For the Stay | Book now,https://www.youtube.com/watch?v=4EnY-xH1TjE,,,2026-04-17T12:11:31.054Z,7.0,6.646,6.646
HOKUM - Strangers :15s - In Theaters May 1,https://www.youtube.com/watch?v=GfzvX820Zjo,,,2026-04-17T12:11:15.361Z,16.0,15.693,15.693
Eucerin Radiant Tone | Texting with My Derm (:15),https://www.youtube.com/watch?v=HW7XXgGg9Dg,,,2026-04-17T12:10:59.639Z,16.0,15.722,15.722
I Ripped the Cheapest vs Most Expensive UPC,https://www.youtube.com/watch?v=u9i_Al-IIP8,Mystic Rips,https://www.youtube.com/channel/UCX75IylzJwhKEAmdieo9osw,2026-04-17T11:54:07.179Z,1338.0,1012.46,1012.46
Pesto Pasta Made Really Philly Good,https://www.youtube.com/watch?v=KWCrM5D06to,,,2026-04-17T11:53:55.701Z,11.0,11.478,11.0
"De Vries is Fighting for Washington, Not Indiana",https://www.youtube.com/watch?v=Pgy_8lzgP74,,,2026-04-17T11:53:48.897Z,7.0,6.804,6.804
https://www.youtube.com/watch?v=gCuFlkVQl0Y,https://www.youtube.com/watch?v=gCuFlkVQl0Y,,,2026-04-17T11:43:01.516Z,,647.381,647.381
The New euphoria elixirs by Calvin Klein,https://www.youtube.com/watch?v=g-s_8OX_fhY,,,2026-04-17T11:42:54.747Z,7.0,6.769,6.769
Make your rental impossible to miss | Booking.com,https://www.youtube.com/watch?v=AbBG0r3UXBk,,,2026-04-17T11:42:38.893Z,16.0,15.854,15.854
