title,link,channel,channel_link,date,video_length,time_diff,watch_time
"Fanfan Reacts to Ludwig & Michael Speaking Chinese on Tip 2 Tip Day 3, She Is Surprized by Ludwig",https://www.youtube.com/watch?v=nkkr7yqFGGU,Ah Jake LOL,https://www.youtube.com/channel/UCBZkQSfFZ49c7epTExJZtVQ,2026-03-29T09:52:21.423Z,1695.0,,1695.0
Thank you to everyone who told me to check!,https://www.youtube.com/watch?v=sdaHl6u6l_0,TayBrice,https://www.youtube.com/channel/UCxrofKp7U4uw1WrvzvY08Bw,2026-03-29T09:50:47.534Z,91.0,93.889,91.0
My Landlord Better Like What I Did to My Bedroom. (PART 2),https://www.youtube.com/watch?v=kGBdXN-7xgs,Caroline Winkler,https://www.youtube.com/channel/UC8JOgFXp-I3YV6dsKqqQdUw,2026-03-29T09:49:55.362Z,2616.0,52.172,52.172
we found a shortcut through China,https://www.youtube.com/watch?v=LFe7wewoZvU,Ludwig,https://www.youtube.com/channel/UCrPseYLGpNygVi34QpGNqpA,2026-03-29T09:15:44.411Z,1565.0,2050.951,1565.0
Frameless Door Adjustment,https://www.youtube.com/watch?v=plNo98whXJs,Shower Door Help (ShowerDoorHelp.com),https://www.youtube.com/channel/UC8ZzjPXz4kPvuazaDAhY6eA,2026-03-29T07:21:51.246Z,316.0,6833.165,316.0
Hinge Pin Rotation,https://www.youtube.com/watch?v=dyGouG9qPuU,C.R. Laurence Co.,https://www.youtube.com/channel/UCogp3EcCQZY3XqZrdLoxedA,2026-03-29T07:20:13.239Z,134.0,98.007,98.007
this entryway makeover gets weirder and weirder...(Ep 2),https://www.youtube.com/watch?v=3Bdyu9KTK-Q,DIY In Progress ,https://www.youtube.com/channel/UCiBD-BpwTooWML8IJZ609sg,2026-03-29T07:13:17.944Z,2702.0,415.295,415.295
FIRST ROOM MAKEOVER IN OUR NEW HOUSE + Costco Shopping!!,https://www.youtube.com/watch?v=WOaKlSDrv6g,RemLife,https://www.youtube.com/channel/UCXLnGIevWGWK2dPDcvM5-CA,2026-03-29T04:38:58.742Z,2298.0,9259.202,2298.0
making my best friend press on nails for her movie premiere 🎬,https://www.youtube.com/watch?v=fUJ0qxXrjE8,Mini Ami,https://www.youtube.com/channel/UCGo56xWjzKGvf0v8MkjBcNA,2026-03-29T04:26:25.380Z,1195.0,753.362,753.362
How to Repair Flickering LED light,https://www.youtube.com/watch?v=p1kKjzIeZ4w,Siquell Electronics,https://www.youtube.com/channel/UCq4NRFCDa5yZOR_3gfQsq3g,2026-03-29T03:38:11.048Z,223.0,2894.332,223.0
making my best friend press on nails for her movie premiere 🎬,https://www.youtube.com/watch?v=fUJ0qxXrjE8,Mini Ami,https://www.youtube.com/channel/UCGo56xWjzKGvf0v8MkjBcNA,2026-03-28T22:32:16.290Z,1195.0,18354.758,1195.0
MY DREAM KITCHEN RENOVATION + OFFICIAL TOUR!! 🏡,https://www.youtube.com/watch?v=iTjA78tQ-qc,AlishaMarie,https://www.youtube.com/channel/UCSReacwdlGHHyTIyuROhVdQ,2026-03-28T22:04:42.927Z,1438.0,1653.363,1438.0
we found a shortcut through China,https://www.youtube.com/watch?v=LFe7wewoZvU,Ludwig,https://www.youtube.com/channel/UCrPseYLGpNygVi34QpGNqpA,2026-03-28T21:50:39.444Z,1565.0,843.483,843.483
"Fanfan Reacts to Ludwig & Michael Speaking Chinese on Tip 2 Tip Day 2, She Notices Something Wild",https://www.youtube.com/watch?v=VorYy-NXeWQ,Ah Jake LOL,https://www.youtube.com/channel/UCBZkQSfFZ49c7epTExJZtVQ,2026-03-28T07:33:48.361Z,2297.0,51411.083,2297.0
Decorating the New Kitchen + Deep Cleaning My Bathroom!! 🏡,https://www.youtube.com/watch?v=73ET52_YDAo,AlishaMarieVlogs,https://www.youtube.com/channel/UCF1Q_zp3Eh3nuEHvMbdKkqg,2026-03-28T05:13:18.656Z,1192.0,8429.705,1192.0
I tried recreating the *most popular* IRL FLOORPLAN in The Sims,https://www.youtube.com/watch?v=fmyt_uy001c,lilsimsie,https://www.youtube.com/channel/UC_TYFButglZuuDbD-0Q_IzQ,2026-03-27T20:59:23.678Z,2012.0,29634.978,2012.0
we adopted Chinese kids,https://www.youtube.com/watch?v=u8kj5uwfbUE,Ludwig,https://www.youtube.com/channel/UCrPseYLGpNygVi34QpGNqpA,2026-03-27T18:36:59.033Z,2197.0,8544.645,2197.0
레이디두아 가방 직접 만들어봤습니다,https://www.youtube.com/watch?v=W_rMsYDO2Gw,HAHNS ATELIER,https://www.youtube.com/channel/UCJYSHaxWbDhYgh-PH0nashw,2026-03-27T03:42:36.235Z,640.0,53662.798,640.0
First vs. Last Episode | Gossip Girl,https://www.youtube.com/watch?v=NGdd4lB6Oko,Warner Bros. TV,https://www.youtube.com/channel/UCS1MgGMoPaagPOzV1EHknhw,2026-03-27T03:39:07.812Z,407.0,208.423,208.423
Cardi B Tries The Spicy Korean Tuna Trend,https://www.youtube.com/watch?v=knoIg3zZMB0,Reality Star Gossips,https://www.youtube.com/channel/UCxYJEf6lg2lr96djcOi-4iw,2026-03-27T03:38:32.053Z,52.0,35.759,35.759
https://www.youtube.com/watch?v=JdZMe9e8SZ8,https://www.youtube.com/watch?v=JdZMe9e8SZ8,,,2026-03-27T03:37:04.041Z,,88.012,88.012
"Miley Cyrus - Younger You (From the ""Hannah Montana 20th Anniversary Special"")",https://www.youtube.com/watch?v=lnwUQQaDOsM,DisneyMusicVEVO,https://www.youtube.com/channel/UCgwv23FVv3lqh567yagXfNg,2026-03-27T03:36:06.569Z,202.0,57.472,57.472
What my mom bought at the Korean grocery store (Hmart) #korean #koreanfood #groceryshopping #haul,https://www.youtube.com/watch?v=AYCn6lCQ9ss,mymomlily,https://www.youtube.com/channel/UCSM9tKbo8BEQHnVz0j5qYsg,2026-03-27T03:35:11.842Z,165.0,54.727,54.727
Ilia 'QUAD GOD' Malinin STOMPS personal best short program at figure skating worlds | NBC Sports,https://www.youtube.com/watch?v=M9vehBWhQp0,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-03-27T03:10:41.193Z,409.0,1470.649,409.0
Kaori Sakamoto brings fans to tears with short program at figure skating worlds | NBC Sports,https://www.youtube.com/watch?v=M24Ubv-lGVc,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-03-27T03:10:23.736Z,372.0,17.457,17.457
