title,link,channel,channel_link,date,video_length,time_diff,watch_time
Why the Universe Makes It IMPOSSIBLE For Any Two Civilizations to Ever Meet,https://www.youtube.com/watch?v=MlyEnsUhySU,Sleep On Science,https://www.youtube.com/channel/UC-TjVEuwB5EwpA4k8XQulag,2026-03-08T08:00:31.573Z,6998.0,,6998.0
"Bite, Unite (Baby :15)",https://www.youtube.com/watch?v=j0WueEnuKUc,,,2026-03-08T08:00:08.032Z,16.0,23.541,16.0
Why Stipe Miocic Gears Up at GOVX.com,https://www.youtube.com/watch?v=H4AA3q59igQ,,,2026-03-08T07:59:51.671Z,16.0,16.361,16.0
Hardee's | Frisco Breakfast Burger | $3.99,https://www.youtube.com/watch?v=fFnjLq8hpcQ,,,2026-03-08T07:45:03.061Z,16.0,888.61,16.0
Bachelor Mansion Takeover All New Tomorrow at 8pm on HGTV,https://www.youtube.com/watch?v=7sjnuxlpov4,,,2026-03-08T07:33:47.643Z,16.0,675.418,16.0
Climb Higher | Topstep,https://www.youtube.com/watch?v=kPxKgdm8kJY,,,2026-03-08T07:17:14.354Z,16.0,993.289,16.0
Dermalogica Skin Treatment Expertise,https://www.youtube.com/watch?v=gc7iCoAq8bQ,,,2026-03-08T07:16:57.963Z,16.0,16.391,16.0
POTBELLYXCHANCE 6SEC V1,https://www.youtube.com/watch?v=APbPlHb5Cug,,,2026-03-08T07:16:50.545Z,7.0,7.418,7.0
MIAV5116200H 2025 Aleve Will 06 V2 OLV 16x9,https://www.youtube.com/watch?v=efPQ8vKJtMU,,,2026-03-08T07:16:43.384Z,7.0,7.161,7.0
"IRAN WAR DAY 8: TRUMP SAYS IRAN WILL BE ""HIT VERY HARD""!",https://www.youtube.com/watch?v=gcLxfoOwGK8,ILTV Israel News,https://www.youtube.com/channel/UCuxgEyMeaks7HS5gAw6Tt7w,2026-03-08T07:02:29.230Z,3349.0,854.154,854.154
DTF St Louis | HBO Max,https://www.youtube.com/watch?v=cXD22tG3ivs,,,2026-03-08T07:02:12.028Z,16.0,17.202,16.0
Reach - Coffee Shop 6s Horizontal,https://www.youtube.com/watch?v=UNuRPxxw0Lg,,,2026-03-08T07:02:04.052Z,7.0,7.976,7.0
Cleveland Clinic Heart Care,https://www.youtube.com/watch?v=Yeg4J5-rz9w,,,2026-03-08T07:01:46.558Z,16.0,17.494,16.0
"Iran, Israel and The Big War | Four Corners",https://www.youtube.com/watch?v=oSsjH0zWKe8,ABC News In-depth,https://www.youtube.com/channel/UCxcrzzhQDj5zKJbXfIscCtg,2026-03-08T06:15:00.367Z,2789.0,2806.191,2789.0
MARC 3711 BeenVerified PMax Explainer Video   ways to use   With VO 16x9,https://www.youtube.com/watch?v=Pzpa7n4_HJ4,,,2026-03-08T06:14:28.899Z,30.0,31.468,30.0
RS SELF D126 MultiproductStarterPack IN1A BODY2 rent first SLFFkq4w33c0c2xwqx7nl1f0,https://www.youtube.com/watch?v=ljVfOVC4Z0w,,,2026-03-08T06:13:44.105Z,44.0,44.794,44.0
