title,link,channel,channel_link,date,video_length,time_diff,watch_time
It’s a beautiful life…,https://www.youtube.com/watch?v=RvOmL3FTn9I,UncleJhonn,https://www.youtube.com/channel/UCclxm0FKyggKZhP5TWj8Wtg,2026-02-28T03:15:24.438Z,97.0,,97.0
#influencer #pr #unboxing #funny #ariisaysso #trending #comedy #youtubeshorts #shortsfeed #shorts,https://www.youtube.com/watch?v=Y_lDkbDvu-w,ARI 🤍,https://www.youtube.com/channel/UChFDQSHmn56l6JheOv0Qs3Q,2026-02-28T02:11:43.828Z,59.0,3820.61,59.0
What I make my wife when she’s mad….. but did it even matter!? #dinner #wife #cooking,https://www.youtube.com/watch?v=CyIY1_IIM0k,Jose.elcook,https://www.youtube.com/channel/UCXvCI4YnkGhGV8ei4vE9h4A,2026-02-28T02:01:58.596Z,70.0,585.232,70.0
Western Half and Half Cake 🐴💜✨🩵  #cake #cakedecorating,https://www.youtube.com/watch?v=eVl36Znr6_4,Savannah Moroder,https://www.youtube.com/channel/UCQWEsFHEYXExYewHWySFeWQ,2026-02-28T02:01:57.472Z,123.0,1.124,1.124
Day 37: fixing traffic in NYC,https://www.youtube.com/watch?v=U7xFDpTfrI0,sweet p,https://www.youtube.com/channel/UC9VmKomyy8UCYwtzZ8_H4ug,2026-02-28T02:01:53.888Z,29.0,3.584,3.584
Restocking our Little Free Pantry in rural Vermont. #littlefreepantry #vermont #community #christian,https://www.youtube.com/watch?v=gkSIlnD3bbY,Krista Gay,https://www.youtube.com/channel/UCk6Fipc3Ym1qINHntnj-6Yg,2026-02-28T02:01:50.230Z,180.0,3.658,3.658
"Bro accidentally emailed 40,000 people 😭",https://www.youtube.com/watch?v=SLLMV6t6f_U,John Casterline,https://www.youtube.com/channel/UCE7spuKzxP1k8A-XucxxUAQ,2026-02-28T02:01:40.324Z,37.0,9.906,9.906
"How this $3,000 dollar cleaning almost failed because of one piece of wood…",https://www.youtube.com/watch?v=cAITmfnZL7I,Edge Cleaning Clips,https://www.youtube.com/channel/UCyL2NyZ-pE-1iNT-wvA4GKg,2026-02-28T02:01:37.766Z,88.0,2.558,2.558
GB VID 0725 PrimeDayProductDemo10off ValueFocus Unboxing VC1 US 9x16 34s 4Price IH GB001404 V3,https://www.youtube.com/watch?v=8a4kpv0iaSI,,,2026-02-28T02:01:35.975Z,35.0,1.791,1.791
The Duality of Man 😭,https://www.youtube.com/watch?v=0Fez8iakxnE,John Casterline,https://www.youtube.com/channel/UCE7spuKzxP1k8A-XucxxUAQ,2026-02-28T02:01:35.634Z,35.0,0.341,0.341
Spend the day with us ♥️,https://www.youtube.com/watch?v=MvVc5GdWkFQ,Butler Family Functions,https://www.youtube.com/channel/UCeSz_wKLNl4ez9hEPo2BKhg,2026-02-28T02:00:19.946Z,76.0,75.688,75.688
DCD-The-3963| Hulu,https://www.youtube.com/watch?v=ZloftAUAVKs,,,2026-02-28T02:00:16.164Z,16.0,3.782,3.782
Why would Bill Gates do this?,https://www.youtube.com/watch?v=uULlypPdZkc,Josh Johnson,https://www.youtube.com/channel/UCLuYADJ6hESLHX87JnsGbjA,2026-02-28T01:59:58.345Z,70.0,17.819,17.819
Meet NEW Neutrogena® Evenly Clear,https://www.youtube.com/watch?v=563zVLnt0bo,,,2026-02-28T01:59:56.643Z,14.0,1.702,1.702
Drinks that failed - olive oil coffee,https://www.youtube.com/watch?v=acQJZziBV3U,Ethan Rode,https://www.youtube.com/channel/UCjKPzbwB6KnWBc5aX1EandA,2026-02-28T01:59:26.265Z,41.0,30.378,30.378
Olympics Forces Haiti To Remove Image Of Founding Father #funfact,https://www.youtube.com/watch?v=rCstHOHFLWA,Doug Sharpe,https://www.youtube.com/channel/UCAYmlecATSG0wc5IxsFJSbQ,2026-02-28T01:59:23.859Z,77.0,2.406,2.406
Safe travels pal 🪂 #samalkhatib #comfort #travel,https://www.youtube.com/watch?v=Qy0AY47ceSE,Sam Alkhatib,https://www.youtube.com/channel/UCif9G_84fGN9BEc8ju3nUhg,2026-02-28T01:59:21.656Z,29.0,2.203,2.203
Showing My Favorite Keystone Powder Run to My Friends,https://www.youtube.com/watch?v=LQGmINX1auY,Johnathan Buckhouse,https://www.youtube.com/channel/UC_i8SQjQOrPUpD3tpjMEuAw,2026-02-28T01:59:20.539Z,85.0,1.117,1.117
Superfish (VEcut #01 - ep14VE) | WEBTOON,https://www.youtube.com/watch?v=Zjm6QknmYSM,,,2026-02-28T01:59:16.828Z,36.0,3.711,3.711
Learning how to eat a Jamaican patty correctly,https://www.youtube.com/watch?v=wHCAInxTgcw,twogluttons,https://www.youtube.com/channel/UCBaXa7KH6YQaHLlKHEVLtqg,2026-02-28T01:59:12.251Z,34.0,4.577,4.577
US 251229 YYT 04 FMAL KOL DiaR Lcc ZYY 9 16 vid CP chat YZDD 16s Normal,https://www.youtube.com/watch?v=mVVjm8L4D3U,,,2026-02-28T01:59:10.707Z,,1.544,1.544
It was supposed to be a secret 😭,https://www.youtube.com/watch?v=zLVnf_AVMPw,John Casterline,https://www.youtube.com/channel/UCE7spuKzxP1k8A-XucxxUAQ,2026-02-28T01:58:54.905Z,23.0,15.802,15.802
https://www.youtube.com/watch?v=BeXrB6NLqVY,https://www.youtube.com/watch?v=BeXrB6NLqVY,,,2026-02-28T01:43:03.412Z,,951.493,951.493
3 Things I Didn't Know Before Working On A Cruise Ship,https://www.youtube.com/watch?v=7BJji_KIg8g,Bryan James,https://www.youtube.com/channel/UCjnkpT0Tag2t9SsyMhheB3Q,2026-02-28T01:42:53.715Z,70.0,9.697,9.697
Allstate Check First Wave,https://www.youtube.com/watch?v=Og6MZ597k18,,,2026-02-28T01:42:52.296Z,16.0,1.419,1.419
Offline Vacuum Robot,https://www.youtube.com/watch?v=gXXX5LhZFR8,UFD Tech,https://www.youtube.com/channel/UC4Z8mPYjn6Dhr6n531YDh0Q,2026-02-28T01:40:32.183Z,58.0,140.113,58.0
But so quick to feed their man😭 #ariisaysso,https://www.youtube.com/watch?v=-JMHFurAz9A,ARI 🤍,https://www.youtube.com/channel/UChFDQSHmn56l6JheOv0Qs3Q,2026-02-28T01:38:36.464Z,91.0,115.719,91.0
"This winter, help skin bounce back with the all-new Hyalu B5 Suractivated Cream 💧",https://www.youtube.com/watch?v=V8w6gXqhFzk,,,2026-02-28T01:38:34.230Z,30.0,2.234,2.234
Giving your toddler medicine be like... 🤣 (🎥: Collab),https://www.youtube.com/watch?v=cnhOOyYfMfg,LADbible Shorts,https://www.youtube.com/channel/UCflpy-GNxlahbdRdN5CRUsA,2026-02-28T01:38:25.489Z,14.0,8.741,8.741
