title,link,channel,channel_link,date,video_length,time_diff,watch_time
"I Bought a Locked Up 2013 Yamaha YZ450F for $1,000",https://www.youtube.com/watch?v=PDhCacEKXHA,Kincade Pavich,https://www.youtube.com/channel/UCLTFW8agX1kMdjZd1zeWhnw,2026-02-28T01:24:16.298Z,1255.0,,1255.0
I built a patio with bricks from my house – the hard way,https://www.youtube.com/watch?v=0fROyhVZZGY,Müjin,https://www.youtube.com/channel/UCbHjx1o7A8eeGqQjPbfsWGA,2026-02-28T01:23:10.614Z,1211.0,65.684,65.684
I did it for the Dough,https://www.youtube.com/watch?v=WNIHtNP2WZ8,Inheritance Machining,https://www.youtube.com/channel/UCVI8Mfisni3GaobL1e2JOIQ,2026-02-28T01:08:07.839Z,976.0,902.775,902.775
Stalker Teacher Realizes Cops Found The GPS Tracker,https://www.youtube.com/watch?v=uEqAVVk9WLc,ArrestFlix,https://www.youtube.com/channel/UCqqxsLlUJVkvN6NcL8-umcg,2026-02-27T23:53:50.158Z,867.0,4457.681,867.0
This Kid Beat the Pros for Millions...Starting with Just $30,https://www.youtube.com/watch?v=bv8Kxz2QNG4,Royal Flush Media,https://www.youtube.com/channel/UC0pTCfxl7nr40-PQipB3VrA,2026-02-27T23:42:06.689Z,922.0,703.469,703.469
I Did a 7 DAY FAST - at a Thailand Retreat 🇹🇭,https://www.youtube.com/watch?v=wd0U57c1EKk,Laura Try,https://www.youtube.com/channel/UCLm7wFMcJzcx6hjTuJ_VJfw,2026-02-27T23:37:31.935Z,1981.0,274.754,274.754
Customer Was NOT Happy with $600 Detail 😡 #detailing,https://www.youtube.com/watch?v=kGIR_Z5Q4yo,Detail Groove,https://www.youtube.com/channel/UCOzxaAZsqfXA9a3p0nosGZQ,2026-02-27T23:36:34.689Z,60.0,57.246,57.246
Random funniest harmless prank🤣#prank #harmlessprank #funnyvideos #fyp #usaus,https://www.youtube.com/watch?v=Ax-f5dG9ycU,usaddfd,https://www.youtube.com/channel/UCYuPJz2ZuJjzbTcaajFID0w,2026-02-27T23:35:20.549Z,60.0,74.14,60.0
Unforgettable Oscar comedy moments #celebrity #funny #funnyshorts #comedy #funnyvideos #oscars,https://www.youtube.com/watch?v=0iEuBD-veDM,Fanah Remhad,https://www.youtube.com/channel/UC9RVN6FhzVxAq42PT3bDdsQ,2026-02-27T23:34:18.855Z,58.0,61.694,58.0
Joe Bonamassa Handed Me the Keys to His INSANE Guitar Rig,https://www.youtube.com/watch?v=Hy5OvYM4qfs,Music is Win,https://www.youtube.com/channel/UCshiNtfJ7Dj3nlh41a6M-kg,2026-02-27T23:29:36.165Z,1974.0,282.69,282.69
Didn’t Expect to Find This on a Gravel Road 😳,https://www.youtube.com/watch?v=OjX-_cTX59g,Sheldyn Ryder,https://www.youtube.com/channel/UCO3Q7h_vhlZt-BmNLEVJrBw,2026-02-27T23:26:25.610Z,135.0,190.555,135.0
The moment his back finally released,https://www.youtube.com/watch?v=2JTAWD6DqWM,Chiro Core,https://www.youtube.com/channel/UC3lH51N1yWo2dDJgsug1Gjw,2026-02-27T23:26:11.597Z,137.0,14.013,14.013
how to remove oxygen sensor,https://www.youtube.com/watch?v=ramrqDrDK8c,"Sam,s Car,s",https://www.youtube.com/channel/UCH02tMKeECnB6znjxgstQrg,2026-02-27T23:24:50.667Z,76.0,80.93,76.0
Foster Can't Stop Sleeping Once She's Safe —Until “Guppy Mode” Activated | The Dodo,https://www.youtube.com/watch?v=-s37XW-7Jq8,The Dodo,https://www.youtube.com/channel/UCINb0wqPz-A0dV9nARjJlOQ,2026-02-27T23:21:51.875Z,107.0,178.792,107.0
I knew he looked familiar…  (Top videos of 2025. No #5.),https://www.youtube.com/watch?v=jQ5tbUzRPDQ,Luke Kidgell,https://www.youtube.com/channel/UCcKvm2VL8xTInRggo8A3alA,2026-02-27T23:18:54.919Z,180.0,176.956,176.956
PS5 cutting off mid-game. Only comes back after unplugging it from the wall. 🎮⚡,https://www.youtube.com/watch?v=csKZkwM0vlI,iFlex,https://www.youtube.com/channel/UCbyx39XyXzCLOPJp6GOsDbA,2026-02-27T16:46:51.449Z,152.0,23523.47,152.0
AN EXPLOSIVE BLOCKED DRAIN,https://www.youtube.com/watch?v=g_youdUYJpA,Drain Cleaning AUSTRALIA,https://www.youtube.com/channel/UC7sGXeJOixPBgJ3r5R55JYg,2026-02-27T16:42:27.329Z,60.0,264.12,60.0
Is This Shoe So Good It's Cheating?,https://www.youtube.com/watch?v=gXrDqxcj4oo,Cleo Abram,https://www.youtube.com/channel/UC415bOPUcGSamy543abLmRA,2026-02-27T16:41:44.668Z,57.0,42.661,42.661
"Her ceilings were flooding, so she called me",https://www.youtube.com/watch?v=_gDqyDMF9Bs,Drain Cleaning AUSTRALIA,https://www.youtube.com/channel/UC7sGXeJOixPBgJ3r5R55JYg,2026-02-27T16:38:25.204Z,580.0,199.464,199.464
