title,link,channel,channel_link,date,video_length,time_diff,watch_time
"Sleep Theory - ""Stuck In My Head"" (Official Music Video)",https://www.youtube.com/watch?v=Nyuim0lH_Go,Sleep Theory,https://www.youtube.com/channel/UCSydB_KMpwqlfGZL7C5X-6g,2026-03-28T18:21:39.028Z,198.0,,198.0
"Sleep Theory - ""Numb"" (Official Music Video)",https://www.youtube.com/watch?v=F7s9gFaWpUM,Sleep Theory,https://www.youtube.com/channel/UCSydB_KMpwqlfGZL7C5X-6g,2026-03-28T18:17:38.928Z,217.0,240.1,217.0
"Falling In Reverse - ""Watch The World Burn""",https://www.youtube.com/watch?v=qMXESlny4-I,Epitaph Records,https://www.youtube.com/channel/UCDE5Ezmxq1bNVak4lmkpCMw,2026-03-28T18:14:07.039Z,204.0,211.889,204.0
"Falling In Reverse - ""Last Resort (Reimagined)""",https://www.youtube.com/watch?v=ESOjt2_yJrU,Epitaph Records,https://www.youtube.com/channel/UCDE5Ezmxq1bNVak4lmkpCMw,2026-03-28T18:14:03.015Z,290.0,4.024,4.024
Point North ft. The Ghost Inside - Safe And Sound,https://www.youtube.com/watch?v=dIGP8hMMDGc,Point North,https://www.youtube.com/channel/UCrGSMh8uHS3neieBbhQugKA,2026-03-28T18:10:31.591Z,203.0,211.424,203.0
Point North - Bring Me Down (Lyric Video),https://www.youtube.com/watch?v=8nQhDOtOu4Q,Point North,https://www.youtube.com/channel/UCrGSMh8uHS3neieBbhQugKA,2026-03-28T18:06:37.282Z,234.0,234.309,234.0
OneRepublic - Counting Stars,https://www.youtube.com/watch?v=hT_nvWreIhg,OneRepublicVEVO,https://www.youtube.com/channel/UCQ5kHOKpF3-1_UCKaqXARRg,2026-03-28T18:06:07.513Z,284.0,29.769,29.769
YUNGBLUD - Zombie (Live From Hansa Studios),https://www.youtube.com/watch?v=3tlzF2jtzEU,YUNGBLUDVEVO,https://www.youtube.com/channel/UC5UPzrHY7vVjx_CvzAS90Ew,2026-03-28T18:01:38.481Z,260.0,269.032,260.0
Justin Bieber Grammy 2026 Auftritt,https://www.youtube.com/watch?v=FK8uePYOqTM,Tobelix,https://www.youtube.com/channel/UCfUpf4hUST245X3EKIB9-RA,2026-03-28T17:56:48.284Z,,290.197,290.197
Justin Bieber - Yukon (Live Grammy 2026)(Audience view),https://www.youtube.com/watch?v=y0Jbn_zH2E4,BIEBER TV,https://www.youtube.com/channel/UCVqZgaKoSGwSVnoEkMm0Ljg,2026-03-28T17:54:44.448Z,,123.836,123.836
Justin Bieber - YUKON (Live at The GRAMMYS 2026) (Audio),https://www.youtube.com/watch?v=sXeqQ4arr4c,dannyy,https://www.youtube.com/channel/UCqCdiSdyvcppEEoPJw34qxw,2026-03-28T17:47:05.907Z,272.0,458.541,272.0
Ryan Perdz - Sour (Visualizer),https://www.youtube.com/watch?v=ayVVlOfslik,RyanPerdzVEVO,https://www.youtube.com/channel/UCpggNThtnS0XbXZPJ_ZwwXw,2026-03-28T02:21:13.183Z,270.0,55552.724,270.0
"Retired Marine officer says Mideast deployments will give U.S. ""deterrence and flexibility options""",https://www.youtube.com/watch?v=S8a_LuvC5Vo,CBS News,https://www.youtube.com/channel/UC8p1vwvWtl6T73JiExfWs1g,2026-03-27T22:15:31.816Z,258.0,14741.367,258.0
Iran’s IRGC claims it hit US F-18 jet as ‘new air defence system’ emerges,https://www.youtube.com/watch?v=NCZmVi6AaJw,Al Jazeera English,https://www.youtube.com/channel/UCNye-wNBqNL5ZzHSJj3l8Bg,2026-03-27T07:45:44.491Z,165.0,52187.325,165.0
SPACEBALLS 2 Official Teaser Trailer (2027),https://www.youtube.com/watch?v=iXBLxUWwoMY,KinoCheck.com,https://www.youtube.com/channel/UCLRlryMfL8ffxzrtqv0_k_w,2026-03-27T00:58:01.226Z,121.0,24463.265,121.0
Spongebob Squarepants - Squidward's Toilet Dies,https://www.youtube.com/watch?v=zJL916mL680,AreaEightyNine,https://www.youtube.com/channel/UCW_SKBwR1TMaclnvDfkezwQ,2026-03-27T00:57:31.383Z,21.0,29.843,21.0
There Goes My Hero | Varsity Blues Final Moments (4K),https://www.youtube.com/watch?v=Qlz3RzsRxwo,Loving The 90's,https://www.youtube.com/channel/UCfbwNBSw4SgXkfepLyqW8-Q,2026-03-26T04:22:51.502Z,544.0,74079.881,544.0
Leave No Doubt,https://www.youtube.com/watch?v=i8vXroMMGdM,Dorsia Atkinson,https://www.youtube.com/channel/UCIbPdPwXBsiPtfCVPxdGuYA,2026-03-26T04:19:27.642Z,200.0,203.86,200.0
Al Pacino's Incredible Locker Room Pep Talk [CLIP] | Any Given Sunday | TNT,https://www.youtube.com/watch?v=isr4-tsfhsg,TNT,https://www.youtube.com/channel/UC1DZpQ2DDExws9Zvl7UcSkg,2026-03-26T04:15:02.292Z,284.0,265.35,265.35
Energy drinks: Are they good for you? [AHTHE],https://www.youtube.com/watch?v=ZVjEqRpCNcg,The Health Institute,https://www.youtube.com/channel/UCLC1s8_53cTTJYGr0-z-LMA,2026-03-25T06:55:11.457Z,144.0,76790.835,144.0
Beetlejuice Waiting Room,https://www.youtube.com/watch?v=_ogoh0xM6sw,nmr85,https://www.youtube.com/channel/UCDPWyOsXxZkgOUd8fgOHiXQ,2026-03-21T22:37:29.501Z,28.0,289061.956,28.0
Revista Mercado - Mercado For Rent,https://www.youtube.com/watch?v=h0_wjirZ52k,Stefano L,https://www.youtube.com/channel/UCc7m26e9T-slLjLD7R3YQ5Q,2026-03-21T20:42:14.442Z,71.0,6915.059,71.0
Nickelback - Bones For The Crows (Official Visualizer),https://www.youtube.com/watch?v=sGD3w3GI8_A,Nickelback,https://www.youtube.com/channel/UCz8FPpkJMwayyReSDLTX8IQ,2026-03-21T03:30:44.392Z,245.0,61890.05,245.0
Seether - Into The Ground (Official Audio),https://www.youtube.com/watch?v=6zW8-EvtdB8,Seether,https://www.youtube.com/channel/UC0lhr4dvpfKJ0C3TPFXu3ww,2026-03-21T03:29:23.677Z,260.0,80.715,80.715
Motionless In White - Somebody Told Me,https://www.youtube.com/watch?v=RYazu20DUzc,Motionless In White,https://www.youtube.com/channel/UC5MWh1k90KULpPOeXAzoIZA,2026-03-21T03:28:23.287Z,200.0,60.39,60.39
YUNGBLUD - Zombie (Acoustic),https://www.youtube.com/watch?v=QiHDqw4q96c,YUNGBLUDVEVO,https://www.youtube.com/channel/UC5UPzrHY7vVjx_CvzAS90Ew,2026-03-21T03:22:59.038Z,260.0,324.249,260.0
Motionless In White - Masterpiece (Lyrics),https://www.youtube.com/watch?v=zH8K_FGFxsE,Arminium  Music ,https://www.youtube.com/channel/UCGGk-oF9sCi_7pfQX8njtqA,2026-03-21T03:20:07.892Z,212.0,171.146,171.146
Motionless In White - Afraid of the Dark [Official Video],https://www.youtube.com/watch?v=jolaO2Z6xCM,Motionless In White,https://www.youtube.com/channel/UC5MWh1k90KULpPOeXAzoIZA,2026-03-21T03:15:15.092Z,277.0,292.8,277.0
Catch Your Breath - Blood Money (Official Music Video),https://www.youtube.com/watch?v=KicT0FLw3f8,Thriller Records,https://www.youtube.com/channel/UCVaf7zeM1URZNRZCs-5V5Iw,2026-03-21T03:12:42.857Z,207.0,152.235,152.235
I Fall Apart,https://www.youtube.com/watch?v=nqfVoTMEosw,Post Malone - Topic,https://www.youtube.com/channel/UCyD3XWRK9ko-izf2nBSFitw,2026-03-21T03:10:56.687Z,224.0,106.17,106.17
Celebrities reaction to Justin Bieber VMAs performance,https://www.youtube.com/watch?v=JITRGvo1ntk,MrAvrilem,https://www.youtube.com/channel/UCtn-KW9ayEPfrAQyK8aZvtw,2026-03-21T03:10:16.307Z,45.0,40.38,40.38
Post Malone - I Fall Apart [Live 4K],https://www.youtube.com/watch?v=v-GdDkWl_U4,Toshi Aizawa,https://www.youtube.com/channel/UCeZYdPsOgCEcN07BnUB6zKA,2026-03-21T03:09:30.298Z,244.0,46.009,46.009
Post Malone - I FALL APART (Live) 4K,https://www.youtube.com/watch?v=OMytrGCX-R4,FirstRowConcert,https://www.youtube.com/channel/UC0bsH-ys7umYQYyEDXM-wxg,2026-03-21T03:08:28.677Z,224.0,61.621,61.621
