title,link,channel,channel_link,date,video_length,time_diff,watch_time
We Have To Ban Hacking In Fall Guys,https://www.youtube.com/watch?v=vvrvf-rkkhk,MoreCaseOh,https://www.youtube.com/channel/UCr1kbyiJzl-x5YYDxhYJuPw,2026-04-14T09:23:01.345Z,8815.0,,8815.0
Trying To Escape The Jungle In Peak,https://www.youtube.com/watch?v=QWI4DzyTydg,MoreCaseOh,https://www.youtube.com/channel/UCr1kbyiJzl-x5YYDxhYJuPw,2026-04-14T06:29:55.200Z,10384.0,10386.145,10384.0
Know it all with IWant,https://www.youtube.com/watch?v=SlRiAJOP7oU,,,2026-04-14T06:29:37.431Z,16.0,17.769,16.0
"Pepsi Wild Cherry and Cream, Treat Yourself",https://www.youtube.com/watch?v=ih3136q_xEg,,,2026-04-14T06:29:30.279Z,,7.152,7.152
ct~CBC f~LAVideo pn~ISS cn~BRBR v~15s pr~CAC h~QCR vp~CST s~16x9,https://www.youtube.com/watch?v=sYEzBHQi6QE,,,2026-04-14T06:03:40.304Z,16.0,1549.975,16.0
Smart Job Rev 2 FMFS2288100H​ 30s,https://www.youtube.com/watch?v=ZBed6FkKyPg,,,2026-04-14T06:03:09.007Z,31.0,31.297,31.0
Sensitive Teeth? Try NEW Sensodyne Clinical Repair,https://www.youtube.com/watch?v=yJHzdyfeH6g,,,2026-04-14T06:03:01.676Z,7.0,7.331,7.0
NERDS Gummy Clusters | Climb :06s,https://www.youtube.com/watch?v=3P18ApO4RxY,,,2026-04-14T06:02:54.554Z,7.0,7.122,7.0
Judge CaseOh Is BACK On The Stand,https://www.youtube.com/watch?v=MTNOqEyplYY,MoreCaseOh,https://www.youtube.com/channel/UCr1kbyiJzl-x5YYDxhYJuPw,2026-04-14T05:36:14.392Z,3135.0,1600.162,1600.162
Scentiva Cherry Blossom Disinfecting Wipes,https://www.youtube.com/watch?v=8XLn2w2J3cA,,,2026-04-14T05:36:06.089Z,7.0,8.303,7.0
"Introducing: Gatorade Lower Sugar. No artificial flavors, sweeteners, or colors.",https://www.youtube.com/watch?v=qtHbkb9koFE,,,2026-04-14T05:35:49.883Z,16.0,16.206,16.0
Countdown,https://www.youtube.com/watch?v=zvo-UKEHCxI,,,2026-04-14T05:26:54.385Z,16.0,535.498,16.0
Video Ad,https://www.youtube.com/watch?v=FSXOSWT68lI,,,2026-04-14T05:26:38.194Z,16.0,16.191,16.0
