title,link,channel,channel_link,date,video_length,time_diff,watch_time
Mom Usenourish com,https://www.youtube.com/watch?v=G27llkq1CoE,,,2026-01-30T01:16:28.117Z,31.0,,31.0
The Drop_New Q1 '26_:30s,https://www.youtube.com/watch?v=LUasvu97t28,,,2026-01-30T01:16:15.709Z,30.0,12.408,12.408
FY26 UF WSE BAELED Flexibility VD 06sec 1920x1080 V6,https://www.youtube.com/watch?v=4yJ4BCjRL7A,,,2026-01-30T01:16:08.097Z,7.0,7.612,7.0
CAS RC ALL NA 2025 Thrill Hibachi 15 16x9 OTT,https://www.youtube.com/watch?v=q72PCnmpySs,,,2026-01-30T01:15:51.990Z,16.0,16.107,16.0
I Trained With High School Super Athletes,https://www.youtube.com/watch?v=G7C_z83QzI4,Will Tennyson,https://www.youtube.com/channel/UCB2wtYpfbCpYDc5TeTwuqFA,2026-01-30T01:02:51.845Z,2120.0,780.145,780.145
DA_PerfectSideHustle_long_CH_1920x1080_RA01.mp4,https://www.youtube.com/watch?v=eUz-2Gtkw-E,,,2026-01-30T01:02:39.509Z,77.0,12.336,12.336
Shark Tank US | Will Sunflow Be One Of The Most Successful Businesses On Shark Tank?,https://www.youtube.com/watch?v=rtcWMsw9HwA,Sony Pictures Television,https://www.youtube.com/channel/UCeDnHAtv092zrrVIai87N4Q,2026-01-27T03:29:38.187Z,625.0,250381.322,625.0
Anthem - TurboTax 2026 Brand Power Commercial (:15),https://www.youtube.com/watch?v=Mf_RIBeaUzs,,,2026-01-27T03:29:20.383Z,,17.804,17.804
Retro-X® Fleece,https://www.youtube.com/watch?v=OU7R_thIFuU,,,2026-01-27T03:29:03.921Z,16.0,16.462,16.0
DA_ILoveDataAnnotation_long_CH_1920x1080_RA01.mp4,https://www.youtube.com/watch?v=UX8YoQel7Cs,,,2026-01-27T03:23:04.119Z,89.0,359.802,89.0
Elvive HA Plump Dropper 16x9,https://www.youtube.com/watch?v=7606eBxyQfo,,,2026-01-27T03:22:47.745Z,15.0,16.374,15.0
Video Ad,https://www.youtube.com/watch?v=BM4GMu8A1vk,,,2026-01-27T03:22:31.520Z,16.0,16.225,16.0
HAMNET - One Movie 8 AA Noms 15 - Now Playing In Theaters Everywhere,https://www.youtube.com/watch?v=l2SkogMRRjg,,,2026-01-27T03:22:15.275Z,16.0,16.245,16.0
PATAK'S Makes Perfect US,https://www.youtube.com/watch?v=hXjvOC2Jglk,,,2026-01-27T03:22:08.086Z,7.0,7.189,7.0
Shark Tank US | Inventor Refuses to Budge as Sharks Make Multiple Offers for Convertible Heels,https://www.youtube.com/watch?v=mSySc2KLXnc,Sony Pictures Television,https://www.youtube.com/channel/UCeDnHAtv092zrrVIai87N4Q,2026-01-27T03:15:30.038Z,744.0,398.048,398.048
