title,link,channel,channel_link,date,video_length,time_diff,watch_time
Old School BBQ Cookout Funky Mix (70s/80s/90s) (5 Hour Mix),https://www.youtube.com/watch?v=3qWQsMgDGWY,DJ Spinelli,https://www.youtube.com/channel/UCjU3GkY4YuK9Ro-F9ZPrhRg,2026-03-29T06:02:57.453Z,18535.0,,18535.0
"Trap Bangers (I Made You A Mixtape, Vol 14 NSFW)",https://www.youtube.com/watch?v=6EHSqCzpoq8,TY ALEXANDER,https://www.youtube.com/channel/UCv9yYOc9NegbRKKMAhc4u8Q,2026-03-29T06:02:20.354Z,2712.0,37.099,37.099
Class Is In Session - Ty Alexander (DJ Edition) Hip Hop and R&B Blends,https://www.youtube.com/watch?v=z45uEb7X7sE,Spitcam University 📚,https://www.youtube.com/channel/UC_BAsm7FcBHwtr3JFQdSlaA,2026-03-29T05:05:24.883Z,3256.0,3415.471,3256.0
Ty Alexander - Class Is In Session with Spitcam University | Hip Hop and R&B Blends,https://www.youtube.com/watch?v=NH47XIMcDe8,Spitcam University 📚,https://www.youtube.com/channel/UC_BAsm7FcBHwtr3JFQdSlaA,2026-03-29T04:06:29.505Z,3323.0,3535.378,3323.0
Ol' Dirty Bastard ft. Kelis - Got Your Money (Official Video) [Explicit],https://www.youtube.com/watch?v=XXTzm5GtqVo,UPROXX,https://www.youtube.com/channel/UCWGljB8djPusdaKtVx1UKfg,2026-03-29T04:05:43.784Z,253.0,45.721,45.721
Ol' Dirty Bastard - Shimmy Shimmy Ya (Official Video) [Explicit],https://www.youtube.com/watch?v=h2zgB93KANE,UPROXX,https://www.youtube.com/channel/UCWGljB8djPusdaKtVx1UKfg,2026-03-29T04:01:14.671Z,229.0,269.113,229.0
DaBaby - BOP on Broadway (Hip Hop Musical),https://www.youtube.com/watch?v=28hYUZMufDg,DaBaby,https://www.youtube.com/channel/UC2CCXzC56k0b8L49R_iW-Yw,2026-03-29T03:58:57.478Z,184.0,137.193,137.193
BigXThaPlug - Whip it (Official Music Video),https://www.youtube.com/watch?v=KmEtbvCzfrU,BigXthaPlug,https://www.youtube.com/channel/UCEJdOGwm6CNtc_kIa_Qjy6A,2026-03-29T03:55:14.329Z,134.0,223.149,134.0
J. Stone - Put That On Crip ft. O.T. Genasis (Official Video),https://www.youtube.com/watch?v=GjoBI9Fq8mE,J. Stone,https://www.youtube.com/channel/UCHXRKHkcWQpoaCSkZTfwkXw,2026-03-29T03:52:33.896Z,160.0,160.433,160.0
"Young M.A ""OOOUUU"" (Official Video)",https://www.youtube.com/watch?v=gVf_4Ns3qLU,Young MA,https://www.youtube.com/channel/UCH-T4tFvtcPkbI4sCi237BA,2026-03-29T03:47:18.251Z,302.0,315.645,302.0
