title,link,channel,channel_link,date,video_length,time_diff,watch_time
Kourtney Kardashian CRASHES OUT Over Travis Barker's New 19YO Girlfriend ( He's a Cheater),https://www.youtube.com/watch?v=Xw724hHjx_g,anna oop,https://www.youtube.com/channel/UC8kJKPwTe6XopeSQHqz1YLg,2026-03-08T00:30:32.394Z,527.0,,527.0
Is this the most corrupt member of the Trump administration?,https://www.youtube.com/watch?v=GawdkmFMZ_g,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-03-08T00:28:19.932Z,501.0,132.462,132.462
Tucker Says Trump Believes the Iran War Polls at 90%,https://www.youtube.com/watch?v=7i4OihQ__yk,The Bulwark,https://www.youtube.com/channel/UCG4Hp1KbGw4e02N7FpPXDgQ,2026-03-08T00:25:42.975Z,915.0,156.957,156.957
The HORRORS of Ayatollah Khomeinis Execution Methods *Warning REAL FOOTAGE,https://www.youtube.com/watch?v=hFLpLxEHQDw,History on Fleek,https://www.youtube.com/channel/UCpg4q7kn-_vizrLv5u_r-Dg,2026-03-08T00:24:56.089Z,1289.0,46.886,46.886
The Religious Right Married Systematic Evil | Michael's Quick Take,https://www.youtube.com/watch?v=_6d4DH2Dz_A,The Bulwark,https://www.youtube.com/channel/UCG4Hp1KbGw4e02N7FpPXDgQ,2026-03-08T00:24:50.273Z,1327.0,5.816,5.816
Epstein files tied to Trump sexual assault allegations released,https://www.youtube.com/watch?v=BoXbvjpyR0E,CNN,https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw,2026-03-08T00:16:52.427Z,484.0,477.846,477.846
FULL VIDEO: Iowa lawmaker walks off Senate floor after being questioned about Iowa's child welfar...,https://www.youtube.com/watch?v=e5gAc1RGAzQ,KCCI,https://www.youtube.com/channel/UCKATGvvbOznaWNZcOBCLGng,2026-03-08T00:16:19.898Z,599.0,32.529,32.529
Bryce’s Story: Text Message Tragedy,https://www.youtube.com/watch?v=Cr89i7ii1B0,WSAZ NewsChannel 3,https://www.youtube.com/channel/UCrcuU0JXXy8oIBqEB13mrwA,2026-03-08T00:15:29.128Z,652.0,50.77,50.77
GRAPHIC: Bodycam shows the moments officers find the bodies of two young girls in suitcases,https://www.youtube.com/watch?v=J3sAoVwst8A,19 News,https://www.youtube.com/channel/UCZ4OZ-SF_Dtw8xlVPavaiDw,2026-03-08T00:09:39.901Z,1102.0,349.227,349.227
“Resign or Be Fired” – Sen Padilla Goes Nuclear on Kristi Noem Over ICE and DHS Failures | AC1N,https://www.youtube.com/watch?v=5MqsZGRoqXs,DRM News,https://www.youtube.com/channel/UCrvG04V6wbOau6fVJI01OlQ,2026-03-08T00:08:07.456Z,736.0,92.445,92.445
Kristi Noem PANICS After Jasmine Crockett EXPOSES Her In Explosive Hearing,https://www.youtube.com/watch?v=KkmrdKOhP40,Ayyan,https://www.youtube.com/channel/UC2hF5d2xyqC0tA2Sna9z63w,2026-03-08T00:06:04.204Z,550.0,123.252,123.252
Kristi Noem PANICS After Jamie Raskin GRILLS Her In Explosive Hearing,https://www.youtube.com/watch?v=XL62pEgm75w,Ayyan,https://www.youtube.com/channel/UC2hF5d2xyqC0tA2Sna9z63w,2026-03-07T23:59:52.432Z,605.0,371.772,371.772
Kash Patel PANICS After Senator Cory Booker EXPOSES Her In Explosive Hearing,https://www.youtube.com/watch?v=DrWM0zWZ-gs,Ayyan,https://www.youtube.com/channel/UC2hF5d2xyqC0tA2Sna9z63w,2026-03-07T23:57:11.656Z,784.0,160.776,160.776
Omg Noem Attacks Trump After Firing Incriminates Her,https://www.youtube.com/watch?v=cxQ90fySO-M,Jack Cocchiarella,https://www.youtube.com/channel/UC7ddSzBrkukSCJzMIXfGEdg,2026-03-07T23:52:43.281Z,849.0,268.375,268.375
Bu İhanet Dilara'yı Yıktı! Yığıldı Kaldı!  | Kısmetse Olur: Aşkın Gücü 2. Sezon 112. Bölüm,https://www.youtube.com/watch?v=7LpfwRzFeq4,Aşkın Gücü Official,https://www.youtube.com/channel/UCBwgygfGyUx6QRyDDn2tmkw,2026-03-07T23:52:40.314Z,433.0,2.967,2.967
Aşkın Gücü 2. Sezon | 112. Bölüm FULL | PART - 2,https://www.youtube.com/watch?v=JAfTI9sag8c,Aşkın Gücü Official,https://www.youtube.com/channel/UCBwgygfGyUx6QRyDDn2tmkw,2026-03-07T23:47:08.741Z,5995.0,331.573,331.573
He never knew what's your value! 🙂💔 #viral #100millon #fypシ゚viral #fypシ #trending #trendingshorts,https://www.youtube.com/watch?v=JfpTLErY3zs,𝘍𝘢𝘯𝘵𝘢𝘴𝘵𝘪𝘤-_-𝘲𝘶𝘦𝘦𝘯,https://www.youtube.com/channel/UCe2KA97Y5M73KhaqHSxrEsA,2026-03-07T23:43:19.774Z,28.0,228.967,28.0
The Sweetest Flight Passenger,https://www.youtube.com/watch?v=U2QrOpldnP4,Pawfectly,https://www.youtube.com/channel/UCu77dWhNo3O2FmPZ6xPRKRw,2026-03-07T23:43:07.907Z,8.0,11.867,8.0
Jesus loves you!! #fyp #explore #Jesus,https://www.youtube.com/watch?v=KwIR0VGDQc0,Faith Moriah,https://www.youtube.com/channel/UCLvctKunzxCMlJ5AwbSftrQ,2026-03-07T23:43:05.092Z,15.0,2.815,2.815
Zaouli : Precision Mask Dance of Ivory Coast,https://www.youtube.com/watch?v=HIhJMMs-Trw,Existenzia,https://www.youtube.com/channel/UCB4YagXY6ogsRhc_yn3ENYA,2026-03-07T23:42:37.529Z,8.0,27.563,8.0
The Queen Taught Princess Margaret How to Curtsy. Then Did It Herself to Show Her,https://www.youtube.com/watch?v=CUx8A6FwEjs,IRON ERA ,https://www.youtube.com/channel/UCeDNcBavREAuDYycanpFJiQ,2026-03-07T23:42:17.949Z,8.0,19.58,8.0
Some of Us Grew Up Too Early,https://www.youtube.com/watch?v=jk3M4hdBOmE,Daily Thesis,https://www.youtube.com/channel/UC3_BoiB3mnG1QL7Nja_xzsQ,2026-03-07T23:42:15.664Z,7.0,2.285,2.285
When Kendall Jenner admiring Aishwarya rai at L’Oréal Paris fashion show! #viralshort #viralvideo,https://www.youtube.com/watch?v=fDcHWKsd2Ws,@Daniyahhh,https://www.youtube.com/channel/UCbEIXF0BlAhtN5HiSUsO19Q,2026-03-07T23:41:35.952Z,10.0,39.712,10.0
ww2 was not a good time to fall in love..  #ww2,https://www.youtube.com/watch?v=KtAn_gXyKIc,History Intrigue,https://www.youtube.com/channel/UCwY71XwLcY_10aErWK3QVkg,2026-03-07T23:40:08.615Z,6.0,87.337,6.0
Kendall Jenner revealed why she was excluded from the show,https://www.youtube.com/watch?v=fyq-OwwXxT4,Reel & Real,https://www.youtube.com/channel/UC_Hfu-SDM6N4aDaVkFmzArw,2026-03-07T23:38:43.220Z,103.0,85.395,85.395
He Tried To Warn Us About Them   @JayShettyPodcast.,https://www.youtube.com/watch?v=NoRyW14DJ9c,Daily Dose Of Masculinity ,https://www.youtube.com/channel/UCgGMOPxZ38TozReX2o75A9w,2026-03-07T22:57:43.199Z,,2460.021,2460.021
JD Vance Creeps Out Young Trump Voters | Focus Group,https://www.youtube.com/watch?v=ZwEaG0AKoJk,The Bulwark,https://www.youtube.com/channel/UCG4Hp1KbGw4e02N7FpPXDgQ,2026-03-07T22:56:30.675Z,3222.0,72.524,72.524
Cillian Murphy's 'Peaky Blinders' Hairstyle Is Stylish And Practical - BBC,https://www.youtube.com/watch?v=dxWbuFFf6G0,BBC,https://www.youtube.com/channel/UCCj956IF62FbT7Gouszaj9w,2026-03-07T22:52:56.138Z,59.0,214.537,59.0
Joe Rogan SHOCKED After Mel Gibson EXPOSED What Everyone Missed In The Passion Of Christ!,https://www.youtube.com/watch?v=-fwhj72RQdo,Fame secret Talks,https://www.youtube.com/channel/UC8Sv4n3Pikb8aSgYHgGqdew,2026-03-07T22:52:46.293Z,1230.0,9.845,9.845
ANGELINA JOLIE NEW BOYFRIEND AKALA BRITISH RAPPER,https://www.youtube.com/watch?v=FdyhmGYCXtg,VANESSA TRES JOLIE,https://www.youtube.com/channel/UCYZ3jvNr21ThjN4rz7sWdzg,2026-03-07T22:51:06.235Z,,100.058,100.058
After Hailey posted… Selena’s reaction says it all 🙄 #SelenaGomez #HaileyBieber,https://www.youtube.com/watch?v=wGCYHji6Eqc,Rare Selly ,https://www.youtube.com/channel/UCz5onk0qNPrbKvhfn0MCidw,2026-03-07T22:50:20.165Z,26.0,46.07,26.0
Real Mobster Reacts To Peaky Blinders (Why I Finally Watched It),https://www.youtube.com/watch?v=oDxdJwr6X0Y,Franzese Wines,https://www.youtube.com/channel/UC3C-VAkcBTGTdPVvNL3Rqtg,2026-03-07T22:48:18.942Z,365.0,121.223,121.223
Loving started to feel like begging.,https://www.youtube.com/watch?v=cWwPaSPUZp0,Unfiltered Feelings,https://www.youtube.com/channel/UCtnChEavIW1pNKKKgSrfJAQ,2026-03-07T22:47:54.289Z,13.0,24.653,13.0
The World's Richest Man's Son Walked Onto the White House Lawn. He's Three,https://www.youtube.com/watch?v=3GK6IgAuPhk,IRON ERA ,https://www.youtube.com/channel/UCeDNcBavREAuDYycanpFJiQ,2026-03-07T22:47:36.153Z,8.0,18.136,8.0
Rihanna's face when Naomi Campbell asked if she was high on stage😭,https://www.youtube.com/watch?v=iUR_hSeGT7I,Disaster Zone USA,https://www.youtube.com/channel/UC82U88IUCNfBRiUGVhQ-r-Q,2026-03-07T22:47:02.687Z,7.0,33.466,7.0
The downfall is here.. #jayz #beyonce,https://www.youtube.com/watch?v=v0UcgiSIb5s,Let's Get Into It,https://www.youtube.com/channel/UCeLndg7LVrzqJ6YiHdcsKXQ,2026-03-07T22:46:08.933Z,64.0,53.754,53.754
Cabin Pressure: Kristi Noem CAUGHT wasting tax dollars on luxury jets,https://www.youtube.com/watch?v=1u9KoDa13ds,Rep Jimmy Gomez,https://www.youtube.com/channel/UCOmm091WM6D01xTdzsWNvbQ,2026-03-07T22:43:19.219Z,51.0,169.714,51.0
Wealth vs. Kindness,https://www.youtube.com/watch?v=-CpRF9AH20M,Adventures and Mysteries,https://www.youtube.com/channel/UCRuu7aFVpkKBNXlJ1s-9kFA,2026-03-07T22:43:04.049Z,6.0,15.17,6.0
Kylie Laughs at Bella Spray Dress… But It Broke the Internet!,https://www.youtube.com/watch?v=34w27vTtd08,Runway Aura💀,https://www.youtube.com/channel/UCHcx9_rp1KB08DyzcCkj9TA,2026-03-07T22:42:03.331Z,10.0,60.718,10.0
Trump Praised Rubio. His Own Base Started Questioning Vance.,https://www.youtube.com/watch?v=EXJug0H21zk,IRON ERA ,https://www.youtube.com/channel/UCeDNcBavREAuDYycanpFJiQ,2026-03-07T22:40:40.425Z,8.0,82.906,8.0
#transition 💔,https://www.youtube.com/watch?v=mCOFaTIcPcs,Jaxury,https://www.youtube.com/channel/UCS5ZAeu25Fq19akVKFJJbOg,2026-03-07T22:39:50.210Z,6.0,50.215,6.0
When celebrating too early goes wrong...😭,https://www.youtube.com/watch?v=cFsguj0XViE,MrMcGuyver Sports,https://www.youtube.com/channel/UC73mIvRUSxB2CXprvtrz6Cw,2026-03-07T22:37:28.659Z,28.0,141.551,28.0
The way Charli turns around when seeing Kendall touch Landon through the mirror,https://www.youtube.com/watch?v=pxVtiCr3MkE,Celebrity Bizz,https://www.youtube.com/channel/UCzCD3U8XGOP8jKhOLJSnT3A,2026-03-07T22:36:28.514Z,7.0,60.145,7.0
