title,link,channel,channel_link,date,video_length,time_diff,watch_time
Another Duggar Arrested?! Inside Joseph Duggar’s Charges & The Horrific Family Pattern,https://www.youtube.com/watch?v=ZTH6JCuXNZM,Hidden True Crime,https://www.youtube.com/channel/UCBp03toXz-WZ6gSt7YtSdEg,2026-03-20T21:25:51.305Z,2181.0,,2181.0
Brian Shaffer Interview ////// 770,https://www.youtube.com/watch?v=CYsiSR74Imo,True Crime Garage TV,https://www.youtube.com/channel/UCqvWVmy1ewFa5Ry9KUWcuJw,2026-03-18T21:43:22.364Z,3054.0,171748.941,3054.0
Brian Shaffer Update /// Off The Record #missingperson #brianshaffer #truecrime #crimenews,https://www.youtube.com/watch?v=SetGB3wA_2Q,True Crime Garage TV,https://www.youtube.com/channel/UCqvWVmy1ewFa5Ry9KUWcuJw,2026-03-18T21:42:14.860Z,49.0,67.504,49.0
I-70 Killer /// True Crime Garage  #podcast #news #crime #truecrime,https://www.youtube.com/watch?v=7uCZBsApb3E,True Crime Garage TV,https://www.youtube.com/channel/UCqvWVmy1ewFa5Ry9KUWcuJw,2026-03-18T21:42:13.384Z,60.0,1.476,1.476
"The Odd Disappearance of Brian Shaffer, Explained.",https://www.youtube.com/watch?v=8dlsa1wVjOc,cosmo,https://www.youtube.com/channel/UCpcthRIU7CCRJsDCxzGdnLA,2026-03-18T21:23:18.845Z,823.0,1134.539,823.0
Kayla Realizes Her Best Friend Is a SERIAL KILLER,https://www.youtube.com/watch?v=4ET9OAwnGN4,STAYAWAKE - Crime & Psychology,https://www.youtube.com/channel/UCoV5rqQ-ZwLahX1Q0aEsneA,2026-03-18T21:21:18.851Z,1379.0,119.994,119.994
18YO Leaves Clue Behind to Ruin Serial Killer’s Plan | The Case of Samantha Koenig,https://www.youtube.com/watch?v=z-g2huBo9qY,Unseen,https://www.youtube.com/channel/UCVtHlqfvXn-6m6A2IWUB8MQ,2026-03-18T20:41:27.723Z,1978.0,2391.128,1978.0
High School Prank Kills Mom of Four,https://www.youtube.com/watch?v=TFsa_NVerog,Law&Crime Investigates,https://www.youtube.com/channel/UCbinhfv9dTgP0dH_K6RJUbw,2026-03-18T19:57:22.288Z,2165.0,2645.435,2165.0
The Self-Entitled Teen Who MURDERED his family... | The Case of Alan Hruby,https://www.youtube.com/watch?v=7xCt-MNYPyo,Coffeehouse Crime,https://www.youtube.com/channel/UCcUf33cEPky2GiWBgOP-jQA,2026-03-18T19:32:08.533Z,1708.0,1513.755,1513.755
The Self-Entitled Teen Who MURDERED Her Family... | Suzane Von Richthofen,https://www.youtube.com/watch?v=h0-LOmPUmmo,Coffeehouse Crime,https://www.youtube.com/channel/UCcUf33cEPky2GiWBgOP-jQA,2026-03-18T19:31:40.750Z,1308.0,27.783,27.783
What Happened to Brian Shaffer? | The Man That Vanished From a Bar,https://www.youtube.com/watch?v=EsuWLsUlCVs,Coffeehouse Crime,https://www.youtube.com/channel/UCcUf33cEPky2GiWBgOP-jQA,2026-03-18T19:08:35.545Z,973.0,1385.205,973.0
Wes Anderson Horror Trailer - SNL,https://www.youtube.com/watch?v=gfDIAZCwHQE,Saturday Night Live,https://www.youtube.com/channel/UCqFzWxSCi39LnW1JKFR3efg,2026-03-18T19:07:29.855Z,163.0,65.69,65.69
ASMR: Concise Medical Exam in Cluttered Clinic ,https://www.youtube.com/watch?v=j8RYqfzGsqQ,SRP ASMR,https://www.youtube.com/channel/UCpEuioVX1z1qz0QEUDycRhA,2026-03-18T18:50:57.199Z,1705.0,992.656,992.656
ASMR: Medical Evaluation with New Equipment ,https://www.youtube.com/watch?v=VegjKCpF2Y8,SRP ASMR,https://www.youtube.com/channel/UCpEuioVX1z1qz0QEUDycRhA,2026-03-18T18:42:51.402Z,1903.0,485.797,485.797
https://www.youtube.com/watch?v=CeacTzzVG40,https://www.youtube.com/watch?v=CeacTzzVG40,,,2026-03-18T17:51:30.613Z,,3080.789,3080.789
https://www.youtube.com/watch?v=J-6aC5G9EO0,https://www.youtube.com/watch?v=J-6aC5G9EO0,,,2026-03-18T17:50:29.726Z,,60.887,60.887
Multiclassing in Daggerheart! | Get Your Sheet Together,https://www.youtube.com/watch?v=CYxhujXh3Wg,Darrington Press,https://www.youtube.com/channel/UCtmb9_WFNKoMsJS1WR2Kb7A,2026-03-18T17:48:36.918Z,231.0,112.808,112.808
