title,link,channel,channel_link,date,video_length,time_diff,watch_time
Robot Interaction Coordination Video-2,https://www.youtube.com/watch?v=hono0D_3WSo,Shaid Hasan,https://www.youtube.com/channel/UCZqrGCRKwN3y6Dt7SJbVU6A,2026-03-28T16:03:15.830Z,194.0,,194.0
Robot Interaction Coordination Video-1,https://www.youtube.com/watch?v=ilTZqfXA8WY,Shaid Hasan,https://www.youtube.com/channel/UCZqrGCRKwN3y6Dt7SJbVU6A,2026-03-28T15:59:44.196Z,194.0,211.634,194.0
Top 10 The Price is Right Moments That Went Off the Rails,https://www.youtube.com/watch?v=nx_pQxe-WBU,MsMojo,https://www.youtube.com/channel/UC3rLoj87ctEHCcS7BuvIzkQ,2026-03-27T18:22:40.257Z,768.0,77823.939,768.0
THE BIGGEST SPOILED BRAT SAGA,https://www.youtube.com/watch?v=b-2wpL5ZB9g,Dark Dom,https://www.youtube.com/channel/UCnf_Txj_DaCY7_jj0Xo1Nhg,2026-03-27T17:42:20.117Z,2993.0,2420.14,2420.14
Searching For Gems at Goodwill Outlet in the Midwest,https://www.youtube.com/watch?v=U7UcLdYu8xs,Jacob Cruikshank,https://www.youtube.com/channel/UCJxEkWBNbbb6PG3Lk9CEwxA,2026-03-26T21:37:06.105Z,1864.0,72314.012,1864.0
Shopping at Dollar Tree with $10 (haul),https://www.youtube.com/watch?v=yeqe4609XSU,Jacob Cruikshank,https://www.youtube.com/channel/UCJxEkWBNbbb6PG3Lk9CEwxA,2026-03-26T21:04:33.285Z,1952.0,1952.82,1952.0
Dumb Stuff from Marshalls,https://www.youtube.com/watch?v=l3J_XeTiMfo,Jacob Cruikshank,https://www.youtube.com/channel/UCJxEkWBNbbb6PG3Lk9CEwxA,2026-03-26T20:30:21.230Z,2051.0,2052.055,2051.0
30 Things From a 1980s Living Room You Totally Forgot!,https://www.youtube.com/watch?v=e-EyMa55F40,The Yesterday Vault,https://www.youtube.com/channel/UC3o9mbQKx1PL0ec5Q-7GZWA,2026-03-26T19:56:05.162Z,2055.0,2056.068,2055.0
30 Strange Bathroom Products From the 1980s That Made No Sense,https://www.youtube.com/watch?v=YuN6ompNxkY,The Yesterday Vault,https://www.youtube.com/channel/UC3o9mbQKx1PL0ec5Q-7GZWA,2026-03-26T19:21:36.076Z,2069.0,2069.086,2069.0
Worst Neighbors From Hell You Should Be Glad Aren’t Yours,https://www.youtube.com/watch?v=KaOO3vHSVc4,Live Leaked,https://www.youtube.com/channel/UCqVewDOwYtNkZLbmdSYyy6g,2026-03-26T18:59:56.290Z,1934.0,1299.786,1299.786
