title,link,channel,channel_link,date,video_length,time_diff,watch_time
How Golden Slumbers by The Beatles was actually written almost 500 years ago!,https://www.youtube.com/watch?v=G4m92CLUnUY,UnBeatled with David Bennett & Donnie Campbell,https://www.youtube.com/channel/UCFni1nd24Bf95SexJTaVAvA,2026-04-14T03:12:17.940Z,118.0,,118.0
Joe Rogan SHATTERS The Idiot Meter & Hits Olympic Level Lack Of Self Awareness | Kyle Kulinski Show,https://www.youtube.com/watch?v=qAA9oEO4Ric,Secular Talk,https://www.youtube.com/channel/UCldfgbzNILYZA4dmDt4Cd6A,2026-04-14T03:11:33.615Z,858.0,44.325,44.325
How New York Dramatically Reduced Medical Debt,https://www.youtube.com/watch?v=l31vYmAv0VE,Community Service Society,https://www.youtube.com/channel/UCYPKB8dUa4dFXpycm4wc2DQ,2026-04-13T21:32:35.860Z,210.0,20337.755,210.0
Paperback Writer: Trying to Write a Song NOT About Love | UnBeatled Episode 24,https://www.youtube.com/watch?v=DVg7m-58wUw,UnBeatled with David Bennett & Donnie Campbell,https://www.youtube.com/channel/UCFni1nd24Bf95SexJTaVAvA,2026-04-13T19:57:19.825Z,1857.0,5716.035,1857.0
30 Songs You Didn't Know Are Covers,https://www.youtube.com/watch?v=4YKZK9s9s94,David Bennett Music Theory,https://www.youtube.com/channel/UCz2iUx-Imr6HgDC3zAFpjOw,2026-04-13T16:15:51.006Z,830.0,13288.819,830.0
14 Songs That 'Rip Off' Classical Music,https://www.youtube.com/watch?v=yknBXOSlFQs,David Bennett Music Theory,https://www.youtube.com/channel/UCz2iUx-Imr6HgDC3zAFpjOw,2026-04-13T16:04:57.448Z,1066.0,653.558,653.558
Can you guess the Beatles song from just the Chord Progression?,https://www.youtube.com/watch?v=fsobWn4IiYk,David Bennett Music Theory,https://www.youtube.com/channel/UCz2iUx-Imr6HgDC3zAFpjOw,2026-04-13T15:51:17.855Z,803.0,819.593,803.0
Jon Lester tells the CRAZIEST Cubs World Series Game 7 story you’ve ever heard | Lovable Reunion,https://www.youtube.com/watch?v=9UM0tkXFuMQ,Lovable Reunion with David Ross and Anthony Rizzo,https://www.youtube.com/channel/UCxSd_x5NYj8C7qu1yEaO66A,2026-04-13T15:16:53.328Z,537.0,2064.527,537.0
Shane Gillis Meets ICE Agents..🤣🤣🤣#shanegillis #mattandshanessecretpodcast #mattmccusker #comedy,https://www.youtube.com/watch?v=20lwaC3kIdQ,CANCEL ME COMEDY,https://www.youtube.com/channel/UCT_idQparWMxBTcug2ed-qA,2026-04-13T15:16:10.628Z,,42.7,42.7
https://www.youtube.com/watch?v=Ye4CfDIyqV8,https://www.youtube.com/watch?v=Ye4CfDIyqV8,,,2026-04-12T00:57:57.451Z,,137893.177,137893.177
Afroman Spits Game about Marriage,https://www.youtube.com/watch?v=QKST9XJoLRI,Channel 5 with Andrew Callaghan,https://www.youtube.com/channel/UC-AQKm7HUNMmxjdS371MSwg,2026-04-12T00:55:32.110Z,129.0,145.341,129.0
ANTI-MUSLIM BIGOTRY Has Been Used for Decades to Justify and Absolve American Interventionism,https://www.youtube.com/watch?v=zhkvSek1pME,Glenn Greenwald,https://www.youtube.com/channel/UChzVhAwzGR7hV-4O8ZmBLHg,2026-04-10T21:59:16.739Z,131.0,96975.371,131.0
Maddux gave up a meaningless home run to Jeff Bagwell. He was setting a trap.🧠,https://www.youtube.com/watch?v=4pLyxdrSFgI,Pitching Ninja,https://www.youtube.com/channel/UCAgLUO68gPXGgg5cpqfV-tA,2026-04-10T21:57:57.615Z,78.0,79.124,78.0
