title,link,channel,channel_link,date,video_length,time_diff,watch_time
Upgrading Instant Ramen: Tomato Ramen by 👩‍🍳 @choibites,https://www.youtube.com/watch?v=-IzI9WMCRiI,Danny Kim,https://www.youtube.com/channel/UC3R57cNcy6hmpb-H4huxg6A,2026-04-17T21:39:41.370Z,120.0,,120.0
Everything I Own 1972 BREAD,https://www.youtube.com/watch?v=pXEwkAyuFog,Minute Nostalgia,https://www.youtube.com/channel/UCLcKWNWzHy8YqoMRtnbGvHg,2026-04-17T21:38:28.446Z,60.0,72.924,60.0
They revealed how the banking system works.. 👁️🤯,https://www.youtube.com/watch?v=X865TVGJpEo,Conciousmb,https://www.youtube.com/channel/UCw9z5l_SGrhXl857j1S_FoA,2026-04-17T20:53:54.089Z,16.0,2674.357,16.0
When the home school prom is going crazy.,https://www.youtube.com/watch?v=Wn7N_KwgfQ8,Lee Houston,https://www.youtube.com/channel/UCBEnMJcipvJHPDkEkPecGLw,2026-04-17T20:53:22.244Z,17.0,31.845,17.0
When dave realized 😂,https://www.youtube.com/watch?v=z1rYIeLRTo8,GolGlobe,https://www.youtube.com/channel/UCkpn6sXEzrhvV3OgzmwdI8A,2026-04-17T20:41:18.335Z,60.0,723.909,60.0
Neighborhood Siege: The Update You Asked For,https://www.youtube.com/watch?v=IX_O5pbh8mE,Back Road Vet,https://www.youtube.com/channel/UC-GOw81CFcAyfm9MzNsa9Sg,2026-04-17T20:37:34.391Z,378.0,223.944,223.944
Their new neighbors completely turned their lives upside down,https://www.youtube.com/watch?v=w8Ex532iFmY,Global Mind Apparel,https://www.youtube.com/channel/UC2pn4FHmt3Td-A2kkhcYAqg,2026-04-17T20:33:34.479Z,157.0,239.912,157.0
What’s most important?,https://www.youtube.com/watch?v=dOVMPYwaD40,Global Mind Apparel,https://www.youtube.com/channel/UC2pn4FHmt3Td-A2kkhcYAqg,2026-04-17T20:33:29.285Z,94.0,5.194,5.194
She gets pregnant at 14 and things take a turn from there,https://www.youtube.com/watch?v=tMBJOAJQcfI,Global Mind Apparel,https://www.youtube.com/channel/UC2pn4FHmt3Td-A2kkhcYAqg,2026-04-17T20:33:18.764Z,127.0,10.521,10.521
He finds out the most shocking information about his kidney donor,https://www.youtube.com/watch?v=LaJp2xDaOCI,Global Mind Apparel,https://www.youtube.com/channel/UC2pn4FHmt3Td-A2kkhcYAqg,2026-04-17T20:33:12.995Z,107.0,5.769,5.769
You placed them where they were never standing,https://www.youtube.com/watch?v=ae1iyrYmaKM,Global Mind Apparel,https://www.youtube.com/channel/UC2pn4FHmt3Td-A2kkhcYAqg,2026-04-17T20:31:32.778Z,78.0,100.217,78.0
A brief interaction turned into something quite dramatic for the both of them,https://www.youtube.com/watch?v=mMJpBRxW4yE,Global Mind Apparel,https://www.youtube.com/channel/UC2pn4FHmt3Td-A2kkhcYAqg,2026-04-17T20:31:29.889Z,136.0,2.889,2.889
She was trying to do what’s best for her family and gets confronted by an officer,https://www.youtube.com/watch?v=8lrcbEgCdTg,Global Mind Apparel,https://www.youtube.com/channel/UC2pn4FHmt3Td-A2kkhcYAqg,2026-04-17T20:24:02.917Z,124.0,446.972,124.0
Worst Parking Strip on the Block Gets a Complete Makeover,https://www.youtube.com/watch?v=KOioNYbwLjY,Rise & Build,https://www.youtube.com/channel/UCfoi76OmU_ee4h40sjZ5NTQ,2026-04-17T20:18:02.556Z,41.0,360.361,41.0
She Loves Her Blanket Almost As Much As I Love Her ♥️ #wholesome #animals #dog #dogs #puppy,https://www.youtube.com/watch?v=iL9PfsYGKDI,LovingCreaturez,https://www.youtube.com/channel/UCQAkOKhtdA4X9o8H9aw3xxw,2026-04-17T18:03:33.547Z,56.0,8069.009,56.0
I Didn’t Expect This to Be the Hardest Part of Being an Artist,https://www.youtube.com/watch?v=vuECgkpbm30,Krystle Cole Art,https://www.youtube.com/channel/UCf--Le-Ssa_R5ERoM7PbdcA,2026-04-17T17:46:41.719Z,525.0,1011.828,525.0
Heartbreaking moment dog realizes family's leaving her at shelter,https://www.youtube.com/watch?v=6qZy-vcDlFw,GeoBeats Animals,https://www.youtube.com/channel/UC7_VH_kj0aD9vhuHmFheUYQ,2026-04-17T17:42:31.832Z,199.0,249.887,199.0
Dog sweetly keeps kissing family after protecting them from bear,https://www.youtube.com/watch?v=pj7E90wF7zM,GeoBeats Animals,https://www.youtube.com/channel/UC7_VH_kj0aD9vhuHmFheUYQ,2026-04-17T17:41:51.703Z,131.0,40.129,40.129
Marks of Demonic Activity in a Person | Derek Prince,https://www.youtube.com/watch?v=HLCQ9NJ0Xos,Derek Prince,https://www.youtube.com/channel/UCzTWdr_9IVWWmeStz5qDjoA,2026-04-17T17:24:46.945Z,401.0,1024.758,401.0
Shy cat uses tiny meows to ask for snuggles,https://www.youtube.com/watch?v=e-G-jfn1tp0,GeoBeats Animals,https://www.youtube.com/channel/UC7_VH_kj0aD9vhuHmFheUYQ,2026-04-17T17:20:47.981Z,160.0,238.964,160.0
There Are Multiple Animal Attacks In Oklahoma That Can’t Be Fully Explained ,https://www.youtube.com/watch?v=ourlqpEoS6c,💫 Reel_Adventures: Dogman Encounters ,https://www.youtube.com/channel/UC8vGAU8hwKV_pFklVXY_HAA,2026-04-17T17:12:51.521Z,1487.0,476.46,476.46
How Satan Will Try to Restrain You from Speaking in Tongues | Derek Prince,https://www.youtube.com/watch?v=Q_9ApApheEA,Derek Prince,https://www.youtube.com/channel/UCzTWdr_9IVWWmeStz5qDjoA,2026-04-17T17:12:17.438Z,775.0,34.083,34.083
"Severe risk northwest tonight, strong cold front Saturday",https://www.youtube.com/watch?v=V3S4ZIx2-QY,ArkansasWxNetwork,https://www.youtube.com/channel/UCBTOxQXWJCmlEvDHac8hM_w,2026-04-17T17:05:02.722Z,249.0,434.716,249.0
Cyber Shield & Tip of the Spear,https://www.youtube.com/watch?v=fLzOI7ahk3Y,Celeste Solum,https://www.youtube.com/channel/UCYt1gtZIkP-eL8kleOOqLAw,2026-04-17T17:02:59.034Z,5066.0,123.688,123.688
Preparing for Battle - Navigation Bar with subtitles,https://www.youtube.com/watch?v=f_Z2gmnx78E,Derek Prince Ministries Online Courses,https://www.youtube.com/channel/UC4frBinLSC4NNSm4-ikEmVw,2026-04-17T15:23:50.964Z,107.0,5948.07,107.0
"Some More of the Wildest NASA Bloopers Caught in ""Space""?!",https://www.youtube.com/watch?v=wX52Ywevygg,The Haunted Side,https://www.youtube.com/channel/UCYaPVYvW8-re6XQA00EGxkg,2026-04-17T14:16:36.581Z,90.0,4034.383,90.0
Teach To Cast Out Demons,https://www.youtube.com/watch?v=RnnFMYe1YC8,Derek Prince,https://www.youtube.com/channel/UCzTWdr_9IVWWmeStz5qDjoA,2026-04-17T14:12:36.927Z,60.0,239.654,60.0
The Prophetic Significance Of The Pope's Recent Push For Religions To Coexist,https://www.youtube.com/watch?v=MF0l-jYRFNY,End Time Headlines,https://www.youtube.com/channel/UCOKsAZ0DrWEZRxzLeHEcMFQ,2026-04-17T14:12:25.193Z,2565.0,11.734,11.734
Breaking Free from Self Imposed Curses ⛓️  // Derek Prince,https://www.youtube.com/watch?v=suXa5EggwsM,Solidaria TV English,https://www.youtube.com/channel/UCDnEtxjqtOnroF_nsko5pSg,2026-04-17T05:19:48Z,57.0,31957.193,57.0
