title,link,channel,channel_link,date,video_length,time_diff,watch_time
Epstein Deposition: Everything Bill Clinton & Hillary Clinton Said in 8 Hours Deposition Tape,https://www.youtube.com/watch?v=W8zu1TPn0iY,Rotten Mango,https://www.youtube.com/channel/UC0JJtK3m8pwy6rVgnBz47Rw,2026-03-30T19:31:16.086Z,5372.0,,5372.0
Criminals Steal Truck Carrying 12 Tons of KitKat - H3 After Dark #33,https://www.youtube.com/watch?v=TS4GmJzhhSw,H3 Podcast,https://www.youtube.com/channel/UCLtREJY21xRfCuEKvdki1Kw,2026-03-30T19:30:56.989Z,11535.0,19.097,19.097
The Case That Broke the Internet: Inside the Viral Murder of Bianca Devins,https://www.youtube.com/watch?v=T8zQZk7x-LY,Annie Elise,https://www.youtube.com/channel/UCOK0fZAUx82plnLhTKZW6qg,2026-03-30T17:56:56.124Z,3523.0,5640.865,3523.0
Bad Dreams,https://music.youtube.com/watch?v=ZqBcaJb2-yA,Teddy Swims - Topic,https://www.youtube.com/channel/UCAtlzufZmPhkiDApWM4bTRQ,2026-03-30T14:14:20.293Z,185.0,13355.831,185.0
Beyond the Beat,https://music.youtube.com/watch?v=zoAezEmuv-w,A YouTube Labs experiment,https://www.youtube.com/channel/UCEhdPhSfupIT4iEkC4__7Ug,2026-03-30T14:13:56.430Z,,23.863,23.863
Strategy (feat. Megan Thee Stallion),https://music.youtube.com/watch?v=DoPErQwgfg8,TWICE - Topic,https://www.youtube.com/channel/UCAq0pFGa2w9SjxOq0ZxKVIw,2026-03-30T14:10:34.674Z,202.0,201.756,201.756
Just Keep Watching (From F1® The Movie),https://music.youtube.com/watch?v=eFF1TGfHdp8,Tate McRae - Topic,https://www.youtube.com/channel/UCz86IA7ooUetFnUGa_YlsVw,2026-03-30T14:08:12.074Z,143.0,142.6,142.6
Eternity,https://music.youtube.com/watch?v=2vlDbPsF-to,Alex Warren - Topic,https://www.youtube.com/channel/UCXATF3-9RFGyY-it_d2hB6A,2026-03-30T14:05:02.110Z,190.0,189.964,189.964
Beyond the Beat,https://music.youtube.com/watch?v=4Af-dIuYbx4,A YouTube Labs experiment,https://www.youtube.com/channel/UCEhdPhSfupIT4iEkC4__7Ug,2026-03-30T14:04:30.842Z,,31.268,31.268
Tears,https://music.youtube.com/watch?v=FjOhnPD_RXo,Sabrina Carpenter - Topic,https://www.youtube.com/channel/UCz51ZodJbYUNfkdPHOjJKKw,2026-03-30T14:02:02.472Z,161.0,148.37,148.37
Neurodivergent Royals & Nobles from History,https://www.youtube.com/watch?v=MvdjhTl33Pk,History Tea Time with Lindsay Holiday,https://www.youtube.com/channel/UCUsJAAPcT5T_hoSXdNfOP4Q,2026-03-30T12:25:42.739Z,1904.0,5779.733,1904.0
https://www.youtube.com/watch?v=1ISe2b13txk,https://www.youtube.com/watch?v=1ISe2b13txk,,,2026-03-30T12:25:22.013Z,,20.726,20.726
Stalked & Murdered By Her Own BF?! The Devastating Murder Of Lilie James,https://www.youtube.com/watch?v=Ep9SFf04vdo,Kendall Rae,https://www.youtube.com/channel/UCKBaL17hXLGJvi2KZKpja5w,2026-03-30T02:19:29.312Z,2368.0,36352.701,2368.0
Fragrance Notes Explained in a Simple Way,https://www.youtube.com/watch?v=Q34v7kRqSKI,Fits By Stick,https://www.youtube.com/channel/UCVu7nrgFncURKQxGywMfv9Q,2026-03-30T02:15:29.506Z,326.0,239.806,239.806
