title,link,channel,channel_link,date,video_length,time_diff,watch_time
The DEEPEST Healing Sleep | 3.2Hz Delta Brain Waves | REM Sleep Music - Binaural Beats,https://www.youtube.com/watch?v=xsfyb1pStdw,SleepTube - Hypnotic Relaxation,https://www.youtube.com/channel/UCJkWqlhR1-tJpygPdylMl8A,2026-03-29T13:04:57.884Z,18000,,18000.0
EXP BFF2 26 0308 Derby Buddies Derby 30 OTTB Paid 1920x1080 H264 Web 260306 cla,https://www.youtube.com/watch?v=j-0I04o_HPE,,,2026-03-29T07:04:34.291Z,31,21623.593,31.0
『 sleep subliminal 』| insomnia relief+,https://www.youtube.com/watch?v=18zeibmeODg,trinicorn,https://www.youtube.com/channel/UCBmb65JkbJsoNWjl5SJI9mw,2026-03-29T06:56:09.012Z,505,505.279,505.0
0625 ELFSKIN THIRSTBURSTTONER NEWNESS CGI 16x9 6s,https://www.youtube.com/watch?v=6nWRzEUDfdM,,,2026-03-29T06:55:55.808Z,7,13.204,7.0
The DEEPEST Healing Sleep | 3.2Hz Delta Brain Waves | REM Sleep Music - Binaural Beats,https://www.youtube.com/watch?v=xsfyb1pStdw,SleepTube - Hypnotic Relaxation,https://www.youtube.com/channel/UCJkWqlhR1-tJpygPdylMl8A,2026-03-28T07:00:25.839Z,18000,86129.969,18000.0
Differentiation Denise 15,https://www.youtube.com/watch?v=mRngpoJiPqw,,,2026-03-28T07:00:10.717Z,16,15.122,15.122
『 sleep subliminal 』| insomnia relief+,https://www.youtube.com/watch?v=18zeibmeODg,trinicorn,https://www.youtube.com/channel/UCBmb65JkbJsoNWjl5SJI9mw,2026-03-28T06:51:45.731Z,505,504.986,504.986
In Full Color by Constant Contact :30s,https://www.youtube.com/watch?v=dvqqfqXhCeo,,,2026-03-28T06:51:34.515Z,31,11.216,11.216
The DEEPEST Healing Sleep | 3.2Hz Delta Brain Waves | REM Sleep Music - Binaural Beats,https://www.youtube.com/watch?v=xsfyb1pStdw,SleepTube - Hypnotic Relaxation,https://www.youtube.com/channel/UCJkWqlhR1-tJpygPdylMl8A,2026-03-27T07:03:01.221Z,18000,85713.294,18000.0
Digital security for your entire family #sandwichgeneration #cybersecurity,https://www.youtube.com/watch?v=2SCPiZZGM8c,,,2026-03-27T07:02:51.625Z,44,9.596,9.596
Check on Your People - 60s Video,https://www.youtube.com/watch?v=hFo806Krw1A,,,2026-03-27T06:57:50.494Z,61,301.131,61.0
Taste Our World | Celestial Seasonings | Peppermint,https://www.youtube.com/watch?v=eofxPtMy6F4,,,2026-03-27T06:57:44.554Z,7,5.94,5.94
『 sleep subliminal 』| insomnia relief+,https://www.youtube.com/watch?v=18zeibmeODg,trinicorn,https://www.youtube.com/channel/UCBmb65JkbJsoNWjl5SJI9mw,2026-03-27T06:54:08.092Z,505,216.462,216.462
528Hz + 174Hz | Full BODY CELL Regeneration | MIRACLE Tones for Golden Chakra Healing,https://www.youtube.com/watch?v=7xJw6eBEJQs,Meditative Mind,https://www.youtube.com/channel/UCM0YvsRfYfsniGAhjvYFOSA,2026-03-27T00:43:36.345Z,12813,22231.747,12813.0
Shop deals on TikTok now.,https://www.youtube.com/watch?v=lY4rN8eAvSs,,,2026-03-27T00:43:31.565Z,13,4.78,4.78
260226 TDA Orijen FreshPrey RTB Snow 06s 1080p 16x9 DIGITAL H264 Delivery v2 2,https://www.youtube.com/watch?v=-kLRL2GrdKE,,,2026-03-27T00:43:20.220Z,7,11.345,7.0
Heal Scoliosis | Strengthen Your Spinal Discs | Get Rid Of Pinched Nerve & Pain | 174 Hz Pain Relief,https://www.youtube.com/watch?v=A_sDsP5Jo7M,Ninad Music,https://www.youtube.com/channel/UCPC4h8RqdnsAQPdni3GTAIg,2026-03-27T00:35:10.592Z,42894,489.628,489.628
Your favorite superhero's favorite superhero,https://www.youtube.com/watch?v=OCAEO7MjBG4,,,2026-03-27T00:34:49.500Z,31,21.092,21.092
Video 2,https://www.youtube.com/watch?v=oZD_SiK_Nw0,Trust-Building Risk Communication,https://www.youtube.com/channel/UCpeuccww-CB_DesFwPuhg0A,2026-03-26T20:10:06.105Z,114,15883.395,114.0
Candidate B's Pitch,https://www.youtube.com/watch?v=yeZKXbttAGk,S.J.M.,https://www.youtube.com/channel/UCDbmB027d9aZm39vb8Lm-AA,2026-03-26T19:18:52.669Z,76,3073.436,76.0
Candidate A's Pitch,https://www.youtube.com/watch?v=SniqbM5L0Qw,S.J.M.,https://www.youtube.com/channel/UCDbmB027d9aZm39vb8Lm-AA,2026-03-26T19:15:40.980Z,70,191.689,70.0
The DEEPEST Healing Sleep | 3.2Hz Delta Brain Waves | REM Sleep Music - Binaural Beats,https://www.youtube.com/watch?v=xsfyb1pStdw,SleepTube - Hypnotic Relaxation,https://www.youtube.com/channel/UCJkWqlhR1-tJpygPdylMl8A,2026-03-26T07:13:21.935Z,18000,43339.045,18000.0
ZLVO4182_FIFA_WGFTheme_VH_4096x2304_EN_30 w/o TN,https://www.youtube.com/watch?v=FOA8UoHtihY,,,2026-03-26T07:13:13.211Z,30,8.724,8.724
Rula 3AMTherapy Alarm 15 16x9 Mischief Youtube,https://www.youtube.com/watch?v=R2p6j92pvW4,,,2026-03-26T07:12:57.764Z,15,15.447,15.0
『 sleep subliminal 』| insomnia relief+,https://www.youtube.com/watch?v=18zeibmeODg,trinicorn,https://www.youtube.com/channel/UCBmb65JkbJsoNWjl5SJI9mw,2026-03-26T07:04:36.975Z,505,500.789,500.789
Haven't Tried | McDonald's,https://www.youtube.com/watch?v=hVawtBy0LWc,,,2026-03-26T07:04:30.211Z,16,6.764,6.764
Right to Care Horizontal 06,https://www.youtube.com/watch?v=3LNJkyJ_Gww,,,2026-03-26T07:04:22.051Z,7,8.16,7.0
285Hz || Heals & Regenerates Tissues || Healing Sleep Music based on Solfeggio Frequencies,https://www.youtube.com/watch?v=O275wnurMEQ,Meditative Mind,https://www.youtube.com/channel/UCM0YvsRfYfsniGAhjvYFOSA,2026-03-26T03:19:00.414Z,32949,13521.637,13521.637
Gastritis Healing Frequency: Gas Relief & Stomach Pain Relief Music,https://www.youtube.com/watch?v=lS2Yst9UeF4,Good Vibes - Binaural Beats,https://www.youtube.com/channel/UCIauBb6cmot_0cYlYeEb8Mw,2026-03-26T03:18:36.947Z,3614,23.467,23.467
YHTFD28TUQ0H_THD_Planting_06_Innovid | The Home Depot,https://www.youtube.com/watch?v=7aKEqCldsok,,,2026-03-26T03:17:18.795Z,7,78.152,7.0
528Hz + 174Hz | Full BODY CELL Regeneration | MIRACLE Tones for Golden Chakra Healing,https://www.youtube.com/watch?v=7xJw6eBEJQs,Meditative Mind,https://www.youtube.com/channel/UCM0YvsRfYfsniGAhjvYFOSA,2026-03-26T01:33:36.819Z,12813,6221.976,6221.976
