title,link,channel,channel_link,date,video_length,time_diff,watch_time
260322V08-V6上线-EN-169-SZE-VFX展示对比,https://www.youtube.com/watch?v=-VxPZ633Bl4,,,2026-04-14T15:23:12.834Z,21.0,,21.0
Western Pacific Truck School | Get Started Today,https://www.youtube.com/watch?v=xc8taqdWAzU,,,2026-04-14T15:23:10.769Z,31.0,2.065,2.065
H&R Block - Get expert tax help from home,https://www.youtube.com/watch?v=q42VGCZpT6w,,,2026-04-14T15:23:06.669Z,16.0,4.1,4.1
You Picked the Paint Mixes… We Actually Sprayed Them,https://www.youtube.com/watch?v=fptfDKwYoNI,DipYourCar,https://www.youtube.com/channel/UCsqsjtd902RLo8peD11olPw,2026-04-14T15:22:04.661Z,588.0,62.008,62.008
"For all of your service and parts needs, our expert techs can talk you through it.",https://www.youtube.com/watch?v=4PGnmzToLtk,,,2026-04-14T15:21:56.653Z,31.0,8.008,8.008
We Turned Crushed Fire Opals Into Car Paint…,https://www.youtube.com/watch?v=AQdwrO4bj-0,DipYourCar,https://www.youtube.com/channel/UCsqsjtd902RLo8peD11olPw,2026-04-14T15:14:13.084Z,557.0,463.569,463.569
You're invited! Skilled Trades Night,https://www.youtube.com/watch?v=DuL1TUORXLM,,,2026-04-14T15:14:04.929Z,31.0,8.155,8.155
https://app.smartly.io/filestore/videos/fd068cc1-c27a-47e3-9633-b0fdac35468b/blob,https://www.youtube.com/watch?v=i9w0700w3hY,,,2026-04-14T15:13:56.602Z,16.0,8.327,8.327
Chinese Tanker Seen Passing Through Strait of Hormuz Despite US Blockade,https://www.youtube.com/watch?v=Swr6tiWKURQ,New York Post,https://www.youtube.com/channel/UCrvhNP_lWuPIP6QZzJmM-bw,2026-04-14T15:12:30.697Z,161.0,85.905,85.905
Two Sisters. One Dream. They Quit Their Jobs to Become Airline Pilots — Together.,https://www.youtube.com/watch?v=8aoBUUoNvEc,,,2026-04-14T15:12:04.974Z,325.0,25.723,25.723
📢ON The Ultimate KATSEYE Fidget Compilation ✨ (1 Minute ASMR) #Shorts,https://www.youtube.com/watch?v=tr1ajhjPzhU,Kiyo’s 3D Printing Crafts,https://www.youtube.com/channel/UCK9GwwHOvP5SZFsp7TFsHuQ,2026-04-14T15:12:01.836Z,61.0,3.138,3.138
The Court is Letting a Squatter Live in my Million Dollar Home,https://www.youtube.com/watch?v=ILSuypt7lTo,Flying Wheels,https://www.youtube.com/channel/UCvpfyUtFGgea9U8PEUzCs_A,2026-04-14T15:11:37.369Z,1205.0,24.467,24.467
This Will Change the Way You Think About Carpenter Bees!,https://www.youtube.com/watch?v=cco8wTffQ9o,Backyard Ecology™,https://www.youtube.com/channel/UCRQSzkcCJzYK6cBVm66drQA,2026-04-14T15:11:23.772Z,857.0,13.597,13.597
Roblox Claims,https://www.youtube.com/watch?v=mgwZ0XUr6_0,,,2026-04-14T15:11:12.021Z,60.0,11.751,11.751
Becoming an airport baggage handler was s HUGE mistake!,https://www.youtube.com/watch?v=Dp6DaR2KjqA,Real Civil Engineer,https://www.youtube.com/channel/UCeP4Yv3s4RvS0-6d9OInRMw,2026-04-14T15:10:18.561Z,1949.0,53.46,53.46
Online Cyber & IT Programs | UMGC App Fee Waived Thru June 1 Horizontal,https://www.youtube.com/watch?v=q09TwxqX2G4,,,2026-04-14T15:09:56.566Z,20.0,21.995,20.0
The Legend - Western Pacific Truck School,https://www.youtube.com/watch?v=3Rg1raQ6upA,,,2026-04-14T15:09:19.033Z,31.0,37.533,31.0
MOUSE: P.I. For Hire | Official Launch Trailer,https://www.youtube.com/watch?v=9nrmJSgqYTI,,,2026-04-14T15:09:13.894Z,116.0,5.139,5.139
I Played 100% of Virtual Villagers... It was HARD!,https://www.youtube.com/watch?v=DTGNxyyphoE,alioof,https://www.youtube.com/channel/UCReD3AZ_nIG_d0lGvxQ4CFA,2026-04-14T15:04:33.755Z,2393.0,280.139,280.139
The Occultist | Out now,https://www.youtube.com/watch?v=M4LyU3ejM8g,,,2026-04-14T15:04:23.121Z,118.0,10.634,10.634
What to Know About the US Blockade of Iran’s Ports,https://www.youtube.com/watch?v=Z5YC8R0MlwE,Bloomberg Television,https://www.youtube.com/channel/UCIALMKvObZNtJ6AmdCLP7Lg,2026-04-14T15:02:44.443Z,80.0,98.678,80.0
GLOSSIER YOU SOIE USA 6 16x9,https://www.youtube.com/watch?v=STkVZAneE8Q,,,2026-04-14T15:02:22.063Z,7.0,22.38,7.0
Ultimate Collection Hero,https://www.youtube.com/watch?v=Y52wnKOzWHI,,,2026-04-14T15:02:12.910Z,15.0,9.153,9.153
Kalshi 12 weather  - p-veo-apr-$gen,https://www.youtube.com/watch?v=wWbMahGE_RY,,,2026-04-14T04:52:46.312Z,37.0,36566.598,37.0
The Entire History Of Browser Games,https://www.youtube.com/watch?v=usGgol1JJwU,CRG Explains,https://www.youtube.com/channel/UCEy85baRPPw7Ls5HkMv8uRA,2026-04-14T04:47:06.272Z,1323.0,340.04,340.04
I-TAP: A Hands-On Electrical Education,https://www.youtube.com/watch?v=kziR6urKPgo,,,2026-04-14T04:47:00.992Z,32.0,5.28,5.28
