title,link,channel,channel_link,date,video_length,time_diff,watch_time
Insane food at a Japanese grocery store,https://www.youtube.com/watch?v=nlaH5C7mMsY,Japan Eat,https://www.youtube.com/channel/UCNzFhleZyCHPeIgmp-McMmQ,2026-03-08T05:56:33.074Z,69.0,,69.0
Well... she actually has two! 💅🥇 #Olympics #MilanoCortina2026 #FigureSkating,https://www.youtube.com/watch?v=BTU-PNylC1I,Olympics,https://www.youtube.com/channel/UCTl3QQTvqHFjurroKxexy2Q,2026-03-08T05:56:08.644Z,12.0,24.43,12.0
"Same Interview, One Year Apart: Get to Know Alysa Liu | #MilanoCortina2026",https://www.youtube.com/watch?v=lL80jMsq018,Olympics,https://www.youtube.com/channel/UCTl3QQTvqHFjurroKxexy2Q,2026-03-08T04:27:37.494Z,86.0,5311.15,86.0
Oberyn Gives The Lannister Soldiers A Lesson 😲🗡️ #shorts #gameofthrones,https://www.youtube.com/watch?v=yiRupD5xFJU,Honor_TVShows,https://www.youtube.com/channel/UCNw3gf_OMBvRZDW-Pce219g,2026-03-08T04:18:31.984Z,,545.51,545.51
Alysa Liu's contrast is really too cute  #alysaliu #olympics #figureskating,https://www.youtube.com/watch?v=oVFoeZEbtwA,Rs Lofi Music 2,https://www.youtube.com/channel/UCXJrWJiSDZIWCqU_LDkx9OA,2026-03-08T03:14:21.299Z,58.0,3850.685,58.0
Alysa Liu wins the Olympic gold medal for the United States,https://www.youtube.com/watch?v=Dg0h9iZ1ZAg,Team USA,https://www.youtube.com/channel/UCPGpDwKpKj9vcoFAOxSbr7A,2026-03-08T00:04:48.543Z,484.0,11372.756,484.0
https://www.youtube.com/watch?v=ThU6LK8xEdE,https://www.youtube.com/watch?v=ThU6LK8xEdE,,,2026-03-08T00:04:29.605Z,,18.938,18.938
Coach was just like every other fan 🙌,https://www.youtube.com/watch?v=McTl066rQww,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-03-08T00:02:45.538Z,104.0,104.067,104.0
Alysa Liu RAW: behind the scenes of a legendary gold medal moment in Milan | NBC Sports,https://www.youtube.com/watch?v=dDCu2xF8BoE,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-03-08T00:01:06.414Z,486.0,99.124,99.124
Alysa LIU won gold but she is cheering and comforting a young girl who just got her first medal 🥹,https://www.youtube.com/watch?v=xm6DNr4IbXE,POPVEIN,https://www.youtube.com/channel/UCAa6dQiR-acYUYbHznG5CVg,2026-03-08T00:01:03.188Z,10.0,3.226,3.226
The REAL Reason Alysa Liu Hugged Ami Nakai After Winning Gold 🥇❤️,https://www.youtube.com/watch?v=UeWtmqYYoA8,Dynamic edits🔥,https://www.youtube.com/channel/UCx7-0mlQQ_eXAVc0oCgf-Nw,2026-03-08T00:00:02.388Z,20.0,60.8,20.0
"54 Ultra - ""Heaven Knows"" (Official Video)",https://www.youtube.com/watch?v=-ivwwGrQt8A,That's Love Records,https://www.youtube.com/channel/UC05MiRojHUsPtNVgy4LAS5A,2026-03-07T06:59:02.108Z,196.0,61260.28,196.0
https://www.youtube.com/watch?v=ThU6LK8xEdE,https://www.youtube.com/watch?v=ThU6LK8xEdE,,,2026-03-07T06:55:58.135Z,,183.973,183.973
Exposing Horrific Conditions of I.C.E. Detention Centers - 5CAST (#17),https://www.youtube.com/watch?v=vB7zWQW-VtE,Channel 5 with Andrew Callaghan,https://www.youtube.com/channel/UC-AQKm7HUNMmxjdS371MSwg,2026-03-07T03:09:45.638Z,3465.0,13572.497,3465.0
Look at the DETAILS 🤩🥇,https://www.youtube.com/watch?v=3CKHn7fMlXA,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-03-07T03:07:13.060Z,14.0,152.578,14.0
"Alysa Liu: Cat mom, lava cake, and Olympic gold 🥰✌🏻 #winterolympics",https://www.youtube.com/watch?v=JD7IaEXUIlY,Adam Rippon,https://www.youtube.com/channel/UCrrvBwMkP3JkOx6MAnaTuug,2026-03-07T03:04:01.734Z,159.0,191.326,159.0
Alysa Liu wins the Olympic gold medal for the United States,https://www.youtube.com/watch?v=CVmCfiFjoVE,Olympics,https://www.youtube.com/channel/UCTl3QQTvqHFjurroKxexy2Q,2026-03-07T01:41:54.513Z,478.0,4927.221,478.0
Lyria 3 | Music Generation comes to Gemini,https://www.youtube.com/watch?v=TD6FPndjhoE,,,2026-03-07T01:41:29.548Z,66.0,24.965,24.965
their friendship is so cute 😭#amberglenn#alysaliu #isabeaulevito #bladeangels #teamusa,https://www.youtube.com/watch?v=V68OqyL4BwQ,Le Wang,https://www.youtube.com/channel/UC_7XAnJ7gOJ925e_1XonMJg,2026-03-06T19:19:39.061Z,59.0,22910.487,59.0
If You Only Want to Buy One Luxury Watch - This is Probably The One (For Most People),https://www.youtube.com/watch?v=JFwHXFKzzV8,Teddy Baldassarre,https://www.youtube.com/channel/UCLGp7H4XuzA9TLJ0L4PUx8w,2026-03-06T18:04:35.735Z,957.0,4503.326,957.0
Subaru racks up a ton of debt【Hololive AnimationClip/ENG sub】,https://www.youtube.com/watch?v=rXExo3SbOBI,Uminyan [EN | Hololive Clips],https://www.youtube.com/channel/UCoIMkYvSOXtNUpuIjflf6QQ,2026-03-05T17:26:43.113Z,133.0,88672.622,133.0
Daenerys almost executed Jaime but Brienn saved him,https://www.youtube.com/watch?v=ZeNuMikywOs,The World Of Recaps,https://www.youtube.com/channel/UCJzeI-2ucQKHkP7Ktffj0kA,2026-03-05T06:54:47.606Z,158.0,37915.507,158.0
Alysa Liu Still Feels the Beat of “Stateside” 🌟 | NYC 2026,https://www.youtube.com/watch?v=jKFG-Eqpmxc,Music & Megamix Super News,https://www.youtube.com/channel/UCyOzTTo1P8PsqeNfvipiJKw,2026-03-05T06:54:46.500Z,10.0,1.106,1.106
What's In My Bag With Alysa Liu,https://www.youtube.com/watch?v=UOYOcdOgA08,Shop TODAY,https://www.youtube.com/channel/UC5XxepIpKatPqisOZXBWE-Q,2026-03-05T06:54:11.193Z,95.0,35.307,35.307
"Subaru: ""It's not gambling, believe me!”【Hololive Animation｜Eng sub】",https://www.youtube.com/watch?v=UjziY4PmfJ4,Tripl3 [EN sub],https://www.youtube.com/channel/UCxDNOCU8jsyXtFWarU9mUVA,2026-03-05T06:46:46.789Z,121.0,444.404,121.0
How to Ultrasonic Clean a Rolex Stainless Steel Watch,https://www.youtube.com/watch?v=9O76NJIT-GQ,Bullion Seconds,https://www.youtube.com/channel/UCguMh42qPgr7pieISabHk4A,2026-03-05T06:42:56.261Z,300.0,230.528,230.528
AmazingChina: Rolex GMT Master II (Clean & Service),https://www.youtube.com/watch?v=yPn7Rlm6SZw,AmazingChina,https://www.youtube.com/channel/UCjlPIzZkOu1hBfSHq7kMTTQ,2026-03-05T06:42:26.927Z,57.0,29.334,29.334
Rolex Watch Cleaning with Ultrasonic #Rolex #viral #trending #ultrasonic,https://www.youtube.com/watch?v=9Hyoa7Ej5TI,RKTransonic,https://www.youtube.com/channel/UC1_M4ySl-bfy03r5839HklQ,2026-03-05T06:41:58.202Z,28.0,28.725,28.0
How To Clean Your Watch To Perfection,https://www.youtube.com/watch?v=vmlVV_l6I38,Maison Des Montres,https://www.youtube.com/channel/UCHuDEeDiwOJKJYvEhh_SpTQ,2026-03-05T06:41:38.556Z,24.0,19.646,19.646
Watch Care 101: see the power of Ultrasonic Cleaning!,https://www.youtube.com/watch?v=XiGd1rA1Qek,UltrasonicCleanersHub,https://www.youtube.com/channel/UCff9VIa_TRXH4wXi4oNv9mA,2026-03-05T06:41:27.185Z,11.0,11.371,11.0
Using a compact ultrasonic cleaner D1800-BR to clean a Rolex Oyster Perpetual watch,https://www.youtube.com/watch?v=KyF1ri2cvik,iSonic,https://www.youtube.com/channel/UCtwDJmhwW--MJAJY3_JMdFQ,2026-03-05T06:41:23.850Z,16.0,3.335,3.335
Alysa Liu RAW: behind the scenes of a legendary gold medal moment in Milan | NBC Sports,https://www.youtube.com/watch?v=dDCu2xF8BoE,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-03-05T06:38:06.267Z,486.0,197.583,197.583
Olympic gold medalist Alysa Liu spotted leaving. Watch what happens live in New York City,https://www.youtube.com/watch?v=r8xdMT5YwXg,NYCPAP,https://www.youtube.com/channel/UCaqh6uUpxfngWxmaMHLSHEA,2026-03-05T06:37:13.943Z,31.0,52.324,31.0
