title,link,channel,channel_link,date,video_length,time_diff,watch_time
Zen Zane,https://www.youtube.com/watch?v=b7N4UN85OVc,,,2026-01-31T07:14:04.300Z,100.0,,100.0
2B1C,https://www.youtube.com/watch?v=0InMb7JFLDk,,,2026-01-31T07:13:05.569Z,52.0,58.731,52.0
Harvard Business School Executive Education,https://www.youtube.com/watch?v=aNAqWJ1xAY4,,,2026-01-31T07:06:25.945Z,7.0,399.624,7.0
ASTRONAUT :15 | American Family Insurance,https://www.youtube.com/watch?v=Ah3b6psJN0k,,,2026-01-31T07:06:03.546Z,,22.399,22.399
Neville Chamberlain and the Politics of Appeasement,https://www.youtube.com/watch?v=_yEpBKpK2Yw,Biographics,https://www.youtube.com/channel/UClnDI2sdehVm1zm_LmUHsjQ,2026-01-31T07:00:22.085Z,1282.0,341.461,341.461
Cursor Agent: 10 Pro Tips!,https://www.youtube.com/watch?v=WVeYLlKOWc0,,,2026-01-31T07:00:14.308Z,752.0,7.777,7.777
Why did an Iranian Muslim save Jews in the Holocaust?,https://www.youtube.com/watch?v=SLcuUG1CTBo,,,2026-01-31T07:00:07.549Z,507.0,6.759,6.759
Neville Chamberlain - On Herr Hitler and his territorial claims in Europe - 1938,https://www.youtube.com/watch?v=4vVWGjPklT0,Roman Styran,https://www.youtube.com/channel/UCd8tLMaDLxUpNG4NqQuhmVw,2026-01-31T06:58:37.377Z,37.0,90.172,37.0
Graham Platner Speaks At Anti-ICE Rally in Lewiston,https://www.youtube.com/watch?v=Xv5h7zUBwrA,Graham Platner for Senate,https://www.youtube.com/channel/UCa_t4_O0On6PXNdXPciiyVw,2026-01-31T06:43:23.898Z,595.0,913.479,595.0
Hubstaff All-in-one Time tracking Software for Productive Teams,https://www.youtube.com/watch?v=ea1GI3swDbQ,,,2026-01-31T06:40:27.979Z,31.0,175.919,31.0
https://www.youtube.com/watch?v=oOK13VzK3zQ,https://www.youtube.com/watch?v=oOK13VzK3zQ,,,2026-01-31T06:34:17.679Z,,370.3,370.3
Shortened: Whitney Allen 017_v1,https://www.youtube.com/watch?v=IxyYbvP1XDQ,,,2026-01-31T06:33:52.259Z,55.0,25.42,25.42
Actors read the Declaration of Independence,https://www.youtube.com/watch?v=MJJxFGXLIz0,MrJohnnyfarragut,https://www.youtube.com/channel/UCFXoeosNZYX6E66a2rcva9Q,2026-01-31T05:32:26.029Z,866.0,3686.23,866.0
Galaxy Z Fold7 CXP Generative Edit | Samsung,https://www.youtube.com/watch?v=NLt7LLOkNN8,,,2026-01-31T05:32:11.379Z,16.0,14.65,14.65
Sarah & JVL Are Furious | Secret Podcast,https://www.youtube.com/watch?v=TadSq8up3dA,The Bulwark,https://www.youtube.com/channel/UCG4Hp1KbGw4e02N7FpPXDgQ,2026-01-31T05:16:27.316Z,1151.0,944.063,944.063
Script 23 Ebonics Winners,https://www.youtube.com/watch?v=FAl_2W40UYo,,,2026-01-31T05:15:11.206Z,69.0,76.11,69.0
Now Taxes is Infinitely Better - TurboTax 2025 Commercial (:30),https://www.youtube.com/watch?v=xFGhXgBMViE,,,2026-01-31T05:14:40.908Z,31.0,30.298,30.298
