title,link,channel,channel_link,date,video_length,time_diff,watch_time
"Mummy, Don't Go 😢 When Mummy Pig Goes Away ✋ Peppa Pig Nursery Rhymes and Kids Songs",https://www.youtube.com/watch?v=1nGUpc3S7g4,Peppa Pig - Nursery Rhymes and Kids Songs,https://www.youtube.com/channel/UCOYd4Al0Ty89xigE-l9AIog,2026-02-26T22:02:39.523Z,3780.0,,3780.0
Blues Traveler Run Around Guitar Lesson,https://www.youtube.com/watch?v=tLR3yk9b0yw,Marty Music,https://www.youtube.com/channel/UCmnlTWVJysjWPFiZhQ5uudg,2026-02-26T12:20:14.302Z,217.0,34945.221,217.0
"""Soda Pop"" Official Lyric Video | KPop Demon Hunters | Sony Animation",https://www.youtube.com/watch?v=983bBbJx0Mk,Sony Pictures Animation,https://www.youtube.com/channel/UCnLuLSV-Oi0ctqjxGgxFlmg,2026-02-26T12:11:58.063Z,171.0,496.239,171.0
“Golden” Official Lyric Video | KPop Demon Hunters | Sony Animation,https://www.youtube.com/watch?v=yebNIHKAC4A,Sony Pictures Animation,https://www.youtube.com/channel/UCnLuLSV-Oi0ctqjxGgxFlmg,2026-02-26T12:08:45.208Z,199.0,192.855,192.855
https://www.youtube.com/watch?v=a4m-VSm_ASU,https://www.youtube.com/watch?v=a4m-VSm_ASU,,,2026-02-23T23:27:04.372Z,,218500.836,218500.836
Weekend Update: Christmas Joke Swap 2023 - SNL,https://www.youtube.com/watch?v=6NE_kbJQ8r8,Saturday Night Live,https://www.youtube.com/channel/UCqFzWxSCi39LnW1JKFR3efg,2026-02-23T23:22:23.244Z,272.0,281.128,272.0
Weekend Update: Christmas Joke Swap 2025 - SNL,https://www.youtube.com/watch?v=fq_6-6ox8I0,Saturday Night Live,https://www.youtube.com/channel/UCqFzWxSCi39LnW1JKFR3efg,2026-02-23T23:16:41.070Z,169.0,342.174,169.0
Weekend Update: Colin Jost and Michael Che Swap Jokes for Season 50 Finale,https://www.youtube.com/watch?v=-1uC5tBGlNg,Saturday Night Live,https://www.youtube.com/channel/UCqFzWxSCi39LnW1JKFR3efg,2026-02-23T23:16:01.433Z,345.0,39.637,39.637
Colin Jost: Bobsledding was 'the scariest experience' of my life | Winter Olympics 2026 | NBC Sports,https://www.youtube.com/watch?v=cQPUfKmhj-E,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-02-20T15:21:24.694Z,181.0,287676.739,181.0
"At 41, in her 5th Olympics, Elana Meyers Taylor wins her first Olympic gold medal | NBC Sports",https://www.youtube.com/watch?v=R87sWW3RdFE,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-02-18T23:46:56.639Z,485.0,142468.055,485.0
"Wolfdog jumps into Olympic XC ski race, goes for gold | Winter Olympics 2026 | NBC Sports",https://www.youtube.com/watch?v=vo_jyxSnk2Q,NBC Sports,https://www.youtube.com/channel/UCqZQlzSHbVJrwrn5XvzrzcA,2026-02-18T23:43:23.264Z,80.0,213.375,80.0
Pearl Jam - Black (Official Audio),https://www.youtube.com/watch?v=qgaRVvAKoqQ,PearljamVEVO,https://www.youtube.com/channel/UCqSQvq0K7rtRL8hX175LkMA,2026-02-17T18:24:29.203Z,346.0,105534.061,346.0
The Beach Boys - Good Vibrations (Official Music Video),https://www.youtube.com/watch?v=apBWI6xrbLY,TheBeachBoysVEVO,https://www.youtube.com/channel/UCEPcmp9VIOGj-0X1J4IC9EA,2026-02-17T16:12:15.676Z,215.0,7933.527,215.0
