title,link,channel,channel_link,date,video_length,time_diff,watch_time
"This Is ARC Raiders Most Important Item Now, So Here's...",https://www.youtube.com/watch?v=5PSCUl488ZI,The Gaming Merchant,https://www.youtube.com/channel/UCz2_M6-NBgdiLvDOmlH074g,2026-03-08T00:51:08.509Z,992.0,,992.0
Marathon might actually be cooked,https://www.youtube.com/watch?v=ir3U7R8mBFw,ENDYMIONtv,https://www.youtube.com/channel/UC92iwH5d9u0CeJtCx17YT9Q,2026-03-07T21:51:44.027Z,1763.0,10764.482,1763.0
Marathon just signed Bungie’s death warrant,https://www.youtube.com/watch?v=gmK4PgIjFkE,ENDYMIONtv,https://www.youtube.com/channel/UC92iwH5d9u0CeJtCx17YT9Q,2026-03-07T09:54:07.864Z,1363.0,43056.163,1363.0
Weather patterns and mood swings,https://www.youtube.com/watch?v=4eDB2aILtrg,The Vagle Family,https://www.youtube.com/channel/UCEHUlVZq-jeKoNhNBlxOJsQ,2026-03-07T09:51:10.381Z,74.0,177.483,74.0
Spanish Lentils with Chorizo,https://www.youtube.com/watch?v=lfW-9rpUl-4,J. Kenji López-Alt,https://www.youtube.com/channel/UCqqJQ_cXSat0KIAVfIfKkVA,2026-03-07T09:51:02.470Z,179.0,7.911,7.911
My top 10 games of all time. Agree or disagree?,https://www.youtube.com/watch?v=Nf88Yu21MLo,Flats TV,https://www.youtube.com/channel/UConTcKCPJ8yNp3zk1S-_Nvw,2026-03-07T09:51:00.501Z,150.0,1.969,1.969
*skydives into the floor*,https://www.youtube.com/watch?v=etFX18-pscU,sharki_conan<3,https://www.youtube.com/channel/UC5zX_xDnY4CeKsbIUwmxRKQ,2026-03-07T09:50:58.918Z,10.0,1.583,1.583
Peanut Used METH again,https://www.youtube.com/watch?v=uiVpHDMnzDY,Burntpeanutclips,https://www.youtube.com/channel/UC9f0oiLZcNeaq39tJ2t3e3A,2026-03-07T09:49:44.295Z,44.0,74.623,44.0
DESTINEES HAIR 💗 #detroitstylist #detroitbraider #detroithair #hairstyles #destineeshair,https://www.youtube.com/watch?v=CN5FrluSX_Q,Destinee’s Hair 💗,https://www.youtube.com/channel/UC7_WA3CbgtEDDrCUVgkPwYg,2026-03-07T09:49:23.044Z,76.0,21.251,21.251
Don’t look at the back 😂😭 #knotlessbraids #braids #blackgirlmagic #hairtok #braidedhairstyles,https://www.youtube.com/watch?v=nGuBmC_RaMU,Alexis Carey,https://www.youtube.com/channel/UC_vGjr5bXtMk5zXpa8-xMIA,2026-03-07T09:49:14.116Z,8.0,8.928,8.0
Morning Gaming im going to get u | #maineventtrey33 on #Twitch #fyp #cod #callofduty #streamer,https://www.youtube.com/watch?v=FHZaZdejGC4,Maineventtrey33,https://www.youtube.com/channel/UCfToqRfKjdOlOL6jcI5VhGA,2026-03-07T09:49:12.959Z,31.0,1.157,1.157
Attempting to create the most maximized vodka pasta in existence #cooking #food,https://www.youtube.com/watch?v=gxUbStadfgY,Fork the People,https://www.youtube.com/channel/UCTNET75_1rZifnYhNYNZrtw,2026-03-07T09:49:11.434Z,111.0,1.525,1.525
BurntPeanut Had NO IDEA He Made The Dumbest Play!,https://www.youtube.com/watch?v=mNKJ6_djYSc,SirBurntPeanut ,https://www.youtube.com/channel/UCWIve06k-PCenpWRP6vwVfQ,2026-03-07T09:49:10.232Z,53.0,1.202,1.202
when a sphynx and a borzoi meet 👀🫣 @l@lindseykuzminborzoi  #sphynx #dogsandcats #meetcute,https://www.youtube.com/watch?v=-DgGQNtwacc,Cleolonglegs,https://www.youtube.com/channel/UCSk-ObEYne6m_DiFw6MGV_g,2026-03-07T09:49:08.734Z,97.0,1.498,1.498
🔥Watch Live🔥 2026-03-07 17:02:40,https://www.youtube.com/watch?v=_A-_XqKm5QY,Sunday Again,https://www.youtube.com/channel/UCR-U7k-W6sV_fqjsKpBj4dA,2026-03-07T09:49:07.717Z,,1.017,1.017
🔥 Top 5 Funniest Burnt Peanut Stream Moments (Part 70),https://www.youtube.com/watch?v=qZLTmsIva-o,TopListToks,https://www.youtube.com/channel/UCdVY_0uFXer-eJHHFxV8whQ,2026-03-07T09:49:05.722Z,72.0,1.995,1.995
Olympics Pasta,https://www.youtube.com/watch?v=DTepVrwOOYc,Nick DiGiovanni,https://www.youtube.com/channel/UCMyOj6fhvKFMjxUCp3b_3gA,2026-03-07T09:49:03.647Z,30.0,2.075,2.075
Austin Is Worried!,https://www.youtube.com/watch?v=FSTaSWoaW-w,Fear& Clips,https://www.youtube.com/channel/UCbGCHkeXk7hV09XkJL0atbg,2026-03-07T09:49:01.637Z,27.0,2.01,2.01
"He said he’s ""seen it all."" One second later: system error #funnyvideo #foryoupag #couplelife",https://www.youtube.com/watch?v=O1jAcI1uzlY,Joseph Campbell,https://www.youtube.com/channel/UCdFxHgbH3Xgm2AQbfolD3kQ,2026-03-07T09:48:58.798Z,59.0,2.839,2.839
I always make these when I’m too tired to cook,https://www.youtube.com/watch?v=fmaj_v-REWI,Moribyan,https://www.youtube.com/channel/UCfvw_8vh2qTq5XRIVw9C5SA,2026-03-07T09:48:57.317Z,56.0,1.481,1.481
some on-screen chemistry is real,https://www.youtube.com/watch?v=4q_uNnXn3K0,NoContextReacts,https://www.youtube.com/channel/UCxaps1RK6NLMYSPCjmtbnvQ,2026-03-07T09:48:46.101Z,,11.216,11.216
Gingy was showing the boys how its done in prop hunt! #arcraiders #burntpeanut #theburntpeanut #fyp,https://www.youtube.com/watch?v=nGpLIdYegbE,Clips-Peanut,https://www.youtube.com/channel/UChFHrqZKze1D1rWPPpxiFZA,2026-03-07T09:46:48.652Z,61.0,117.449,61.0
how to wash your marcy #borzoi #bathtime #longdog #noodle,https://www.youtube.com/watch?v=NShiFTgolpk,Cleolonglegs,https://www.youtube.com/channel/UCSk-ObEYne6m_DiFw6MGV_g,2026-03-07T09:46:35.536Z,65.0,13.116,13.116
Even The Greats Aren't Perfect | DELTA FORCE,https://www.youtube.com/watch?v=ffcvPBjYTjg,TheBurntPeanut,https://www.youtube.com/channel/UCMNEVbszv8ZyvSXoTn3yhpQ,2026-03-07T09:46:15.396Z,60.0,20.14,20.14
Frankie Grande’s Heated Rivalry #frankiegrande #austinshow #heatedrivalry #lgbtq #gay,https://www.youtube.com/watch?v=x6ps3o5ZRiw,AustinShow,https://www.youtube.com/channel/UCuo4oFbb__fyoIDE2z_RdMA,2026-03-07T09:45:29.541Z,37.0,45.855,37.0
He Just Had To Try It...,https://www.youtube.com/watch?v=O42QChQlPlE,TheBurntPeanutShorts,https://www.youtube.com/channel/UCOfQQoEvDfRn9EdlDJQkqaw,2026-03-07T09:44:39.520Z,52.0,50.021,50.021
Egg Confit & Steak Frites,https://www.youtube.com/watch?v=G8W6eCngrC8,ByronTalbott,https://www.youtube.com/channel/UCD5WWnRed32y3xGwmrDhUiQ,2026-03-07T09:43:24.308Z,93.0,75.212,75.212
Peanuts TRYING to get cancelled 😂🤣 #theburntpeanut #burntpeanut #arcraiders #kaicenat #nickmercs,https://www.youtube.com/watch?v=OtgbSHxkd0A,ClipsbyMercy ,https://www.youtube.com/channel/UCt53kMI1tUtFinqQQQYpJYw,2026-03-07T09:42:45.283Z,34.0,39.025,34.0
a borzoi does a schlarm #schlarm #borzoi #whatthatsnootdo,https://www.youtube.com/watch?v=R2dAo7f3Wr0,Cleolonglegs,https://www.youtube.com/channel/UCSk-ObEYne6m_DiFw6MGV_g,2026-03-07T09:42:12.204Z,20.0,33.079,20.0
Skip the frying make garlic chili oil in your oven #easyrecipe #cooking #shorts,https://www.youtube.com/watch?v=J8bq-55l9GY,Ahmad Noori,https://www.youtube.com/channel/UC0TiAs0llJVv07HmTkLLVsA,2026-03-07T09:41:41.095Z,31.0,31.109,31.0
Tech Titans. Tiny Thinking. Will AI Save or Sink Us?,https://www.youtube.com/watch?v=zwO3CKa6RuY,Josh Johnson,https://www.youtube.com/channel/UCLuYADJ6hESLHX87JnsGbjA,2026-03-07T05:08:19.546Z,2418.0,16401.549,2418.0
"STOP THIS MISTAKE!!! High Level Marathon Looting, Combat, & Solo Tips & Tricks [Marathon Academy]",https://www.youtube.com/watch?v=LPw9QlWoQl8,IceManIsaac,https://www.youtube.com/channel/UCoT7FaR2QO-YSplT4N5UIbg,2026-03-07T04:39:37.910Z,1721.0,1721.636,1721.0
THEY SAID THE NUT WASNT CRACKED | Apex Legends,https://www.youtube.com/watch?v=hfouFmo5sfg,TheBurntPeanut,https://www.youtube.com/channel/UCMNEVbszv8ZyvSXoTn3yhpQ,2026-03-07T01:42:00.668Z,54.0,10657.242,54.0
He’s Not Beating the Allegations,https://www.youtube.com/watch?v=bCNxrOuziwg,Fear& Clips,https://www.youtube.com/channel/UCbGCHkeXk7hV09XkJL0atbg,2026-03-07T01:41:48.368Z,80.0,12.3,12.3
ULTIMATE MARATHON GUIDE - Game Changing Advanced & Beginner Tips,https://www.youtube.com/watch?v=0uUo3b80ADs,IceManIsaac,https://www.youtube.com/channel/UCoT7FaR2QO-YSplT4N5UIbg,2026-03-06T22:22:41.291Z,2178.0,11947.077,2178.0
Did I Finally Solve Pretty Little Liars?? (Season 6),https://www.youtube.com/watch?v=QEsT1Za4oko,Chase Bridges,https://www.youtube.com/channel/UCJdONOhhWkCpb9S-l4KUG5w,2026-03-06T18:58:30.837Z,6705.0,12250.454,6705.0
Marathon vs. ARC Raiders: The Internet Got This One Wrong,https://www.youtube.com/watch?v=LXxmzvnKEBQ,Nikos,https://www.youtube.com/channel/UCwPuC3eWCpfPsUOx-T3I6dQ,2026-03-06T18:20:23.124Z,1502.0,2287.713,1502.0
My head is spinning from everything I just witnessed.,https://www.youtube.com/watch?v=y6-TW--yg5w,"Alyson Bullock, MFT & Relationship Coach",https://www.youtube.com/channel/UCRtQcu2fyIHyTTyYcDXgU4g,2026-03-06T17:46:27.368Z,66.0,2035.756,66.0
Simple technique for a complex grassland scene.,https://www.youtube.com/watch?v=qgLxtT4L_nw,The Art Coach,https://www.youtube.com/channel/UCo26P9-hOODP5yNTF3hYeAw,2026-03-06T17:46:25.286Z,41.0,2.082,2.082
Tfue Thought Peanut was Black... 🤣,https://www.youtube.com/watch?v=JnIXs0ZOnQo,MrBurntPeanut,https://www.youtube.com/channel/UC6tI_WYZ_eivU2NvUl53lpA,2026-03-06T17:46:21.782Z,18.0,3.504,3.504
Definitely not something I’ve ever had before @PlantYou  😅 #marshmallow #vegan #plantbased,https://www.youtube.com/watch?v=U_LkE2Xjrvg,The Plant Slant,https://www.youtube.com/channel/UCEMj2h7pP4QWkoGnSmaiiYw,2026-03-06T17:45:51.589Z,65.0,30.193,30.193
Debbie is a good mother.#shorts,https://www.youtube.com/watch?v=IkEbsjLhbpc,NarrEcho ,https://www.youtube.com/channel/UCGn0WH4s02cMu1NYi-RQyig,2026-03-06T17:45:49.817Z,,1.772,1.772
Top 10 Most Botched Hair Transformations: Number 1 is Morgan #bleach #hairfail #hairtransformation,https://www.youtube.com/watch?v=ZLd64ydQUM0,Alfredo Lewis,https://www.youtube.com/channel/UCkXhH_3VLjRSiOcnlUnuolg,2026-03-06T17:45:47.914Z,119.0,1.903,1.903
An 🧊-melting outfit #shorts,https://www.youtube.com/watch?v=-iYM9ZQyVpE,andrea's fashion galaxy,https://www.youtube.com/channel/UCU69ROL7juUiTZVs5PsN55Q,2026-03-06T17:45:45.332Z,53.0,2.582,2.582
Printing the most random textures in Thailand #art #printing #texture #sketchbook #designer,https://www.youtube.com/watch?v=nUEDzGOjNbs,Estooonka,https://www.youtube.com/channel/UC7mLxiX232MgyctiuQWgN8Q,2026-03-06T17:45:43.281Z,13.0,2.051,2.051
"March 6, 2026",https://www.youtube.com/watch?v=sXLNsj6YdTw,Working Mom’s diary ,https://www.youtube.com/channel/UC9O719DtE3sXNjKTJ2V5fQA,2026-03-06T17:45:41.576Z,61.0,1.705,1.705
WIG INSTALL TUTORIAL 🎀 #detroitstylist #detroitbraider #detroithair #hairstyles #destineeshair,https://www.youtube.com/watch?v=qsajQPXSMvU,Destinee’s Hair 💗,https://www.youtube.com/channel/UC7_WA3CbgtEDDrCUVgkPwYg,2026-03-06T17:43:33.958Z,128.0,127.618,127.618
Gingy Drink a Voodoo Ranger #arcraiders,https://www.youtube.com/watch?v=vrCspVNZOYQ,Bungulanus,https://www.youtube.com/channel/UCKbGXDll9MMgqutIlds4zsg,2026-03-06T17:42:53.315Z,56.0,40.643,40.643
"🍪💸 MOM OF THE YEAR OR MASTER THIEF? Georgia’s First ""Heist"" at Blue Farm | Ginny & Georgia S3",https://www.youtube.com/watch?v=FPAmajE8Qz0,JukeBoxer1,https://www.youtube.com/channel/UCt4Nm5UEqkGx0eEjjVGhkDA,2026-03-06T17:42:48.842Z,37.0,4.473,4.473
♥️ Trixie's Coming Out Story To Her Brother Is Heartwarming #shorts #trixieandkatya #unhhhh #drag,https://www.youtube.com/watch?v=tdZfvfj2wAI,Cassie O'Peeyah,https://www.youtube.com/channel/UCNblkkhwWY2K-474frxRTdw,2026-03-06T17:42:46.410Z,49.0,2.432,2.432
N3on gets HYPED when TJR says his chef is cooking Indian food 😂 #tjr #n3on #shorts #streamer,https://www.youtube.com/watch?v=q5moLnIVlx0,NEWESTMONEY,https://www.youtube.com/channel/UC7z-_M0LyaPGvztAENF5RNA,2026-03-06T17:42:44.866Z,10.0,1.544,1.544
Design your home in 3D #interiordesign #homedesign #housedesign,https://www.youtube.com/watch?v=2QAT4_f6WvU,SetupsAI,https://www.youtube.com/channel/UC0xHrJNbxHmFnUP-49WYM-Q,2026-03-06T17:42:43.704Z,14.0,1.162,1.162
How to Be Single (2016) | Learning to Love Being Alone 💔➡️💃✨,https://www.youtube.com/watch?v=q1mKAXtesdw, Caroline  Bell,https://www.youtube.com/channel/UCyBhslEPMbC4HXS6hCl8z4w,2026-03-06T17:42:40.779Z,58.0,2.925,2.925
Better luck next time 🫩 #corporate #trend #best,https://www.youtube.com/watch?v=pSfLAk0pTLk,Corporate Natalie,https://www.youtube.com/channel/UCkB_6y3XqJgFEAQZ6DnikOA,2026-03-06T17:42:38.754Z,7.0,2.025,2.025
Not Exactly What I Asked For | Arc Raiders,https://www.youtube.com/watch?v=IsfeendbXcw,Gingy,https://www.youtube.com/channel/UCd_Iqrz2SjW9uLn69Yr2uWg,2026-03-06T17:42:06.699Z,33.0,32.055,32.055
