title,link,channel,channel_link,date,video_length,time_diff,watch_time
"AC Black Flag Remake LEAKED, Metro 2039 REACTION, FAIRGAME$ LEAK",https://www.youtube.com/watch?v=Rds6Mkj-Fxo,Reforge Gaming,https://www.youtube.com/channel/UC5YG8pqTT7nvtUMVOQm798A,2026-04-17T14:00:34.391Z,12700.0,,12700.0
Brand New NEO-GEO Console for 2026 | Not FPGA or Emulation| NEOGEO AES+,https://www.youtube.com/watch?v=d9AZ050gqbY,Pixel Cherry Ninja,https://www.youtube.com/channel/UCEozS0uaZibXKTQSu10XgSw,2026-04-17T05:11:56.252Z,725.0,31718.139,725.0
Valerie Verman makes it clear to Jason Curtis that she can win without cheating #prowrestling,https://www.youtube.com/watch?v=FHZfdoy5E44,Juan Antonio Acevedo,https://www.youtube.com/channel/UCCrA99Ukss5VS1R4fgl53Ag,2026-04-17T05:10:59.437Z,28.0,56.815,28.0
Neo Geo AES Collecting Is About To Be WAY Cheaper!,https://www.youtube.com/watch?v=wb_v5hCKtqY,PeteDorr,https://www.youtube.com/channel/UCeTvRtfRFyWXdO_ZbyArPjA,2026-04-17T05:10:33.089Z,858.0,26.348,26.348
Most DELICIOUS creamy chipotle chicken & potatoes🍗🍟🧀 ONLY 550 calories!,https://www.youtube.com/watch?v=Q0VvgQtkMkQ,Jalalsamfit,https://www.youtube.com/channel/UCrCRMKwXKvH5PN_xtk2o1BA,2026-04-17T03:53:19.978Z,68.0,4633.111,68.0
Replaced Is Bad Cause It Has A 79 Says Reforge Gaming,https://www.youtube.com/watch?v=KPqwMIUcKdU,Garaa0fTheRage,https://www.youtube.com/channel/UC1gIsJeg53lW8H5fGarqSIA,2026-04-17T02:50:37.847Z,1084.0,3762.131,1084.0
I Got It ✅,https://www.youtube.com/watch?v=RwuLPd1WKYQ,Morgpie,https://www.youtube.com/channel/UCxUF_wyHck2gXLxEYmaTHmQ,2026-04-17T02:22:10.549Z,20.0,1707.298,20.0
NCP: EP 244 | Xbox Exclusivity | Fair Game$ is a what? | Starfield Flops on PS5? |  Wuchang Dev axed,https://www.youtube.com/watch?v=7sTR8VZcpEI,NO CAP PODCAST,https://www.youtube.com/channel/UCq7Idqc3ob3SDRksq9BUb2Q,2026-04-17T02:21:33.976Z,9075.0,36.573,36.573
Emiru & YourRage confront each other,https://www.youtube.com/watch?v=ltW3py23iUs,PURPLE CLIPPER,https://www.youtube.com/channel/UCkHdoV_4R0JNMRMOF4uMF4g,2026-04-17T01:45:37.159Z,505.0,2156.817,505.0
"Xbox CEO: ""Game Pass Too Expensive"" | Fairgames Ready To Launch? | PS6 Hardware Rumors | Saros Meta",https://www.youtube.com/watch?v=wN5rYA844bg,Mooch,https://www.youtube.com/channel/UCZxvnIjG3SKH_-IIUNGGhiw,2026-04-17T01:08:21.684Z,12126.0,2235.475,2235.475
"Nintendo 64 jungle mix 01 - Drum & bass, liquid funk, jump up, neurofunk, darkside, etc",https://www.youtube.com/watch?v=uLxD4ozDPZA,ryland kurshenoff,https://www.youtube.com/channel/UCzGrX7OGWvNz5HxV0R2w4WQ,2026-04-17T00:52:25.726Z,5585.0,955.958,955.958
Kyokushin Kata,https://www.youtube.com/watch?v=5lEBrn1rWRo,111makar111,https://www.youtube.com/channel/UCiALZ_TaRjDw27TvbCx-mzg,2026-04-17T00:00:09.856Z,2543.0,3135.87,2543.0
Wonder Boy: The Dragon's Trap Part 3/3: Finale,https://www.youtube.com/watch?v=6xfkrVt8bbQ,Elle-C X,https://www.youtube.com/channel/UCvIT5tipC5TpIdQR8NP6UaA,2026-04-16T22:32:38.150Z,18137.0,5251.706,5251.706
Scenario Leon B in Glorious HD ✨ Playing Original RE2 (RE:Enhance Mod),https://www.youtube.com/watch?v=b7PXkk0qrvo,Meghan Yeah,https://www.youtube.com/channel/UCwjtG-DXHDJSk2pRM7_o3QQ,2026-04-16T21:00:05.372Z,12245.0,5552.778,5552.778
XBOX Bring Back Exclusives For Project Helix?,https://www.youtube.com/watch?v=gRlsl9Wz-vg,Puertorock77,https://www.youtube.com/channel/UCektMAX9UGtJhnqla7VDaXQ,2026-04-16T20:01:04.834Z,644.0,3540.538,644.0
Why every 80s home computer used BASIC (almost),https://www.youtube.com/watch?v=5ky1-Zr7wII,Little Car,https://www.youtube.com/channel/UCvELKG2RzisxpjhWm0b4xow,2026-04-16T19:42:48.157Z,630.0,1096.677,630.0
You Can ACTUALLY Afford Neo Geo in 2026,https://www.youtube.com/watch?v=gf9aY03zZ3k,Mr. Wright Way ,https://www.youtube.com/channel/UCWtXPCgzRPfvDszTmxMay9Q,2026-04-16T19:42:18.279Z,788.0,29.878,29.878
New State Of Play Rumor -PS6 Backward Compatibility -Saros PS5 Pro - New Xbox Dashboard - Metro 2039,https://www.youtube.com/watch?v=OZgwHbwYSaM,Marlongamingnation,https://www.youtube.com/channel/UCVXxhhmqa51GtveM8X6lp9w,2026-04-16T19:04:20.062Z,10367.0,2278.217,2278.217
Neo Geo is Coming BACK! Real Hardware Not Emulation or FPGA! Neo Geo+,https://www.youtube.com/watch?v=rmigRGvsvIM,Video Game Esoterica,https://www.youtube.com/channel/UCn2pQB4jsCTLUtx2NIkCvUg,2026-04-16T19:03:28.046Z,627.0,52.016,52.016
Metro 2039 - Reveal Trailer | PS5 Games,https://www.youtube.com/watch?v=1OFIJdlyKyY,PlayStation,https://www.youtube.com/channel/UC-2Y8dQb0S6DtpxNgAKoJKA,2026-04-16T17:19:35.234Z,375.0,6232.812,375.0
PlayStation Earnings Call Hype Grows as Sony Reveals Bloodborne Project,https://www.youtube.com/watch?v=AfuA1gxnjuU,Destin,https://www.youtube.com/channel/UCgUOWrjLEhmHE9tqYtoeS_g,2026-04-16T17:14:35.758Z,696.0,299.476,299.476
I Fixed 5 Broken PlayStations,https://www.youtube.com/watch?v=Gwj2FfIQ6hg,Sayaka's Digital Attic,https://www.youtube.com/channel/UC2OYnh5nKWUnzj5D1Xt9Kdw,2026-04-16T17:11:28.130Z,2128.0,187.628,187.628
Painting My Fish Tanks,https://www.youtube.com/watch?v=RkvKVJyl6FA,Florina,https://www.youtube.com/channel/UCyEdl1XiUlkmv5bbKWsY2yg,2026-04-16T16:52:45.153Z,1273.0,1122.977,1122.977
Most Overweight People Severely Underestimate Their Calories,https://www.youtube.com/watch?v=BMy5OhPjxS8,Abdul Aesthetics,https://www.youtube.com/channel/UCk_xTTeXR52eZ3NecwLD9Ng,2026-04-16T16:51:32.378Z,1181.0,72.775,72.775
THE GREATEST COOKING SHOW OF ALL TIME,https://www.youtube.com/watch?v=Ptdflx9bZjY,OFWGKTA,https://www.youtube.com/channel/UCvvMe-A4FbvtMk-V_vE9PpQ,2026-04-16T16:49:58.722Z,259.0,93.656,93.656
NEOGEO AES+ Announce Trailer [ENG-PEGI],https://www.youtube.com/watch?v=U7J0whhwi0U,PLAION UK,https://www.youtube.com/channel/UCy0TJS93aU6kz68VOKKxrIA,2026-04-16T16:38:59.553Z,109.0,659.169,109.0
"NEO GEO AES IS BACK! Real Original Hardware Returns – NO Emulation, NO FPGA, 100% Official!",https://www.youtube.com/watch?v=IkwvmW8MkkI,Madlittlepixel,https://www.youtube.com/channel/UC0oMYbkaO_bFN4Fh4J0LpYg,2026-04-16T16:33:28.258Z,806.0,331.295,331.295
Xbox First Look: Metro 2039 Official World Premiere (Waiting Room),https://www.youtube.com/watch?v=UsoMJE2rhAs,Reforge Gaming,https://www.youtube.com/channel/UC5YG8pqTT7nvtUMVOQm798A,2026-04-16T13:58:43.313Z,11945.0,9284.945,9284.945
RE1's 100% Started It All,https://www.youtube.com/watch?v=pVEwMG41Sfw,Amino,https://www.youtube.com/channel/UCnZhDMPhJt_8x_2InbvT6Rw,2026-04-16T03:14:32.726Z,3819.0,38650.587,3819.0
"What Could a $30,000 SGI Octane Actually Do in the 90s?",https://www.youtube.com/watch?v=b2fpW66LLBg,Retro Workdays,https://www.youtube.com/channel/UC5WWRmdrMWPFHnETHPZB4Rw,2026-04-16T02:00:11.958Z,667.0,4460.768,667.0
Why You Still Remember the Sound of Windows 3.0,https://www.youtube.com/watch?v=kX1raZ9BMPU,Retro Workdays,https://www.youtube.com/channel/UC5WWRmdrMWPFHnETHPZB4Rw,2026-04-16T01:49:05.626Z,626.0,666.332,626.0
What Happened to Intel iAPX? Why Intel Moved Back to x86?,https://www.youtube.com/watch?v=v4qaFGdFoks,Retro Workdays,https://www.youtube.com/channel/UC5WWRmdrMWPFHnETHPZB4Rw,2026-04-16T01:37:45.820Z,654.0,679.806,654.0
"How Ed, Edd n Eddy Became The LAST Show Of Its Kind",https://www.youtube.com/watch?v=Juk6XweWOoA,Nowhere To Land,https://www.youtube.com/channel/UCtuOQu2HdbpvTy7PR9rfsMA,2026-04-16T01:14:33.694Z,628.0,1392.126,628.0
