title,link,channel,channel_link,date,video_length,time_diff,watch_time
Customer Complains That Their Food Tastes of LEMONADE | Kitchen Nightmares,https://www.youtube.com/watch?v=7WlRdTIaHLE,Kitchen Nightmares,https://www.youtube.com/channel/UCUZzyuAlhHNP3oiuMjn7RfQ,2026-04-20T23:46:12.134Z,249,,249.0
Meet the Deadliest Cat on the Planet,https://www.youtube.com/watch?v=nl8o9PsJPAQ,Nature on PBS,https://www.youtube.com/channel/UCcBp_9YPyma4c3HTadmRJ3Q,2026-04-20T23:42:56Z,186,196.134,186.0
"Publix Employee Caught Stealing $7,000 Cash Demands Special Treatment From Police",https://www.youtube.com/watch?v=ef8IWrHWL3k,Body Cam Goat,https://www.youtube.com/channel/UCJke77BZGbcl0dq0nvPgr9g,2026-04-20T23:29:59.020Z,661,776.98,661.0
"Dream wedding turns into nightmare, couple taking White Swan Castle to court",https://www.youtube.com/watch?v=lALIK6qlkrQ,ABC10,https://www.youtube.com/channel/UCT350j4u6alUKyF9eu2bGug,2026-04-20T22:07:25.725Z,504,4953.295,504.0
Watch a kitten try to catch fish for the first time | BBC Global,https://www.youtube.com/watch?v=pkiK6sFDA-Q,BBC Global,https://www.youtube.com/channel/UCfYW5GXBXueSO5p9bxD45qg,2026-04-20T22:03:56.621Z,213,209.104,209.104
Bar Leak Ruins Shoes and Causes Foot Infection,https://www.youtube.com/watch?v=DU1ZT_ahu2E,The People's Court,https://www.youtube.com/channel/UCPdfl4jf-SGRKEu5aCN1W9Q,2026-04-20T21:51:41.687Z,1012,734.934,734.934
"Even after legal victory, ex-nurse struggles to get support from City of Hope",https://www.youtube.com/watch?v=aVdhyqhhBco,NBCLA,https://www.youtube.com/channel/UCSWoppsVL0TLxFQ2qP_DLqQ,2026-04-20T21:46:19.237Z,299,322.45,299.0
Candid Camera Classic: Texas Is Closed Today,https://www.youtube.com/watch?v=qKcMPudbrAA,Candid Camera Classics,https://www.youtube.com/channel/UCBH1PpAu9UZ0Dkn6qGqGsmg,2026-04-20T21:42:18.299Z,204,240.938,204.0
Workers' comp claim denied after nurse's coworkers fail to give CPR,https://www.youtube.com/watch?v=gXubd3QTHcw,NBCLA,https://www.youtube.com/channel/UCSWoppsVL0TLxFQ2qP_DLqQ,2026-04-20T21:35:26.647Z,378,411.652,378.0
Police Track Down iPad Thief on Airplane Using Apple’s Find My,https://www.youtube.com/watch?v=OSwqe0JCBr8,Police Release,https://www.youtube.com/channel/UCPCOWnKkD1VqE4n_8TznaoA,2026-04-20T21:25:28.792Z,654,597.855,597.855
Police Step In After Tourists Steal from Coffee Shop Tip Jar,https://www.youtube.com/watch?v=OD8ipsB9Mb0,FirstResponderFiles,https://www.youtube.com/channel/UCSRoolkom-vf_0LFRORcSEQ,2026-04-20T21:03:14.605Z,1399,1334.187,1334.187
China's Disturbing “Fixed Smile” Obsession,https://www.youtube.com/watch?v=0TzeRUraYwg,Wonny,https://www.youtube.com/channel/UCjz8uBTLs0f7Fnlxc5nzT5g,2026-04-20T20:58:04.724Z,755,309.881,309.881
10 U.S. Bridges That Scare Drivers The Most (Here's Why),https://www.youtube.com/watch?v=acusltEcXCg,ForgottenFrank,https://www.youtube.com/channel/UCW9PBDrwxeM_ZqZVgSPbAAg,2026-04-20T20:57:45.303Z,1128,19.421,19.421
Chili's Waitress - SNL,https://www.youtube.com/watch?v=PXqxRcRUmUk,Saturday Night Live,https://www.youtube.com/channel/UCqFzWxSCi39LnW1JKFR3efg,2026-04-20T20:52:23.774Z,299,321.529,299.0
You Didn't Imagine This Show. 20 Million Kids Saw It and No One Can Prove It.,https://www.youtube.com/watch?v=sySJPJjZxks,Fever Dream Nostalgia,https://www.youtube.com/channel/UCYv8-a2I_WmBusiX9g5hboA,2026-04-20T20:50:39.641Z,863,104.133,104.133
Legends Of The Hidden Temple - Secrets Nickelodeon Didn't Want You To Know,https://www.youtube.com/watch?v=17wci-xRJrc,Fever Dream Nostalgia,https://www.youtube.com/channel/UCYv8-a2I_WmBusiX9g5hboA,2026-04-20T20:36:45.591Z,838,834.05,834.05
Amazon Just Rug-Pulled People's Game Libraries,https://www.youtube.com/watch?v=ELmChif1VNw,Bellular News,https://www.youtube.com/channel/UC3nPaf5MeeDTHA2JN7clidg,2026-04-20T20:36:10.464Z,863,35.127,35.127
Home Inspection,https://www.youtube.com/watch?v=rco0aCDpJ3Q,The People's Court,https://www.youtube.com/channel/UCPdfl4jf-SGRKEu5aCN1W9Q,2026-04-20T20:26:17.687Z,651,592.777,592.777
MH370 – Everything We Know From The $150 Million Search,https://www.youtube.com/watch?v=MDwkCC-x_Lc,Wonder,https://www.youtube.com/channel/UCRAAdF42hZcTHAorbbDuivw,2026-04-20T20:15:00.561Z,2783,677.126,677.126
The Best and Worst Frozen Fish Sticks | The Taste Test,https://www.youtube.com/watch?v=j5gd0wkBC6Y,America's Test Kitchen,https://www.youtube.com/channel/UCxAS_aK7sS2x_bqnlJHDSHw,2026-04-20T19:58:30.823Z,1107,989.738,989.738
Teen Totals Car After Night of Drinking,https://www.youtube.com/watch?v=n1Sbymy8Hec,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-04-20T16:36:44.869Z,223,12105.954,223.0
Judge Judy Doesn't Like When People Lie!,https://www.youtube.com/watch?v=yz6uSCxZJOc,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-04-20T16:32:50.131Z,234,234.738,234.0
Jocelyn Peters was working on baby shower invitations at the time she was killed. Who is to blame?,https://www.youtube.com/watch?v=G_l5KaxjE4o,48 Hours,https://www.youtube.com/channel/UC7htuVs06oduI3xSfTdcxPA,2026-04-20T15:51:22.395Z,3776,2487.736,2487.736
Man Hit with Fees After Selling Car to Unlicensed Driver | Part 2,https://www.youtube.com/watch?v=7g4SpCmC9Bs,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-04-20T15:48:21.226Z,181,181.169,181.0
Man Hit with Fees After Selling Car to Unlicensed Driver | Part 1,https://www.youtube.com/watch?v=97knpK8jZp0,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-04-20T15:44:04.754Z,233,256.472,233.0
Former Friends Argue over RV Loan and Tuna Fish,https://www.youtube.com/watch?v=Ksh57r35Dy4,Judge Judy,https://www.youtube.com/channel/UCzMPPxbQG6iZttQhq3ukXSg,2026-04-20T15:40:32.788Z,203,211.966,203.0
