title,link,channel,channel_link,date,video_length,time_diff,watch_time
The moment a plane smashed into a fire truck at LaGuardia Airport | About That,https://www.youtube.com/watch?v=jRl7Vr87ym8,CBC News,https://www.youtube.com/channel/UCuFFtHWoLl5fauMMD5Ww2jA,2026-03-28T05:19:25.279Z,513.0,,513.0
Recordings reveal fire truck was cleared to cross LGA runway before jet collision,https://www.youtube.com/watch?v=kLLSl9hAvnw,NBC News,https://www.youtube.com/channel/UCeY0bbntWzzVIaj2z3QigXg,2026-03-28T05:18:08.610Z,231.0,76.669,76.669
TMZ,https://tv.youtube.com/watch/PTpPmqS38dU,,,2026-03-27T06:21:20.236Z,1865.0,82608.374,1865.0
The Pool Guy,https://tv.youtube.com/watch/khh9XySMiV8,,,2026-03-27T05:53:28.497Z,1865.0,1671.739,1671.739
The No.1 Brain Doctor: This Parenting Mistake Ruins Your Kids Brain & Alcohol Will Ruin Yours!,https://www.youtube.com/watch?v=bOi_Y4ythYY,The Diary Of A CEO,https://www.youtube.com/channel/UCGq-a57w-aPwyi3pW7XLiHw,2026-03-27T05:34:02.064Z,8290.0,1166.433,1166.433
Pilot,https://tv.youtube.com/watch/aj4RBfCzpc8,,,2026-03-27T05:00:21.282Z,1865.0,2020.782,1865.0
Off-Duty Officer Disarms Suspected Gunman; Man Strikes Woman,https://tv.youtube.com/watch/Fp3yCwfT-to,,,2026-03-27T04:58:24.593Z,1865.0,116.689,116.689
Christmas Wishes,https://tv.youtube.com/watch/sCdQQOzc6Ig,,,2026-03-27T04:57:55.229Z,2166.0,29.364,29.364
20 Top Christian Workout Songs  ►Deluxe Edition 2018◄,https://www.youtube.com/watch?v=DyGBiYZtb9g,Worship God,https://www.youtube.com/channel/UCjGoZ7Wxg_Ma0odXYzm0h7Q,2026-03-26T21:49:35.269Z,5391.0,25699.96,5391.0
How to Quickly Stop Vertigo #Shorts,https://www.youtube.com/watch?v=iEynGGckA8M,SpineCare Decompression and Chiropractic Center,https://www.youtube.com/channel/UC2lvPVVm0Mv53QK7vdnC-rw,2026-03-26T18:24:42.254Z,56.0,12293.015,56.0
Confronting Dr. Amen On His Viral Brain Scans,https://www.youtube.com/watch?v=J-SHgZ1XPXs,Doctor Mike,https://www.youtube.com/channel/UC0QHWhjbe5fGJEPz3sVb6nw,2026-03-26T18:21:43.368Z,7133.0,178.886,178.886
Legally Blonde,https://tv.youtube.com/watch/1nXo9SZUJcA,,,2026-03-26T06:37:16.399Z,7326.0,42266.969,7326.0
The 700 Club,https://tv.youtube.com/watch/5tYkRrXme1w,,,2026-03-26T06:35:02.022Z,3665.0,134.377,134.377
Golf Central,https://tv.youtube.com/watch/Am20NCDtDAU,,,2026-03-26T06:34:30.602Z,3665.0,31.42,31.42
World's Dumbest Motorheads 9,https://tv.youtube.com/watch/HbewLxDHFI4,,,2026-03-26T06:33:17.866Z,1865.0,72.736,72.736
Clash of Swords,https://tv.youtube.com/watch/PoApnh1gJ70,,,2026-03-26T06:30:23.008Z,1867.0,174.858,174.858
Couple's Therapy,https://tv.youtube.com/watch/4Vy7CcEmGXk,,,2026-03-26T06:28:09.862Z,1191.0,133.146,133.146
TMZ,https://tv.youtube.com/watch/qnXF4rPYw5o,,,2026-03-26T06:27:41.003Z,1865.0,28.859,28.859
The Secret Code,https://tv.youtube.com/watch/ZmJdwHgZDTI,,,2026-03-26T05:45:13.466Z,1865.0,2547.537,1865.0
Stress Relief - Part 2,https://tv.youtube.com/watch/eU1215X7uxo,,,2026-03-26T05:44:57.202Z,1865.0,16.264,16.264
Jesse Watters Primetime,https://tv.youtube.com/watch/Jo2O3gz1R7I,,,2026-03-25T07:40:32.616Z,3665.0,79464.586,3665.0
Gutfeld!,https://tv.youtube.com/watch/bX9hAoi_0xU,,,2026-03-25T07:40:26.158Z,3665.0,6.458,6.458
TMZ,https://tv.youtube.com/watch/Iwc2LkS5rog,,,2026-03-25T07:22:15.993Z,1865.0,1090.165,1090.165
The Soup Nazi,https://tv.youtube.com/watch/satKn3O1xe0,,,2026-03-25T05:38:13.251Z,1865.0,6242.742,1865.0
Chair Model,https://tv.youtube.com/watch/HEO4ZbBmDy0,,,2026-03-25T05:38:02.292Z,1865.0,10.959,10.959
Seinfeld - George Costanza ponders about potential jobs,https://www.youtube.com/watch?v=2LCggmsCXk4,East Van J,https://www.youtube.com/channel/UCwDgVnopao8UiCe4WgS3eOg,2026-03-25T05:36:09.061Z,145.0,113.231,113.231
Careful what you with for! #bjj #jiujitsu #jiujitsulifestyle,https://www.youtube.com/watch?v=XsUIg4-emQo,Matside Jiu-Jitsu,https://www.youtube.com/channel/UCURGca2W5RN2gvhJ9XkP6HQ,2026-03-25T05:35:32.602Z,8.0,36.459,8.0
Jesse Watters Primetime,https://tv.youtube.com/watch/S9kCobX_01c,,,2026-03-25T03:55:34.096Z,3665.0,5998.506,3665.0
Branch Wars,https://tv.youtube.com/watch/BodkwIA72dk,,,2026-03-25T03:55:26.860Z,1865.0,7.236,7.236
How Turning to God Changed My Life | Dr. Andrew Huberman & Chris Williamson,https://www.youtube.com/watch?v=ONbAJ5ScVbc,Huberman Protocols,https://www.youtube.com/channel/UCmnXYSM4TgUuFYcIj792aCA,2026-03-25T00:06:42.585Z,53.0,13724.275,53.0
What is sacroilitis and what is the best exercises for pain relief,https://www.youtube.com/watch?v=o36xtOKF9Cw,Bob The Physio,https://www.youtube.com/channel/UCfZI6A9M0pGlZrURU6-KnBQ,2026-03-25T00:03:31.733Z,1022.0,190.852,190.852
"20 MIN CARDIO HIIT WORKOUT - ALL STANDING - Full Body, No Equipment, No Repeats",https://www.youtube.com/watch?v=FeR-4_Opt-g,Nobadaddiction,https://www.youtube.com/channel/UCcaWyZrrxMaTKtVDkexK9Ow,2026-03-24T21:53:47.724Z,1668.0,7784.009,1668.0
"432Hz + 528Hz - Frequency Heals All Damage of Body and Soul, Melatonin Release, Eliminate Stress #2",https://www.youtube.com/watch?v=mGZtIYp0riQ,Positive Wave,https://www.youtube.com/channel/UCYowrX-seFuGqGRZYbpgebg,2026-03-24T21:18:12.677Z,5846.0,2135.047,2135.047
👉 Dein Nervensystem braucht diese Frequenzen: 10 Hz + 741 Hz für parasympathische Aktivierung,https://www.youtube.com/watch?v=_pifzCuFwXY,neowake,https://www.youtube.com/channel/UCCgPgZzLtaDVN9eB4LOMZlA,2026-03-24T20:51:58.563Z,3600.0,1574.114,1574.114
