title,link,channel,channel_link,date,video_length,time_diff,watch_time
"For all of your service and parts needs, our expert techs can talk you through it.",https://www.youtube.com/watch?v=-N0QCza9Sx0,,,2026-04-07T23:29:06.595Z,31.0,,31.0
Activating Experts Better Things :15,https://www.youtube.com/watch?v=B7jYBtSErR4,,,2026-04-07T23:29:02.679Z,15.0,3.916,3.916
ASMR chewing on squishes 🤎 #amirahasmr,https://www.youtube.com/watch?v=yaFkEzprDS4,Amirah ASMR,https://www.youtube.com/channel/UCuCEbfFfmoLiShjO1dLKtGg,2026-04-07T03:59:01.131Z,89.0,70201.548,89.0
2026_FordShopper_IL_FSA_Y3U_FDAF_RetailLibrary-gm-april30th_ACL_30_FPYU1872000H,https://www.youtube.com/watch?v=XcoTBC8aGSc,,,2026-04-07T03:58:35.586Z,,25.545,25.545
The New Luxury.,https://www.youtube.com/watch?v=OXloAGH1Ngw,,,2026-04-07T03:58:13.442Z,15.0,22.144,15.0
Shortened: Ellen Op1    CTA End Card   Horizontal aligned,https://www.youtube.com/watch?v=HxkukioVAR0,,,2026-04-07T03:31:36.843Z,17.0,1596.599,17.0
"Drag, drop, done—design your online store in minutes with Shopify",https://www.youtube.com/watch?v=Z9rxqelRPGc,,,2026-04-07T03:31:19.900Z,17.0,16.943,16.943
06 Need You 16x9 SOCIAL ALT,https://www.youtube.com/watch?v=doBNT_GZGLQ,,,2026-04-07T03:31:12.870Z,7.0,7.03,7.0
Trips for families and friends | Booking.com,https://www.youtube.com/watch?v=JjbYtjk7j4s,,,2026-04-07T03:30:57.023Z,16.0,15.847,15.847
"You say ""dream pizza"" we say ""It's just $9.99"" oh and ""you're welcome."" ❤️‍🔥🤤🍕",https://www.youtube.com/watch?v=uyrme_gxRG0,,,2026-04-07T03:30:50.223Z,7.0,6.8,6.8
I Explored SOUTH CAROLINA Wide Spots In The Road…The Slowly Disappearing Towns,https://www.youtube.com/watch?v=aE__T11_nz8,Joe & Nic's Road Trip,https://www.youtube.com/channel/UC_bOcLgDdfE1whPDIwx3M_g,2026-04-07T03:21:04.512Z,1645.0,585.711,585.711
K-Pop Style | Airbnb Experiences,https://www.youtube.com/watch?v=Trk23YcSvzI,,,2026-04-07T03:20:56.864Z,16.0,7.648,7.648
Going Out Dress | JCPenney Brand 06 GM,https://www.youtube.com/watch?v=pQG2yluO03M,,,2026-04-07T03:20:53.088Z,7.0,3.776,3.776
All Products Spring 2 16x9,https://www.youtube.com/watch?v=woRwxs98rOQ,,,2026-04-07T03:20:49.225Z,16.0,3.863,3.863
Go All Out,https://www.youtube.com/watch?v=tByRyD1oiqs,,,2026-04-06T23:17:04.364Z,31.0,14624.861,31.0
