title,link,channel,channel_link,date,video_length,time_diff,watch_time
PPG22X V 6305 YouTube 30s Audio Spot,https://www.youtube.com/watch?v=PI3w09kguVk,,,2026-04-28T08:59:11.067Z,30.0,,30.0
Wherever Great Sound is in Demand :: 30s,https://www.youtube.com/watch?v=uLO2hbjxRNw,,,2026-04-28T08:52:35.612Z,23.0,395.455,23.0
Shortened: GC Fantasy Courses Montage 19s 1920x1080 EA EN UA ALL VID,https://www.youtube.com/watch?v=5NfvUlwJmug,,,2026-04-28T08:52:20.492Z,15.0,15.12,15.0
Fender AVII 72TeleThinlineVignette 16x9 15s,https://www.youtube.com/watch?v=cS3IYkr-HlA,,,2026-04-28T08:45:35.837Z,16.0,404.655,16.0
MPY-56718_Fairy Tales_Micro-drama Trailer Repurpose_EN_1920x1080_42s_v1_wbo3wqmx7v_wbo3wqmx7v.mp4,https://www.youtube.com/watch?v=Bv-RAIPfSfw,,,2026-04-28T08:44:46.897Z,43.0,48.94,43.0
Shortened: PRIME-56870_Ship Upgrades Walk-Thru_Kelvin Iteration_EN_1920x1080_38s_v2_zk9mtuyf98_zk9mt,https://www.youtube.com/watch?v=WqL9A7ZLO1w,,,2026-04-28T08:37:52.757Z,36.0,414.14,36.0
Shortened: cid=94291f37cb6bbed7aeaf01af18819794,https://www.youtube.com/watch?v=bXaOhmwv3fc,,,2026-04-28T08:37:35.966Z,17.0,16.791,16.791
Shortened: GC_NA_HalloweenGameplay2025_21s_1920x1080_EA_EN_UA_ALL_VID.mp4,https://www.youtube.com/watch?v=CctxQMLXvVw,,,2026-04-28T08:30:50.256Z,16.0,405.71,16.0
Guitars Horizontal 30s,https://www.youtube.com/watch?v=SOvzmpcv5Nc,,,2026-04-28T08:30:18.962Z,31.0,31.294,31.0
From Your First Note :: 15s C,https://www.youtube.com/watch?v=cI2_ci_fl5k,,,2026-04-28T08:24:29.457Z,16.0,349.505,16.0
MPY-50548_Night flow Yogopoly - Insp - Aug_EN_1920x1080_24s_v4_9u1udrgths_9u1udrgths.mp4,https://www.youtube.com/watch?v=YtVnZ1Qj24o,,,2026-04-28T08:24:04.978Z,24.0,24.479,24.0
Northwest Registered Agent  - All Access Commercial 15,https://www.youtube.com/watch?v=VoJVwReeagI,,,2026-04-28T08:18:31.538Z,16.0,333.44,16.0
cid=c0d8b98f4356cee9d3eca91df8e04b14,https://www.youtube.com/watch?v=3hqi4X0ZnrE,,,2026-04-28T08:18:21.057Z,10.0,10.481,10.0
PMAX Amps with FX,https://www.youtube.com/watch?v=Yl6x4MowU9Y,,,2026-04-28T08:10:32.982Z,32.0,468.075,32.0
Shortened: GC NA UnexpectedMoments3D 30s 1920x1080 CRE EN UA ALL VID,https://www.youtube.com/watch?v=L6wgskKzy60,,,2026-04-28T08:10:21.212Z,12.0,11.77,11.77
DigiKey - we get technical 16:9,https://www.youtube.com/watch?v=EuHTdFYwsJE,,,2026-04-28T08:03:41.892Z,13.0,399.32,13.0
Shortened: PRIME-55702_UAP Files-FirstContact_EN_1920x1080_45s_h264_44uq8a58yo_44uq8a58yo.mp4,https://www.youtube.com/watch?v=Ly93nh3SCGk,,,2026-04-28T08:03:29.227Z,13.0,12.665,12.665
cid=ba008323a79775de8cad45e60fb18d3b,https://www.youtube.com/watch?v=CZhecMYQ8LU,,,2026-04-28T07:56:14.537Z,11.0,434.69,11.0
MPY-53755_Pets_Super Tokens_EN_1920x1080_24s_v1_as48dp367d_as48dp367d.mp4,https://www.youtube.com/watch?v=MLE-nQq3vr8,,,2026-04-28T07:55:49.972Z,25.0,24.565,24.565
PMAX General U&V with VO and CC,https://www.youtube.com/watch?v=ZldQdaRtaD8,,,2026-04-28T07:48:07.082Z,31.0,462.89,31.0
Shortened: GC_NA_ParforTheCorpse_55s_1920x1080_AS_EN_UA_ALL_VID.mp4,https://www.youtube.com/watch?v=8khJjRsBWlA,,,2026-04-28T07:47:51.688Z,15.0,15.394,15.0
[New] 48 Mystery 2026 Full Episode 💥 Game Over 💥 Murder Documentary Full HD,https://www.youtube.com/watch?v=SBXdnIz_pv8,EchoRhythm,https://www.youtube.com/channel/UCRgggkj-h3V2CoGi55Z3DJA,2026-04-28T07:40:13.437Z,,458.251,458.251
I Made a Song Using ONLY My Voice (Pop Edition #1),https://www.youtube.com/watch?v=dZXmwGFCIn4,,,2026-04-28T07:40:03.832Z,100.0,9.605,9.605
Martha Plimpton on the Role She Can Never Escape | QVC+ HSN+,https://www.youtube.com/watch?v=LENCKou4CWs,,,2026-04-28T07:36:49.622Z,65.0,194.21,65.0
Jen Hook 3 CTA 2,https://www.youtube.com/watch?v=d1FLHm_LV7s,,,2026-04-28T07:35:45.503Z,53.0,64.119,53.0
Cookie_162_H_6s_bluedemomh,https://www.youtube.com/watch?v=wMUaL-2VUno,,,2026-04-28T07:35:39.177Z,6.0,6.326,6.0
IFCJ Flag Pin USA Horizontal Generic,https://www.youtube.com/watch?v=49fjeNmfscQ,,,2026-04-28T07:35:22.522Z,46.0,16.655,16.655
How TurboTax Makes It Easy to Transfer Last Year's Info - TurboTax Tax Tip Video,https://www.youtube.com/watch?v=sL4-yFztqEU,,,2026-04-28T07:34:03.089Z,73.0,79.433,73.0
Never run out of tailored nutrition | Chewy,https://www.youtube.com/watch?v=V9gxfNzeUV8,,,2026-04-28T07:29:45.401Z,16.0,257.688,16.0
Shortened: H25108-Unboxing-ASMR-Studio-V1-HarrysPlus-Video-CV-16x9 (YouTube).mp4,https://www.youtube.com/watch?v=A8xisQ02w5M,,,2026-04-28T07:23:00.523Z,14.0,404.878,14.0
Shortened: Online MBA at WGU,https://www.youtube.com/watch?v=HdVkFma6pTE,,,2026-04-28T07:16:48.852Z,26.0,371.671,26.0
UGO reviews horizontal,https://www.youtube.com/watch?v=wuOojsw0ysQ,,,2026-04-28T07:10:30.923Z,16.0,377.929,16.0
New to Chewy? Get $20 off,https://www.youtube.com/watch?v=4YZ9np4Pg7o,,,2026-04-28T07:04:40.617Z,16.0,350.306,16.0
Horn | LiMu Emu & Doug | Liberty Mutual Insurance Commercial,https://www.youtube.com/watch?v=M-fkJWJPrFE,,,2026-04-28T07:04:19.893Z,16.0,20.724,16.0
BLUECHEW | The Science Behind BlueChew Gold | Horizontal,https://www.youtube.com/watch?v=8OuSO1KIc6g,,,2026-04-28T06:56:44.392Z,71.0,455.501,71.0
OAI FebVideographer USA UC1 16x9,https://www.youtube.com/watch?v=wAhXczlcfJE,,,2026-04-28T06:50:34.472Z,20.0,369.92,20.0
Never run out of tailored nutrition | Chewy,https://www.youtube.com/watch?v=tSKkV0GkGmU,,,2026-04-28T06:36:27.112Z,16.0,847.36,16.0
The Most Hated Guitar On The Internet & The Gear Market Is In Free Fall,https://www.youtube.com/watch?v=akAkGikbxWo,Phillip McKnight,https://www.youtube.com/channel/UCEzJtFWNg7d7TZW7K9JyXmw,2026-04-28T06:29:01.641Z,7235.0,445.471,445.471
BLUECHEW | DrAnikaAckerman AD 5043 V1f Gold B Roll EDITED 16x9,https://www.youtube.com/watch?v=f1CKPPZPjyw,,,2026-04-28T06:28:03.682Z,16.0,57.959,16.0
Life in Six Strings: A Conversation with Host Kylie Olsson  | Music Drives Us Podcast,https://www.youtube.com/watch?v=HOCA7fLZHFM,Music Drives Us,https://www.youtube.com/channel/UCVhydbuqmMV56DWZA2LUG9Q,2026-04-28T06:25:02.262Z,1215.0,181.42,181.42
UGCF AD 4755 V4 Gold Podcast C4 EDITED 16x9,https://www.youtube.com/watch?v=YaJNe8sVL_8,,,2026-04-28T06:20:55.702Z,29.0,246.56,29.0
Zyrtalk 02 mix002,https://www.youtube.com/watch?v=rlZ6fiFRY08,,,2026-04-28T06:05:50.097Z,30.0,905.605,30.0
250730 Aleve Bayer July2025 MaleRead V1 JF 30,https://www.youtube.com/watch?v=6YkVpK1WYfI,,,2026-04-28T05:27:28.377Z,31.0,2301.72,31.0
SQUARESPACE | Q3 | Sports | :30 | EN,https://www.youtube.com/watch?v=bMoa1CRphF8,,,2026-04-28T05:21:22.128Z,30.0,366.249,30.0
CKRD410030 Cards Optimizer - Maximize,https://www.youtube.com/watch?v=HAqcPFFw094,,,2026-04-28T05:15:35.711Z,30.0,346.417,30.0
Delivery Done Right Audio,https://www.youtube.com/watch?v=oY8GDl4gM-E,,,2026-04-28T05:09:45.203Z,31.0,350.508,31.0
Easy Mode,https://www.youtube.com/watch?v=MIT3f26kv30,,,2026-04-28T05:03:45.759Z,16.0,359.444,16.0
Cheap Vs. Expensive Gear: What Do Working Musicians Really Use?,https://www.youtube.com/watch?v=ttf1arNk4gg,Phillip McKnight,https://www.youtube.com/channel/UCEzJtFWNg7d7TZW7K9JyXmw,2026-04-28T04:56:22.052Z,8561.0,443.707,443.707
CTVTEST,https://www.youtube.com/watch?v=CHVt1Bq9WSA,,,2026-04-28T04:55:26.132Z,128.0,55.92,55.92
JamesBurbage AD 5022 V3 Gold TooGrown 16x9 EDITED,https://www.youtube.com/watch?v=5dbqhr8zR_8,,,2026-04-28T04:47:08.597Z,32.0,497.535,32.0
The Answer | Chewy Commercial,https://www.youtube.com/watch?v=95xEU7uiVIk,,,2026-04-28T04:46:33.023Z,31.0,35.574,31.0
Start learning with Simply Piano!,https://www.youtube.com/watch?v=wiHaAvdcDLo,,,2026-04-28T04:40:47.882Z,44.0,345.141,44.0
Guitars Horizontal 30s,https://www.youtube.com/watch?v=SOvzmpcv5Nc,,,2026-04-28T04:40:11.452Z,31.0,36.43,31.0
OAI Task2 USA Cooking 16x9 12s,https://www.youtube.com/watch?v=Zya8nmqhlnM,,,2026-04-28T04:33:04.918Z,13.0,426.534,13.0
Golf (Short) | LiMu Emu & Doug | Liberty Mutual Insurance Commercial,https://www.youtube.com/watch?v=OuB4R4KgUjo,,,2026-04-28T04:32:44.317Z,16.0,20.601,16.0
BLUECHEW | BlueChew Gold - Take Action - 30seg - 16x9,https://www.youtube.com/watch?v=iJqZ2Ae3Dw4,,,2026-04-28T04:23:06.567Z,30.0,577.75,30.0
Fart & Heart Questions | Chewy,https://www.youtube.com/watch?v=KwvKvCqxKKU,,,2026-04-28T04:22:46.038Z,16.0,20.529,16.0
"Squier & Epiphone Are No Longer Affordable, So Things Will Change",https://www.youtube.com/watch?v=A59uDifj0rQ,Phillip McKnight,https://www.youtube.com/channel/UCEzJtFWNg7d7TZW7K9JyXmw,2026-04-28T03:55:10.842Z,5118.0,1655.196,1655.196
I Bought The New Epiphone Futura Guitar,https://www.youtube.com/watch?v=oLvyxREc6qE,Phillip McKnight,https://www.youtube.com/channel/UCEzJtFWNg7d7TZW7K9JyXmw,2026-04-28T03:54:41.691Z,1216.0,29.151,29.151
Always Pocket Flexfoam,https://www.youtube.com/watch?v=vD9YPAT6msw,,,2026-04-28T03:53:25.642Z,7.0,76.049,7.0
Samantha Fish on Standing Out,https://www.youtube.com/watch?v=zqd95K7UoWs,Blues Rock Review,https://www.youtube.com/channel/UCFXAYr4nwTXZWg2liY-ALpQ,2026-04-28T03:52:28.067Z,60.0,57.575,57.575
Closer to Home | Redfin,https://www.youtube.com/watch?v=flJUXSjwWNE,,,2026-04-28T03:52:21.177Z,31.0,6.89,6.89
