title,link,channel,channel_link,date,video_length,time_diff,watch_time
No Sweat,https://www.youtube.com/watch?v=0FaHiqCQLjM,,,2026-03-09T14:19:48.220Z,31.0,,31.0
American Express® Platinum Card | American Express,https://www.youtube.com/watch?v=KCpup4CuzhQ,,,2026-03-09T13:46:48.875Z,,1979.345,1979.345
Easy for retailers | Slack is the easiest decision in business,https://www.youtube.com/watch?v=6lzFM524kds,,,2026-03-09T13:46:11.021Z,31.0,37.854,31.0
2026_Obesity_Wegovy_US26SEMO00223_Golden Window_Look Up Video 3_Video_21s,https://www.youtube.com/watch?v=aAfg7mY2Egg,,,2026-03-09T13:21:45.733Z,22.0,1465.288,22.0
Mike Slater  30s   16x9   V1   No Lower Third,https://www.youtube.com/watch?v=_a1cBhSd6ds,,,2026-03-09T13:21:07.264Z,31.0,38.469,31.0
The Hardest Part,https://www.youtube.com/watch?v=0AyF4UDeHKs,,,2026-03-09T13:00:11.392Z,58.0,1255.872,58.0
Upwork | How @NadyaOkamotoOfficial Built Her Business With Freelancers,https://www.youtube.com/watch?v=oCMD_u0SBZA,,,2026-03-09T12:59:03.359Z,60.0,68.033,60.0
The Most Iconic Pieces of Classical Music,https://www.youtube.com/watch?v=3k9N-qiTvn4,HALIDONMUSIC,https://www.youtube.com/channel/UCyOfqgtsQaM3S-VZnsYnHjQ,2026-03-09T12:47:33.980Z,13934.0,689.379,689.379
(p_EM795-2)(cp_MK)(c_MK)(y_26)(w_7)(l_EN)(f_16x9).mp4,https://www.youtube.com/watch?v=zVbvVGIxQMI,,,2026-03-09T12:47:26.583Z,141.0,7.397,7.397
V012_DontStart_KingdomBusiness_Compliant_16x9,https://www.youtube.com/watch?v=tWJ1lrQp_8k,,,2026-03-09T12:41:32.588Z,247.0,353.995,247.0
Your Credibility Is in Your Voice. Use It. | Try Grammarly Today,https://www.youtube.com/watch?v=6xECaYzBOAA,,,2026-03-09T12:36:12.588Z,72.0,320.0,72.0
Car Accident Injury? Here is How to Maximize Your Settlement! GirlHurtHook,https://www.youtube.com/watch?v=b26zoqEHdEI,,,2026-03-09T12:29:57.369Z,282.0,375.219,282.0
Upwork | How @alexandralourdes Scaled Two Restaurants With Freelancers,https://www.youtube.com/watch?v=BV-2hSehwDQ,,,2026-03-09T12:28:55.073Z,55.0,62.296,55.0
UGC Josh   Terrifying At Work   60s,https://www.youtube.com/watch?v=ex1lYddL_bc,,,2026-03-09T12:20:46.323Z,69.0,488.75,69.0
Demoldix Gel US V83 B16 16x9 VO1,https://www.youtube.com/watch?v=0x5okN8pJ0k,,,2026-03-09T12:13:32.592Z,143.0,433.731,143.0
GH-skimmilkVTD14198BZZvsl_blueliquidcereal-v02-m01-f00-c00,https://www.youtube.com/watch?v=nDVD6o3vfio,,,2026-03-09T12:06:58.746Z,3143.0,393.846,393.846
Mirena Audio Ad,https://www.youtube.com/watch?v=gv1h-qB466U,,,2026-03-09T11:58:55.842Z,28.0,482.904,28.0
International Travel Insurance 15s,https://www.youtube.com/watch?v=TE4h5-s1seA,,,2026-03-09T11:53:43.760Z,16.0,312.082,16.0
"The Best Cosmetic Dentist in Sunnyvale, CA | Trident Smiles Dental",https://www.youtube.com/watch?v=foU8hZhCyDo,,,2026-03-09T11:45:40.169Z,29.0,483.591,29.0
Sixth Sense,https://www.youtube.com/watch?v=3_4rzg8kh0w,,,2026-03-09T11:38:21.193Z,31.0,438.976,31.0
15 Most Listened To Classical Masterpieces of All Time. Beautiful classical music 🎼,https://www.youtube.com/watch?v=-drBYX40tAk,Classic Room,https://www.youtube.com/channel/UCtvMtFvgV-FOAdwJL90gsxA,2026-03-09T11:31:29.135Z,8079.0,412.058,412.058
TG-heartburnnewvslopenerquizv_anurse-v29-m14-f00-c00,https://www.youtube.com/watch?v=KA5LU5XhGsQ,,,2026-03-09T11:31:22.274Z,266.0,6.861,6.861
Introducing Base44’s Big Game Full Ad “It’s App to You”,https://www.youtube.com/watch?v=kLdaIxDM-_Y,,,2026-03-09T11:23:07.521Z,56.0,494.753,56.0
