title,link,channel,channel_link,date,video_length,time_diff,watch_time
Subscribe please 🙏🏽 #basketball #nba,https://www.youtube.com/watch?v=avkT4q_fzkE,Makal.T💎,https://www.youtube.com/channel/UCCDKHIiG0Js5T-g6qqd3i9Q,2026-03-18T03:09:17.869Z,60.0,,60.0
Interesting theory on LeBron’s health. via: @hoopinhollerin #basketball #lebron #hoopscat,https://www.youtube.com/watch?v=dQp-G00CYy4,HoopsCat,https://www.youtube.com/channel/UCIOKmsxzRmxFE5IBtf2UPrg,2026-03-18T03:08:33.304Z,31.0,44.565,31.0
So hot it makes you question life! ☀️😂 #ScorchingHeat #WeatherHeatwave #SummerFails #FunnyMoments,https://www.youtube.com/watch?v=mAJtbLmpl9M,Victorias Logotheti,https://www.youtube.com/channel/UCcKDb_XZbot-JQPHUjkltlg,2026-03-18T03:06:59.411Z,65.0,93.893,65.0
Oscars 2026: Voice cast of 'KPop Demon Hunters' makes red carpet arrival,https://www.youtube.com/watch?v=h7QzLDAiO1Y,ABC News,https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,2026-03-18T03:04:20.424Z,156.0,158.987,156.0
What Happened to Chet Holmgren??,https://www.youtube.com/watch?v=X8pdoEJ1gA8,KingCharge,https://www.youtube.com/channel/UC81tQPU-ZBSKEtdDl91pv_g,2026-03-18T03:03:00.257Z,65.0,80.167,65.0
They Thought He Was a Beginner… Big Mistake,https://www.youtube.com/watch?v=LqXHWpnZfQI,Viral Hitz 101,https://www.youtube.com/channel/UCHXHBPuGomz4Hol6XXoX1hw,2026-03-18T03:02:13.655Z,23.0,46.602,23.0
HE’S A GRANDMASTER    AND HE’S CRYING! 😭 #chess #gothamchess,https://www.youtube.com/watch?v=cRrZDGbzpsE,Gotham Moments,https://www.youtube.com/channel/UCITCV2BevajxZAKnzRMKzvg,2026-03-18T03:01:48.418Z,178.0,25.237,25.237
Bullet King: Magnus or Hikaru? 🤔,https://www.youtube.com/watch?v=cD8yXublmlw,GJ_Chess,https://www.youtube.com/channel/UCji6ITCdOOmxUzd6R2TonZQ,2026-03-18T03:00:19.510Z,47.0,88.908,47.0
Jaden McDaniels throws ball at Devin Booker after steal & Book throws it back 😂,https://www.youtube.com/watch?v=qNAL9X91Iq4,Chaz NBA,https://www.youtube.com/channel/UChgDp_uE5PVqnpdV05xKOOA,2026-03-18T02:59:15.028Z,48.0,64.482,48.0
Leon Marchand smashes the 200m IM World Record | Singapore 2025 | 200m Individual Medley Semi-Final,https://www.youtube.com/watch?v=wR0FW5Lab6w,World Aquatics,https://www.youtube.com/channel/UCZko_COpTM4_d2kPrxZfzFg,2026-03-18T02:24:26.141Z,142.0,2088.887,142.0
Nami Got A New Top 😂,https://www.youtube.com/watch?v=2pXFHMSA7iQ,zsy,https://www.youtube.com/channel/UCettc8LjBHEBiAOhYuz-SSg,2026-03-18T02:17:55.883Z,50.0,390.258,50.0
Magnus corrects interviewers 😜,https://www.youtube.com/watch?v=50a3nWualPE,GJ_Chess,https://www.youtube.com/channel/UCji6ITCdOOmxUzd6R2TonZQ,2026-03-18T02:16:52.721Z,60.0,63.162,60.0
You CAN coach court vision,https://www.youtube.com/watch?v=7EuUxNz2aws,99% Sports,https://www.youtube.com/channel/UCOLuCACpQL75CXuvUttm4mQ,2026-03-18T02:15:51.472Z,16.0,61.249,16.0
