title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-04-08T20:29:53.484Z,64.0,,64.0
Taylor Swift | The Eras Tour | The Final Show & The End of an Era | Now on Disney+,https://www.youtube.com/watch?v=h5TLgJxMNac,,,2026-04-08T03:18:47.088Z,16.0,61866.396,16.0
Can You Make Money With Mystery Shopper Jobs in 2026? (Honest Review),https://www.youtube.com/watch?v=QrocCVuPkOE,Mr. Money,https://www.youtube.com/channel/UC6aLwtydDZXvkxIfPOTRiuQ,2026-04-07T16:34:00.464Z,,38686.624,38686.624
How To Share a link to a specific tab in google sheets,https://www.youtube.com/watch?v=tsbQqDoRTxo,Better Sheets,https://www.youtube.com/channel/UCQYPt6lo0BQeY3GUDhLpTlQ,2026-04-07T15:13:07.737Z,124.0,4852.727,124.0
Base44 Superagents - Your Personal AI Agent,https://www.youtube.com/watch?v=mHUVjd8-BF8,,,2026-04-07T15:12:56.121Z,60.0,11.616,11.616
This is the best way to cut a pineapple in my opiñapple. #pineapple #fruit,https://www.youtube.com/watch?v=iz1_Q6S5XeU,Jose.elcook,https://www.youtube.com/channel/UCXvCI4YnkGhGV8ei4vE9h4A,2026-04-06T22:41:28.642Z,60.0,59487.479,60.0
S26 Ultra Launch Privacy Display,https://www.youtube.com/watch?v=0dNGC0Y_Cl8,,,2026-04-06T22:41:24.850Z,31.0,3.792,3.792
How to Cut a Pineapple 🍍,https://www.youtube.com/watch?v=PLEqVeU1sCo,Tastefully Grace,https://www.youtube.com/channel/UCnl2gwAhhZAD6ZnTxO6kpDA,2026-04-06T22:40:46.773Z,30.0,38.077,30.0
HOW TO CUT A PINEAPPLE | Clean & Delicious,https://www.youtube.com/watch?v=DOq3NfMc4U8,Clean & Delicious,https://www.youtube.com/channel/UCj0V0aG4LcdHmdPJ7aTtSCQ,2026-04-06T22:21:18.393Z,120.0,1168.38,120.0
Everyone Thinks Car Payments Are Normal (It’s Not),https://www.youtube.com/watch?v=r6xQf-Q9il0,Smart Money Bro,https://www.youtube.com/channel/UCMmfUj8CcXeqpqWkund3ELg,2026-04-06T20:57:11.120Z,1056.0,5047.273,1056.0
I Turned My Voice Into a Full Band | Pop Edition #2 (ft. Audriix),https://www.youtube.com/watch?v=atx19QpBWr0,,,2026-04-06T20:57:03.925Z,134.0,7.195,7.195
Now Taxes is an Open Door - TurboTax 2026 Commercial (Official TV Ad :06),https://www.youtube.com/watch?v=4tMlMp6bT6I,,,2026-04-06T20:56:53.985Z,7.0,9.94,7.0
"Disney+, Hulu Bundle",https://www.youtube.com/watch?v=pL8yFuqUx3g,,,2026-04-06T20:56:48.585Z,31.0,5.4,5.4
More :15,https://www.youtube.com/watch?v=O8aFpjxlTbA,,,2026-04-06T20:56:44.362Z,16.0,4.223,4.223
“I Don’t Know How I’m Going To Pay This Stuff Off”,https://www.youtube.com/watch?v=YSJVZqzHtjY,The Ramsey Show Highlights,https://www.youtube.com/channel/UC7eBNeDW1GQf2NJQ6G6gAxw,2026-04-06T20:42:18.782Z,750.0,865.58,750.0
HRB CT26 DIY Video DragandDrop DragDropTS25TV 6s 169,https://www.youtube.com/watch?v=xqNb3qql3E8,,,2026-04-06T20:42:06.862Z,7.0,11.92,7.0
Premium Wireless for $15 Bucks a Month | Mint Mobile,https://www.youtube.com/watch?v=md--_p-14IM,,,2026-04-06T20:42:06.851Z,21.0,0.011,0.011
Walk the Dog - Season 2 Episode 35 (Finale!),https://www.youtube.com/watch?v=C85CKo8WYgQ,Mortdog - TFT,https://www.youtube.com/channel/UC-hfguFmPqh81ZfFuIq0X1A,2026-04-06T20:22:38.969Z,1725.0,1167.882,1167.882
Ixtal into Arcanists | TFT Lore & Legends | Teamfight Tactics,https://www.youtube.com/watch?v=uvumHGZO2w4,Mortdog - TFT,https://www.youtube.com/channel/UC-hfguFmPqh81ZfFuIq0X1A,2026-04-06T20:22:17.052Z,2234.0,21.917,21.917
HRB CT26 Omni Video InvestingExpertise InvestingCrypto 15s 169,https://www.youtube.com/watch?v=VuXMA_F6WLs,,,2026-04-06T20:22:16.059Z,16.0,0.993,0.993
My Prot Paladin is an ABSOLUTE UNIT!,https://www.youtube.com/watch?v=fa-9tTGZrso,Guzu,https://www.youtube.com/channel/UCZuozrWprv1QpYe66yI34Bg,2026-04-06T20:11:34.380Z,2940.0,641.679,641.679
X Ray :15,https://www.youtube.com/watch?v=oIKMdOeax-s,,,2026-04-06T20:11:23.835Z,18.0,10.545,10.545
Premium Wireless for $15 Bucks a Month | Mint Mobile,https://www.youtube.com/watch?v=9CRq2jH2HCg,,,2026-04-06T20:11:09.243Z,20.0,14.592,14.592
Top Career Nightmare Calls On The Ramsey | Ep. 5 | The Best of The Ramsey Show,https://www.youtube.com/watch?v=LQhhvsCPuh0,The Ramsey Show Highlights,https://www.youtube.com/channel/UC7eBNeDW1GQf2NJQ6G6gAxw,2026-04-06T18:19:49.292Z,2238.0,6679.951,2238.0
Q126 TMO HSI Treadmill 15 | T-Mobile,https://www.youtube.com/watch?v=B9b66yqtmAI,,,2026-04-06T18:19:39.558Z,16.0,9.734,9.734
Introducing Mint Kids | Mint Mobile,https://www.youtube.com/watch?v=j8GyBlEaPeQ,,,2026-04-06T18:19:34.891Z,31.0,4.667,4.667
I Play Games at Work All Day . . . I’m the Boss,https://www.youtube.com/watch?v=6k2XBSmiEJY,The Dr. John Delony Show,https://www.youtube.com/channel/UC4HiMKM8WLcNbt9ae_XNRNQ,2026-04-06T17:42:17.287Z,1109.0,2237.604,1109.0
Bring your ideas to life with Base44,https://www.youtube.com/watch?v=8hdvT-Ecjec,,,2026-04-06T17:42:09.350Z,47.0,7.937,7.937
The world right now,https://www.youtube.com/watch?v=dkFJLz6Csqo,Viva La Dirt League,https://www.youtube.com/channel/UCchBatdUMZoMfJ3rIzgV84g,2026-04-06T17:13:43.293Z,159.0,1706.057,159.0
"Sekrety MENTALU mistrzów😳Kubica, Bielecki, Gamrot, Fornal- tego Ci nie powiedzą nigdzie indziej",https://www.youtube.com/watch?v=p9ezAtVgQ3g,Porcja Motywacji,https://www.youtube.com/channel/UC4gfI-9vcI-lP_7qgEyFqGA,2026-04-06T16:49:06.517Z,1329.0,1476.776,1329.0
Video Ad,https://www.youtube.com/watch?v=rD_mtDbo-lg,,,2026-04-06T16:46:21.448Z,7.0,165.069,7.0
HIGHLIGHTS | Man City 4-0 Liverpool | Haaland hat-trick helps secure 8th FA Cup semi-final in a row!,https://www.youtube.com/watch?v=TZwdH14f1fI,Man City,https://www.youtube.com/channel/UCkzCjdRMrW2vXLx8mvPVLdQ,2026-04-06T16:39:47.497Z,552.0,393.951,393.951
