title,link,channel,channel_link,date,video_length,time_diff,watch_time
All HELL BREAKS LOOSE as AG Bondi HEARING Goes SIDEWAYS!!!,https://www.youtube.com/watch?v=pX0tB1NK8QI,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T22:19:36.249Z,1704.0,,1704.0
WHOA! GOP Hearing BACKFIRES as DEMS EXPOSE WITNESSES,https://www.youtube.com/watch?v=8aQjFIHufkw,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T22:09:48.029Z,1649.0,588.22,588.22
"BREAKING: Jason Crow Leads Press Briefing After DOJ Fails To Indict Him, Other Dems For Orders Video",https://www.youtube.com/watch?v=s3lQmJ_E3uA,Forbes Breaking News,https://www.youtube.com/channel/UCg40OxZ1GYh3u3jBntB6DLg,2026-02-11T21:51:12.283Z,1110.0,1115.746,1110.0
Jared Moskowitz Outright Asks Pam Bondi To Attack Him From Her 'Burn Book',https://www.youtube.com/watch?v=fQNzvuTPr7k,Forbes Breaking News,https://www.youtube.com/channel/UCg40OxZ1GYh3u3jBntB6DLg,2026-02-11T21:44:22.276Z,404.0,410.007,404.0
LIVE: Sen. Kelly and Sen. Slotkin hold news conference on failed grand jury indictment,https://www.youtube.com/watch?v=saKMOO68YJA,ABC News,https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,2026-02-11T21:17:57.969Z,1606.0,1584.307,1584.307
It’s Happening with Velshi & Ruhle | MS NOW LIVE Q&A,https://www.youtube.com/watch?v=FtSs_nFTJec,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-02-11T20:16:03.477Z,3594.0,3714.492,3594.0
LIVE: Kash Patel Grilled on New Epstein Files During Senate Judiciary Hearing | APT,https://www.youtube.com/watch?v=NNpBFrpl3Js,APT,https://www.youtube.com/channel/UCpLEtz3H0jSfEneSdf1YKnw,2026-02-11T20:12:54.961Z,3085352.0,188.516,188.516
LIVE: Pam Bondi DESTROYED By Raskin & Co. over ICE and Epstein in Marathon Judiciary Drubbing,https://www.youtube.com/watch?v=4nQs5KISGqA,TYT Investigates,https://www.youtube.com/channel/UCwNJt9PYyN1uyw2XhNIQMMA,2026-02-11T20:09:43.672Z,16305.0,191.289,191.289
LIVE: Epstein Files Tipster IDENTIFIES MISSING DOCS!!!,https://www.youtube.com/watch?v=xiSmcNVxIF8,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T19:50:43.855Z,1163.0,1139.817,1139.817
🚨 Raskin EXCORIATES Bondi TO HER FACE in OPENING STATEMENT,https://www.youtube.com/watch?v=pjLOLd1UyWM,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T19:28:47.651Z,1310.0,1316.204,1310.0
Trump LOSES IT in AM as Hearing GOES OFF THE RAILS!!,https://www.youtube.com/watch?v=ciTujpMPr4s,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T19:10:09.793Z,1112.0,1117.858,1112.0
LIVE: Pam Bondi testifies for Congress amid Epstein coverup,https://www.youtube.com/watch?v=UP50zxW8hes,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T17:54:05.801Z,11752.0,4563.992,4563.992
LIVE: AG Bondi testifies at House hearing amid scrutiny over Epstein files,https://www.youtube.com/watch?v=nXwXAI69iRs,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-02-11T17:16:23.916Z,18971.0,2261.885,2261.885
All HELL BREAKS LOOSE as ICE RAMPS UP for SUPER BOWL!!,https://www.youtube.com/watch?v=AMlBopj7MvU,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T15:50:14.736Z,1276.0,5169.18,1276.0
Trump has CATASTROPHIC SUNDAY as GHISLAINE INVOKES FIFTH,https://www.youtube.com/watch?v=3apAx4oQGgY,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T15:28:08.746Z,1319.0,1325.99,1319.0
UH OH! Trump COLLAPSES in Florida at WORST TIME!!!,https://www.youtube.com/watch?v=ZnkZZjM_fKg,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T15:09:45.066Z,1097.0,1103.68,1097.0
MAGA Mike IN TERROR as he LOSES CONTROL of HOUSE!!,https://www.youtube.com/watch?v=JPvU8SPN5TA,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T14:45:28.068Z,1451.0,1456.998,1451.0
BREAKING: Trump suffers HUGE LOSS in Minnesota,https://www.youtube.com/watch?v=b-OTA3GEmfA,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T14:35:19.336Z,610.0,608.732,608.732
BREAKING UPDATE in Kristi Noem IMPEACHMENT,https://www.youtube.com/watch?v=bEJ0jMDA12U,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T14:19:46.785Z,655.0,932.551,655.0
UPDATE in move to IMPEACH Pam Bondi,https://www.youtube.com/watch?v=Ku5pMYdrc3E,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T14:14:12.108Z,905.0,334.677,334.677
Ro Khanna reaveals BOMBSHELL UPDATE on Epstein files,https://www.youtube.com/watch?v=19Pl0HPYpa0,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T13:47:39.302Z,967.0,1592.806,967.0
Justice Department issues GRAVE THREAT ahead of election,https://www.youtube.com/watch?v=UNfHr8IT3Js,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T13:32:35.826Z,897.0,903.476,897.0
"Trump “picked the wrong judge,” dealt BLOCKBUSTER ruling by FURIOUS judge",https://www.youtube.com/watch?v=lUrkBV3oyLo,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T13:20:15.435Z,734.0,740.391,734.0
Trump dealt HUMILIATION from Bad Bunny at Super Bowl halftime show,https://www.youtube.com/watch?v=GuZMSh1ckvs,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T13:11:56.898Z,492.0,498.537,492.0
BREAKING: Epstein survivors use Super Bowl to drop MAJOR UPDATE,https://www.youtube.com/watch?v=QPAiJw4EScA,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T13:01:05.879Z,644.0,651.019,644.0
Trump ATTACKS Olympian in INSANE tirade,https://www.youtube.com/watch?v=cV_3EyVNr7I,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T12:52:55.027Z,484.0,490.852,484.0
🚨 Republicans lose ANOTHER election in DEEP RED race,https://www.youtube.com/watch?v=Zwkce7R7VVY,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T11:53:13.925Z,3574.0,3581.102,3574.0
Trump’s SHOCKING plan to ATTACK upcoming election is REVEALED,https://www.youtube.com/watch?v=EtQZmk9wdJk,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T11:41:09.995Z,718.0,723.93,718.0
BREAKING UPDATE in Trump’s Georgia ballot seizure,https://www.youtube.com/watch?v=B0pNQXvPkw0,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-02-11T11:27:13.065Z,831.0,836.93,831.0
Commerce Secretary Howard Lutnick insists relationship with Epstein was limitied,https://www.youtube.com/watch?v=GIv2KRb5pVo,WHAS11,https://www.youtube.com/channel/UCTvZcgH_rsvaGuZ8mU5jpnA,2026-02-11T11:25:19.174Z,108.0,113.891,108.0
Person released in Nancy Guthrie case as search for 'armed individual' continues,https://www.youtube.com/watch?v=srmXgOLVrzg,ABC News,https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,2026-02-11T11:20:50.132Z,263.0,269.042,263.0
13 Potato Hacks You Need to Know | Allrecipes,https://www.youtube.com/watch?v=wvUz5x08-lA,Allrecipes,https://www.youtube.com/channel/UC4tAgeVdaNB5vD_mBoxg50w,2026-02-11T11:08:31.894Z,1386.0,738.238,738.238
5 Lazy One-Pan Dinners for When You're Too Tired to Cook | Allrecipes,https://www.youtube.com/watch?v=9FFAGAYxqOQ,Allrecipes,https://www.youtube.com/channel/UC4tAgeVdaNB5vD_mBoxg50w,2026-02-11T10:53:07.773Z,917.0,924.121,917.0
Trump Is Spiraling | Strategy Session with Rick Wilson and Stuart Stevens,https://www.youtube.com/watch?v=3veNQIRA_og,Lincoln Square,https://www.youtube.com/channel/UCkBrtQrHN6Lc3vJUzXT0m6A,2026-02-11T10:49:30.623Z,2261.0,217.15,217.15
GOP Finally FLIPS ON TRUMP over EPSTEIN FALL OUT!!!,https://www.youtube.com/watch?v=gTr2ASAlezE,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T10:45:32.389Z,1146.0,238.234,238.234
DESPERATE Trump Plans Hostile Election Takeover,https://www.youtube.com/watch?v=ODU-tIrb4iA,Democracy Docket,https://www.youtube.com/channel/UCWmMgbc1g6g5O8Tn_-k5qgA,2026-02-11T10:20:44.750Z,2131.0,1487.639,1487.639
Trump is Crashing Out And We're LOVING It | The Next Level,https://www.youtube.com/watch?v=eT8rbYgfHJI,The Bulwark,https://www.youtube.com/channel/UCG4Hp1KbGw4e02N7FpPXDgQ,2026-02-11T09:18:56.751Z,3702.0,3707.999,3702.0
On The Words We Are Taught To Fear ,https://www.youtube.com/watch?v=dmydSQiUYoc,Robert Arnold ,https://www.youtube.com/channel/UCCXljx9lsaAUJrVzRdoPhXg,2026-02-11T09:10:53.907Z,459.0,482.844,459.0
Sen. Jack Reed CALLS OUT Scott Bessent For 'Childish' Senate Conduct,https://www.youtube.com/watch?v=VD2PeTne6Ek,Daniel Reed,https://www.youtube.com/channel/UCCwQyRHW5mzagIMU6FLTH9A,2026-02-11T08:59:50.760Z,759.0,663.147,663.147
"The Last Word With Lawrence O'Donnell 2/10/26 | 🅼🆂🅽🅱️🅲 Breaking News Today February 10, 2026",https://www.youtube.com/watch?v=x_KbSCJUnjk,ام كريم 31 ,https://www.youtube.com/channel/UCbJA4yPy4z7nCDjf6qIEwvQ,2026-02-11T08:53:00.587Z,,410.173,410.173
South Park Just Went ALL OUT On ICE In Latest Episode! ,https://www.youtube.com/watch?v=BwapoVPykh8,Traitor Triumph,https://www.youtube.com/channel/UCLtE-fE4iIRX5DcFmRNo_Fg,2026-02-11T08:52:41.224Z,835.0,19.363,19.363
Trump PANICS after SHOCK FINDING in UNREDACTED FILES!!!,https://www.youtube.com/watch?v=DRoK-Xk4Ff0,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T08:34:55.037Z,1097.0,1066.187,1066.187
The Latest Batch Of Epstein Files Is INSANE,https://www.youtube.com/watch?v=QoexZ5VftBc,The Lincoln Project,https://www.youtube.com/channel/UCpYCxV51bykhMY-wSUozQRg,2026-02-11T08:33:51.301Z,4248.0,63.736,63.736
"Epstein, Lutnick, ICE & GOP Anti Hispanic Hysteria",https://www.youtube.com/watch?v=6OBOls3Abn4,David Feldman,https://www.youtube.com/channel/UCPx_etxYtUYRyrdOszrDA0g,2026-02-11T07:19:06.265Z,4479.0,4485.036,4479.0
The fallout and impact of the Epstein files | BBC News,https://www.youtube.com/watch?v=KACKbPWEGo4,BBC News,https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA,2026-02-11T07:00:01.788Z,1614.0,1144.477,1144.477
Epstein Files Cover Up – and Whose Lies are Fueling It,https://www.youtube.com/watch?v=Z7rF-6TP9h0,Sen. Adam Schiff,https://www.youtube.com/channel/UCadiUi-KZoFk1K5ZDsluLcA,2026-02-11T06:47:50.702Z,725.0,731.086,725.0
'Likely incriminated': Congressman names SIX MEN unredacted from Epstein files,https://www.youtube.com/watch?v=f-8lLt8fVZo,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-02-11T06:35:35.753Z,729.0,734.949,729.0
Protecting Pedophile Predators: Carole Cadwalladr on Jeffrey Epstein & the Elite's Veil of Silence,https://www.youtube.com/watch?v=P0P8GrAlTEk,Democracy Now!,https://www.youtube.com/channel/UCzuqE7-t13O4NIDYJfakrhw,2026-02-11T05:25:26.750Z,1428.0,4209.003,1428.0
"Trump’s Name in Epstein Files “More Than ONE MILLION"" Times & MAGA Explodes with Rage Over Bad Bunny",https://www.youtube.com/watch?v=shzx9MPdV44,Jimmy Kimmel Live,https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw,2026-02-11T05:10:49.569Z,871.0,877.181,871.0
"Trump in Epstein Files ""a Million Times"" & Lutnick Admits Lunch with Epstein | The Daily Show",https://www.youtube.com/watch?v=4Y9NnzkxamQ,The Daily Show,https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA,2026-02-11T04:57:00.711Z,823.0,828.858,823.0
"Democrats, Republicans address unredacted Epstein files",https://www.youtube.com/watch?v=rsm7BNcF0Kc,Face the Nation,https://www.youtube.com/channel/UC2x_qNZXKDxNP1j4jvHATRQ,2026-02-11T04:27:10.743Z,1784.0,1789.968,1784.0
Dem Gov FLIPS THE SCRIPT on Trump after VP is BOOED | PoliticsGirl,https://www.youtube.com/watch?v=5NSHrCgBx9w,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T03:40:31.596Z,2793.0,2799.147,2793.0
LIVE: Popok Gives URGENT UPDATE on Epstein FILES RELEASE | 2/10/2026,https://www.youtube.com/watch?v=vc8tyZW3q5c,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T02:18:39.765Z,4139.0,4911.831,4139.0
LIVE: Ben Meiselas RESPONDS to BREAKING NEWS!! 2/10/2026,https://www.youtube.com/watch?v=loE4HShpSM8,MeidasTouch,https://www.youtube.com/channel/UC9r9HYFxEQOBXSopFS61ZWg,2026-02-11T01:50:48.632Z,3293.0,1671.133,1671.133
“Please get me out of here”: Rep. reads kids’ ICE detention letters in DHS hearing,https://www.youtube.com/watch?v=P6Azm5w3KVE,KARE 11,https://www.youtube.com/channel/UC1JAwKeDUjN2orv5t7LWODQ,2026-02-10T23:46:20.723Z,1704.0,7467.909,1704.0
