title,link,channel,channel_link,date,video_length,time_diff,watch_time
Joe Kent Exposes New MAGA For What It Is: Neocon Warmongering Woke Establishment Politics,https://www.youtube.com/watch?v=8cmNd0zLxJE,Owen Report,https://www.youtube.com/channel/UCcE1-IiX4fLqbbVjPx0Bnag,2026-03-18T06:26:36.853Z,10494.0,,10494.0
Joe Kent Exposes New MAGA For What It Is: Neocon Warmongering Woke Establishment Politics,https://www.youtube.com/watch?v=8cmNd0zLxJE,Owen Report,https://www.youtube.com/channel/UCcE1-IiX4fLqbbVjPx0Bnag,2026-03-18T04:31:43.177Z,10494.0,6893.676,6893.676
Ben Shapiro Does DAMAGE Control Following Joe Kent's Statement,https://www.youtube.com/watch?v=WtQ5T9wvzxY,Wally Rashid,https://www.youtube.com/channel/UCMmWVaKOkCZ9bTvFKsYQ6tw,2026-03-18T04:19:13.301Z,761.0,749.876,749.876
Glenn Greenwald: Israelis Trying To Get CIA To ARREST Tucker Carlson,https://www.youtube.com/watch?v=RXYRWQIea5A,Revolutionary Change,https://www.youtube.com/channel/UCqE7Mc9cvyrUf9lxihC7w3w,2026-03-18T04:17:47.084Z,1061.0,86.217,86.217
Tulsi Gabbard SELLS OUT and Goes Full PRO WAR: Weekly Politics Live 5pm PST,https://www.youtube.com/watch?v=4ga0-xtEYpI,Valhalla VFT,https://www.youtube.com/channel/UCPibkYslKyJFp30ocgPryCA,2026-03-18T04:17:10.057Z,15628.0,37.027,37.027
British Journalist UNCOVERS SHOCKING Iran War COVER-UP,https://www.youtube.com/watch?v=4BlXzB8E8h4,Double Down News,https://www.youtube.com/channel/UCeRYN0tYBQVrC2cKsxJjdow,2026-03-18T03:52:31.995Z,1345.0,1478.062,1345.0
Has the Strait of Hormuz Chokepoint Become a Checkpoint for Iranian Shipping?,https://www.youtube.com/watch?v=Eqr3s6uTays,What's Going on With Shipping?,https://www.youtube.com/channel/UCT_yBgKSiwb3WP4ACPnF5nA,2026-03-18T01:55:43.854Z,1121.0,7008.141,1121.0
Is Trump 2.0 As Bad As Joe Biden? Tucker Arrest Coming? Levin Slobbering?,https://www.youtube.com/watch?v=G0UUm_-Hyis,An0maly - News Analysis & Hip-hop,https://www.youtube.com/channel/UC4vptswS-qIpvz0NiocrGsA,2026-03-17T23:21:57.082Z,27165.0,9226.772,9226.772
COD: MW2 Convoy Destroyed #codmw2,https://www.youtube.com/watch?v=dOQ-xWW3C7E,OldNostalgiaGG,https://www.youtube.com/channel/UCZmQPRR180X2riri-okNdkQ,2026-03-17T23:08:53.715Z,21.0,783.367,21.0
F250 Got Me Acting Different #liftedtrucks #pickuptruck #f250,https://www.youtube.com/watch?v=xpBbFP6Wk5o,KickinItWithQ,https://www.youtube.com/channel/UCU31gWGb7lypyo_Tvw_1VJA,2026-03-17T23:08:25.967Z,8.0,27.748,8.0
"$20,000 Drone vs $4 Million Defense System 🚀 #viralvideo #shorts #drone #viral #news #iranisraelwar",https://www.youtube.com/watch?v=thvb3PpGzM0,RSGNEWS24 ,https://www.youtube.com/channel/UCFuct25tOx8jPAazUKDB9sA,2026-03-17T23:08:20.036Z,17.0,5.931,5.931
How a Nuke Destroys a City - Nuclear Engineer Reacts to Johnny Harris,https://www.youtube.com/watch?v=p_F5n9ADus0,T. Folse Nuclear,https://www.youtube.com/channel/UCg0VO_LJZjTzubUQ34CwnLQ,2026-03-17T23:03:31.617Z,169.0,288.419,169.0
"İran’a ait bir hipersonik balistik füzenin, çok yüksek terminal dalış hızıyla İsrail’i vurduğu an!",https://www.youtube.com/watch?v=U2TH2qJcFuU,TGRT Haber TV,https://www.youtube.com/channel/UCzgrZ-CndOoylh2_e72nSBQ,2026-03-17T23:03:05.806Z,15.0,25.811,15.0
Inside the AC-130J Ghostrider,https://www.youtube.com/watch?v=yGryBhzxaOo,Berserk Zone ,https://www.youtube.com/channel/UCxfacTJbbYf_OVyLxDAudYg,2026-03-17T23:01:58.872Z,17.0,66.934,17.0
Iranian militia FPV drone bypasses heavy fortifications to film inside Baghdad US Embassy,https://www.youtube.com/watch?v=1EcGYE7C4PE,TRT World,https://www.youtube.com/channel/UC7fWeaHhqgM4Ry-RMpM2YYw,2026-03-17T23:01:45.140Z,48.0,13.732,13.732
Yeah that’s when I enjoyed life,https://www.youtube.com/watch?v=OFGTN0sHEUM,Not Open To Work,https://www.youtube.com/channel/UCURwPyid9ELtIN8VVfsa8oA,2026-03-17T23:00:29.474Z,18.0,75.666,18.0
Conspiracy theorist: professionally tired of saying ‘told you so.’ #strangebrewpodcast #conspiracy,https://www.youtube.com/watch?v=Z2M8g0aNfL4,Strange Brew Podcast!,https://www.youtube.com/channel/UCww3Ym-XBTuyHAhpwPJ1FUA,2026-03-17T22:59:56.249Z,16.0,33.225,16.0
"The ""Islamic Resistance in Iraq"" Shared FPV Footage Of A Strike  On Camp Victory.",https://www.youtube.com/watch?v=jqHe_9vD5l4,Kagan Dunlap,https://www.youtube.com/channel/UC63Tq5qh0QCKemBSHnXuF5Q,2026-03-17T22:58:03.248Z,125.0,113.001,113.001
US Embassy in Baghdad Attacked,https://www.youtube.com/watch?v=v8azuAiwlC0,Not What You Think,https://www.youtube.com/channel/UC4pNDofN0Xh-z2bhh62g8Ow,2026-03-17T22:57:50.017Z,65.0,13.231,13.231
As Governor I will FIX our Public Schools. #florida #politics #trending #americafirst,https://www.youtube.com/watch?v=HgJSSZzO_0c,James Fishback,https://www.youtube.com/channel/UCKboWrWN06DOPilr6LI9l5A,2026-03-17T22:57:41.365Z,17.0,8.652,8.652
Look what a potato can do to a man,https://www.youtube.com/watch?v=dXTuAO1IFf4,pico,https://www.youtube.com/channel/UCQFaPojUZ-V0HwpbkVv1cPg,2026-03-17T22:56:12.377Z,29.0,88.988,29.0
Cuba's National Electric Grid has Suffered a Complete and Total Collapse.,https://www.youtube.com/watch?v=-645vsMonac,Kagan Dunlap,https://www.youtube.com/channel/UC63Tq5qh0QCKemBSHnXuF5Q,2026-03-17T22:56:06.230Z,80.0,6.147,6.147
THE NIGHT ONE MAN REFUSED TO START NUCLEAR WAR #history #truestory,https://www.youtube.com/watch?v=xwhEWsa2Slk,Weird History Facts & Vintage Photography ,https://www.youtube.com/channel/UCQI7DnVzjO9E_a21oWqTXfg,2026-03-17T22:56:00.315Z,53.0,5.915,5.915
Nobody Could've Predicted This 😭,https://www.youtube.com/watch?v=L9CMTo7t6NU,StompnWorld,https://www.youtube.com/channel/UCJ8LW5mfKP4WEDjoQQawUhg,2026-03-17T22:55:39.412Z,59.0,20.903,20.903
Lmaooo Optimus gotta chill #shorts,https://www.youtube.com/watch?v=Kx9nYjyV4g8,Tutweezy,https://www.youtube.com/channel/UC8nDWhEfMOo4uk9prU7_G7g,2026-03-17T22:55:34.661Z,24.0,4.751,4.751
"Trump's CounterTerrorism Chief Resigns, Calls Iran War a Lie",https://www.youtube.com/watch?v=558V70zjn1c,DeFranco News Clips,https://www.youtube.com/channel/UCpLB7kBu9O5dbBKhaIOmqcQ,2026-03-17T22:55:10.801Z,63.0,23.86,23.86
𝐊𝐈𝐋𝐋𝐃𝐎𝐙𝐄𝐑 𝐂𝐎𝐑𝐄,https://www.youtube.com/watch?v=q5x4p5SBCjM,ɴᴇᴠᴇʀ𝟸ʏᴜɴɢ𝟺ᴀᴠɪᴇᴛɴᴀᴍғʟᴀsʜʙᴀᴄᴋ,https://www.youtube.com/channel/UCbyHH2ZfRDlA94XRtCkuDkg,2026-03-17T22:55:07.160Z,28.0,3.641,3.641
😭😭 The Dictator follows the eccentric and oppressive Admiral,https://www.youtube.com/watch?v=yWUhTV0Pcjs,P.K.G,https://www.youtube.com/channel/UC--9jrgNiXQYzf3HUfUYLog,2026-03-17T22:54:18.095Z,27.0,49.065,27.0
He wasn't expecting it,https://www.youtube.com/watch?v=6rQKM2mSs6Q,Not Open To Work,https://www.youtube.com/channel/UCURwPyid9ELtIN8VVfsa8oA,2026-03-17T22:54:01.418Z,11.0,16.677,11.0
Iran’s F-14 Tomcats may have used up the last of their nine lives,https://www.youtube.com/watch?v=GkvXW1SDw24,The War Zone,https://www.youtube.com/channel/UCIUg-gNzeWPEvt-GXQwPBdg,2026-03-17T22:53:09.306Z,58.0,52.112,52.112
“Total SICKO!” - Catching Predators Legend on Epstein Files & Roblox COVERUP | Chris Hansen • 397,https://www.youtube.com/watch?v=bpGk_xVZv_4,Julian Dorey,https://www.youtube.com/channel/UC0A-v_DL-h76F75xik8h03Q,2026-03-17T22:03:44.225Z,9939.0,2965.081,2965.081
Netanyahu’s “I’m alive” cafe video becomes multiverse meme,https://www.youtube.com/watch?v=NI5OYEmNPEo,TRT World,https://www.youtube.com/channel/UC7fWeaHhqgM4Ry-RMpM2YYw,2026-03-17T22:01:32.004Z,47.0,132.221,47.0
First Look at the F-47?,https://www.youtube.com/watch?v=iS5BfJiVPpk,Aaron Rheins,https://www.youtube.com/channel/UCDXv3XxJ2RsaYqbGgX135Wg,2026-03-17T22:01:22.712Z,32.0,9.292,9.292
Eurofighter Typhoons in Iran?,https://www.youtube.com/watch?v=JD989vF2gpI,Aaron Rheins,https://www.youtube.com/channel/UCDXv3XxJ2RsaYqbGgX135Wg,2026-03-17T22:00:44.269Z,,38.443,38.443
Israel Is Possessed By The Spirit Of Sodom And Antichrist,https://www.youtube.com/watch?v=Md_t3bCUzPM,Theodore Shoebat,https://www.youtube.com/channel/UCmkpjdeEfECVe8Is5SCcjnQ,2026-03-17T21:50:56.453Z,1786.0,587.816,587.816
"""ISRAEL CONTROLS OUR GOVT"" Dan Bilzerian SCHOOLS Pierce Morgan for 30 Minutes Straight (HEATED)",https://www.youtube.com/watch?v=lOpGrdAZEfk,bluprnt,https://www.youtube.com/channel/UCAOWmdfsm_aFM4e-h35nKSA,2026-03-17T20:33:58.852Z,2217.0,4617.601,2217.0
THE WARNING SIGNS WERE MISSED: What’s Coming Now Is More' |  | Prof. Jiang Xueqin,https://www.youtube.com/watch?v=yhUfoGe__1M,Mayara & Davi,https://www.youtube.com/channel/UCFMaqITd68gDPBW0OwqMbPw,2026-03-17T20:32:49.062Z,,69.79,69.79
Joe Kent EPICALLY Resigns in PROTEST Against Iran Disaster. ,https://www.youtube.com/watch?v=mPzjGNG5rWw,Valhalla VFT,https://www.youtube.com/channel/UCPibkYslKyJFp30ocgPryCA,2026-03-17T20:14:48.648Z,759.0,1080.414,759.0
Joe Kent Just Resigned -Trump Admin MELTS Down,https://www.youtube.com/watch?v=LkTt5ZhrbCc,BlackScoutSurvival,https://www.youtube.com/channel/UC4YOBmzRey4X3lLCjhw3UaQ,2026-03-17T19:52:39.588Z,1417.0,1329.06,1329.06
It's Time To Trigger and Shame The MAGA Cult.,https://www.youtube.com/watch?v=J18EZTIYuTU,Owen Report,https://www.youtube.com/channel/UCcE1-IiX4fLqbbVjPx0Bnag,2026-03-17T19:51:22.989Z,958.0,76.599,76.599
BREAKING NEWS: Speaker Johnson Reacts To Resignation Of Top Trump Terrorism Official Joe Kent,https://www.youtube.com/watch?v=sHksk01w2dw,Forbes Breaking News,https://www.youtube.com/channel/UCg40OxZ1GYh3u3jBntB6DLg,2026-03-17T18:01:10.206Z,118.0,6612.783,118.0
"Ted Cruz Says ""Christ Is King"" Is Antisemitic",https://www.youtube.com/watch?v=3nCYAIqiobw,Church of the Eternal Logos,https://www.youtube.com/channel/UCH8JwgaHCkhdfERVkGbLl2g,2026-03-17T17:57:47.933Z,79.0,202.273,79.0
Another one #CIA  #fyp #funny whistleblower #viral  #johnkiriakou #cia,https://www.youtube.com/watch?v=Uk_NjxF1MEU,John Kiriakou Clips,https://www.youtube.com/channel/UCmdNLc7Oj2TiBMAIzA6FWyA,2026-03-17T17:56:48.956Z,50.0,58.977,50.0
It's all the time actually,https://www.youtube.com/watch?v=R0WG7K9RN7c,Not Open To Work,https://www.youtube.com/channel/UCURwPyid9ELtIN8VVfsa8oA,2026-03-17T17:56:11.692Z,12.0,37.264,12.0
Gypsy Crusader Not A Real Racist,https://www.youtube.com/watch?v=zAH40fvvDDs,"I,Hypocrite",https://www.youtube.com/channel/UCKGLZ1K7jKfi_42bHxdCBrA,2026-03-17T17:54:56.594Z,59.0,75.098,59.0
This Is What Evil Looks Like,https://www.youtube.com/watch?v=Sw3xIRQ8rlg,Truthstream Media,https://www.youtube.com/channel/UCVEaFSr-jdTa_QE4PPSkVJw,2026-03-17T17:05:26.835Z,2930.0,2969.759,2930.0
ISRAEL IS COMPLETELY HUMILIATED,https://www.youtube.com/watch?v=7_hPjo3OEQo,Rathbone ,https://www.youtube.com/channel/UCT4LlKacuIJd0sB-9OtuFDA,2026-03-17T16:38:37.681Z,1508.0,1609.154,1508.0
Pentagon Orders Deployment of the 31st Marine Expeditionary Unit To The Middle East.,https://www.youtube.com/watch?v=EqbDyVLtuJw,Kagan Dunlap,https://www.youtube.com/channel/UC63Tq5qh0QCKemBSHnXuF5Q,2026-03-17T16:36:13.568Z,117.0,144.113,117.0
"Iran, Looksmaxxing, & The Rapture | The Tim Dillon Show #487",https://www.youtube.com/watch?v=VHPtrudNv3Y,The Tim Dillon Show,https://www.youtube.com/channel/UC4woSp8ITBoYDmjkukhEhxg,2026-03-17T07:50:48.883Z,3826.0,31524.685,3826.0
Something Just Started…,https://www.youtube.com/watch?v=76XInWn6tjI,BlackScoutSurvival,https://www.youtube.com/channel/UC4YOBmzRey4X3lLCjhw3UaQ,2026-03-17T07:27:55.063Z,1165.0,1373.82,1165.0
"Israel crumbling, Bibi missing, American bases leveled. What they won't tell you on the news.",https://www.youtube.com/watch?v=DwDlo3Kfhvk,Ian Carroll,https://www.youtube.com/channel/UCCgpGpylCfrJIV-RwA_L7tg,2026-03-17T04:21:01.759Z,7610.0,11213.304,7610.0
Netanyahu is AI-LIVE!,https://www.youtube.com/watch?v=kwR-_ToExrM,Rathbone ,https://www.youtube.com/channel/UCT4LlKacuIJd0sB-9OtuFDA,2026-03-17T02:10:29.147Z,939.0,7832.612,939.0
Netanyahu MIA Rumors CONFUSE Everyone ,https://www.youtube.com/watch?v=7s1RBjB4gsk,Valhalla VFT,https://www.youtube.com/channel/UCPibkYslKyJFp30ocgPryCA,2026-03-16T22:02:58.256Z,891.0,14850.891,891.0
