title,link,channel,channel_link,date,video_length,time_diff,watch_time
"Olivia Nuzzi, RFK Jr., And Ryan Lizza | Chapo Trap House",https://music.youtube.com/watch?v=AvsIzISzwk0,Chapo Trap House,https://www.youtube.com/channel/UCokqzNPBJ65raczldVuHAww,2026-04-24T19:09:09.567Z,2921.0,,2921.0
One Large Pedophile Protection Racket | Chapo Trap House,https://music.youtube.com/watch?v=03fNcFwKNy8,Chapo Trap House,https://www.youtube.com/channel/UCokqzNPBJ65raczldVuHAww,2026-04-24T19:03:30.223Z,339.0,339.344,339.0
Magnus Teaches the London System (to every Elo),https://www.youtube.com/watch?v=baJ848UCB-0,Team Liquid Chess,https://www.youtube.com/channel/UCmedXv9SrZl95G8WH1mqTfQ,2026-04-24T14:18:25.760Z,1303.0,17104.463,1303.0
GOT3D301_EN_CCU型山坡-沙漠版不侵权_国王_ECK2_1920x1080,https://www.youtube.com/watch?v=L6T1RfgIhAs,,,2026-04-24T14:17:58.111Z,55.0,27.649,27.649
260414 EN 25s collection Thragg release 1920x1080 land,https://www.youtube.com/watch?v=K4avota2aFM,,,2026-04-24T14:11:18.079Z,25.0,400.032,25.0
Make your rental impossible to miss | Booking.com,https://www.youtube.com/watch?v=AbBG0r3UXBk,,,2026-04-24T14:11:08.662Z,16.0,9.417,9.417
Stand Out in Your Career | SNHU Commercial :30 (5/1/25),https://www.youtube.com/watch?v=4BPUe5romMw,,,2026-04-24T14:10:37.052Z,31.0,31.61,31.0
Hoping For The Best - 06sec,https://www.youtube.com/watch?v=rwLj2TYVhx4,,,2026-04-24T14:10:30.002Z,7.0,7.05,7.0
DOIV2100000H 16x9 OLO April26 OrderMe YT 6s,https://www.youtube.com/watch?v=KFxSC8MOqLA,,,2026-04-24T14:10:00.109Z,7.0,29.893,7.0
DCD-The-4132| Hulu,https://www.youtube.com/watch?v=eb4ZYpC05OE,,,2026-04-24T14:09:56.809Z,22.0,3.3,3.3
The Vampire Lestat | Official Trailer | Premieres June 7 on AMC & AMC+,https://www.youtube.com/watch?v=7c7JFMTBeVk,amc+,https://www.youtube.com/channel/UCmxURUIJXKnoC7_i1fPhs7Q,2026-04-24T14:06:02.930Z,132.0,233.879,132.0
How it should be.,https://www.youtube.com/watch?v=ixtzNSFJF3Y,,,2026-04-24T14:05:46.917Z,16.0,16.013,16.0
Everyone is Hot but No One Is Attractive Anymore...,https://www.youtube.com/watch?v=SCpZz4hUxlg,Lani's Lens,https://www.youtube.com/channel/UClCmqa3I2zBYoiNgM_CvA2g,2026-04-24T13:58:51.889Z,1418.0,415.028,415.028
Wellness at Ulta Beauty | Ulta Beauty,https://www.youtube.com/watch?v=SAooQDCEbPs,,,2026-04-24T13:58:44.447Z,7.0,7.442,7.0
Mustache | LiMu Emu & Doug | Liberty Mutual Insurance Commercial,https://www.youtube.com/watch?v=wVqq7P5FRVw,,,2026-04-24T13:58:28.749Z,16.0,15.698,15.698
