title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-03-10T06:38:22.188Z,64.0,,64.0
Chillout Heaven,https://www.youtube.com/watch?v=lDmEofbx0aE,Friðrik Karlsson - Topic,https://www.youtube.com/channel/UCigJ-yIFQlXyJBYMcOmnOGw,2026-03-10T06:24:52.442Z,586.0,809.746,586.0
DC ROI -  AcrobatDC AcrobatDC DC EN XY Acaiassistant MultidocVignette 6 18 VID 1080x1920,https://www.youtube.com/watch?v=I4ZAyDt_74w,,,2026-03-10T06:24:46.268Z,22.0,6.174,6.174
Earth & Sea (Interlude) | Without Words : Genesis,https://www.youtube.com/watch?v=_xw-3fBh2cQ,Bethel Music,https://www.youtube.com/channel/UCbertc-gMbkkHuSmg0qwnxw,2026-03-10T05:44:56.697Z,115.0,2389.571,115.0
TheBuild SEEN THIS Drake Anthony Google UACAcquisition AV  15sec 9x16,https://www.youtube.com/watch?v=HKmolZ7kB7M,,,2026-03-10T05:44:36.261Z,15.0,20.436,15.0
US-EN | D7411 | Too Many? | Men | Seller | 4x5 | 30s | .mp4,https://www.youtube.com/watch?v=ujWtFONUfxg,,,2026-03-10T05:43:58.140Z,30.0,38.121,30.0
Air - Alone In Kyoto,https://www.youtube.com/watch?v=XUjAtYQkFm8,anintshe,https://www.youtube.com/channel/UC3Sc2gp_sCUUJi56R_kckcg,2026-03-10T05:39:09.844Z,289.0,288.296,288.296
"Best Pop Songs 2026 ♫ Taylor Swift, Ed Sheeran, Bruno Mars, Lady Gaga💥 Billboard Top 100 This Week",https://www.youtube.com/watch?v=kizfrmykOkM,Timeless Pop Music,https://www.youtube.com/channel/UC_hkrook3LFBIA0kfpDwrgg,2026-03-09T20:15:44.830Z,0.0,33805.014,0.0
I'll Walk Beside You,https://www.youtube.com/watch?v=OVYpmK5XhDE,Luka Bloom - Topic,https://www.youtube.com/channel/UCz_bfmYgatkL4GF1szp0D0g,2026-03-09T20:06:40.414Z,195.0,544.416,195.0
"Hawaiian Roller Coaster Ride (From ""Lilo & Stitch"")",https://www.youtube.com/watch?v=3OM7oi79hd4,DisneyMusicVEVO,https://www.youtube.com/channel/UCgwv23FVv3lqh567yagXfNg,2026-03-09T20:05:23.896Z,159.0,76.518,76.518
The Beach (2000) Trailer #1 | Movieclips Classic Trailers,https://www.youtube.com/watch?v=7vSsx1RkGls,Rotten Tomatoes Classic Trailers,https://www.youtube.com/channel/UCTCjFFoX1un-j7ni4B6HJ3Q,2026-03-09T20:04:21.035Z,152.0,62.861,62.861
Building Jay's Way for ERGO NEXT,https://www.youtube.com/watch?v=jGCumNQFjnM,,,2026-03-09T20:03:58.178Z,39.0,22.857,22.857
F26 US Patron Cristalino Local Masterbrand OLV 16x9 15s P000896 2,https://www.youtube.com/watch?v=VCZHn3bZj7c,,,2026-03-09T20:03:42.837Z,16.0,15.341,15.341
JAŸ-Z - Empire State Of Mind ft. Alicia Keys,https://www.youtube.com/watch?v=vk6014HuxcE,JayZVEVO,https://www.youtube.com/channel/UC_Bf08Y-3m6CMAvTms3EkKg,2026-03-09T19:59:44.333Z,282.0,238.504,238.504
Electric Light Orchestra - Mr Blue Sky (Lyrics),https://www.youtube.com/watch?v=sQiPtneudlo,7clouds Rock,https://www.youtube.com/channel/UCQqEC0LPfvgFCP8ixrCqADA,2026-03-09T19:58:48.570Z,301.0,55.763,55.763
Last Day 59% OFF - Waterproof Four-tip Beard and Eyebrow Pen,https://www.youtube.com/watch?v=_OGBf0mUFQI,,,2026-03-09T19:58:38.480Z,162.0,10.09,10.09
[They Long To Be] Close To You,https://www.youtube.com/watch?v=M268Csnue9I,The Carpenters - Topic,https://www.youtube.com/channel/UCahR3Ejd3QSqcq9a5gA_DyA,2026-03-09T19:58:12.433Z,276.0,26.047,26.047
Jackie DeShannon - What The World Needs Now Is Love,https://www.youtube.com/watch?v=YUaxVQPohlU,Beth Cartwright,https://www.youtube.com/channel/UCcRLYVKtrw_y8PD6wwGjqZA,2026-03-09T19:55:28.671Z,193.0,163.762,163.762
"Square: Poshmark: Sell Fashion, Home Decor, Beauty and More",https://www.youtube.com/watch?v=xZvSulY0OPo,,,2026-03-09T19:55:18.802Z,16.0,9.869,9.869
Carpenters - Rainy Days And Mondays,https://www.youtube.com/watch?v=PjFoQxjgbrs,CarpentersVEVO,https://www.youtube.com/channel/UCm0cXrAO03oh1xZ2hfXrhdQ,2026-03-09T09:28:22.248Z,212.0,37616.554,212.0
Carpenters - I Won't Last A Day Without You,https://www.youtube.com/watch?v=tt5huMICEwU,Chicpizz209,https://www.youtube.com/channel/UCAeWI0dsixQHpntpSnx_swg,2026-03-09T09:28:18.981Z,270.0,3.267,3.267
Talkspace “Don’t want to talk about it”,https://www.youtube.com/watch?v=ud-cge8DE0o,,,2026-03-09T09:26:46.483Z,31.0,92.498,31.0
