title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-03-18T15:33:01.042Z,64,,64.0
C-4,https://www.youtube.com/watch?v=0ADQD84_37Q,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:16:11.871Z,31,159409.171,31.0
S-2,https://www.youtube.com/watch?v=yexRNjFmJP0,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:15:50.288Z,56,21.583,21.583
L-3,https://www.youtube.com/watch?v=ySzG36RiRzU,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:15:00.527Z,21,49.761,21.0
T-1,https://www.youtube.com/watch?v=qqgcA_nbKv0,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:13:50.800Z,33,69.727,33.0
S-4,https://www.youtube.com/watch?v=xrcRku91BeI,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:12:18.623Z,58,92.177,58.0
L-1,https://www.youtube.com/watch?v=RQ71JM0DvuY,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:09:58.450Z,21,140.173,21.0
T-3,https://www.youtube.com/watch?v=oudj9TKKDMQ,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:09:16.264Z,29,42.186,29.0
C-2,https://www.youtube.com/watch?v=pwMeLAOvc0U,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:08:03.340Z,31,72.924,31.0
T-2,https://www.youtube.com/watch?v=bddizwikJkU,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:06:54.477Z,28,68.863,28.0
S-1,https://www.youtube.com/watch?v=mMnjprUhUEU,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:06:07.646Z,58,46.831,46.831
C-3,https://www.youtube.com/watch?v=ceq69qsDlss,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:04:38.542Z,31,89.104,31.0
L-4,https://www.youtube.com/watch?v=z_1pqNRws5M,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:03:45.090Z,23,53.452,23.0
L-2,https://www.youtube.com/watch?v=QEBVrWyNIlI,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:02:10.448Z,21,94.642,21.0
C-1,https://www.youtube.com/watch?v=qZF5HqIanwY,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:01:04.002Z,31,66.446,31.0
T-4,https://www.youtube.com/watch?v=Ykw4CT8U2Vs,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T19:00:08.357Z,30,55.645,30.0
S-3,https://www.youtube.com/watch?v=U88pIDRmeOE,Wenqi Fang,https://www.youtube.com/channel/UC3TzBbUgPgnoiKDTKiDxupA,2026-03-16T18:58:29.003Z,57,99.354,57.0
EVERY Weekend Goal | Matchweek 30 | 2025/26 Premier League Highlights,https://www.youtube.com/watch?v=L_9-t_1yRjg,Premier League,https://www.youtube.com/channel/UCG5qGWdu8nIRZqJ_GgDwQ-w,2026-03-15T23:22:11.683Z,149,70577.32,149.0
Yes... MW2 is Unplayable in 2026,https://www.youtube.com/watch?v=DnVOuJXSgog,habibo,https://www.youtube.com/channel/UCQ6l-bWhGLrQBVf0o_Clc4A,2026-03-15T23:20:20.136Z,139,111.547,111.547
Bring your ideas to life with Base44,https://www.youtube.com/watch?v=OugxDOargKI,,,2026-03-15T23:20:11.363Z,47,8.773,8.773
Office C,https://www.youtube.com/watch?v=3sVbI75zDR8,Axel Rawork,https://www.youtube.com/channel/UCnzmiBAVVKc9-88EmvX009w,2026-03-11T22:24:07.317Z,601,348964.046,601.0
Autonomous IT for the Modern Enterprise,https://www.youtube.com/watch?v=n5xBdC0pUqI,,,2026-03-11T19:18:02.308Z,66,11165.009,66.0
Everything You Need To Start Making Games (As A Beginner),https://www.youtube.com/watch?v=_eK26atXTds,Juniper Dev,https://www.youtube.com/channel/UChzRJQ-MbpcIxFT5YLW1R9w,2026-03-09T18:15:22.181Z,971,176560.127,971.0
