title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-03-10T02:43:41.337Z,64.0,,64.0
Part 2 of 2 — Lump in your Throat? Mobilize THIS bone! #hyoid #throatpain #neckpain #tmj,https://www.youtube.com/watch?v=iIyQQr3-Fd4,"Dr. Joe Damiani, PT, DPT",https://www.youtube.com/channel/UC0vA84F1DU-DWKmwxyKf2Hw,2026-03-10T01:34:47.231Z,19.0,4134.106,19.0
Osteopath adjusts my Hyoid bone,https://www.youtube.com/watch?v=O0sfrZAFbFk,Zach Haller,https://www.youtube.com/channel/UCV3py_sDImTWawVXV6TRmzA,2026-03-10T01:33:39.808Z,38.0,67.423,38.0
Discover the Floating Bone: Your Hyoid Unveiled 🦴,https://www.youtube.com/watch?v=6uDAKW6l5ww,Mia Karlsson,https://www.youtube.com/channel/UCkO7mz4jrRaxHXULASpR7ZQ,2026-03-10T01:32:22.955Z,36.0,76.853,36.0
Dashy Blind Ranks COD Pros! (Pt. 2),https://www.youtube.com/watch?v=hj2kLdYYRXA,Dashy,https://www.youtube.com/channel/UC_N8Z_mNIIHcZBBDF8pHhMQ,2026-03-10T01:08:45.086Z,78.0,1417.869,78.0
This guy is too funny #callofduty #blackops7 #bo7 #codclips #bo7clips #shotzzy #scrap #scump,https://www.youtube.com/watch?v=YsdluZpiEeY,Codlivestream Clips,https://www.youtube.com/channel/UCYvV4xc0Q3-5q5_gZ6lYU2g,2026-03-10T01:06:53.748Z,28.0,111.338,28.0
Shotzzy Reacts to OpTic's Record,https://www.youtube.com/watch?v=jFitF6d1rHA,OpTic Audio Network,https://www.youtube.com/channel/UCUv9pxNBIZLjYKrhaK_RqOw,2026-03-10T01:05:19.206Z,27.0,94.542,27.0
#nba #warriornation #basketball #edit #stephencurry #curry #humor #nbaedits #goldenstate,https://www.youtube.com/watch?v=4qnWPJz3_yk,Warriors Insider Daily,https://www.youtube.com/channel/UCMrAYviDMgpjUKLbdUqUUhw,2026-03-10T01:05:07.347Z,62.0,11.859,11.859
LeThird Base,https://www.youtube.com/watch?v=Xg2lbdSkAGc,Angry Old Hoops Fan,https://www.youtube.com/channel/UCNHpaS72NmjT5Htnm8acKeA,2026-03-10T01:02:15.384Z,9.0,171.963,9.0
The Absolute WORST Countries to Travel,https://www.youtube.com/watch?v=iz8z2njGF3c,Small Brained Pod ,https://www.youtube.com/channel/UCWjKURV0r6EtwnTUMHWxjtA,2026-03-10T00:41:31.993Z,3896.0,1243.391,1243.391
