title,link,channel,channel_link,date,video_length,time_diff,watch_time
The 4 Roadblocks Between You and Getting Accepted to PA School,https://www.youtube.com/watch?v=GSpYkwrI6vs,The Posh PA,https://www.youtube.com/channel/UCIdU2bdYcAeL8s_dsk1QRkQ,2026-03-18T22:01:22.645Z,3856,,3856.0
30 min. NO REPEAT Full Body and Abs Strength Training,https://www.youtube.com/watch?v=uJPh65_KL7M,Kaleigh Cohen Strength,https://www.youtube.com/channel/UC0PZtgIWY5__DxIR0iVttQA,2026-03-18T18:45:18.323Z,1984,11764.322,1984.0
How to Start a Business as a Physician Assistant | The Posh PA,https://www.youtube.com/watch?v=Dg373VLrXR0,The Posh PA,https://www.youtube.com/channel/UCIdU2bdYcAeL8s_dsk1QRkQ,2026-03-18T15:28:10.625Z,2020,11827.698,2020.0
How to Start a Business as a Physician Assistant | The Posh PA,https://www.youtube.com/watch?v=Dg373VLrXR0,The Posh PA,https://www.youtube.com/channel/UCIdU2bdYcAeL8s_dsk1QRkQ,2026-03-17T23:21:45.764Z,2020,57984.861,2020.0
"How to Get Into PA School with Michele Neskey, PA-C",https://www.youtube.com/watch?v=tH13xwqq6DM,Advanced eClinical Training (ACT),https://www.youtube.com/channel/UCdvzIOeoXgoGstfi9oahScA,2026-03-17T19:13:10.416Z,3280,14915.348,3280.0
30 min NO REPEAT Full Body Strength w/ Dumbbells,https://www.youtube.com/watch?v=5n0p-FcEQ64,Kaleigh Cohen Strength,https://www.youtube.com/channel/UC0PZtgIWY5__DxIR0iVttQA,2026-03-17T16:53:15.686Z,2011,8394.73,2011.0
How to get your healthcare/patient care hours for PA School!,https://www.youtube.com/watch?v=pkcNJLgpN4c,The Mexican PA,https://www.youtube.com/channel/UCwWv_k1qyR1ZUI3KWVrgUHg,2026-03-17T15:59:38.173Z,1077,3217.513,1077.0
Community Colleges are the Future of Education | Emily Shields | TEDxWesternIowaTech,https://www.youtube.com/watch?v=VxJwfRItPYU,TEDx Talks,https://www.youtube.com/channel/UCsT0YIqwnpJCM-mx7-gSA4Q,2026-03-17T15:45:58.546Z,804,819.627,804.0
15 Minute Full Body Dumbbell Workout | Fit for the Holidays,https://www.youtube.com/watch?v=dmB6cfAxMIE,Kaleigh Cohen Strength,https://www.youtube.com/channel/UC0PZtgIWY5__DxIR0iVttQA,2026-03-17T03:31:52.647Z,959,44045.899,959.0
20-minute NO REPEAT Upper Body Strength Training,https://www.youtube.com/watch?v=1HTsVvNRP88,Kaleigh Cohen Strength,https://www.youtube.com/channel/UC0PZtgIWY5__DxIR0iVttQA,2026-03-17T00:01:55.628Z,1439,12597.019,1439.0
MRI physics overview | MRI Physics Course | Radiology Physics Course #1,https://www.youtube.com/watch?v=gtnOlotFgUY,Radiology Tutorials,https://www.youtube.com/channel/UC9Zp0PrjNbs4nwQNdkquRug,2026-03-16T21:31:28.884Z,1393,9026.744,1393.0
GET INTO PA SCHOOL WITH THESE 5 STEPS,https://www.youtube.com/watch?v=MhrPsiXtjXM,"Christian, PA-C",https://www.youtube.com/channel/UCYwrlY9xzcLxTfkqDr1SYIQ,2026-03-16T21:13:13.727Z,923,1095.157,923.0
