title,link,channel,channel_link,date,video_length,time_diff,watch_time
How To Launch A Boat By Yourself - Don't Get Your Feet Wet!,https://www.youtube.com/watch?v=JZ_dCQe4K9M,goodman_fishing,https://www.youtube.com/channel/UCpFDfdd61p4-oD0AZ7_cmlA,2026-03-17T22:53:31.373Z,827.0,,827.0
Jefferson Parish leaders investigate allegations of offensive behavior during St. Patrick's Day p...,https://www.youtube.com/watch?v=UeIkCWgnds0,WDSU News,https://www.youtube.com/channel/UCh6B4Wr5marHaAhH27VR9GA,2026-03-17T22:52:44.265Z,39.0,47.108,39.0
Herbaly,https://www.youtube.com/watch?v=lKd9iIN39P4,,,2026-03-17T22:52:36.969Z,26.0,7.296,7.296
The Fab Four - Public TV Promo Teaser,https://www.youtube.com/watch?v=yvBG8mLXnVE,FabFourVideos,https://www.youtube.com/channel/UCD_GhkBG4Eh86ztbuBb9DyQ,2026-03-13T20:00:41.993Z,214.0,355914.976,214.0
Tired of Boring Baked Chicken? Try This Flavorful Cilantro Lime Chicken! Bake chicken Recipe,https://www.youtube.com/watch?v=GvCYN0rCVh4,Island Vibe Cooking,https://www.youtube.com/channel/UCXCWl8R-bOixRza-Av-7ASw,2026-03-10T22:59:53.258Z,268.0,248448.735,268.0
X Ray :15,https://www.youtube.com/watch?v=oIKMdOeax-s,,,2026-03-10T22:59:46.269Z,18.0,6.989,6.989
"Die Aubergine, die alle verrückt macht! Das beste Auberginenrezept! Schnelles Abendessen! Lecker!",https://www.youtube.com/watch?v=8QL9m0aOUBk,AuberginenLiebe,https://www.youtube.com/channel/UCWTlqbPiG9RQXhu3e1nZZEA,2026-03-10T21:14:09.836Z,654.0,6336.433,654.0
Balance,https://www.youtube.com/watch?v=WcWaFe6zJX0,,,2026-03-10T21:13:56.277Z,,13.559,13.559
Easy Chicken and Eggplant Casserole! Budget Dinner in 30 Minutes!,https://www.youtube.com/watch?v=WpaR-7D5f8g,Richtige Rezepte,https://www.youtube.com/channel/UCX3IyCGAlTPQ0ne6EGzPxEg,2026-03-10T21:08:37.185Z,523.0,319.092,319.092
"Jake David Smith performs ""For Her"" from THE GREAT GATSBY",https://www.youtube.com/watch?v=FoyGNRF8YzI,,,2026-03-10T21:08:30.057Z,27.0,7.128,7.128
"Air Fryer Chicken & Eggplant Recipe 🍗 | Crispy, Healthy Dinner in 20 Min! 🔥 Easy Weeknight Meal 🍆",https://www.youtube.com/watch?v=4GZ0F_hB6Hw,Melanie Cooks,https://www.youtube.com/channel/UCh4PkZpldMcUkMMhzxaVJCw,2026-03-10T21:07:17.269Z,420.0,72.788,72.788
