title,link,channel,channel_link,date,video_length,time_diff,watch_time
🎵 The Police - Don’t Stand So Close To Me REACTION,https://www.youtube.com/watch?v=yq6vCZ8WQSE,Brad & Lex,https://www.youtube.com/channel/UCWQ3sdTyl0hCgffEFJcNBsQ,2026-02-08T05:07:10.554Z,519.0,,519.0
The Police -  Don't Stand So Close To Me *DayOne Reacts*,https://www.youtube.com/watch?v=a3XgBWo8V-U,DayOne Reacts,https://www.youtube.com/channel/UC8nk6klWH_v3T9vuH-YZm3A,2026-02-08T05:02:45.538Z,362.0,265.016,265.016
"FIRST TIME REACTING TO | The Police ""Don't Stand So Close To Me""",https://www.youtube.com/watch?v=LTc5S1-TuIY,BrittReacts,https://www.youtube.com/channel/UCrw1IjGAD8Qspib-C2f4A2A,2026-02-08T05:00:00.033Z,424.0,165.505,165.505
The Police - Don't Stand So Close To Me | First time hearing! SINGER REACTION,https://www.youtube.com/watch?v=P96jdECLzlA,MrsPenPal,https://www.youtube.com/channel/UC2RfDbRqC1SGvITs6JQuXXQ,2026-02-08T04:56:08.296Z,454.0,231.737,231.737
First Time Reaction to The Police - Don't Stand So Close to Me,https://www.youtube.com/watch?v=5sunWq45afY,The Adventures of TNT,https://www.youtube.com/channel/UC9ylzwwlc23B5Mn-YWeRm7g,2026-02-08T04:50:52.909Z,491.0,315.387,315.387
"CREEPY BUT AWESOME?!? First Time Reaction to The Police - ""Every Breath You Take""",https://www.youtube.com/watch?v=FGjZ3QTsb1o,StaceyRPG ,https://www.youtube.com/channel/UC-uIxnylnajR5VaBLy1bcQA,2026-02-08T04:42:41.674Z,894.0,491.235,491.235
The Police – Roxanne | First Time Hearing This ICONIC Song #reaction,https://www.youtube.com/watch?v=mpqTI0d2CUA,Sabina,https://www.youtube.com/channel/UCjCKHbmufDq_Z2mSgVOmVTg,2026-02-08T04:37:43.281Z,527.0,298.393,298.393
Reaction to The Rolling Stones - Angie,https://www.youtube.com/watch?v=TPlUuY9hinU,Sabina,https://www.youtube.com/channel/UCjCKHbmufDq_Z2mSgVOmVTg,2026-02-08T04:32:10.921Z,514.0,332.36,332.36
Singer Reacts to Pearl Jam - Jeremy (Official 4K Video),https://www.youtube.com/watch?v=ju9yKW_N3yc,Sabina,https://www.youtube.com/channel/UCjCKHbmufDq_Z2mSgVOmVTg,2026-02-08T04:21:44.391Z,797.0,626.53,626.53
Singer Reacts to Pearl Jam BLACK (live) MTV unplugged - Pearl Jam First Reaction,https://www.youtube.com/watch?v=iTI_QOtz45I,Sabina,https://www.youtube.com/channel/UCjCKHbmufDq_Z2mSgVOmVTg,2026-02-08T04:08:42.984Z,759.0,781.407,759.0
"Pearl Jam - ""Black"" Reaction! This MTV Unplugged Performance Did Something To Us!!",https://www.youtube.com/watch?v=yrfdhHT3KPs,THIS IS IT Reactions,https://www.youtube.com/channel/UCeO1QFTv0kUFg6nf2hypayg,2026-02-08T03:58:51.779Z,761.0,591.205,591.205
"Pawn Stars Experts: ""Is this even LEGAL?!""",https://www.youtube.com/watch?v=8kiIitVxzVw,Worthy Watch,https://www.youtube.com/channel/UCk5A8E0Mq15OQSif4SBXXMg,2026-02-08T03:58:16.571Z,1254.0,35.208,35.208
