title,link,channel,channel_link,date,video_length,time_diff,watch_time
how to detach and manifest instantly (the deer theory),https://www.youtube.com/watch?v=WbwXvQNU6Gc,think fruition.,https://www.youtube.com/channel/UCOnQBp4LJVxK-LvD3gj_bTA,2026-03-18T18:06:55.390Z,355.0,,355.0
SHINee's best song but JERSEY CLUB?,https://www.youtube.com/watch?v=b6nQazp25cQ,Emba,https://www.youtube.com/channel/UClOoi0gsVgH_FJPWLRXAuIA,2026-03-17T22:45:38.710Z,469.0,69676.68,469.0
SHINee (샤이니) - Excuse Me Miss (Jersey Club Remix),https://www.youtube.com/watch?v=RkKEisOknb4,prod. TXTNOBODY,https://www.youtube.com/channel/UCPWVvkt60gHfthX36xjpDjQ,2026-03-17T22:44:15.814Z,117.0,82.896,82.896
T2 GSA US Multifeature HTS Song Stuck V 2x3 15s L GOO UI N Pr NIL Vis N G ST VO en F NV A,https://www.youtube.com/watch?v=z8I9pw7rwdo,,,2026-03-17T22:44:07.321Z,17.0,8.493,8.493
"Thanks to Guild, this U.S. Olympian is setting herself up for success with Purdue Global",https://www.youtube.com/watch?v=IIRxgn6ecds,,,2026-03-17T16:05:40.403Z,7.0,23906.918,7.0
$9.99 for any pizza with any toppings. Truly. Honestly. The Best Deal Ever 🏆 Speechless.,https://www.youtube.com/watch?v=thVsJO0wLoc,,,2026-03-17T16:05:34.150Z,7.0,6.253,6.253
[MV] Jewelry (쥬얼리) - Super Star (슈퍼스타) (720p HD),https://www.youtube.com/watch?v=5FWJstf20a8,KPopMusicHistoryHD,https://www.youtube.com/channel/UCeFo8Bz05RLSzY-vxKlNM4w,2026-03-17T15:58:33.577Z,302.0,420.573,302.0
Shortened: EVGRN Q2 2023 Gen Free Trial   Convenience US ENG Google Ads UAC VID 30s 1920x1080,https://www.youtube.com/watch?v=lYNiun3RRfo,,,2026-03-17T04:04:14.024Z,29.0,42859.553,29.0
DCD-NBA-3734| Hulu,https://www.youtube.com/watch?v=ZTht19-Lk7o,,,2026-03-17T04:03:58.655Z,16.0,15.369,15.369
svod_uac|UA|LOM|S1|Moment|16x9|15s|en|sub|WatchOnTryPremiumFree housesholditems bau,https://www.youtube.com/watch?v=d8lUl1duS7c,,,2026-03-17T03:26:19.409Z,15.0,2259.246,15.0
How I keep my stomach flat after having a FUPA for 6 years..,https://www.youtube.com/watch?v=uBnR8fjajxI,Hailey Gamba,https://www.youtube.com/channel/UCGx-omFRNMrDdclCyYUFvCw,2026-03-17T03:19:41.486Z,1165.0,397.923,397.923
"If you know, you glow. Upgrade your shower routine with the New Dove Serum+ Oil BodyWash.",https://www.youtube.com/watch?v=AMNp5cnkSSs,,,2026-03-17T03:18:40.002Z,16.0,61.484,16.0
cid=ba008323a79775de8cad45e60fb18d3b,https://www.youtube.com/watch?v=CZhecMYQ8LU,,,2026-03-17T02:29:25.252Z,11.0,2954.75,11.0
EVGRN Q2 2023 NV More Savings US ENG Google Ads UAC VID 15s 1000x1000,https://www.youtube.com/watch?v=ugirRptfGVY,,,2026-03-16T20:35:58.115Z,15.0,21207.137,15.0
AS 761 NK AUA Christmas gift drop 1080x1920 30s,https://www.youtube.com/watch?v=_fhcM2ZMPUg,,,2026-03-16T20:35:56.385Z,2.0,1.73,1.73
How does your self care birb support you? 👀❤️ #finchapp,https://www.youtube.com/watch?v=soYENgxL1cs,,,2026-03-16T19:34:12.583Z,18.0,3703.802,18.0
bookingdotcom ridiculously vampires 30 v03 h264,https://www.youtube.com/watch?v=6fooj4bxTg0,,,2026-03-16T16:24:58.384Z,31.0,11354.199,31.0
Vanity Fair Oscar Party Live,https://www.youtube.com/watch?v=nEZE0ji8oXg,,,2026-03-16T03:20:23.945Z,9827.0,47074.439,9827.0
The Expert feat. Adrien Brody: Dedication - TurboTax 2026 Super Bowl Commercial (Official TV Ad :30),https://www.youtube.com/watch?v=9FmI7quHGIM,,,2026-03-16T02:32:01.599Z,31.0,2902.346,31.0
Shortened: SHEIN | Exclusive Style,https://www.youtube.com/watch?v=qDgQI0irnYs,,,2026-03-15T15:14:22.965Z,12.0,40658.634,12.0
