title,link,channel,channel_link,date,video_length,time_diff,watch_time
Cozy Victorian Castle Night Ambience – Snowstorm Winds & Crackling Fire Sounds for Deep Sleep,https://www.youtube.com/watch?v=nWhG8vQJPUA,Castle Sleep Sounds,https://www.youtube.com/channel/UCySSnTn3Rij7Ebm6Rwse37g,2026-02-11T12:35:22.097Z,10801.0,,10801.0
Victorian Christmas Balcony Library | Gentle Piano & Fireplace Sounds | Dark Academia Winter Reading,https://www.youtube.com/watch?v=vaG6sZbx7AA,𝐃𝐚𝐫𝐤 𝐌𝐞𝐥𝐚𝐧𝐜𝐡𝐨𝐥𝐢𝐜 𝐌𝐮𝐬𝐢𝐜,https://www.youtube.com/channel/UCGCIImBln278H7dvZsXOp5Q,2026-02-11T11:18:40.691Z,42899.0,4601.406,4601.406
Victorian Fireplace Ambience | Cozy Reading Room for Rest and Sleep During Deep Winter | 8 Hours,https://www.youtube.com/watch?v=EMC2JyoQ-j4,SnugglesCat,https://www.youtube.com/channel/UCIXiHVEjd1x-Wlh3Ms4wY3Q,2026-02-11T11:18:11.472Z,28800.0,29.219,29.219
Cozy Victorian Study Room with Christmas Ambience & Crackling Fireplace | Dark Academia Winter Music,https://www.youtube.com/watch?v=wGJZgrxDTuA,𝐃𝐚𝐫𝐤 𝐌𝐞𝐥𝐚𝐧𝐜𝐡𝐨𝐥𝐢𝐜 𝐌𝐮𝐬𝐢𝐜,https://www.youtube.com/channel/UCGCIImBln278H7dvZsXOp5Q,2026-02-11T11:18:06.436Z,42897.0,5.036,5.036
"Cozy Cabin Ambience with Soft Jazz Music 🌧️ Heavy Rain, Fireplace Sounds to Relax & Sleep 4K",https://www.youtube.com/watch?v=yMKjZ62duL4,COZY Room,https://www.youtube.com/channel/UCYA3NzZDt25JnxN1M7ChvCw,2026-02-11T11:16:51.759Z,29911.0,74.677,74.677
"A Rainy Day in Cozy Room Ambience 🔥 Piano Jazz Music, Crackling Fire, Rain Sounds for Sleep & Focus",https://www.youtube.com/watch?v=jdvQwQ1PaZo,COZY Room,https://www.youtube.com/channel/UCYA3NzZDt25JnxN1M7ChvCw,2026-02-11T11:14:49.477Z,29533.0,122.282,122.282
A Night in a Victorian Reading Nook by Fire & Candlelight | Cozy Ambience for 8 Hours of Sleep,https://www.youtube.com/watch?v=4UdLitEAXnY,SnugglesCat,https://www.youtube.com/channel/UCIXiHVEjd1x-Wlh3Ms4wY3Q,2026-02-11T10:40:19.433Z,28800.0,2070.044,2070.044
Strawberry Switchblade - Let Her Go [High Quality],https://www.youtube.com/watch?v=sfjvyjlPnuc,Strawberry Switchblade,https://www.youtube.com/channel/UCyhGH02iLl_hFRiUSSB1RGA,2026-02-11T10:37:06.293Z,166.0,193.14,166.0
TOP 10 BEST & WORST DRESSED AT PARIS FASHION WEEK 2026! (Menswear Week),https://www.youtube.com/watch?v=TKGowFJD0MM,Success Carter,https://www.youtube.com/channel/UCnhzv_lSZdPSi8G7WDYvACQ,2026-02-11T02:17:44.972Z,813.0,29961.321,813.0
20 MOST FUNNY AND WEIRD FASHION EVER..😱🤣😂💃💃,https://www.youtube.com/watch?v=qCJPFiotFA0,Prettyyxo,https://www.youtube.com/channel/UCCMaLQGOvoNle9JO1aP224w,2026-02-11T02:17:19.492Z,33.0,25.48,25.48
