title,link,channel,channel_link,date,video_length,time_diff,watch_time
Testing Viral Food Trends You Sent Me,https://www.youtube.com/watch?v=YO3w-qq3ris,Andrew Lowe,https://www.youtube.com/channel/UCpXJtZWhOZ-73Vbp-gcsGkQ,2026-03-09T04:16:52.671Z,1651,,1651.0
Testing 2025’s Most Viral TikTok Food Trends,https://www.youtube.com/watch?v=gusPB3s90b4,Andrew Lowe,https://www.youtube.com/channel/UCpXJtZWhOZ-73Vbp-gcsGkQ,2026-03-09T03:56:02.397Z,1475,1250.274,1250.274
I Tried Every Drive-Thru French Fry,https://www.youtube.com/watch?v=n-_IipG7qLI,Andrew Lowe,https://www.youtube.com/channel/UCpXJtZWhOZ-73Vbp-gcsGkQ,2026-03-09T03:30:06.788Z,1537,1555.609,1537.0
Trying Chain Restaurants for the First Time,https://www.youtube.com/watch?v=opqJkn0HZIA,Andrew Lowe,https://www.youtube.com/channel/UCpXJtZWhOZ-73Vbp-gcsGkQ,2026-03-09T03:07:50.696Z,1330,1336.092,1330.0
Meet Me in Mamdanistan,https://www.youtube.com/watch?v=yjBxkmgtW2c,I've Had It,https://www.youtube.com/channel/UCZ5cvDR2HhVUcdVoTvvQKLw,2026-03-09T03:07:14.420Z,4037,36.276,36.276
"Well, That Escalated Quickly",https://www.youtube.com/watch?v=iGDGe21f0no,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-09T02:57:07.132Z,601,607.288,601.0
Caleb Hammer is threatening to sue me over this video.,https://www.youtube.com/watch?v=Oerd1LBZzNA,D'Angelo,https://www.youtube.com/channel/UCyV8SuQd21sFoPCiB0RgcrA,2026-03-09T02:07:50.443Z,2104,2956.689,2104.0
Trump Regime at War with Iran and Itself | Seamus Malekafzali | TMR,https://www.youtube.com/watch?v=b9ID_HdyYBA,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-09T01:53:02.791Z,1713,887.652,887.652
The Iran War Just ESCALATED | Hasanabi reacts,https://www.youtube.com/watch?v=1OhSIjnmQWg,Hasanabi Productions,https://www.youtube.com/channel/UCBBQ9PIs8ARguuwVJZowGIg,2026-03-08T05:28:15.179Z,3075,73487.612,3075.0
Trump Supporters COPE Over War With Iran | Hasanabi reacts,https://www.youtube.com/watch?v=E856sOMXRAw,Hasanabi Productions,https://www.youtube.com/channel/UCBBQ9PIs8ARguuwVJZowGIg,2026-03-08T05:24:31.029Z,990,224.15,224.15
Trying Every Popular Girl Scout Cookie,https://www.youtube.com/watch?v=akqMvIFh0PI,QTCinderella,https://www.youtube.com/channel/UCAaCnaGdVpNzylKpou646vw,2026-03-08T05:21:34.867Z,1106,176.162,176.162
Making Viral TikTok Dating Foods To See If They're Any Good,https://www.youtube.com/watch?v=_PIF_eeMkYg,QTCinderella,https://www.youtube.com/channel/UCAaCnaGdVpNzylKpou646vw,2026-03-08T05:06:34.070Z,895,900.797,895.0
IHIP News: 🚨 Dems Vote to HELP Trump's WAR and BETRAY Their OWN Constituents!,https://www.youtube.com/watch?v=w0_DHJZYhAQ,I've Had It,https://www.youtube.com/channel/UCZ5cvDR2HhVUcdVoTvvQKLw,2026-03-08T04:53:52.213Z,755,761.857,755.0
The Neocons Are Back,https://www.youtube.com/watch?v=IdnMIMVSkoo,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-08T04:04:42.731Z,538,2949.482,538.0
The Iran Escalation Trap | Robert Pape | TMR,https://www.youtube.com/watch?v=YptXQ3UFumQ,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-08T03:52:16.754Z,1151,745.977,745.977
You're Being Lied To,https://www.youtube.com/watch?v=wX9TjE4aYh0,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-08T03:46:13.638Z,537,363.116,363.116
Schumer's Freudian Slip Isn't Funny,https://www.youtube.com/watch?v=zN_igZEcDO0,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-08T03:39:19.764Z,403,413.874,403.0
Now Or Never For Netanyahu And Trump | Jeet Heer | TMR,https://www.youtube.com/watch?v=UACtfPfCtZA,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-08T03:32:35.148Z,2428,404.616,404.616
Tim Pool Goes Full Thanos,https://www.youtube.com/watch?v=4RqneftknTg,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-08T03:05:15.147Z,1634,1640.001,1634.0
Trump's Bloodthirsty Ghouls Unleashed,https://www.youtube.com/watch?v=IyfUn_O3BNs,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-08T02:53:50.558Z,699,684.589,684.589
MAHA Revolts As RFK's Betrayal Sinks In,https://www.youtube.com/watch?v=DB7-ezhTdFo,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-08T02:41:32.230Z,732,738.328,732.0
Leftists Surge 2026 Midterms | Alexis Goldstein | TMR,https://www.youtube.com/watch?v=wZFOB55vMU8,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-08T02:26:12.225Z,924,920.005,920.005
Shawn Mendes is BORING. #shawnmendes #justinbieber,https://www.youtube.com/watch?v=n5hYe-q3AGo,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-03-07T22:35:16.189Z,36,13856.036,36.0
How to apply kohl ❤️#eyeliner iner,https://www.youtube.com/watch?v=ZyFjd48Nk7g,Kohlbra Official,https://www.youtube.com/channel/UCoudbdrHtx0Uv872mrQb1ag,2026-03-07T22:35:01.969Z,16,14.22,14.22
How to apply kohl eyeliner  🖤,https://www.youtube.com/watch?v=03RXiEzMqiI,Kohlbra Official,https://www.youtube.com/channel/UCoudbdrHtx0Uv872mrQb1ag,2026-03-07T22:34:54.091Z,21,7.878,7.878
Blinkaria kohl and no makeup? #alibi #kohl #beauty,https://www.youtube.com/watch?v=SCB_bR44DQo,Blinkaria,https://www.youtube.com/channel/UC87H7gQVzi0mdG3uFm478Cw,2026-03-07T22:34:35.982Z,18,18.109,18.0
Religious Products are Making People Sick #kohl,https://www.youtube.com/watch?v=Q9EAuw5EKlk,Dr Sermed Mezher,https://www.youtube.com/channel/UC2A6IJQ6AZaK_f_r24his6g,2026-03-07T22:34:34.873Z,60,1.109,1.109
Traditional 🇲🇦 Kohl Eyeliner,https://www.youtube.com/watch?v=VXH0kchrDWM,Alex Pavlova 💛 BeautyForEverybody,https://www.youtube.com/channel/UCzF0A72Hpn-bSqGt5yWIQxA,2026-03-07T22:34:23.375Z,10,11.498,10.0
3 Kohl Kajal looks for hooded eyes #Shorts #KajalPencil #plumgoodness,https://www.youtube.com/watch?v=Xjt_A9Xi4ts,Deepika Joshi,https://www.youtube.com/channel/UCr7o0VOL6gk1Hfwrp3blLkA,2026-03-07T22:33:40.878Z,60,42.497,42.497
Planning Taylor Swift’s Bachelorette Party Was A Mistake,https://www.youtube.com/watch?v=iZHr34Zxgew,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-03-07T22:15:37.366Z,2955,1083.512,1083.512
BRUTALLY Ranking Taylor Swift’s Old Music Videos,https://www.youtube.com/watch?v=mFPAa-BMnWI,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-03-07T19:37:18.984Z,5424,9498.382,5424.0
BRUTALLY Ranking Taylor Swift’s Old Music Videos,https://www.youtube.com/watch?v=mFPAa-BMnWI,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-03-07T04:49:13.959Z,5424,53285.025,5424.0
Taylor Swift - Style,https://www.youtube.com/watch?v=-CmadmM5cOk,Taylor Swift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,2026-03-07T04:47:38.030Z,243,95.929,95.929
BRUTALLY Ranking Taylor Swift’s Old Music Videos,https://www.youtube.com/watch?v=mFPAa-BMnWI,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-03-06T05:30:10.252Z,5424,83847.778,5424.0
The $300 Million Heist That Changed Pop Music,https://www.youtube.com/watch?v=xf8xTzo44sM,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-03-06T03:35:53.357Z,3136,6856.895,3136.0
How James Talerico Crushed The Dem Establishment,https://www.youtube.com/watch?v=s--tagw1sQM,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-06T03:26:32.701Z,554,560.656,554.0
Democrats Won't Stop Trump's Iran War,https://www.youtube.com/watch?v=3I3NKflr5bk,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-06T03:08:22.033Z,845,1090.668,845.0
Is THIS Why Trump Fired Kristi Noem?,https://www.youtube.com/watch?v=5qm42eebn3k,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-06T02:50:15.628Z,1132,1086.405,1086.405
The Sad and Definitive Falldown of Ethan Klein - Hasan,https://www.youtube.com/watch?v=v7xe20ZOdTw,Hasan Late Show,https://www.youtube.com/channel/UC-A4Yq8et4IOj5wDxT0Ykfg,2026-03-05T05:47:42.934Z,1462,75752.694,1462.0
Turning H3 Community on Ethan is unbelievable!!   Hasanabi Reacts,https://www.youtube.com/watch?v=SrOeBeXMdjI,Hasanabi Clips,https://www.youtube.com/channel/UCN7jo9su_7oDqwpfin8lgjw,2026-03-05T05:38:27.535Z,494,555.399,494.0
Ethan Klein DESTROYED His Own Career | Hasanabi reacts,https://www.youtube.com/watch?v=d7o5fVCfw4I,Hasanabi Productions,https://www.youtube.com/channel/UCBBQ9PIs8ARguuwVJZowGIg,2026-03-05T05:37:22.795Z,1283,64.74,64.74
Total Chaos: Trump Rejects Official White House Story On Iran Bombing,https://www.youtube.com/watch?v=eBuHqACZznU,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-05T05:29:15.921Z,858,486.874,486.874
Kaitlan Collins Humiliates Another Republican Moron,https://www.youtube.com/watch?v=ZHHzbd01ykk,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-05T05:10:05.749Z,654,1150.172,654.0
Trump's Incompetent Regime Is At War With Themselves,https://www.youtube.com/watch?v=zytHvLcAAoQ,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-05T04:55:34.543Z,851,871.206,851.0
Dave Rubin Unlocks New Level Of Stupidity With Iran War Take,https://www.youtube.com/watch?v=I4IpAUMnxwg,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-05T04:47:05.041Z,783,509.502,509.502
Trump's Most Disgusting Health Update Yet,https://www.youtube.com/watch?v=05SgD69O1xg,The Majority Report w/ Sam Seder,https://www.youtube.com/channel/UC-3jIAlnQmbbVMV6gR7K8aQ,2026-03-05T04:46:24.104Z,401,40.937,40.937
TTPD's Narrative Was Never Complete—Until Now,https://www.youtube.com/watch?v=DYNed2Lv5qU,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-03-05T03:39:59.255Z,3227,3984.849,3227.0
The $300 Million Heist That Changed Pop Music,https://www.youtube.com/watch?v=xf8xTzo44sM,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-03-05T03:39:41.872Z,3136,17.383,17.383
The $300 Million Heist That Changed Pop Music,https://www.youtube.com/watch?v=xf8xTzo44sM,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-03-04T05:49:45.960Z,3136,78595.912,3136.0
TTPD's Narrative Was Never Complete—Until Now,https://www.youtube.com/watch?v=DYNed2Lv5qU,Swiftologist,https://www.youtube.com/channel/UCyXqzTEk29jozsuIqVSzSWA,2026-03-04T04:32:38.545Z,3227,4627.415,3227.0
We're Going On Tour | Fear&,https://www.youtube.com/watch?v=GJv5fEvWZ6M,Fear&,https://www.youtube.com/channel/UCnI_h3e6b5jGLfly2SY57SA,2026-03-04T04:32:15.459Z,3784,23.086,23.086
13 WREX's Ethan Wiles Previews The DCI Midwest Classic,https://www.youtube.com/watch?v=JuSNh5qdaUc,13 WREX,https://www.youtube.com/channel/UCN_oh567SXiaFbYhr6DZFwg,2026-03-04T03:06:57.930Z,78,5117.529,78.0
Easy Planner DIY: How to Add Pages to Your Planner,https://www.youtube.com/watch?v=glZuk2Ulfk0,Blitsy Crafts,https://www.youtube.com/channel/UCSARkY79VKIFvRv6965IgCg,2026-03-01T18:18:23.031Z,238,204514.899,238.0
