title,link,channel,channel_link,date,video_length,time_diff,watch_time
Capybara 🦫 The Friendliest Animal on Earth!,https://www.youtube.com/watch?v=g0S_Ce8vTac,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:53:43.898Z,60.0,,60.0
Stick Insect 🍂 Is This a Living Stick?,https://www.youtube.com/watch?v=SHxHbzjSbWk,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:52:22.843Z,69.0,81.055,69.0
Tripod Fish 🐟 This Fish Has Legs!,https://www.youtube.com/watch?v=L4N4HNpyhJw,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:50:25.134Z,65.0,117.709,65.0
Amazon Milk Frog 🐸 This Frog Looks FAKE!,https://www.youtube.com/watch?v=sBcL5VWxTyc,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:49:15.639Z,59.0,69.495,59.0
Frilled Lizard 🦎 This Lizard Fears NOTHING!,https://www.youtube.com/watch?v=aeaA53eGTg0,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:47:41.439Z,66.0,94.2,66.0
Flying Fox ❤️‍🔥 The BAT With a Puppy Face!,https://www.youtube.com/watch?v=JMhbGaymMAw,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:44:41.603Z,66.0,179.836,66.0
Dragon Chicken 🐓 The MUTANT Chicken!,https://www.youtube.com/watch?v=YT7WJMKOHZ4,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:43:28.423Z,61.0,73.18,61.0
Bobbit Worm 🪱 The Ocean’s SCARIEST Trap!,https://www.youtube.com/watch?v=pUc3LMyV9Gk,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:41:51.563Z,66.0,96.86,66.0
Garden Eel 🐍 They LIVE Half-Buried?!,https://www.youtube.com/watch?v=vXjfpFhv2Ss,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:40:42.163Z,62.0,69.4,62.0
Bombardier Beetle 🪲 This Bug SHOOTS Acid!,https://www.youtube.com/watch?v=U1jCTxXsi8M,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:38:58.268Z,64.0,103.895,64.0
Jewel Wasp 🐝 It ZOMBIFIES Cockroaches!,https://www.youtube.com/watch?v=yfPHRjsJ2IQ,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:37:40.563Z,69.0,77.705,69.0
Velvet Worm 🪱 Shoots SLIME Like a Weapon!,https://www.youtube.com/watch?v=4eHvlsJuxds,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:36:12.023Z,62.0,88.54,62.0
Fainting Goat 🐐 It FAINTS When Scared!,https://www.youtube.com/watch?v=Eo4s8cZW-ag,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:34:51.443Z,55.0,80.58,55.0
Harlequin Shrimp 🦐 Eats Starfish ALIVE!,https://www.youtube.com/watch?v=bnlXCXfpco4,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:33:18.668Z,66.0,92.775,66.0
Arapaima 🐟 This Fish Could CRUSH You!,https://www.youtube.com/watch?v=6BBn-gDrnT4,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:32:03.809Z,66.0,74.859,66.0
Cantor’s Softshell Turtle 🐢 This Turtle Was “EXTINCT”!,https://www.youtube.com/watch?v=99EooG1Q20A,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:30:27.914Z,66.0,95.895,66.0
Hooded Pitohui ⚠️ Do NOT Touch This Bird!,https://www.youtube.com/watch?v=gsrCMvbHNbU,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:29:16.814Z,60.0,71.1,60.0
Cowfish 🐡 This Fish has HORNS!,https://www.youtube.com/watch?v=-o8jkM3jTWY,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:27:42.203Z,66.0,94.611,66.0
Bongo Antelope 🦌 Looks FAKE... But It’s Not!,https://www.youtube.com/watch?v=KrGE_tnbY1k,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:26:32.955Z,58.0,69.248,58.0
Green Basilisk 🦎 This Lizard WALKS on Water!,https://www.youtube.com/watch?v=S3px-rnLtu4,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:24:57.693Z,62.0,95.262,62.0
Galaxy Frog 🐸 The COSMIC Looking Frog!,https://www.youtube.com/watch?v=AAM5XB2kF5c,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:23:43.094Z,58.0,74.599,58.0
Pallas Cat 😾 The GRUMPIEST Wild Cat!,https://www.youtube.com/watch?v=NWLOoNhJgN8,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:21:54.402Z,60.0,108.692,60.0
Tibetan Fox 🦊 It Looks Totally HUMAN!,https://www.youtube.com/watch?v=djzd8IqaQSE,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:20:36.483Z,63.0,77.919,63.0
Comet Moth 🦋 The Most BEAUTIFUL Moth Alive!,https://www.youtube.com/watch?v=IASQ_JdIcpc,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:18:59.892Z,61.0,96.591,61.0
Red-Eyed Crocodile Skink 🐊 The Red-Eyed DRAGON!,https://www.youtube.com/watch?v=UT0keDqdlSs,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:17:53.358Z,59.0,66.534,59.0
Ermine 🤍 The CUTEST Winter Hunter!,https://www.youtube.com/watch?v=zmN6f3qHxgE,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:16:06.799Z,65.0,106.559,65.0
Pacman Frog 🐸 The GIANT Mouth Frog!,https://www.youtube.com/watch?v=iP466ikgpOg,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:14:47.449Z,64.0,79.35,64.0
Flying Fish 🐟 It FLIES To Escape!,https://www.youtube.com/watch?v=U1P2YloVu88,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:13:13.204Z,67.0,94.245,67.0
Coconut Octopus 💡 The Shell-Stealing GENIUS!,https://www.youtube.com/watch?v=BVXQ44GFLDg,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:11:50.415Z,67.0,82.789,67.0
Binturong 🍿 It SMELLS Like Popcorn!,https://www.youtube.com/watch?v=cf7NZHbQPtY,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:09:44.104Z,68.0,126.311,68.0
Hummingbird Moth ⚠️ This Is NOT a Bird!,https://www.youtube.com/watch?v=sp_lvc2mic0,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:08:31.889Z,64.0,72.215,64.0
Electric Clam ⚡️ An ELECTRIFIED Shell?!,https://www.youtube.com/watch?v=xtKNZAvoyIw,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:06:56.323Z,63.0,95.566,63.0
Tentacled Snake 😱 TENTACLES on a Snake?!,https://www.youtube.com/watch?v=FWS0lKrPRVk,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:05:49.914Z,58.0,66.409,58.0
Snake Caterpillar 😱 This Is NOT a Snake!,https://www.youtube.com/watch?v=ga1RoNP5jIc,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:04:16.293Z,55.0,93.621,55.0
Antlion 😱 This Bug Builds TRAPS!,https://www.youtube.com/watch?v=lb5LXDYrtcY,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:02:57.093Z,72.0,79.2,72.0
Remora Sucker 🤯 It Sticks to ANYTHING!,https://www.youtube.com/watch?v=d4OEUCtX3_o,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T02:01:09.228Z,70.0,107.865,70.0
Stag Beetle 🪲 Those JAWS Are INSANE!,https://www.youtube.com/watch?v=kQvxZ6TiBI4,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T01:59:54.848Z,66.0,74.38,66.0
Sperm Whale 🐋 Their Size Is INSANE!,https://www.youtube.com/watch?v=dyLe1EWZVt0,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T01:58:06.487Z,69.0,108.361,69.0
Pelican Spider 😱 A Spider With a NECK?!,https://www.youtube.com/watch?v=N92b8_r-L8o,1 Minute Animals,https://www.youtube.com/channel/UCejVe2sNPjjvfCXg35q_EQQ,2026-04-08T01:56:50.908Z,66.0,75.579,66.0
"CCBC Sunday Service ""The Deception of Morality""",https://www.youtube.com/watch?v=WeICOYDdlvo,Cornerstone Bible Church of Coupeville,https://www.youtube.com/channel/UCiSMiVRfSbcnVIzoH33kIcA,2026-04-07T20:11:43.083Z,1681.0,20707.825,1681.0
Now Taxes is an Open Door - TurboTax 2026 Commercial (Official TV Ad :06),https://www.youtube.com/watch?v=4tMlMp6bT6I,,,2026-04-07T20:10:49.877Z,7.0,53.206,7.0
Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster),https://www.youtube.com/watch?v=dQw4w9WgXcQ,Rick Astley,https://www.youtube.com/channel/UCuAXFkgsw1L7xaCfnd5JJOw,2026-04-07T14:25:40.909Z,214.0,20708.968,214.0
Video Ad,https://www.youtube.com/watch?v=dHZDFoVl-24,,,2026-04-07T14:25:33.832Z,7.0,7.077,7.0
Money Blast :15 16:9,https://www.youtube.com/watch?v=lvy3YhQGH2Q,,,2026-04-07T14:25:16.897Z,15.0,16.935,15.0
Josiah Queen - Two Wooden Beams (Official Music Video),https://www.youtube.com/watch?v=NYhnmpsognI,JosiahQueenVEVO,https://www.youtube.com/channel/UCd2MOKbu0DTk945U4pMHZqg,2026-04-06T15:32:21.644Z,203.0,82375.253,203.0
Chewy App | Neptune & Venus’ mealtime match,https://www.youtube.com/watch?v=vyk-zeGaq60,,,2026-04-06T15:29:56.397Z,16.0,145.247,16.0
How I think different people from the Bible wake up #shorts,https://www.youtube.com/watch?v=OjDplohacqM,JoeChristianGuy,https://www.youtube.com/channel/UCEgi0y0T6PkxtZF_s82SSBw,2026-04-06T15:28:45.588Z,60.0,70.809,60.0
Now Taxes is an Open Door - TurboTax 2026 Commercial (Official TV Ad :06),https://www.youtube.com/watch?v=4tMlMp6bT6I,,,2026-04-06T15:20:13.311Z,7.0,512.277,7.0
"Even when the pressure is on, Aquaphor just can’t miss.",https://www.youtube.com/watch?v=8OFdfGgfAeg,,,2026-04-05T17:28:35.833Z,19.0,78697.478,19.0
"Sunday Morning Worship Service April 5, 2026 Easter",https://www.youtube.com/watch?v=m_QX-OgZQag,Beach Beacon,https://www.youtube.com/channel/UCw7akOJ_cDlfmLALYq79xKg,2026-04-05T17:16:41.940Z,5313.0,713.893,713.893
"Jeremiah Johnston - The Book of Enoch, Nephilim and the Ark of the Covenant | SRS #293",https://www.youtube.com/watch?v=zyuDXp8BlqU,Shawn Ryan Show,https://www.youtube.com/channel/UCkoujZQZatbqy4KGcgjpVxQ,2026-04-05T17:16:37.116Z,10221.0,4.824,4.824
"Roo, the very vocal dog | Chewy commercial",https://www.youtube.com/watch?v=fj431iE_8GQ,,,2026-04-05T17:15:33.168Z,31.0,63.948,31.0
Not Consumed - Bible Studies for Kids & Teens,https://www.youtube.com/watch?v=xqctyg3YwYM,,,2026-04-05T17:15:32.405Z,11.0,0.763,0.763
It’s Peak Hockey Season│GEICO,https://www.youtube.com/watch?v=PWscMlyp7uc,,,2026-04-05T15:27:10.475Z,,6501.93,6501.93
Parent Teacher Conference (Short) | LiMu Emu & Doug | Liberty Mutual Insurance Commercial,https://www.youtube.com/watch?v=gCuFlkVQl0Y,,,2026-04-05T15:04:37.968Z,,1352.507,1352.507
Presidential Address to the Nation: ABC News Special,https://www.youtube.com/watch?v=jZnog5KbGq8,ABC News,https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q,2026-04-03T03:22:41.033Z,1798.0,214916.935,1798.0
Haircare as Unique as You | Prose,https://www.youtube.com/watch?v=fbqdDuO--jM,,,2026-04-03T03:11:11.611Z,31.0,689.422,31.0
President Trump addresses nation about war with Iran (FULL SPEECH),https://www.youtube.com/watch?v=ZXfK56N9Kcw,NBC Chicago,https://www.youtube.com/channel/UCL9C44BZd_8hRa9OPMjIpMg,2026-04-03T03:03:55.599Z,1110.0,436.012,436.012
Grid Gorgeous :15,https://www.youtube.com/watch?v=wxACOVKkrAw,,,2026-04-03T03:03:49.557Z,16.0,6.042,6.042
"Roo, the very vocal dog | Chewy commercial",https://www.youtube.com/watch?v=fj431iE_8GQ,,,2026-03-30T22:05:50.506Z,31.0,277079.051,31.0
God I Tried But I Fell Again - Chris Stapleton & Lauren Daigle (Country Gospel Song 2026),https://www.youtube.com/watch?v=rJvNxJOYVj8,Grace After Midnight,https://www.youtube.com/channel/UCYX-yQcQ0_lmmiceSO-NwNQ,2026-03-30T22:05:43.758Z,342.0,6.748,6.748
PMAX_Evergreen2_Aug2025_1x1.mp4.mp4,https://www.youtube.com/watch?v=SEeIqQI_-9Q,,,2026-03-30T22:05:30.952Z,19.0,12.806,12.806
Activating Experts BetterThings :17,https://www.youtube.com/watch?v=2Ywr1n6L2hY,,,2026-03-30T22:03:11.301Z,16.0,139.651,16.0
I Made It Worse 😭,https://www.youtube.com/watch?v=Kw-bmKEpzik,Godfrey Twins,https://www.youtube.com/channel/UC86H9UygCqYBlCfS9wqk4DQ,2026-03-30T22:03:01.834Z,10.0,9.467,9.467
"Sunday Morning Worship Service March 29, 2026",https://www.youtube.com/watch?v=17YuWuyYu3c,Beach Beacon,https://www.youtube.com/channel/UCw7akOJ_cDlfmLALYq79xKg,2026-03-29T18:18:35.061Z,4949.0,99866.773,4949.0
"Disney+, Hulu Bundle",https://www.youtube.com/watch?v=pL8yFuqUx3g,,,2026-03-29T18:18:20.539Z,31.0,14.522,14.522
"Dubai Chocolate Brownie, Carrot Cake Cookie, & More! | Crumbl",https://www.youtube.com/watch?v=-Bf2_ujMSm0,,,2026-03-29T18:18:15.617Z,33.0,4.922,4.922
