title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-04-27T20:07:44.402Z,64.0,,64.0
T2_Gemini_US_Student_Plant_H_16X9_13s_C_Y_UI_N-Pr_Bl_Ph_W_ST-NIL_MO_en_.mp4,https://www.youtube.com/watch?v=faqy2s8kRVg,,,2026-04-27T17:56:27.914Z,13.0,7876.488,13.0
She was stranded at the gas pump! 😥 #fyp #mobile #love #help #car #youtubeshorts #trending #mechanic,https://www.youtube.com/watch?v=yyJt1f1fghU,Matthew Parker,https://www.youtube.com/channel/UC27mSaehdPPdqK8_u-g_8Vg,2026-04-27T17:56:23.298Z,174.0,4.616,4.616
FIVE NIGHTS AT FREDDY'S 4 SONG (BREAK MY MIND) LYRIC VIDEO - DAGames,https://www.youtube.com/watch?v=xhdNa3iy5rw,DAGames,https://www.youtube.com/channel/UCK7OXr0m5mnM1z9p7n_Bwfw,2026-04-27T17:03:05.848Z,255.0,3197.45,255.0
FNAF SISTER LOCATION SONG (LEFT BEHIND) - DAGames,https://www.youtube.com/watch?v=tE--aSvBn0I,DAGames,https://www.youtube.com/channel/UCK7OXr0m5mnM1z9p7n_Bwfw,2026-04-27T16:58:05.252Z,295.0,300.596,295.0
DataAnnotation: Seeking Coders,https://www.youtube.com/watch?v=E0AgeCOyljs,,,2026-04-27T16:57:56.692Z,66.0,8.56,8.56
FNAF SONG (Not Here All Night) REMASTERED! - DAGames,https://www.youtube.com/watch?v=9HVXHi66T_U,DAGames,https://www.youtube.com/channel/UCK7OXr0m5mnM1z9p7n_Bwfw,2026-04-27T16:57:40Z,249.0,16.692,16.692
"DAGames - ""Unfixable"" (FNAF Sister Location Song)",https://www.youtube.com/watch?v=tMcVwJpTSIk,DAGames,https://www.youtube.com/channel/UCK7OXr0m5mnM1z9p7n_Bwfw,2026-04-27T16:52:25.114Z,314.0,314.886,314.0
FNAF SECURITY BREACH SONG (Moving Up In The World) LYRIC VIDEO - DAGames,https://www.youtube.com/watch?v=arghOOwtW30,DAGames,https://www.youtube.com/channel/UCK7OXr0m5mnM1z9p7n_Bwfw,2026-04-27T16:47:07.277Z,318.0,317.837,317.837
TATTLETAIL SONG (TURN THE FINAL PAGE) LYRIC VIDEO - DAGames,https://www.youtube.com/watch?v=szoKzCY7_q4,DAGames,https://www.youtube.com/channel/UCK7OXr0m5mnM1z9p7n_Bwfw,2026-04-27T16:42:30.503Z,276.0,276.774,276.0
