title,link,channel,channel_link,date,video_length,time_diff,watch_time
Constructive Disagreement_HEAR Works!,https://www.youtube.com/watch?v=npjfMjhLbds,Minson Lab,https://www.youtube.com/channel/UCFwp0S0_K01yZi4UgPChJuQ,2026-03-09T20:19:27.962Z,62,,62.0
Constructive Disagreement_Introducing HEAR,https://www.youtube.com/watch?v=x3u4guCkyZc,Minson Lab,https://www.youtube.com/channel/UCFwp0S0_K01yZi4UgPChJuQ,2026-03-09T20:15:43.559Z,201,224.403,201.0
Constructive Disagreement_The Key to Effective Disagreement,https://www.youtube.com/watch?v=nHUqRPZh63A,Minson Lab,https://www.youtube.com/channel/UCFwp0S0_K01yZi4UgPChJuQ,2026-03-09T20:14:24.210Z,57,79.349,57.0
Constructive Disagreement_Disagreement vs. Conflict,https://www.youtube.com/watch?v=glBl2Zx3Wrw,Minson Lab,https://www.youtube.com/channel/UCFwp0S0_K01yZi4UgPChJuQ,2026-03-09T20:13:06.655Z,53,77.555,53.0
MASTHEAD - Revolve Los Angeles Drop1 CTV 30sec 1280x670 1 91 Logo,https://www.youtube.com/watch?v=4oTgvDlShDk,,,2026-03-09T09:21:14.200Z,30,39112.455,30.0
Live #CornellHawks Fernow Nest Fixed Cam,https://www.youtube.com/watch?v=H9IXJJazuWI,Cornell Lab Bird Cams,https://www.youtube.com/channel/UCZXZQxS3d6NpR-eH_gdDwYA,2026-03-09T05:00:07.113Z,33780031,15667.087,15667.087
When a Strong Emotion Comes... | Thich Nhat Hanh | #shorts,https://www.youtube.com/watch?v=CY8-cO4_9OU,Plum Village App,https://www.youtube.com/channel/UCytzR1tkUYoF5DjGYiYkhGQ,2026-03-09T04:55:24.173Z,58,282.94,58.0
May their silent footsteps echo louder than violence#walkforpeace #love #alokathepeacedog #peace,https://www.youtube.com/watch?v=w7MAnCFgUTY,Walk for Peace,https://www.youtube.com/channel/UCXo0zNxnmK8l6EyIxn1iiTw,2026-03-09T04:55:20.080Z,61,4.093,4.093
Perfect example of what non-attachment looks like! 🪷 #walkforpeace #buddhism #shortvideo,https://www.youtube.com/watch?v=BGmIpZyLoIQ,SpiritualBuddhist,https://www.youtube.com/channel/UCDOhP48EfR6CfTkG8ae2dhw,2026-03-09T04:55:03.016Z,150,17.064,17.064
Jones and Fuentes are the Absolute Wordt,https://www.youtube.com/watch?v=gGuzW6N50Z0,Tennessee Brando,https://www.youtube.com/channel/UCaHkDyvWVXXAGyG2lURMaYg,2026-03-09T01:11:19.406Z,123,13423.61,123.0
AI is Shaping the Future of Family History,https://www.youtube.com/watch?v=yfnn1GiaG7M,FamilySearch,https://www.youtube.com/channel/UC-9GZ7QHKOmLS0APnfz2g1Q,2026-03-08T05:09:43.490Z,240,72095.916,240.0
Tracing Transnational Lives: Bridging Records Between Countries,https://www.youtube.com/watch?v=VKXEwgLWtRI,FamilySearch,https://www.youtube.com/channel/UC-9GZ7QHKOmLS0APnfz2g1Q,2026-03-08T05:08:16.197Z,3558,87.293,87.293
Victorians to Elizabethans: British research in the twentieth century,https://www.youtube.com/watch?v=dZGSCdbtNUQ,FamilySearch,https://www.youtube.com/channel/UC-9GZ7QHKOmLS0APnfz2g1Q,2026-03-08T05:02:03.927Z,3601,372.27,372.27
RootsTech LIVE | Day 3 | March 7th 2026,https://www.youtube.com/watch?v=Rxly5iiWegY,FamilySearch,https://www.youtube.com/channel/UC-9GZ7QHKOmLS0APnfz2g1Q,2026-03-07T23:23:49.299Z,4211,20294.628,4211.0
RootsTech LIVE | Day 3 | March 7th 2026,https://www.youtube.com/watch?v=NrZ-zw-hmjE,FamilySearch,https://www.youtube.com/channel/UC-9GZ7QHKOmLS0APnfz2g1Q,2026-03-07T18:30:45.011Z,130,17584.288,130.0
Maha Dam Phommasan Receives Recognition,https://www.youtube.com/watch?v=cyBL059Xkd0,Maha Dam Phommasan,https://www.youtube.com/channel/UC17polQfkZysLln1K8l5vYg,2026-03-07T10:22:36.580Z,19,29288.431,19.0
Unveiling Hidden Branches: A Genetic Study of George Washington’s Extended Family Tree,https://www.youtube.com/watch?v=tidIOl0WzgM,FamilySearch,https://www.youtube.com/channel/UC-9GZ7QHKOmLS0APnfz2g1Q,2026-03-07T07:43:55.427Z,3523,9521.153,3523.0
Great Uncle Bill in India: an overview of British India records,https://www.youtube.com/watch?v=apvpU0wdFX4,FamilySearch,https://www.youtube.com/channel/UC-9GZ7QHKOmLS0APnfz2g1Q,2026-03-06T21:47:11.939Z,3127,35803.488,3127.0
Finding Your Pre-Révolution French Ancestors,https://www.youtube.com/watch?v=alzQqwm9uMs,FamilySearch,https://www.youtube.com/channel/UC-9GZ7QHKOmLS0APnfz2g1Q,2026-03-06T21:44:43.552Z,3604,148.387,148.387
RootsTech LIVE | Day 1 | March 5th 2026,https://www.youtube.com/watch?v=vxQwP6i1yWc,FamilySearch,https://www.youtube.com/channel/UC-9GZ7QHKOmLS0APnfz2g1Q,2026-03-06T20:13:19.353Z,8140,5484.199,5484.199
Beautifully Brutal | Marathon,https://www.youtube.com/watch?v=qQy9df1uZR8,,,2026-03-06T20:11:36.327Z,30,103.026,30.0
Maha Dam Phommasan-Amazing Recovery: Getting Around Fast,https://www.youtube.com/watch?v=M6S-06WzzSU,Maha Dam Phommasan,https://www.youtube.com/channel/UC17polQfkZysLln1K8l5vYg,2026-03-05T10:11:25.906Z,22,122410.421,22.0
I See a Flailing Regime,https://www.youtube.com/watch?v=bX4eFATyT2g,Heather Cox Richardson,https://www.youtube.com/channel/UCnbKOlm6H9njgmN-Yil90Rg,2026-03-04T05:56:02.697Z,111,101723.209,111.0
'Crazy stuff': Texas Supreme Court steps into chaotic Dallas vote controversy,https://www.youtube.com/watch?v=pQCSHvsRu_4,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-03-04T05:55:28.921Z,684,33.776,33.776
Clarity,https://www.youtube.com/watch?v=T0tQtioEULM,,,2026-03-04T05:54:52.562Z,21,36.359,21.0
LIVE: TEXAS PRIMARY RESULTS,https://www.youtube.com/watch?v=fQfHlowwTo4,Brian Tyler Cohen,https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw,2026-03-04T03:06:45.361Z,19666,10087.201,10087.201
Weekly Ad | Q1 Blue | Hobby Lobby® | 15s,https://www.youtube.com/watch?v=NTmA2VHwCWc,,,2026-03-04T03:06:07.282Z,15,38.079,15.0
“Letting go”is not what you think | Buddhism In English,https://www.youtube.com/watch?v=RNChSOL2Qng,Buddhism,https://www.youtube.com/channel/UCRtAu8OVYVfuNZmTV-Ug0zA,2026-03-04T02:58:51.382Z,436,435.9,435.9
Frames & Plaques by Crown Awards,https://www.youtube.com/watch?v=AvA34uNbNWo,,,2026-03-04T02:58:44.561Z,19,6.821,6.821
MAGA's podcasting wars,https://www.youtube.com/watch?v=ycuk7KWm8o0,The Lincoln Project,https://www.youtube.com/channel/UCpYCxV51bykhMY-wSUozQRg,2026-03-03T23:51:30.022Z,59,11234.539,59.0
American Conversations: Senator Andy Kim,https://www.youtube.com/watch?v=kIk8up0RjSg,Heather Cox Richardson,https://www.youtube.com/channel/UCnbKOlm6H9njgmN-Yil90Rg,2026-03-03T06:16:10.881Z,1958,63319.141,1958.0
Rick Steves' Iran (2009),https://www.youtube.com/watch?v=CYoa9hI3CXg,Rick Steves' Europe,https://www.youtube.com/channel/UCchgIh8Tc4sTmBfnMQ5pDdg,2026-03-02T19:30:30.598Z,3345,38740.283,3345.0
America Wakes Up to WAR With Iran: Operation EPSTEIN Fury,https://www.youtube.com/watch?v=Yn90VIBKoMk,The Lincoln Project,https://www.youtube.com/channel/UCpYCxV51bykhMY-wSUozQRg,2026-03-02T05:50:34.966Z,1173,49195.632,1173.0
Frames & Plaques by Crown Awards,https://www.youtube.com/watch?v=AvA34uNbNWo,,,2026-03-02T05:50:26.669Z,19,8.297,8.297
What the F*** Just Happened?  With Heather and Joanne,https://www.youtube.com/watch?v=yiFHTywWgms,Dr. Joanne Freeman,https://www.youtube.com/channel/UCTmzwSx-cwTUSZwD9L57D4g,2026-03-01T05:26:47.092Z,2831,87819.577,2831.0
Jurassic - Cut Your Bill,https://www.youtube.com/watch?v=VF5fcNqKI98,,,2026-03-01T05:26:42.467Z,16,4.625,4.625
Jurassic - Cut Your Bill,https://www.youtube.com/watch?v=VF5fcNqKI98,,,2026-02-28T05:49:52.199Z,16,85010.268,16.0
California Gold Nutrition: Premium Without the Price,https://www.youtube.com/watch?v=JInRbKiqqA8,,,2026-02-28T05:48:35.367Z,30,76.832,30.0
Trump ILLEGALLY Withheld Epstein Documents Detailing Abuse Of MINOR!?,https://www.youtube.com/watch?v=ny1IvBmlMnw,The Lincoln Project,https://www.youtube.com/channel/UCpYCxV51bykhMY-wSUozQRg,2026-02-28T05:24:32.927Z,3810,1442.44,1442.44
Watch Snowpiercer Free on Pluto TV,https://www.youtube.com/watch?v=dgMSlXmhros,,,2026-02-28T05:24:20.690Z,16,12.237,12.237
Cookie_212_H_6s_bluedemomh,https://www.youtube.com/watch?v=Fjjcf3d2Lx8,,,2026-02-28T05:24:14.748Z,6,5.942,5.942
Lyria 3 | Music Generation comes to Gemini,https://www.youtube.com/watch?v=TD6FPndjhoE,,,2026-02-28T05:24:10.051Z,66,4.697,4.697
Blessing Ceremony for Maha Dam Phommasan,https://www.youtube.com/watch?v=-J76-16co3w,Maha Dam Phommasan,https://www.youtube.com/channel/UC17polQfkZysLln1K8l5vYg,2026-02-28T03:20:21.973Z,24,7428.078,24.0
Maha Dam Phommasan Returns from Washington DC -Walk for Peace,https://www.youtube.com/watch?v=fFA5ziSNchE,Maha Dam Phommasan,https://www.youtube.com/channel/UC17polQfkZysLln1K8l5vYg,2026-02-28T03:19:30.935Z,41,51.038,41.0
Om Mani Padme Hum 108 TIMES - Avalokiteshvara Mantra,https://www.youtube.com/watch?v=E7hovSTyIjk,Scout,https://www.youtube.com/channel/UCRPH9ry3eFSPv83RQhoHZdQ,2026-02-28T03:18:25.296Z,424,65.639,65.639
Bruno Mars - Risk It All [Official Music Video],https://www.youtube.com/watch?v=lY5V4hSLWY8,Bruno Mars,https://www.youtube.com/channel/UCoUM-UJ7rirJYP8CQ0EIaHA,2026-02-28T03:15:57.926Z,211,147.37,147.37
All 20 Monks & The Silent Heroes Behind Walk for Peace 🙏 #walkforpeace #buddhistmonk #shorts,https://www.youtube.com/watch?v=AhsUM-NmilE,SpiritualBuddhist,https://www.youtube.com/channel/UCDOhP48EfR6CfTkG8ae2dhw,2026-02-28T03:15:29.005Z,145,28.921,28.921
Trump’s Attempt to Set Up the Democrats at the State of the Union,https://www.youtube.com/watch?v=Ibrivvb6Qbs,Heather Cox Richardson,https://www.youtube.com/channel/UCnbKOlm6H9njgmN-Yil90Rg,2026-02-28T03:12:12.186Z,180,196.819,180.0
Relax your mind from anywhere with this 3 minute guided meditation,https://www.youtube.com/watch?v=ACYZXD3Ap1M,"National Center on Health, Physical Activity and Disability (NCHPAD)",https://www.youtube.com/channel/UCe6g__cr5MzrYQ12aOuwNWA,2026-02-28T01:57:26.644Z,217,4485.542,217.0
Galaxy just leveled Up. Say hello to Galaxy S26 Ultra!,https://www.youtube.com/watch?v=8tGtkvmDcHg,,,2026-02-28T01:56:23.178Z,14201,63.466,63.466
