title,link,channel,channel_link,date,video_length,time_diff,watch_time
It stopped feeling like mimicry and started sounding like dialogue.,https://www.youtube.com/watch?v=m21tVFOsc0M,CritterZone03,https://www.youtube.com/channel/UCMhqNlIwWQqOV_Rg921IuUA,2026-03-17T16:45:38.348Z,60.0,,60.0
He was a seal... but he didn't like water. #neil #elephantseal #trend #shorts #foryou #seal #animal,https://www.youtube.com/watch?v=ClD6zC-GOuo,Animal Mosaic ,https://www.youtube.com/channel/UC3E4OpVWDDKImn2xZEzSIxg,2026-03-17T15:53:40.262Z,59.0,3118.086,59.0
I'M FREAKING OUT!! | ONE PIECE | Episodes 150-151 Reaction & Discussion,https://www.youtube.com/watch?v=mWMspJlZDhM,FLEXIEJAYANIME,https://www.youtube.com/channel/UCM5XAKMOibOADjmhLaxO2zQ,2026-03-17T15:53:10.493Z,3468.0,29.769,29.769
Long Ring Long Land is WILD | ONE PIECE | Episodes 207-210 Reaction & Discussion,https://www.youtube.com/watch?v=mN0UfqScv8A,FLEXIEJAYANIME,https://www.youtube.com/channel/UCM5XAKMOibOADjmhLaxO2zQ,2026-03-17T15:53:06.200Z,3410.0,4.293,4.293
You Can't Do Math That 7 Year Olds Should Know Richard HAHAHA,https://www.youtube.com/watch?v=uk5nhh-oAhM,Breaking Banquet,https://www.youtube.com/channel/UC-tzGwssLEMYxPfX9Og3q9A,2026-03-17T15:11:01.988Z,794.0,2524.212,794.0
I didn’t expect deer sounds to be this cute#deer#funny#cute#fyp#foryou,https://www.youtube.com/watch?v=8u-ik5mKc-U,CritterZone03,https://www.youtube.com/channel/UCMhqNlIwWQqOV_Rg921IuUA,2026-03-17T03:59:48.126Z,60.0,40273.862,60.0
Bass (feat. Tech N9ne & Hopsin),https://www.youtube.com/watch?v=ivGnOl1K-ks,Merkules - Topic,https://www.youtube.com/channel/UCuMVHEyz2bjbHlvqJr-CVOQ,2026-03-17T02:48:36.410Z,234.0,4271.716,234.0
soulja boy tellem- igot me some bathing apes,https://www.youtube.com/watch?v=GRswdFo3fl8,iguanaluver,https://www.youtube.com/channel/UCxx-vbkOZEqpYjvR4vCS9Gg,2026-03-17T02:46:31.433Z,233.0,124.977,124.977
Soulja Boy - Bathing Apes,https://www.youtube.com/watch?v=MsXYBPVFn70,rhcpfan1992,https://www.youtube.com/channel/UC9AWPATY1sGD65kiOrFdplw,2026-03-17T02:45:31.269Z,205.0,60.164,60.164
Long Ring Long Land is WILD | ONE PIECE | Episodes 207-210 Reaction & Discussion,https://www.youtube.com/watch?v=mN0UfqScv8A,FLEXIEJAYANIME,https://www.youtube.com/channel/UCM5XAKMOibOADjmhLaxO2zQ,2026-03-16T21:45:46.601Z,3410.0,17984.668,3410.0
Why Sika Deer Walk Up to Humans So Confidently #animals #sikadeer #shorts,https://www.youtube.com/watch?v=Jx4d8Ezz53I,Loy Hasychak,https://www.youtube.com/channel/UCg2fbcjOgwUPFNKAS-RAJhA,2026-03-16T21:04:14.636Z,60.0,2491.965,60.0
IDUBBBZ POISONED BY WIFE!? QUARTERING SNAKES HCB REVEALS SHE'S PREGNANT! DSP MELTDOWN! STYX STROKE!,https://www.youtube.com/watch?v=liMz9l1NmkA,Kino Cathedral,https://www.youtube.com/channel/UCUa9BhPnXPQmEGksEVh8-iw,2026-03-16T21:03:36.068Z,,38.568,38.568
Cognitive Biases_Conclusion,https://www.youtube.com/watch?v=I2ex48wInlE,Minson Lab,https://www.youtube.com/channel/UCFwp0S0_K01yZi4UgPChJuQ,2026-03-16T20:34:43.017Z,82.0,1733.051,82.0
Cognitive Biases_Sunk Cost Fallacy,https://www.youtube.com/watch?v=VtEIVjnMHFU,Minson Lab,https://www.youtube.com/channel/UCFwp0S0_K01yZi4UgPChJuQ,2026-03-16T20:33:31.357Z,56.0,71.66,56.0
