title,link,channel,channel_link,date,video_length,time_diff,watch_time
Mirena Audio Ad,https://www.youtube.com/watch?v=gv1h-qB466U,,,2026-03-09T22:27:07.792Z,28.0,,28.0
SQUARESPACE | Q3 | Art | :30 | EN,https://www.youtube.com/watch?v=yD0kl5uMdTU,,,2026-03-09T22:20:10.230Z,30.0,417.562,30.0
The Mark of a Fighter: Clocked Out,https://www.youtube.com/watch?v=L40FtukRqEs,,,2026-03-09T22:14:40.422Z,7.0,329.808,7.0
Les Schwab Tires - Our Greatest Story Is Yours - The Cowboy,https://www.youtube.com/watch?v=ncjCW6fGkh0,,,2026-03-09T22:09:11.769Z,31.0,328.653,31.0
Sixth Sense,https://www.youtube.com/watch?v=3_4rzg8kh0w,,,2026-03-09T22:03:37.199Z,31.0,334.57,31.0
The TikTokification of Autism,https://www.youtube.com/watch?v=mHJbB474G0g,"I'm Autistic, Now What?",https://www.youtube.com/channel/UC5pWjSetrqTg7BWwclunyGA,2026-03-09T22:02:26.349Z,2264.0,70.85,70.85
Map Men vs Geoguessr 2: Mark's Revenge?,https://www.youtube.com/watch?v=-tO2FiyjCbE,Jay and Mark,https://www.youtube.com/channel/UCbbQalJ4OaC0oQ0AqRaOJ9g,2026-03-09T21:36:47.810Z,2206.0,1538.539,1538.539
Everything About Disc Golf Aerodynamics - Smarter Every Day 313,https://www.youtube.com/watch?v=-0JKHuzJ67A,SmarterEveryDay,https://www.youtube.com/channel/UC6107grRI4m0o2-emgoDnAA,2026-03-09T18:30:40.982Z,5530.0,11166.828,5530.0
"Ravens trade for Maxx Crosby, Trump’s “Stick to Sports” Hypocrisy gets more absurd | Bomani Jones",https://www.youtube.com/watch?v=pZZbG2f2zaY,The Right Time with Bomani Jones,https://www.youtube.com/channel/UCuNXr0Y4_ILuAYykBE4wCwQ,2026-03-09T17:33:07.807Z,3324.0,3453.175,3324.0
Wallet | All About You | GEICO Insurance,https://www.youtube.com/watch?v=4Ev6kDy2mzU,,,2026-03-09T14:45:59.645Z,16.0,10028.162,16.0
"Donald Trump's Absurd Plan to “Fix” College Football, Pimps in College Basketball | Bomani Jones",https://www.youtube.com/watch?v=fKqae2QGp1Y,The Right Time with Bomani Jones,https://www.youtube.com/channel/UCuNXr0Y4_ILuAYykBE4wCwQ,2026-03-09T14:42:02.498Z,3149.0,237.147,237.147
X Ray :15,https://www.youtube.com/watch?v=oIKMdOeax-s,,,2026-03-09T14:41:54.797Z,18.0,7.701,7.701
Chevy Trucks: Design | Chevrolet,https://www.youtube.com/watch?v=ah7Po3XP_SQ,,,2026-03-09T14:35:04.113Z,7.0,410.684,7.0
There's Nothing Like Platinum | Resy Credit | The American Express Platinum Card® :06,https://www.youtube.com/watch?v=FCnIXHSfY1Y,,,2026-03-09T14:34:56.572Z,7.0,7.541,7.0
No Sweat,https://www.youtube.com/watch?v=0FaHiqCQLjM,,,2026-03-08T17:20:26.123Z,31.0,76470.449,31.0
A VERY Dangerous Storm Is Coming...,https://www.youtube.com/watch?v=iGcY6QIHWlU,Max Velocity - Severe Weather Center,https://www.youtube.com/channel/UCvBVK2ymNzPLRJrgip2GeQQ,2026-03-08T17:16:38.980Z,776.0,227.143,227.143
"PWHL: Minnesota Frost at Toronto Sceptres - March 8, 2026",https://www.youtube.com/watch?v=_BekwlcumwE,The PWHL,https://www.youtube.com/channel/UCNKUkQV2R0JKakyE1vuC1lQ,2026-03-08T17:16:16.445Z,,22.535,22.535
Welcome to Delicious Rewards :06,https://www.youtube.com/watch?v=sD5N2DNDQK0,,,2026-03-08T17:15:40.239Z,6.0,36.206,6.0
Why the New York Times Loves Stupid Questions,https://www.youtube.com/watch?v=ztQJ7XGuPhc,Lily Alexandre,https://www.youtube.com/channel/UCHu6yK2Ht1J7lfvYBXv0OsQ,2026-03-08T16:45:56.066Z,2681.0,1784.173,1784.173
Strade Bianche 2026,https://www.youtube.com/watch?v=Z8P23NSh1eU,Phil Gaimon,https://www.youtube.com/channel/UCqI9HyfLvodz7bXFCI3PU2g,2026-03-08T16:32:35.388Z,1192.0,800.678,800.678
The Falcons RELEASED Kirk Cousins!,https://www.youtube.com/watch?v=2JQSyg7T8AU,MegaCasuals,https://www.youtube.com/channel/UC5kmUJjP--cXZHFgbOcHdHQ,2026-03-07T13:27:58.391Z,84.0,97476.997,84.0
Blurry: See Where the Web was Born,https://www.youtube.com/watch?v=G4QdAxZLe8I,,,2026-03-07T13:27:56.880Z,27.0,1.511,1.511
Let’s weigh in here 😂 #ceo #tbh #fyp #twocents #marketing #market #foryou,https://www.youtube.com/watch?v=OSv2mpKP0XY,Kiki Rough,https://www.youtube.com/channel/UCvPXDB0ijGPbjNIzvEQ0I7w,2026-03-07T13:26:06.470Z,110.0,110.41,110.0
Making a Stained Glass Door in Only 12 Days...,https://www.youtube.com/watch?v=ZvuyuXqY0Bw,Nerdforge,https://www.youtube.com/channel/UCggHsHce2n3vvbJf_8YKrMA,2026-03-07T13:26:03.971Z,97.0,2.499,2.499
5595GVAI·V T·C B·P N·H V· 9x16,https://www.youtube.com/watch?v=WS4nLzz8duY,,,2026-03-07T13:26:00.425Z,38.0,3.546,3.546
North Carolina Dems who backed GOP overrides get WIPED OUT in primaries,https://www.youtube.com/watch?v=jOsJGR0CBdI,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-03-07T13:23:49.114Z,132.0,131.311,131.311
‼️ Pharma Friday: PHARMACY EMPLOYEES WEARING BODY CAMS? Let’s review this week’s top stories!,https://www.youtube.com/watch?v=ivf1Dw9FjEg,"Dr. Ethan Melillo, PharmD",https://www.youtube.com/channel/UCTIwkODdVD-YbVL064tHehw,2026-03-07T13:23:11.532Z,94.0,37.582,37.582
FISH! by Trickforge is out now! #vrchat #vrchatcommunity,https://www.youtube.com/watch?v=qtuluDAy0Ck,,,2026-03-07T13:23:09.787Z,45.0,1.745,1.745
Road Dogg has reportedly departed WWE #wwe #wwesmackdown #roaddogg #creative,https://www.youtube.com/watch?v=IaUzBTu8m9g,F4WOnline,https://www.youtube.com/channel/UCPcc1MbakHpB8F1vIDvUJBg,2026-03-07T13:21:52.418Z,90.0,77.369,77.369
