title,link,channel,channel_link,date,video_length,time_diff,watch_time
Kainbeats - mindscapes (Sad Lofi Hiphop EP),https://www.youtube.com/watch?v=iuT8KImN-Rk,kainbeats,https://www.youtube.com/channel/UCM66ZDxCsrk2URFfgMDLftg,2026-04-25T16:07:26.039Z,431,,431.0
Kainbeats - shades of spring [Chill Lofi Hip Hop] 🌦️,https://www.youtube.com/watch?v=mqQjMSU_zDw,kainbeats,https://www.youtube.com/channel/UCM66ZDxCsrk2URFfgMDLftg,2026-04-25T16:02:21.075Z,304,304.964,304.0
Kainbeats - Whirlpools (Calm Lofi Music) 🌧️✨,https://www.youtube.com/watch?v=LujbTlEYpgQ,kainbeats,https://www.youtube.com/channel/UCM66ZDxCsrk2URFfgMDLftg,2026-04-25T15:57:53.214Z,266,267.861,266.0
Kainbeats - In The Crystal (Sleepy Lofi Music),https://www.youtube.com/watch?v=w51wPJvwoBY,kainbeats,https://www.youtube.com/channel/UCM66ZDxCsrk2URFfgMDLftg,2026-04-25T15:52:46.667Z,306,306.547,306.0
Kainbeats - finding peace (Calm Lofi Music),https://www.youtube.com/watch?v=Ss8On6ZFMEo,kainbeats,https://www.youtube.com/channel/UCM66ZDxCsrk2URFfgMDLftg,2026-04-25T15:47:32.041Z,314,314.626,314.0
Felty - Movement [laid-back instrumental lofi],https://www.youtube.com/watch?v=kSxcTCxK91s,Chillhop Music,https://www.youtube.com/channel/UCOxqgCwgOqC2lMqC5PYz_Dg,2026-04-25T15:40:40.760Z,411,411.281,411.0
Kainbeats - Peach Beach [Lofi Hip Hop Beats],https://www.youtube.com/watch?v=5_o9gSHfXFQ,kainbeats,https://www.youtube.com/channel/UCM66ZDxCsrk2URFfgMDLftg,2026-04-25T15:37:05.352Z,214,215.408,214.0
Kainbeats - eucalyptus (Sleepy Lofi Music),https://www.youtube.com/watch?v=bNulZRBHQdM,kainbeats,https://www.youtube.com/channel/UCM66ZDxCsrk2URFfgMDLftg,2026-04-25T15:32:27.071Z,278,278.281,278.0
Kainbeats - Under the Stars [Chill Lofi Hip Hop],https://www.youtube.com/watch?v=23nu0AGphjc,kainbeats,https://www.youtube.com/channel/UCM66ZDxCsrk2URFfgMDLftg,2026-04-25T15:27:21.268Z,305,305.803,305.0
dryhope - White Oak [chill hip hop beats],https://www.youtube.com/watch?v=QEWV6fiYaDU,Chillhop Music,https://www.youtube.com/channel/UCOxqgCwgOqC2lMqC5PYz_Dg,2026-04-25T15:15:29.438Z,710,711.83,710.0
Justin Bieber Made a PHONE CASE?,https://www.youtube.com/watch?v=prC22h7NfMI,Nathan Espinoza,https://www.youtube.com/channel/UCkSVnUZq3q14lVajaQAlLpA,2026-04-25T15:09:32.851Z,53,356.587,53.0
WeatherBug Has a serious Flaw!,https://www.youtube.com/watch?v=eV09PQwXewM,ExtremeMadnessProductions com,https://www.youtube.com/channel/UCwrcI699LJRR4c7fN39NGdQ,2026-04-25T15:09:12.018Z,19,20.833,19.0
WeatherBug,https://www.youtube.com/watch?v=2e0A0NMmM7I,McKinnack,https://www.youtube.com/channel/UCbztOJ2bOkr1SkNDpoWaB9A,2026-04-25T15:09:01.922Z,18,10.096,10.096
iPhone Emulation Is Better Than You Think,https://www.youtube.com/watch?v=oTL06kzCUOE,Garrett Buffington,https://www.youtube.com/channel/UCKU6z8qFTgB_Qbd4e0Ji-PA,2026-04-25T12:59:15.117Z,1661,7786.805,1661.0
Virtua Fighter 5 REVO on Nintendo Switch 2 is the BEST Version! #gaming #switch2,https://www.youtube.com/watch?v=tuu7FS0gmuQ,Avataryaya,https://www.youtube.com/channel/UCgZiKmKF3k7-xOZPQHbMPXw,2026-04-25T12:58:56.565Z,71,18.552,18.552
How I Organized My Entire Life Using Just Apple Notes,https://www.youtube.com/watch?v=IMJSkU3rVNg,Zach Highley,https://www.youtube.com/channel/UCaffuWQ2mLfRevosyKoz87Q,2026-04-25T12:57:39.114Z,866,77.451,77.451
How Can We Insert PDF in Notes App in iPad (tutorial),https://www.youtube.com/watch?v=dFiP04mfsFU,Foxtecc,https://www.youtube.com/channel/UCzy1ev-3tCoIXJYLQb3156g,2026-04-25T12:56:54.024Z,101,45.09,45.09
⇧ Maximise Your Reading Potential with The iPad in 60 seconds! 🚀 #iPad #reading #lifelonglearning,https://www.youtube.com/watch?v=PC8dwP0H1aM,Better Creating,https://www.youtube.com/channel/UCdKvOz1yqCbty9TwmEUQSiA,2026-04-25T12:56:32.990Z,41,21.034,21.034
How to Write on a PDF on an iPad #shorts,https://www.youtube.com/watch?v=x9GNyUl0go8,Quantum,https://www.youtube.com/channel/UC7RjPaxRJCnROlCkhK8xE3g,2026-04-25T12:56:21.042Z,12,11.948,11.948
Apple Notes Is All You Need — Here’s Why,https://www.youtube.com/watch?v=mWrHk1swFuY,Jason Barmer,https://www.youtube.com/channel/UCahYgpoctq9XkWDoch_qzKg,2026-04-25T12:56:11.790Z,650,9.252,9.252
Is Apple Notes Finally the BEST Note-Taking App for iPad?,https://www.youtube.com/watch?v=n1mRBUVbxq0,Future Simplified,https://www.youtube.com/channel/UCw3y5q5uRTG3txZcKZzExNg,2026-04-25T12:54:39.198Z,465,92.592,92.592
The Ultimate iPad Note-Taking System (That Actually Works),https://www.youtube.com/watch?v=9evQY6oUSR0,Future Simplified,https://www.youtube.com/channel/UCw3y5q5uRTG3txZcKZzExNg,2026-04-25T12:54:16.772Z,378,22.426,22.426
Best Tablet And Stylus For Note-Taking. Ipad Air and 2nd Gen Pencil.  📱✒,https://www.youtube.com/watch?v=zrHQivCE-hU,TechGizmoHubClips,https://www.youtube.com/channel/UCASy8HRXdbgtf9nKvl5xkUw,2026-04-25T12:53:23.567Z,48,53.205,48.0
Just use Apple Notes? 📝👀,https://www.youtube.com/watch?v=1LOJbBRXRDc,Prithwiraj | PR75K,https://www.youtube.com/channel/UCq6Mlgu_6rAwMhkuIk2lGrQ,2026-04-25T12:52:58.776Z,19,24.791,19.0
The Ultimate Guide to Note Taking on iPad in 2026!,https://www.youtube.com/watch?v=tT8mnPtSZqU,Tech Dad,https://www.youtube.com/channel/UCeVf8KaEFbse6aof4OeYAtQ,2026-04-25T12:51:52.515Z,585,66.261,66.261
Glass is glass,https://www.youtube.com/watch?v=7YrdI7h2XoY,Marques Brownlee,https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,2026-04-25T12:47:13.567Z,286,278.948,278.948
Andrew’s HBO Experience,https://www.youtube.com/watch?v=NU9GOSwPuEo,Channel 5 with Andrew Callaghan,https://www.youtube.com/channel/UC-AQKm7HUNMmxjdS371MSwg,2026-04-25T12:46:17.832Z,148,55.735,55.735
