title,link,channel,channel_link,date,video_length,time_diff,watch_time
10-Minute Spinach & Cheese Tortellini | Easy Costco Dinner for Busy Families,https://www.youtube.com/watch?v=wEFX4FII_cI,Cherish | the little things ‪♡,https://www.youtube.com/channel/UCP8AAN_nNslOzRstsK9TC1w,2026-04-08T05:05:02.862Z,38.0,,38.0
DCD-The-3963| Hulu,https://www.youtube.com/watch?v=YiYuUmGBYd4,,,2026-04-05T01:39:12.054Z,16.0,271550.808,16.0
‘I Gave Birth to a Surprise Baby in the Street!’ I This Morning,https://www.youtube.com/watch?v=0uGxTYgCZLo,This Morning,https://www.youtube.com/channel/UChFsYLqPUyLiZnfRog6wiZA,2026-04-05T01:36:01.656Z,490.0,190.398,190.398
Overconsumption-core rears its ugly head. Again. ,https://www.youtube.com/watch?v=mXn9mO2F80k,Parkrose Permaculture,https://www.youtube.com/channel/UCUpbDOT-OVNBlaQpb9pbd2w,2026-04-05T01:30:31.256Z,590.0,330.4,330.4
it’s finally DONE (ep.109),https://www.youtube.com/watch?v=jVdGwvmvaAo,Jenna Phipps,https://www.youtube.com/channel/UCejzv0MInydp0Isrza8e0tw,2026-04-05T01:24:27.548Z,2048.0,363.708,363.708
Every Face and Every Name - Claire Crosby,https://www.youtube.com/watch?v=962fDI_DM24,The Crosbys,https://www.youtube.com/channel/UCfrREf-q6PbTxNgsB5XAp6A,2026-04-05T01:23:34.622Z,252.0,52.926,52.926
The Charals Situation Is Getting Out of Hand 😹,https://www.youtube.com/watch?v=yF17CHmIrwk,Merv the Cat (...& Chad),https://www.youtube.com/channel/UC2pJiqq1DE5P3qbFvqVpW1g,2026-04-05T01:16:41.174Z,384.0,413.448,384.0
Abduction :15,https://www.youtube.com/watch?v=EMbXUhKrnWw,,,2026-04-05T01:16:09.413Z,15.0,31.761,15.0
How Stores Work Evergreen :30,https://www.youtube.com/watch?v=iBdgnxk0s_c,,,2026-04-05T01:15:43.881Z,31.0,25.532,25.532
It’s True I messed up..💔 +Aldi Grocery Shopping & Haul w my 2 Youngest Babies  ,https://www.youtube.com/watch?v=-RK3fcpXIEA,Alaina ,https://www.youtube.com/channel/UCZ5wqBIvDpeEVVJMUkorYew,2026-04-04T07:45:31.664Z,,63012.217,63012.217
Closet Cleanout Getting Ready for Alaska,https://www.youtube.com/watch?v=hkIoVUVyifQ,Dart Fam ,https://www.youtube.com/channel/UCtUdaTPtfr-qe6npmq3ZbDw,2026-04-04T07:38:56.546Z,315.0,395.118,315.0
v4 W15   Hume   Body Intelligence   Jack 16X9,https://www.youtube.com/watch?v=So-BiowXbAU,,,2026-04-04T07:26:12.781Z,70.0,763.765,70.0
DREAMS REALLY DO COME TRUE DUMPSTER DIVING AT ALDI!,https://www.youtube.com/watch?v=FBoBIRgaYX0,Freakin Frugal,https://www.youtube.com/channel/UCR4u4zBm37-uODgDlvsu7Bg,2026-04-04T07:03:08.920Z,517.0,1383.861,517.0
"If it’s epic, it’s on eBay Live.",https://www.youtube.com/watch?v=5uY65yVPPdo,,,2026-04-04T07:02:37.367Z,31.0,31.553,31.0
MM2026 | YTMasthead | FinalFourTon,https://www.youtube.com/watch?v=CM1PGbaDDYA,,,2026-04-04T07:02:37.331Z,16.0,0.036,0.036
$100 BUCKS TO CATCH A DUCK!,https://www.youtube.com/watch?v=65ZCXzPMmao,SHAYTARDS,https://www.youtube.com/channel/UCJZ7f6NQzGKZnFXzFW9y9UQ,2026-04-04T06:33:29.063Z,708.0,1748.268,708.0
DCD-The-4080| Hulu,https://www.youtube.com/watch?v=4BYptlbVX7g,,,2026-04-04T06:32:52.146Z,16.0,36.917,16.0
Only You (And You Alone),https://music.youtube.com/watch?v=n2ftAkKRRH4,Ringo Starr - Topic,https://www.youtube.com/channel/UCJWrY1uIUlnGvs0sUz5ydwQ,2026-04-01T23:50:24.348Z,208.0,196947.798,208.0
