title,link,channel,channel_link,date,video_length,time_diff,watch_time
How does your self care birb support you? 👀❤️ #finchapp,https://www.youtube.com/watch?v=S0EflHECMSo,,,2026-04-27T19:43:08.938Z,21.0,,21.0
Monument. (:15),https://www.youtube.com/watch?v=MGiobsLzOyM,,,2026-04-27T19:42:52.517Z,16.0,16.421,16.0
BBQ | Don't Lick the Screen,https://www.youtube.com/watch?v=5besE9dN63U,,,2026-04-27T19:42:46.069Z,7.0,6.448,6.448
WGU - Online Degrees,https://www.youtube.com/watch?v=qCWPsSRIzYo,,,2026-04-27T19:42:30.598Z,16.0,15.471,15.471
Get Radiant Get More | Tampax Radiant,https://www.youtube.com/watch?v=UZfLXwhLQ0Y,,,2026-04-27T19:42:15.075Z,16.0,15.523,15.523
US-EN | D8010 | MA-UAC5-VID-Mix-UGC-PRS-HK | Women | Seller | 16x9 | 25s |.mp4,https://www.youtube.com/watch?v=NMDfH3M6bDc,,,2026-04-27T19:35:41.301Z,26.0,393.774,26.0
SIPS26-3285500-10_Paid Social_UAC_1200x628_Final.mp4,https://www.youtube.com/watch?v=zzJg-mbhEuI,,,2026-04-27T19:35:25.856Z,15.0,15.445,15.0
2026 Tacoma | Whatever We Want | April Lease | English 15,https://www.youtube.com/watch?v=xqkIMSFXotE,,,2026-04-27T19:35:10.359Z,16.0,15.497,15.497
CBG59GRANT DealsDon’tWait7s V2LS,https://www.youtube.com/watch?v=xpIqrZwpQYs,,,2026-04-27T19:35:02.991Z,7.0,7.368,7.0
Corona Sunbrew | BeachYRooftop :06,https://www.youtube.com/watch?v=KHqAOSHoaB4,,,2026-04-27T19:34:56.517Z,7.0,6.474,6.474
Apple Education: Ready for every learning opportunity,https://www.youtube.com/watch?v=qUfVSh4eaDE,,,2026-04-27T19:27:32.043Z,107.0,444.474,107.0
Drumstick Tuesday Hero,https://www.youtube.com/watch?v=T3DnsnGtRBs,,,2026-04-27T19:27:16.503Z,16.0,15.54,15.54
Getaways for prima-donnas and parents | Booking.com,https://www.youtube.com/watch?v=NC8bkLDA9tI,,,2026-04-27T19:27:00.988Z,,15.515,15.515
SP26 SOG KV 16x9 15s H264,https://www.youtube.com/watch?v=HlYqSMS1c-U,,,2026-04-27T19:26:45.526Z,16.0,15.462,15.462
5 People Reveal Their Biggest Secret,https://www.youtube.com/watch?v=47bNa6KSOtU,Kevin Langue,https://www.youtube.com/channel/UCxOdcOE2j5vnDDMihFgN4rg,2026-04-27T19:24:00.849Z,2675.0,164.677,164.677
Shortened: PF ST Deanne pattern2 30sec 16x9,https://www.youtube.com/watch?v=5qb1r-ddPXM,,,2026-04-27T19:23:32.894Z,27.0,27.955,27.0
Shop at Temu,https://www.youtube.com/watch?v=oXu5_DJgp5k,,,2026-04-27T19:23:18.891Z,14.0,14.003,14.0
BNK26-3727251-QQ_1.91x1.mp4,https://www.youtube.com/watch?v=2P2DT3kQ0E8,,,2026-04-27T19:17:40.011Z,30.0,338.88,30.0
Shortened: US-EN | D7412 | Too Many | Kids | Seller | 16x9 | 30s | .mp4,https://www.youtube.com/watch?v=EAS5THwzNzM,,,2026-04-27T19:17:13.395Z,27.0,26.616,26.616
