title,link,channel,channel_link,date,video_length,time_diff,watch_time
LIGHTNING MCQUEEN LOST HIS COLOR! LEARN COLORS WITH GOO GOO COLORS!,https://www.youtube.com/watch?v=TCLS4r3IIeE,Goo Goo Colors,https://www.youtube.com/channel/UCx0eQsDrjn-EXMWeusTh2cQ,2026-04-05T23:38:54.870Z,260.0,,260.0
Nikita e lavagem de carro de brinquedo vermelho,https://www.youtube.com/watch?v=jAoQdycb_m0,Vlad e Nikita BeBe Show,https://www.youtube.com/channel/UCw_nw4q1RvDiFNSTmCXhl-g,2026-04-05T23:36:09.823Z,280.0,165.047,165.047
البرق ماكوينسيارات ديزني  ألعاب الأطفال,https://www.youtube.com/watch?v=lRsYTYn6Vgk,Kidibli بالعربية,https://www.youtube.com/channel/UCu_RDyYNdSzdtQKauqHu1SA,2026-04-05T23:35:54.474Z,621.0,15.349,15.349
Saetta McQueen si Perde! 😢🚗 | Pixar Cars | @DisneyJuniorIT,https://www.youtube.com/watch?v=hTG1dHCU6t8,DisneyJuniorIT,https://www.youtube.com/channel/UClb8YSegoA2ZRSSXqXlFJaA,2026-04-05T23:34:35.427Z,129.0,79.047,79.047
Monster Truck Mater (My Remake),https://www.youtube.com/watch?v=OXcSy7x2EQM,Nickster's Disney and Pixar Club,https://www.youtube.com/channel/UCMcLv9bhozVD6wNP4PS0IEQ,2026-04-05T23:34:18.504Z,232.0,16.923,16.923
Neon Cars Scene in Stop-Motion! (Remake from Pixar’s Cars 1),https://www.youtube.com/watch?v=uORaaXONfBc,Eton,https://www.youtube.com/channel/UC5T8uKUJC3Vlrm928cEEu0w,2026-04-05T23:33:39.498Z,161.0,39.006,39.006
Lightning Gets Lost Diecast Remake,https://www.youtube.com/watch?v=_pnEX6Xo2Go,ThePiston11,https://www.youtube.com/channel/UC0NyPtt0tOa7ocDrLrsIPBg,2026-04-05T23:31:44.880Z,117.0,114.618,114.618
カーズは何色かな？　What color is Cars ? - Learn Colors with Lightning McQueen - Game For Kids,https://www.youtube.com/watch?v=DGfqOSNJCF8,あんぱんぷっぷ　Anpan Puppu,https://www.youtube.com/channel/UC_n8d7vVpwKNlJtZbPnL50A,2026-04-05T23:31:37.060Z,291.0,7.82,7.82
Lucy Runs Into A Lunatic Lady at the Supermarket (Full Scene) | Despicable Me 4,https://www.youtube.com/watch?v=r5spS7xk1KE,HaHa Picks,https://www.youtube.com/channel/UCEMsMyfqee8nF0QBClFZzmg,2026-04-05T23:31:24.451Z,572.0,12.609,12.609
Teach Kids Spanish and English words with Painting Pororo Toy Car and Tayo Playsets!,https://www.youtube.com/watch?v=XKbZJV1Ql4M,Genevieve's Playhouse - Learning Videos for Kids,https://www.youtube.com/channel/UCK5Q72Uyo73uRPk8PmM2A3w,2026-04-05T23:31:11.940Z,1154.0,12.511,12.511
