title,link,channel,channel_link,date,video_length,time_diff,watch_time
Samsung's big gamble! Galaxy S26 Ultra,https://www.youtube.com/watch?v=ZXoU9FoYp_8,,,2026-03-17T00:53:37.183Z,643,,643.0
Mario Tennis Fever - Available Now,https://www.youtube.com/watch?v=3yuzO-n4jVo,,,2026-03-17T00:53:30.545Z,6,6.638,6.0
Meet the NEW Gabby Cats from Gabby's Dollhouse: The Movie!,https://www.youtube.com/watch?v=ROq7_divoAI,,,2026-03-17T00:47:42.787Z,207,347.758,207.0
"22 Minutes of Preschool Learning Pop Songs | Colors, Days of the Week & Daily Routines",https://www.youtube.com/watch?v=E1OmeMK13Lc,,,2026-03-17T00:41:44.654Z,1267,358.133,358.133
"Hamid Kohan - Innovation, Leadership & Growth",https://www.youtube.com/watch?v=elOFoWiX6s4,,,2026-03-17T00:35:15.700Z,45,388.954,45.0
好玩的溜滑梯 | 遊樂園開心玩 | 啟蒙教育 | 國語童謠 | 人氣兒歌 | LiaChaCha 依娜和恰恰 - 繁體中文 - 兒歌童謠,https://www.youtube.com/watch?v=njySsDvEZUw,LiaChaCha 依娜和恰恰 - 繁體中文 - 兒歌童謠,https://www.youtube.com/channel/UCWKNcNJcNHjK7aXTYhKyd7A,2026-03-17T00:29:01.311Z,1742,374.389,374.389
T5 Clive SamePage NonPromo N VID 1920x1080 15s,https://www.youtube.com/watch?v=azLtR4jv-LM,,,2026-03-17T00:28:54.827Z,16,6.484,6.484
"Blippi & Ms Rachel Learn Vehicles - Wheels on the Bus - Videos for Kids - Tractor, Car, Truck + More",https://www.youtube.com/watch?v=gFuEoxh5hd4,Ms Rachel - Toddler Learning Videos,https://www.youtube.com/channel/UCG2CL6EUjG8TVT1Tpl9nJdg,2026-03-17T00:06:35.144Z,1807,1339.683,1339.683
包餃子 | 新春快樂 | 美食兒歌 | 經典兒歌 | 依娜和恰恰 | LiaChaCha 繁體中文 - 兒歌童謠,https://www.youtube.com/watch?v=urblrAgrflo,LiaChaCha 依娜和恰恰 - 繁體中文 - 兒歌童謠,https://www.youtube.com/channel/UCWKNcNJcNHjK7aXTYhKyd7A,2026-03-16T18:40:45.483Z,216,19549.661,216.0
ㅇㅇ와 함께 사는 신개념 실버타운! 입주 자격 이렇게 바뀌어야 합니다,https://www.youtube.com/watch?v=5Ko55tOyJFo,,,2026-03-16T18:37:41.682Z,432,183.801,183.801
Upgrade and save on Samsung Galaxy S26,https://www.youtube.com/watch?v=CZeRNZYgSso,,,2026-03-16T18:37:25.094Z,17,16.588,16.588
How Patriot Dreams Began,https://www.youtube.com/watch?v=P1cePpFEfF0,,,2026-03-16T18:31:36.392Z,320,348.702,320.0
Grifols Plasma - Earn up to $580 in your first month! Donate plasma. Get paid. Impact Lives.,https://www.youtube.com/watch?v=rIrK03KvdjY,,,2026-03-16T18:25:00.640Z,18,395.752,18.0
洗洗洗洗澡🛁 | 啟蒙教育 | 國語童謠 | 人氣兒歌 | LiaChaCha 依娜和恰恰 - 繁體中文 - 兒歌童謠,https://www.youtube.com/watch?v=HsB5EM5sZXE,LiaChaCha 依娜和恰恰 - 繁體中文 - 兒歌童謠,https://www.youtube.com/channel/UCWKNcNJcNHjK7aXTYhKyd7A,2026-03-16T18:17:42.599Z,1275,438.041,438.041
"快手素菜：椒麻葱油杏鲍菇｜King Oyster Mushroom 最好吃的做法｜Chinese-Style King Oyster Mushrooms, Quick Vegan Recipe",https://www.youtube.com/watch?v=gHu1-s34veg,尚食厨房 ShangshiKitchen,https://www.youtube.com/channel/UCfeyXE_GpytPjdPe_NnEW5A,2026-03-16T18:11:52.199Z,157,350.4,157.0
Ollies Einstein 15,https://www.youtube.com/watch?v=N2SLL2Njncs,,,2026-03-16T18:11:36.852Z,16,15.347,15.347
🚨 The Bracket Is HERE! Lunardi Reacts + Final Four Picks | Bracketology: Men's Selection 🏀,https://www.youtube.com/watch?v=LN0jzBkvJxA,,,2026-03-16T17:52:22.006Z,3662,1154.846,1154.846
