title,link,channel,channel_link,date,video_length,time_diff,watch_time
Training Sound Sensitive Dogs,https://www.youtube.com/watch?v=pkHuLK5UyAI,Kikopup,https://www.youtube.com/channel/UC-qnqaajTk6bfs3UZuue6IQ,2026-04-09T22:42:48.568Z,456.0,,456.0
How to Use Counterconditioning to Help a Sound Sensitive Dog,https://www.youtube.com/watch?v=hDZ_LX8wsWw,DGP Dog Behavior Videos,https://www.youtube.com/channel/UC9iETvN15gDtEsnKSGKteLA,2026-04-09T22:39:38.603Z,711.0,189.965,189.965
Creamy Coconut Jasmine Rice Pudding with Lychees | Claire Saffitz,https://www.youtube.com/watch?v=fKf9f3s--GU,Claire Saffitz x Dessert Person,https://www.youtube.com/channel/UCvw6Y1kr_8bp6B5m1dqNyiw,2026-04-09T22:38:06.336Z,838.0,92.267,92.267
Masitas de Cerdo (Pork Chunks) Cuban Style,https://www.youtube.com/watch?v=P-0cfJ5c6w8,Salty Tales,https://www.youtube.com/channel/UCzNYvV7VnH37R7jk9SVG9dA,2026-04-09T21:25:18.547Z,31.0,4367.789,31.0
Carne frita #puertorico #viralvideo #fyp  #cocina #boricua #food #chefbori #parati #puertorriqueño,https://www.youtube.com/watch?v=BGCj2Vlq5cM,Chef Bori🇵🇷,https://www.youtube.com/channel/UCVVfkdzOunrzdDrh92zhjXQ,2026-04-09T21:24:02.984Z,62.0,75.563,62.0
Authentic Cuban Vaca Frita 🔥🇨🇺 recipe (description) ↗️ #cuban #cubanfood #beefrecipe #beans,https://www.youtube.com/watch?v=3Kyz_JXVsHM,Alex Rios,https://www.youtube.com/channel/UCBczd3FrMGMq3CV43Gxkn_A,2026-04-09T21:22:48.725Z,58.0,74.259,58.0
Restoring the Balcony with IKEA Runnen,https://www.youtube.com/watch?v=-JUU_EQo2Yg,Michael Sommer,https://www.youtube.com/channel/UCLJTiBtGEUawxwpUwgzXb5A,2026-04-09T21:17:23.161Z,105.0,325.564,105.0
Fried pork…Carne Frita #pork #food #carne #shorts #youtubeshorts,https://www.youtube.com/watch?v=o3r1bkBpFSY,Damariskitchen ,https://www.youtube.com/channel/UCCu65rlMrcdR-OCFLccB-qg,2026-04-09T21:14:50.342Z,111.0,152.819,111.0
One way to make Carne Frita 🇵🇷 (Throwback post) #recipe #cooking #puertoricanfood #friedpork,https://www.youtube.com/watch?v=3R3fEo_UzVc,LaRissa Rosario,https://www.youtube.com/channel/UC-Ag6Gnqan5p6v6TeXuORZA,2026-04-09T21:12:33.825Z,146.0,136.517,136.517
NEW HOUSE RENOVATIONS + Book Tour Prep!!,https://www.youtube.com/watch?v=S7C7PpreGgI,RemLife,https://www.youtube.com/channel/UCXLnGIevWGWK2dPDcvM5-CA,2026-04-09T19:46:36.619Z,2282.0,5157.206,2282.0
Japanese condiments you should get,https://www.youtube.com/watch?v=xV6oFRvgbEk,MAIKO | Japan Mom,https://www.youtube.com/channel/UC0EtNhjm4YR_LygD76X97Kw,2026-04-09T19:46:29.402Z,48.0,7.217,7.217
Thriftflip! Scarf into Tie-side Top,https://www.youtube.com/watch?v=E68PTknTweg,ella bella,https://www.youtube.com/channel/UCTggdD1jHfJLPPq7Rh6RX7Q,2026-04-09T19:43:37.500Z,122.0,171.902,122.0
I made a mistake,https://www.youtube.com/watch?v=VnyebroaVaM,Ludwig,https://www.youtube.com/channel/UCrPseYLGpNygVi34QpGNqpA,2026-04-09T19:42:50.524Z,45.0,46.976,45.0
Ludwig just loves them,https://www.youtube.com/watch?v=dqAtPLHH2m0,QTCinderella Clips,https://www.youtube.com/channel/UC4f_rZQPef5GlWhdl44DTrw,2026-04-09T19:03:53.849Z,40.0,2336.675,40.0
Bigger Containers,https://www.youtube.com/watch?v=M7UMy_ekoMc,Aaron Aiken,https://www.youtube.com/channel/UCnSKy9seZA-Ts4Xg0CYRKXA,2026-04-09T19:03:34.929Z,18.0,18.92,18.0
Cambro 4qt food container review,https://www.youtube.com/watch?v=9OZwB53P_HY,Panini Planet,https://www.youtube.com/channel/UCw6x8Y6CosB2QQVuaf6Ucag,2026-04-09T19:02:58.328Z,44.0,36.601,36.601
How To Keep Food Fresh & Organized | Cambro Containers,https://www.youtube.com/watch?v=CqnO8ee-be4,WebstaurantStore,https://www.youtube.com/channel/UCLGG5cvCBmfjA-Cndk1_cDA,2026-04-09T19:02:09.838Z,10.0,48.49,10.0
