title,link,channel,channel_link,date,video_length,time_diff,watch_time
STUDENT V2 update,https://www.youtube.com/watch?v=vdoHUOnTeG8,,,2026-03-18T05:19:37.209Z,85.0,,85.0
"Man, woman killed in Tel Aviv amid significant Iranian strike: AJE correspondent",https://www.youtube.com/watch?v=mXZ0j2hBalI,Al Jazeera English,https://www.youtube.com/channel/UCNye-wNBqNL5ZzHSJj3l8Bg,2026-03-18T05:11:33.674Z,872.0,483.535,483.535
Trump ‘miscalculated this war’: Analysts say allies hold back as Iran gains in Strait of Hormuz,https://www.youtube.com/watch?v=7jDKQeulXbA,Al Jazeera English,https://www.youtube.com/channel/UCNye-wNBqNL5ZzHSJj3l8Bg,2026-03-18T05:11:01.663Z,549.0,32.011,32.011
Trump FRANTIC over Iran mess as rival nations take advantage of his poor planning,https://www.youtube.com/watch?v=9lBecklHcDs,MS NOW,https://www.youtube.com/channel/UCaXkIU1QidjPwiAYu6GcHjg,2026-03-18T05:10:34.552Z,672.0,27.111,27.111
Brynne,https://www.youtube.com/watch?v=2zTaphmrQxw,,,2026-03-18T05:10:27.676Z,31.0,6.876,6.876
Trump team applying pressure to media: Tell the war's story the way we see it • FRANCE 24 English,https://www.youtube.com/watch?v=1nOCzLUdaOM,FRANCE 24 English,https://www.youtube.com/channel/UCQfwfsi5VrQ8yKZ-UWmAEFg,2026-03-18T05:02:47.093Z,587.0,460.583,460.583
Top US counterterrorism official resigns over Iran war • FRANCE 24 English,https://www.youtube.com/watch?v=rPMTNE4ulkg,FRANCE 24 English,https://www.youtube.com/channel/UCQfwfsi5VrQ8yKZ-UWmAEFg,2026-03-18T05:00:20.238Z,200.0,146.855,146.855
"Machine Learning, Modeling, and Simulation: Engineering Problem-Solving in the Age of AI",https://www.youtube.com/watch?v=mxRurvC-mds,,,2026-03-18T05:00:13.537Z,64.0,6.701,6.701
Trump team applying pressure to media: Tell the war's story the way we see it • FRANCE 24 English,https://www.youtube.com/watch?v=1nOCzLUdaOM,FRANCE 24 English,https://www.youtube.com/channel/UCQfwfsi5VrQ8yKZ-UWmAEFg,2026-03-18T04:55:31.738Z,587.0,281.799,281.799
2025 12 IRC Q1 FY26 Gaza MandyPatinkinKathrynGrody r2 30s 16x9 YT OLV,https://www.youtube.com/watch?v=PBi4mwjIc3Q,,,2026-03-18T04:54:59.790Z,31.0,31.948,31.0
Trump Calls Newsom’s Learning Disability “Political Suicide”,https://www.youtube.com/watch?v=o_w5EZBOiAo,Late Night with Seth Meyers,https://www.youtube.com/channel/UCVTyTA7-g9nopHeHbeuvpRA,2026-03-18T04:52:05.340Z,674.0,174.45,174.45
"Trump Slams NATO Allies, Americans Believe Iran Attack Is a Cover-Up for Epstein Files",https://www.youtube.com/watch?v=m66BWqWRqjg,The Tonight Show Starring Jimmy Fallon,https://www.youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g,2026-03-18T04:48:50.590Z,501.0,194.75,194.75
Ramadan Food Appeal | Provide Meals in Yemen,https://www.youtube.com/watch?v=BddBLDGLoqg,,,2026-03-18T04:46:48.033Z,66.0,122.557,66.0
Allies Pass On Helping Trump Fight Iran | MarineTraffic Is Amazing | Taking Cuba,https://www.youtube.com/watch?v=3ZiRkfHzPRg,The Late Show with Stephen Colbert,https://www.youtube.com/channel/UCMtFAi84ehTSYSE9XoHefig,2026-03-18T04:40:56.334Z,732.0,351.699,351.699
🧒🏻 Wasim Kempson - 𝐒𝐩𝐨𝐧𝐬𝐨𝐫 𝐚𝐧 𝐎𝐫𝐩𝐡𝐚𝐧 𝐂𝐡𝐢𝐥𝐝 𝐓𝐨𝐝𝐚𝐲 💚,https://www.youtube.com/watch?v=m5G7D1WhK2Q,,,2026-03-18T04:40:28.884Z,112.0,27.45,27.45
Own Your Now,https://www.youtube.com/watch?v=RSBkLrwzFZ4,,,2026-03-18T04:34:01.302Z,77.0,387.582,77.0
"Trump Tries to Hijack Next Election, Attacks Newsom’s Dyslexia & MAGA Official Resigns Over Iran War",https://www.youtube.com/watch?v=6In98aD2p_Q,Jimmy Kimmel Live,https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw,2026-03-18T04:28:40.276Z,1026.0,321.026,321.026
VI YB VA 00 00 NA E1 OutfitRepeaterLookExpensive'0326 C1 2,https://www.youtube.com/watch?v=7qXt652I7Is,,,2026-03-18T04:28:33.210Z,71.0,7.066,7.066
Social media abuzz with viral rumours of Netanyahu's death • FRANCE 24 English,https://www.youtube.com/watch?v=8nl8yYlPiMs,FRANCE 24 English,https://www.youtube.com/channel/UCQfwfsi5VrQ8yKZ-UWmAEFg,2026-03-17T05:10:37.853Z,329.0,83875.357,329.0
"Trump Will End Iran War When He ""Feels It in His Bones,"" Says Iran May Be Hit Again ""Just for Fun""",https://www.youtube.com/watch?v=JIFkZkiexPM,The Tonight Show Starring Jimmy Fallon,https://www.youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g,2026-03-17T05:05:43.087Z,791.0,294.766,294.766
How to Become an American Airlines Pilot: Go Behind the Scenes with ATP,https://www.youtube.com/watch?v=CSIKInzbgco,,,2026-03-17T05:05:36.325Z,277.0,6.762,6.762
Gaza Yahya,https://www.youtube.com/watch?v=zSqRA8aHneE,,,2026-03-17T05:01:50.410Z,30.0,225.915,30.0
NATO Countries Rebuff Trump’s Plea to Help with Strait of Hormuz Amid Iran Oil Crisis: A Closer Look,https://www.youtube.com/watch?v=xI6f_c4X_QU,Late Night with Seth Meyers,https://www.youtube.com/channel/UCVTyTA7-g9nopHeHbeuvpRA,2026-03-17T04:55:27.702Z,568.0,382.708,382.708
Corey Wheeler | Student Success Story (:15),https://www.youtube.com/watch?v=KGVbHknei0Q,,,2026-03-17T04:55:19.134Z,19.0,8.568,8.568
