title,link,channel,channel_link,date,video_length,time_diff,watch_time
YouTube History Extraction Tutorial,https://www.youtube.com/watch?v=0JP_uwa8FAE,Manoel Ribeiro,https://www.youtube.com/channel/UC5eHANjJG5ooFdIu4S1-3jQ,2026-04-27T13:59:24.658Z,64,,64.0
Every journey starts with a decision | Joe Burrow x Kroger Health,https://www.youtube.com/watch?v=J0Tjlxg5x7I,Kroger,https://www.youtube.com/channel/UCjlF9Z_Fz-0siGLYYIIcIYw,2026-04-26T16:17:40.796Z,90,78103.862,90.0
CES 2026: Komutr MagSafe Earbuds,https://www.youtube.com/watch?v=KtqVVCno8V0,Christine Persaud,https://www.youtube.com/channel/UCUO80ekinbf7rBaeu0muJMQ,2026-04-26T15:35:18.545Z,105,2542.251,105.0
Komutr Magsafe Earbuds Nice idea But Didn't Work For Me,https://www.youtube.com/watch?v=EAGJeTHsvbk,TodayIFeelLike,https://www.youtube.com/channel/UC9cTxESo7MiM0Zg2lIQiEjg,2026-04-26T15:35:08.354Z,710,10.191,10.191
Dad Is The Mother Now || ViralHog,https://www.youtube.com/watch?v=2iSNiKeOPkE,ViralHog,https://www.youtube.com/channel/UC3339WgBDKIcxTfywuSmG8w,2026-04-26T04:27:02.394Z,24,40085.96,24.0
Ella Langley & Morgan Wallen - I Can’t Love You Anymore (Official Lyric Video),https://www.youtube.com/watch?v=A3G_7XgK2B4,Ella Langley,https://www.youtube.com/channel/UCo80hok0dbQapOH6dJl9Hqw,2026-04-26T03:42:26.910Z,229,2675.484,229.0
CUDIS Sporty Ring Unboxing Video,https://www.youtube.com/watch?v=DFyr0xOgVsQ,CUDIS Wellness,https://www.youtube.com/channel/UCZ7Q4UL-LXT1pZMPqk_Fx4A,2026-04-26T03:30:50.288Z,30,696.622,30.0
CUDIS AI Smart Ring Review – The Smart Ring That Might Replace Your Watch,https://www.youtube.com/watch?v=gyF2wiGH7AU,CKid,https://www.youtube.com/channel/UCiorCYc5p5G0pR_Z-uzLxzQ,2026-04-26T03:25:04.247Z,320,346.041,320.0
Are Smart Rings Any Good? - Cudis AI Smart Ring Review,https://www.youtube.com/watch?v=NmB0ZUvErQU,NoodleNick,https://www.youtube.com/channel/UCthAJeiDA_7iKyzYElbrgjg,2026-04-26T03:21:06.475Z,654,237.772,237.772
Cara Download Video di My Drama | Cara Menyimpan Film My Drama Ke Galeri Hp,https://www.youtube.com/watch?v=xXRo4R4mnbE,Krownet,https://www.youtube.com/channel/UCYF4PwWAzXu0-VrZrYmEBNA,2026-04-25T20:38:52.598Z,207,24133.877,207.0
How To Combine Videos On Android,https://www.youtube.com/watch?v=dwY3kw7Aweg,Technomentary,https://www.youtube.com/channel/UCd8g5ZSN7-CdiElU-3bjPzg,2026-04-25T20:37:57.526Z,159,55.072,55.072
