title,link,channel,channel_link,date,video_length,time_diff,watch_time
Love Overboard S1 -  Promo 0:30 (Luxury) 16:9 (EVERGREEN),https://www.youtube.com/watch?v=i577T2ac2nI,,,2026-04-06T02:44:23.189Z,31.0,,31.0
Crispy Bacon Club Chicken Sandwich,https://www.youtube.com/watch?v=HxnrURISPUA,,,2026-04-06T02:44:06.953Z,16.0,16.236,16.0
Swoon (Short) | Truth Tellers | Liberty Mutual Insurance Commercial,https://www.youtube.com/watch?v=ov07NQ-tdx4,,,2026-04-06T02:44:00.015Z,7.0,6.938,6.938
Redness and bumps? Get Venus for Pubic Hair & Skin | Gillette Venus,https://www.youtube.com/watch?v=RDBK1NucFKg,,,2026-04-06T02:43:53.159Z,7.0,6.856,6.856
Cowboy 15,https://www.youtube.com/watch?v=GfDxfdISVQc,,,2026-04-06T02:29:33.102Z,16.0,860.057,16.0
ODU BRAND ANTHEM 15 VERSION B WEB T171745,https://www.youtube.com/watch?v=7BfsdAgzfRo,,,2026-04-06T02:29:17.074Z,16.0,16.028,16.0
Pampers Swaddlers – Comfortably Dry All Night Long,https://www.youtube.com/watch?v=PiDUEP0izKs,,,2026-04-06T02:29:10.055Z,7.0,7.019,7.0
Airheads | Grandpa Likes 'Em,https://www.youtube.com/watch?v=qMIqaLN8aj4,,,2026-04-06T02:29:03.109Z,7.0,6.946,6.946
Any Day Any Flow | What's Your Tampax Combo,https://www.youtube.com/watch?v=c77zVw5be2I,,,2026-04-06T02:28:47.206Z,16.0,15.903,15.903
Wonder No Trombone 30 PROMO Cravings   YT Podcast,https://www.youtube.com/watch?v=0FZJuGyYyhE,,,2026-04-06T02:10:34.805Z,31.0,1092.401,31.0
Shop Sprouts Farmers Market Today!,https://www.youtube.com/watch?v=Fx0eA7g4iEY,,,2026-04-05T19:25:33.587Z,31.0,24301.218,31.0
MoJo Youtube1 06 FEB9LEGAL,https://www.youtube.com/watch?v=2s7u2BWC1dc,,,2026-04-05T19:25:26.607Z,7.0,6.98,6.98
Clock :06,https://www.youtube.com/watch?v=HhK2D3f9WYE,,,2026-04-05T18:40:23.821Z,7.0,2702.786,7.0
GLOSSIER YOU SOIE USA 6 16x9,https://www.youtube.com/watch?v=STkVZAneE8Q,,,2026-04-05T18:40:16.909Z,7.0,6.912,6.912
Parent Teacher Conference | LiMu Emu & Doug | Liberty Mutual Insurance Commercial,https://www.youtube.com/watch?v=frmEozSnMtM,,,2026-04-05T18:28:47.267Z,,689.642,689.642
Guest how you guest with more hotels for the way you stay with IHG,https://www.youtube.com/watch?v=VbgSZZbFxzs,,,2026-04-05T18:28:14.948Z,16.0,32.319,16.0
Lifestride SS26 06s 16x9 Final,https://www.youtube.com/watch?v=Rygq98-29oo,,,2026-04-05T18:28:07.981Z,7.0,6.967,6.967
La Bomba | The New Fragrance by Carolina Herrera,https://www.youtube.com/watch?v=y3pGP13V6NQ,,,2026-04-05T18:28:01.001Z,6.0,6.98,6.0
Jeca Bars - Video - :30 - Horizontal - 2026 Revised 30s,https://www.youtube.com/watch?v=LC8GQ0UuZPA,,,2026-04-05T18:04:01.229Z,31.0,1439.772,31.0
Short Lashes? Get +5mm closer to your brows with the L'Oreal Paris Extensionist Mascara,https://www.youtube.com/watch?v=x5pfjHy1WbE,,,2026-04-05T18:03:41.126Z,28.0,20.103,20.103
SP26 Skate Authentic 6sec 16x9,https://www.youtube.com/watch?v=5DTZrH-ovmU,,,2026-04-05T18:03:34.086Z,7.0,7.04,7.0
What You Need To Know :15,https://www.youtube.com/watch?v=N3fUjz4Yhdk,,,2026-04-05T18:03:18.164Z,16.0,15.922,15.922
Big Yummm Deals,https://www.youtube.com/watch?v=uU1u9LHQ54Q,,,2026-04-05T17:48:21.309Z,31.0,896.855,31.0
Pampers Swaddlers - Working Hard,https://www.youtube.com/watch?v=TrJDCTMmyhA,,,2026-04-05T17:48:05.248Z,16.0,16.061,16.0
Paradise S2 | Sinatra Secret :06 | Finale,https://www.youtube.com/watch?v=BwkBsZ3VLFI,,,2026-04-05T17:47:58.171Z,7.0,7.077,7.0
Zevo l I Need a Zevo,https://www.youtube.com/watch?v=PdswRzuHjHs,,,2026-04-05T17:47:51.174Z,7.0,6.997,6.997
Preserve,https://www.youtube.com/watch?v=WKhVrdzOH2g,,,2026-04-05T17:47:35.278Z,16.0,15.896,15.896
"You, Me & Tuscany - In Theaters Friday (TV Spot 39)",https://www.youtube.com/watch?v=wT7oR9Ai1OE,,,2026-04-05T17:31:52.181Z,31.0,943.097,31.0
L'Oreal Paris Telescopic Original Mascara,https://www.youtube.com/watch?v=kXVVOHI6DDc,,,2026-04-05T17:31:43.903Z,8.0,8.278,8.0
Fruit Riot x Sour Patch Kids,https://www.youtube.com/watch?v=L2hoCZGwi1Y,,,2026-04-03T21:29:45.512Z,19.0,158518.391,19.0
Love Overboard S1 -   Trailer Cutdown 0:15 (Messy) 16:9 (EVERGREEN),https://www.youtube.com/watch?v=RdX-e3ZGs7w,,,2026-04-03T21:25:54.894Z,16.0,230.618,16.0
Potbelly Power of AND 15 16x9,https://www.youtube.com/watch?v=mSO00QmnFeQ,,,2026-04-03T21:25:38.836Z,16.0,16.058,16.0
"Embrace Your Tan Everyday, Everywhere | Jergens Natural Glow +Firming Daily Moisturizer",https://www.youtube.com/watch?v=sjglKpwDCmI,,,2026-04-03T21:25:31.925Z,7.0,6.911,6.911
Crispy Bacon Club Chicken Sandwich,https://www.youtube.com/watch?v=HxnrURISPUA,,,2026-04-03T21:16:34.909Z,16.0,537.016,16.0
ODU BRAND ANTHEM 15 VERSION B WEB T171745,https://www.youtube.com/watch?v=7BfsdAgzfRo,,,2026-04-03T21:16:18.909Z,16.0,16.0,16.0
Ashley Spring Savings Event Going On Now.,https://www.youtube.com/watch?v=3zSZIqYVKsg,,,2026-04-03T21:16:02.861Z,16.0,16.048,16.0
True Religion | New Spring Drop,https://www.youtube.com/watch?v=SBr8kv-hJsM,,,2026-04-03T21:15:46.824Z,16.0,16.037,16.0
Love Overboard S1 -  Promo 0:30 (Luxury) 16:9 (EVERGREEN),https://www.youtube.com/watch?v=i577T2ac2nI,,,2026-04-03T20:30:14.396Z,31.0,2732.428,31.0
HNTB6004000H_HMA_2026_Brand_EV Campaign_EV Love_30_YouTube,https://www.youtube.com/watch?v=nGX_Yw-c1BQ,,,2026-04-03T20:29:43.209Z,31.0,31.187,31.0
Guest how you guest with more hotels for the way you stay with IHG,https://www.youtube.com/watch?v=124q8hX5jKY,,,2026-04-03T20:24:41.708Z,31.0,301.501,31.0
"Michaels | Brand, US'25  :15",https://www.youtube.com/watch?v=l-HVeIYewo4,,,2026-04-03T20:24:25.748Z,16.0,15.96,15.96
Always Radiant with Flexfoam Can.,https://www.youtube.com/watch?v=40pFTrlSljE,,,2026-04-03T20:24:18.679Z,7.0,7.069,7.0
Swoon (Short) | Truth Tellers | Liberty Mutual Insurance Commercial,https://www.youtube.com/watch?v=ov07NQ-tdx4,,,2026-04-03T20:24:11.901Z,7.0,6.778,6.778
Welcome to Duke's Country - Mayo is Coming! :06 Chef,https://www.youtube.com/watch?v=D6WG2Up_fEM,,,2026-04-03T19:38:00.110Z,7.0,2771.791,7.0
Olay Retinol24,https://www.youtube.com/watch?v=DDrc9IIP28Q,,,2026-04-03T19:37:53.201Z,6.0,6.909,6.0
Video Ad,https://www.youtube.com/watch?v=K6mcuvWsXDI,,,2026-04-03T19:37:37.222Z,16.0,15.979,15.979
Guest how you guest with more hotels for the way you stay with IHG,https://www.youtube.com/watch?v=VbgSZZbFxzs,,,2026-04-03T19:31:31.825Z,16.0,365.397,16.0
PVM Mentos GBL EN C21393970 Mentos YTF03 15s OLV 16x9 Webmix B 260306 v01 25Mbs,https://www.youtube.com/watch?v=NFamvvizTWQ,,,2026-04-03T19:31:16.075Z,15.0,15.75,15.0
Don’t let anything hold you back from your dream job. Make a comeback with Purdue Global.,https://www.youtube.com/watch?v=mRh-A-yYyBs,,,2026-04-02T20:27:19.832Z,31.0,83036.243,31.0
PB2026   Irish Cream   15   YOUTUBE   1920x1080,https://www.youtube.com/watch?v=ZPSbk7UcCHQ,,,2026-04-02T20:27:06.592Z,16.0,13.24,13.24
Prevent the flea & tick ick with fast delivery from Chewy Pharmacy #chewy,https://www.youtube.com/watch?v=Vzsyr_aIZbI,,,2026-04-02T20:26:59.582Z,7.0,7.01,7.0
Pampers 360 – Babies Don't Ever Stop,https://www.youtube.com/watch?v=z89DoWSj5ew,,,2026-04-02T20:26:43.572Z,16.0,16.01,16.0
Google Gemini | 80s Glam Makeover - Get Google's AI App,https://www.youtube.com/watch?v=adziWysrcU4,,,2026-04-02T20:26:36.600Z,7.0,6.972,6.972
| The Habit Burger Grill,https://www.youtube.com/watch?v=5RPh0ukRGSc,,,2026-04-02T20:10:45.060Z,16.0,951.54,16.0
EWC FULL FACE v 1 6 9,https://www.youtube.com/watch?v=ucHgeloVHKk,,,2026-04-02T20:10:38.740Z,6.0,6.32,6.0
"Nature Made takes care of you, so you can focus on what matters most",https://www.youtube.com/watch?v=ZKZdvWORdUQ,,,2026-04-02T20:10:31.726Z,7.0,7.014,7.0
Gemini Instant Replay | Can I Paint?,https://www.youtube.com/watch?v=Hr34pWQPgWM,,,2026-04-02T20:10:15.953Z,16.0,15.773,15.773
Airheads | Pumped Up,https://www.youtube.com/watch?v=VVRwdwDSdMo,,,2026-04-02T19:58:30.362Z,16.0,705.591,16.0
Rewards on Hotels.com,https://www.youtube.com/watch?v=Qg2ro8fqQCc,,,2026-04-02T19:58:14.332Z,16.0,16.03,16.0
Shop Herbal Essences,https://www.youtube.com/watch?v=Vwf4LOVt_jw,,,2026-04-02T19:58:07.320Z,7.0,7.012,7.0
1NM10206000H  NM3897 02 NM Peak Microtop Campaign $79 Rev Stand 15 Pricing WEB,https://www.youtube.com/watch?v=f6VTuVSE1Cs,,,2026-04-02T19:57:51.368Z,16.0,15.952,15.952
Gemini Instant Replay | Under the Hood,https://www.youtube.com/watch?v=-2XtPc7FBIU,,,2026-04-02T19:57:35.363Z,16.0,16.005,16.0
Trisha Paytas x Ro,https://www.youtube.com/watch?v=2zn4OsipxKg,,,2026-04-02T19:44:11.132Z,53.0,804.231,53.0
| The Habit Burger Grill,https://www.youtube.com/watch?v=KmN6OpniNzQ,,,2026-04-02T19:43:55.041Z,16.0,16.091,16.0
"Get Radiant, Get More | Tampax Radiant",https://www.youtube.com/watch?v=HW-YBzYWNtY,,,2026-04-02T19:43:48.001Z,7.0,7.04,7.0
Special,https://www.youtube.com/watch?v=M8Vx0jSfwnM,,,2026-04-02T19:28:40.844Z,31.0,907.157,31.0
"You, Me & Tuscany - In Theaters April 10 (TV Spot 3)",https://www.youtube.com/watch?v=EDQIFh7NHGY,,,2026-04-02T17:09:15.040Z,31.0,8365.804,31.0
ODU BRAND ANTHEM 15 VERSION B WEB T171745,https://www.youtube.com/watch?v=7BfsdAgzfRo,,,2026-04-02T17:08:58.949Z,16.0,16.091,16.0
Chick-fil-A | GM | New Flavor In Town | :06 | OLV,https://www.youtube.com/watch?v=lJARjBl1nkw,,,2026-04-02T17:08:35.919Z,7.0,23.03,7.0
Zevo l I Need a Zevo,https://www.youtube.com/watch?v=mvvkB_HZJzE,,,2026-04-02T17:08:20.185Z,16.0,15.734,15.734
"Easter Sale, US :15 | Michaels",https://www.youtube.com/watch?v=PqHj_7Vx7ck,,,2026-04-02T16:51:20.599Z,15.0,1019.586,15.0
