title,link,channel,channel_link,date,video_length,time_diff,watch_time
"[OCT/11/24] ExtraEmilyVOD -  PUMPKIN PATCH W/NMPLOL 🎃 HAY RIDES, PETTING ZOO & MORE 🎃",https://www.youtube.com/watch?v=E6u0RPHsdZw,Nmplol VODs ,https://www.youtube.com/channel/UCL4vGihh03mn3sZXN2HbnYQ,2026-03-17T19:47:58.485Z,13242.0,,13242.0
"$150 vs $9,000 Japanese Sleeper Train",https://www.youtube.com/watch?v=foSD0tS4Mpo,Safiya Nygaard,https://www.youtube.com/channel/UCbAwSkqJ1W_Eg7wr3cp5BUA,2026-03-17T18:13:58.033Z,2205.0,5640.452,2205.0
"자연 속에서 2박 3일 주말 캠핑❤️ 라면, 핫도그, 짜파게티, 샌드위치, & 스모어스",https://www.youtube.com/watch?v=960X9ZVBBLw,주니지아지나맘 JuniJiaJinaMom,https://www.youtube.com/channel/UCr21EleByvidY2umG_iLJSw,2026-03-17T04:07:53.802Z,1273.0,50764.231,1273.0
불같은 남매싸움🔥호락호락하지 않은 두살 다섯살. 뒤늦은 두쫀쿠 열차 탑승한 국제커플,https://www.youtube.com/watch?v=Jr3nl7prXOk,NICOLE 니콜,https://www.youtube.com/channel/UCx3yPlawkBXjATPVwuBsZIw,2026-03-17T03:36:17.946Z,948.0,1895.856,948.0
What it's Really Like Raising Kids in Today's World - @itsJudysLife,https://www.youtube.com/watch?v=WYK9fLXP3HE,itsJudysLife,https://www.youtube.com/channel/UCK2ACorzpH-igxuHZ2ObCEA,2026-03-16T18:53:47.862Z,1712.0,31350.084,1712.0
Luke Thompson & Yerin Ha call their famous friends – are they sitting or standing?!,https://www.youtube.com/watch?v=rWKlgQRDwQY,BBC Radio 1,https://www.youtube.com/channel/UC-FQUIVQ-bZiefzBiQAa8Fw,2026-03-14T02:56:38.975Z,788.0,230228.887,788.0
Can The Cast Of Bridgerton Season 4 Snack Silently? (ft. Yerin Ha and Hannah Dodd),https://www.youtube.com/watch?v=AhZyLte9qwc,Tasty,https://www.youtube.com/channel/UCJFp8uSYCjXOMnkUyb3CQ3Q,2026-03-14T02:56:31.874Z,492.0,7.101,7.101
Bridgerton Cast Test How Well They Know Each Other | Vanity Fair,https://www.youtube.com/watch?v=m0ttpwKTvoc,Vanity Fair,https://www.youtube.com/channel/UCIsbLox_y9dCIMLd8tdC6qg,2026-03-14T02:48:27.815Z,943.0,484.059,484.059
Bridgerton Cast Compete in a Compliment Battle | Teen Vogue,https://www.youtube.com/watch?v=MvGZClLjhtU,Teen Vogue,https://www.youtube.com/channel/UCr7ZFxNlDvb3waeoTN1_3mA,2026-03-14T02:40:59.358Z,598.0,448.457,448.457
The Bridgerton cast owned the dance floor ✨ 💃 #BRIDGERTON #bridgertonseason4 #netflix,https://www.youtube.com/watch?v=n-_vgJM5Mac,allgood taliya,https://www.youtube.com/channel/UC00ctQOCAYWCdWHcSwMuULw,2026-03-14T02:40:05.402Z,50.0,53.956,50.0
